,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.21,25.13,25.78,26.09,26.22,25.32,25.37,25.28,25.68,25.98,25.93,25.39
1902,25.13,25.10,25.53,25.99,26.22,25.34,25.09,25.33,25.71,26.03,25.93,25.57
1903,25.42,25.22,25.66,25.96,26.22,25.34,25.12,25.33,25.71,25.80,25.93,25.31
1904,25.08,25.04,25.78,25.87,26.22,25.62,25.37,25.20,25.96,25.76,25.93,25.39
1905,25.24,25.20,25.66,25.92,26.22,25.52,25.20,25.31,25.71,26.08,25.93,25.62
1906,25.34,25.43,25.66,26.07,26.22,25.42,25.17,25.31,25.68,25.80,25.93,25.36
1907,25.13,25.13,25.48,25.94,26.22,25.32,25.09,25.24,25.96,25.87,25.93,25.41
1908,25.26,25.22,25.63,26.04,26.22,25.32,25.37,25.31,25.96,25.84,25.93,25.46
1909,25.29,25.22,25.55,26.01,26.22,25.62,25.07,25.35,25.68,25.84,25.93,25.41
1910,25.26,25.28,25.53,25.92,26.22,25.34,25.14,25.28,25.96,25.71,25.93,25.41
1911,25.35,25.92,26.11,26.57,26.60,25.99,26.06,25.61,26.30,26.27,27.07,26.30
1912,26.45,26.17,26.69,26.78,26.60,25.60,25.60,25.83,26.30,26.37,26.63,26.24
1913,25.84,26.03,26.57,26.10,26.60,25.43,25.67,25.89,26.33,26.67,26.81,26.40
1914,25.87,26.30,26.25,26.49,27.45,25.56,25.78,26.24,26.64,26.83,27.25,26.82
1915,25.99,26.04,26.30,26.71,26.92,26.22,25.52,26.43,26.30,26.60,27.07,26.22
1916,25.55,26.04,26.01,26.58,26.41,25.62,24.94,25.52,26.34,26.63,26.90,26.06
1917,25.20,25.05,25.67,26.27,25.52,25.48,25.49,25.34,26.25,26.62,26.90,26.13
1918,24.14,24.11,25.75,26.06,25.93,25.17,25.60,25.88,26.19,26.23,26.90,25.55
1919,26.15,26.26,26.64,26.78,27.01,26.13,25.37,26.07,26.35,26.50,26.73,25.96
1920,25.64,25.84,26.57,26.47,26.74,26.16,25.80,25.42,26.66,26.79,27.25,25.48
1921,25.75,25.43,25.96,26.39,26.03,25.32,25.48,25.92,26.39,26.07,26.46,26.19
1922,26.25,25.64,25.72,25.87,25.93,25.48,25.54,25.47,26.35,26.23,27.25,26.59
1923,25.53,25.84,25.90,26.73,26.41,25.85,25.18,25.27,25.63,26.40,26.73,26.09
1924,26.21,25.91,25.76,26.39,26.12,25.45,25.74,26.20,25.90,25.80,26.03,25.67
1925,25.43,24.79,25.35,26.29,26.60,26.03,25.70,25.97,26.26,26.20,26.46,25.82
1926,25.45,25.90,26.21,27.15,26.84,25.94,25.70,26.02,26.16,26.26,26.56,26.22
1927,25.60,25.55,26.21,26.21,26.32,25.61,25.63,25.97,26.23,26.03,26.38,26.28
1928,25.86,25.58,25.88,26.30,26.60,25.66,25.60,25.65,26.20,26.24,26.22,26.28
1929,25.45,25.14,25.27,26.47,26.60,25.22,25.75,25.93,26.17,26.15,25.93,25.86
1930,25.76,25.67,25.75,26.47,26.32,25.58,26.19,26.78,26.40,26.29,26.56,26.35
1931,26.22,26.53,26.49,26.74,26.74,26.03,25.63,26.78,26.28,26.33,26.56,25.69
1932,25.32,25.63,25.56,26.10,25.93,25.11,25.50,25.69,26.03,26.43,25.93,26.09
1933,25.66,25.42,25.65,26.21,26.50,25.83,25.57,25.95,25.83,26.01,25.74,25.47
1934,24.65,24.64,24.96,25.80,26.41,25.37,25.54,25.89,26.30,26.09,26.31,26.16
1935,25.82,25.85,26.27,26.21,25.85,25.27,25.83,25.74,26.50,26.40,26.56,26.21
1936,25.91,26.24,25.95,26.41,26.50,25.48,25.70,25.62,26.19,25.83,26.31,26.26
1937,25.98,25.85,26.43,26.44,25.93,25.86,25.79,26.35,26.17,26.04,26.46,26.11
1938,25.79,26.29,25.78,26.31,26.03,25.89,25.52,25.37,26.19,26.38,26.46,26.21
1939,25.80,25.54,25.99,26.41,26.41,25.40,25.60,25.69,25.74,25.95,26.46,26.10
1940,25.89,25.73,26.53,26.70,26.50,26.14,25.95,25.63,26.16,26.86,26.81,26.44
1941,26.18,26.41,26.74,27.06,27.01,26.70,26.29,26.21,26.60,27.14,26.73,26.64
1942,25.34,25.42,25.84,26.16,26.22,25.62,25.37,25.56,25.96,26.08,25.93,25.68
1943,25.18,25.26,25.58,26.04,26.22,25.39,25.14,25.39,25.87,25.95,25.93,25.59
1944,25.24,25.31,25.63,26.16,26.22,25.62,25.37,25.56,25.92,26.16,25.93,25.68
1945,25.38,25.42,25.71,26.11,26.22,25.62,25.37,25.56,25.87,26.00,25.93,25.68
1946,25.65,25.53,25.78,26.25,26.22,25.62,25.37,25.61,25.90,26.16,25.93,25.76
1947,25.63,25.53,25.78,26.21,26.22,25.62,25.32,25.56,25.92,26.11,25.93,25.85
1948,25.63,25.71,26.23,27.22,26.74,26.29,25.72,26.33,26.51,26.78,26.38,26.68
1949,26.27,26.04,26.58,26.59,26.22,25.88,25.61,26.11,26.35,26.26,26.38,26.29
1950,26.24,25.96,26.06,26.18,26.32,25.77,25.47,25.59,26.07,25.90,26.38,25.93
1951,24.64,24.49,25.60,26.15,25.83,25.82,25.04,25.64,25.96,26.06,26.22,25.92
1952,25.43,25.32,25.50,26.15,26.12,25.72,25.27,25.37,25.86,26.15,25.60,25.46
1953,25.28,24.84,25.36,25.95,25.84,25.72,25.09,25.89,25.84,26.29,26.13,25.97
1954,25.26,25.42,25.57,25.86,25.83,25.36,24.98,25.46,25.84,25.58,25.46,25.38
1955,25.00,25.23,25.68,25.82,26.26,25.40,24.93,24.94,25.79,25.88,25.69,25.28
1956,24.67,25.02,25.48,25.99,25.68,25.13,24.87,25.07,25.68,25.79,25.73,25.22
1957,25.21,25.25,25.53,26.22,25.93,25.95,25.34,25.46,25.96,26.15,26.11,25.58
1958,25.82,25.59,25.94,26.70,26.71,25.97,25.73,25.47,26.29,26.26,25.68,25.87
1959,25.63,25.91,25.77,25.96,26.22,25.69,25.32,25.27,25.96,26.16,25.83,25.87
1960,25.38,25.27,25.78,25.98,26.26,25.55,25.27,25.86,26.06,26.32,25.79,25.75
1961,25.20,25.42,25.77,26.07,26.25,25.28,25.18,25.53,25.76,25.88,25.79,25.68
1962,25.04,25.05,25.32,25.95,26.31,25.25,25.30,24.98,25.88,26.04,25.93,25.61
1963,24.67,24.72,25.68,26.55,26.41,25.62,25.49,25.56,26.17,26.08,26.03,25.82
1964,25.92,25.42,25.68,26.19,26.28,25.37,24.87,25.32,25.84,25.70,25.81,25.18
1965,24.86,25.24,25.39,25.78,25.92,25.52,25.17,25.33,25.76,25.90,26.03,25.70
1966,25.34,25.59,25.68,26.30,26.22,25.30,25.15,25.44,26.07,25.96,25.83,25.58
1967,25.10,24.84,25.49,25.72,25.83,25.33,25.12,25.46,25.86,25.99,25.62,25.35
1968,25.06,25.16,25.60,25.96,25.80,25.42,25.09,25.40,25.86,25.79,25.96,25.54
1969,25.65,25.59,26.10,26.44,26.39,25.55,25.37,25.22,26.02,26.16,25.64,25.58
1970,25.54,25.52,25.96,26.18,26.12,25.58,25.13,25.52,25.67,25.95,25.83,25.53
1971,24.93,24.75,25.28,26.21,25.92,25.28,25.17,24.96,26.01,25.98,25.49,25.23
1972,24.93,25.38,25.48,25.83,26.06,25.62,25.91,25.78,26.02,26.50,26.13,26.00
1973,25.80,26.02,25.87,26.47,25.92,25.75,25.60,25.52,25.80,26.11,25.83,25.05
1974,24.67,24.87,25.35,25.94,25.65,25.23,25.00,25.65,25.57,26.26,25.83,25.68
1975,25.40,25.06,25.33,26.12,25.73,25.14,24.72,25.50,25.66,25.96,25.34,25.19
1976,24.63,25.08,25.48,25.66,25.92,25.16,25.21,25.31,25.78,25.96,25.62,25.67
1977,25.44,24.82,25.57,26.55,26.20,25.45,25.55,25.27,26.05,26.32,25.83,26.14
1978,25.71,25.82,26.06,26.25,26.31,25.53,25.24,25.74,25.86,26.06,25.83,25.76
1979,25.64,25.81,26.18,26.25,26.49,25.65,25.27,25.85,26.06,26.26,25.73,25.89
1980,25.62,25.61,25.92,26.25,26.45,25.85,25.60,25.18,26.06,26.36,25.93,25.48
1981,25.06,25.40,26.06,26.15,26.08,26.01,25.62,26.16,26.06,26.52,26.13,25.78
1982,25.54,25.75,25.93,25.91,26.32,25.90,25.46,25.61,26.28,26.19,26.32,26.07
1983,25.90,26.41,26.86,27.32,26.78,26.20,25.67,25.77,26.02,26.56,26.22,25.37
1984,24.91,24.64,25.33,26.06,25.92,25.58,25.11,25.74,25.78,26.21,26.02,25.53
1985,25.73,25.77,25.54,26.25,26.19,25.89,25.11,25.68,25.83,26.07,25.91,25.81
1986,25.08,25.52,25.52,26.29,26.49,25.86,25.85,26.34,25.90,26.16,25.93,26.16
1987,25.35,25.72,26.37,26.73,26.33,26.40,26.14,25.86,26.43,26.85,26.79,26.08
1988,26.24,26.00,26.26,26.72,26.78,25.91,25.57,25.66,26.16,26.75,26.07,25.74
1989,25.81,25.35,25.39,26.15,26.31,25.72,25.79,25.81,26.02,26.34,26.41,26.17
1990,25.63,26.12,26.71,26.99,26.70,26.30,25.66,26.32,26.29,26.60,26.60,26.25
1991,26.00,26.01,26.43,26.70,26.49,26.59,26.23,26.29,26.44,26.51,25.99,25.73
1992,25.93,26.01,26.71,27.09,26.70,26.27,25.57,26.21,26.45,26.46,25.93,25.79
1993,25.81,25.58,25.84,26.35,26.70,26.37,26.01,26.28,26.43,26.53,26.33,26.19
1994,26.20,25.91,25.62,26.73,26.52,26.07,26.23,26.03,26.55,26.66,26.13,26.64
1995,26.10,25.68,26.25,26.82,26.90,26.58,26.15,25.93,26.84,26.95,26.48,25.76
1996,25.58,25.52,26.43,26.73,26.88,26.40,26.32,26.07,26.84,26.56,26.61,25.93
1997,26.08,25.94,26.70,26.65,27.29,26.67,26.42,26.73,26.86,27.02,26.91,26.75
1998,27.02,27.12,27.51,26.81,28.06,26.76,26.42,26.19,26.95,27.21,27.00,26.29
1999,25.91,25.72,26.23,26.91,26.52,26.14,26.02,25.98,26.63,26.46,26.61,26.04
2000,25.83,25.71,26.17,26.64,27.09,26.02,26.27,26.18,26.81,27.05,26.78,26.75
2001,25.84,25.91,26.43,26.78,27.07,26.30,26.50,26.55,26.85,26.95,26.72,26.64
2002,26.41,26.51,27.06,27.27,27.48,26.81,26.74,26.64,26.80,27.28,26.92,27.09
2003,26.33,26.25,26.78,26.99,27.39,26.60,26.10,26.74,26.92,26.82,26.78,26.40
2004,26.71,26.41,26.86,27.35,27.29,26.56,25.82,26.54,26.46,26.56,26.60,26.29
