,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.48,25.12,26.46,26.44,27.14,25.79,26.53,25.81,25.77,26.28,26.81,25.31
1902,25.22,25.04,25.56,26.08,27.14,25.88,25.57,26.00,25.85,26.46,26.81,25.93
1903,26.26,25.49,26.00,25.99,27.14,25.88,25.67,26.00,25.85,25.66,26.81,25.04
1904,25.03,24.77,26.46,25.62,27.14,26.87,26.53,25.54,26.75,25.47,26.81,25.31
1905,25.57,25.39,26.00,25.81,27.14,26.50,25.92,25.90,25.85,26.64,26.81,26.10
1906,26.01,26.30,26.00,26.35,27.14,26.15,25.84,25.90,25.77,25.66,26.81,25.22
1907,25.22,25.12,25.38,25.89,27.14,25.79,25.57,25.64,26.75,25.93,26.81,25.39
1908,25.66,25.49,25.91,26.25,27.14,25.79,26.53,25.90,26.75,25.74,26.81,25.58
1909,25.76,25.49,25.65,26.16,27.14,26.87,25.49,26.08,25.77,25.74,26.81,25.39
1910,25.66,25.66,25.56,25.81,27.14,25.88,25.75,25.81,26.75,25.39,26.81,25.39
1911,25.70,26.12,26.49,26.87,27.48,26.75,26.55,26.41,26.68,26.53,27.90,26.47
1912,26.50,26.50,26.74,27.31,27.48,26.52,26.33,26.84,26.63,26.67,27.49,26.42
1913,26.15,26.40,26.56,26.51,27.48,26.39,26.48,26.74,26.73,27.05,27.64,26.56
1914,26.26,26.58,26.58,26.83,28.31,26.58,26.52,26.96,26.85,27.33,28.07,26.97
1915,26.28,26.43,26.79,27.11,27.73,27.08,26.53,27.20,26.68,26.96,27.90,26.38
1916,25.67,26.28,26.25,26.92,27.25,26.47,26.00,26.44,26.63,26.90,27.73,26.10
1917,25.46,25.49,26.01,26.50,26.48,26.49,26.44,26.40,27.01,27.39,27.73,26.78
1918,24.61,24.93,25.97,26.82,26.91,26.43,26.42,26.69,26.64,26.83,27.73,26.03
1919,26.43,26.60,26.89,27.01,27.80,26.84,26.16,26.77,26.68,26.90,27.56,26.25
1920,25.78,26.16,27.11,26.65,27.59,26.89,26.58,26.22,27.42,27.55,28.07,25.66
1921,26.07,25.82,26.20,26.68,26.91,25.84,26.31,26.81,26.63,26.44,27.32,26.18
1922,26.41,25.93,26.15,26.43,26.85,26.49,26.44,26.57,26.68,26.53,28.07,26.65
1923,25.80,26.19,26.21,27.03,27.28,26.76,25.93,26.18,26.13,27.00,27.56,26.33
1924,26.57,26.35,26.26,26.70,27.07,26.56,26.66,27.11,26.47,25.66,26.91,25.92
1925,25.81,25.36,25.75,26.70,27.44,26.98,26.57,26.93,26.83,26.78,27.32,26.31
1926,25.84,26.32,26.49,27.56,27.70,26.99,26.72,27.03,26.69,26.78,27.40,26.38
1927,25.93,26.10,26.49,26.67,27.23,26.58,26.54,26.93,26.73,26.61,27.24,26.52
1928,26.36,26.20,26.31,26.76,27.47,26.59,26.44,26.49,26.69,26.73,27.08,26.42
1929,25.84,25.90,25.81,26.88,27.40,26.36,26.42,26.83,26.74,26.78,26.81,26.11
1930,26.26,26.13,26.36,26.79,27.24,26.62,26.87,27.52,26.93,26.87,27.40,26.71
1931,26.76,27.00,26.82,27.21,27.62,27.00,26.54,27.52,26.88,26.82,27.40,26.12
1932,25.81,26.04,26.03,26.61,26.91,26.24,26.49,26.90,26.65,26.96,26.81,26.33
1933,26.26,25.90,26.13,26.66,27.39,26.72,26.53,26.92,26.28,26.54,26.64,25.93
1934,25.41,25.36,25.53,26.39,27.27,26.48,26.44,26.84,26.63,26.75,27.15,26.38
1935,26.13,26.48,26.63,26.66,26.84,26.35,26.51,26.74,26.91,26.87,27.40,26.63
1936,26.19,26.69,26.48,26.75,27.39,26.51,26.58,26.72,26.78,26.51,27.15,26.62
1937,26.24,26.49,26.89,26.84,26.87,26.80,26.65,27.32,26.74,26.64,27.32,26.39
1938,26.17,26.64,26.42,26.90,26.98,26.75,26.39,26.42,26.78,26.96,27.32,26.48
1939,26.23,25.98,26.44,26.89,27.26,26.43,26.45,26.76,26.44,26.54,27.32,26.48
1940,26.04,26.19,26.87,27.16,27.24,27.08,26.84,26.72,26.85,27.52,27.64,26.79
1941,26.64,26.97,27.18,27.62,27.85,27.61,27.13,27.22,27.05,27.50,27.56,26.94
1942,26.08,26.24,26.74,26.72,27.15,26.88,26.37,26.77,26.65,26.64,26.81,26.35
1943,25.39,25.57,25.74,26.25,27.14,26.06,25.75,26.17,26.39,26.19,26.81,26.01
1944,25.65,25.80,25.98,26.65,27.08,26.72,26.37,26.81,26.55,26.87,26.81,26.25
1945,26.15,26.12,26.18,26.53,27.12,26.75,26.37,26.84,26.39,26.38,26.81,26.35
1946,27.03,26.45,26.46,26.92,27.08,26.87,26.55,27.09,26.47,26.96,26.81,26.64
1947,26.98,26.57,26.53,26.79,27.15,26.87,26.35,26.82,26.55,26.73,26.81,27.00
1948,26.04,26.46,26.89,27.85,27.64,27.24,26.75,27.27,27.06,27.46,27.24,27.03
1949,26.49,26.47,26.88,27.06,27.06,27.04,26.46,27.06,26.80,26.94,27.24,26.72
1950,26.66,26.36,26.61,26.78,27.20,26.82,26.37,26.70,26.60,26.42,27.03,26.29
1951,25.35,25.31,26.47,26.99,26.83,27.00,26.22,26.76,26.75,26.82,27.20,26.46
1952,26.13,26.19,26.15,26.95,27.05,26.97,26.43,26.68,26.65,26.77,26.50,26.19
1953,26.15,25.87,26.17,26.73,26.77,26.97,26.27,27.00,26.75,27.25,26.99,26.77
1954,26.07,26.10,26.50,26.72,26.88,26.57,26.22,26.65,26.51,26.23,26.27,26.00
1955,25.76,26.01,26.27,26.63,27.25,26.67,25.88,26.07,26.41,26.59,26.57,25.86
1956,25.33,25.93,26.26,26.79,26.70,26.28,26.00,26.32,26.40,26.52,26.47,25.95
1957,25.96,26.00,26.22,27.03,26.87,27.07,26.36,26.59,26.70,27.00,26.92,26.15
1958,26.47,26.26,26.58,27.32,27.51,27.09,26.66,26.57,26.90,27.00,26.48,26.21
1959,26.11,26.60,26.32,26.72,27.18,26.78,26.28,26.47,26.65,27.06,26.77,26.37
1960,25.78,25.83,26.38,26.59,27.11,26.80,26.44,27.12,26.78,27.02,26.67,26.40
1961,25.76,26.10,26.46,26.82,27.14,26.46,26.25,26.65,26.48,26.65,26.71,26.35
1962,25.65,25.76,26.02,26.58,27.08,26.40,26.44,26.22,26.53,26.76,26.77,26.14
1963,25.25,25.39,26.14,27.20,27.16,26.86,26.36,26.64,26.77,26.96,26.94,26.45
1964,26.60,26.31,26.34,26.75,27.21,26.54,26.06,26.53,26.52,26.24,26.65,25.79
1965,25.31,25.99,25.98,26.56,26.86,26.70,26.26,26.55,26.54,26.43,27.03,26.51
1966,26.09,26.32,26.39,27.08,27.20,26.47,26.19,26.74,26.98,26.69,26.78,26.24
1967,26.14,25.68,26.21,26.31,26.79,26.67,26.08,26.82,26.65,27.00,26.53,25.93
1968,25.67,25.63,26.24,26.74,26.79,26.56,26.15,26.34,26.71,26.72,26.76,26.12
