,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.16,25.38,25.69,25.97,26.04,25.63,25.41,25.53,25.47,25.55,25.39,25.42
1902,25.15,25.37,25.71,25.99,26.04,25.62,25.41,25.53,25.47,25.56,25.39,25.43
1903,25.15,25.38,25.70,25.99,26.05,25.62,25.41,25.53,25.48,25.55,25.39,25.42
1904,25.15,25.37,25.70,25.97,26.04,25.62,25.41,25.53,25.47,25.55,25.39,25.42
1905,25.15,25.37,25.71,25.98,26.04,25.62,25.41,25.53,25.48,25.55,25.40,25.43
1906,25.16,25.37,25.70,25.99,26.05,25.62,25.41,25.53,25.48,25.55,25.39,25.42
1907,25.15,25.37,25.70,25.98,26.04,25.62,25.40,25.52,25.48,25.55,25.39,25.41
1908,25.15,25.37,25.70,25.98,26.04,25.62,25.41,25.52,25.47,25.55,25.39,25.42
1909,25.15,25.37,25.70,25.97,26.04,25.62,25.40,25.53,25.47,25.55,25.38,25.42
1910,25.15,25.37,25.69,25.97,26.04,25.62,25.41,25.53,25.47,25.54,25.39,25.42
1911,25.33,26.14,26.17,26.52,26.36,26.25,26.43,25.84,26.03,25.93,26.43,26.29
1912,26.47,26.31,26.87,26.62,26.37,25.80,25.87,25.91,26.02,26.01,26.01,26.20
1913,25.77,26.15,26.80,26.07,26.36,25.62,25.87,26.08,26.02,26.26,26.17,26.36
1914,25.77,26.47,26.33,26.45,27.16,25.71,26.03,26.46,26.41,26.34,26.57,26.76
1915,25.94,26.16,26.26,26.61,26.67,26.40,25.66,26.63,26.03,26.18,26.42,26.18
1916,25.61,26.23,26.17,26.53,26.22,25.86,25.10,25.70,26.09,26.25,26.25,26.12
1917,25.24,25.21,25.79,26.29,25.42,25.62,25.65,25.44,25.72,25.94,26.25,25.81
1918,24.14,24.19,25.94,25.82,25.81,25.23,25.81,26.08,25.88,25.73,26.26,25.42
1919,26.10,26.39,26.72,26.76,26.76,26.40,25.65,26.31,26.11,26.10,26.10,25.89
1920,25.70,25.99,26.42,26.52,26.52,26.40,26.03,25.70,26.10,26.10,26.56,25.42
1921,25.70,25.61,26.10,26.38,25.88,25.62,25.72,26.08,26.18,25.73,25.86,26.28
1922,26.25,25.83,25.79,25.74,25.81,25.62,25.72,25.53,26.10,25.86,26.56,26.58
1923,25.53,25.98,26.01,26.68,26.21,26.01,25.49,25.44,25.31,25.87,26.10,26.05
1924,26.10,25.99,25.80,26.36,25.95,25.53,25.87,26.31,25.48,25.54,25.48,25.66
1925,25.39,24.90,25.47,26.22,26.36,26.17,25.88,26.07,25.88,25.72,25.86,25.66
1926,25.39,25.99,26.33,27.01,26.60,26.02,25.81,26.08,25.79,25.79,25.94,26.19
1927,25.54,25.61,26.33,26.14,26.13,25.80,25.80,26.07,25.88,25.55,25.78,26.20
1928,25.71,25.61,25.94,26.21,26.36,25.86,25.81,25.84,25.87,25.79,25.64,26.29
1929,25.40,25.14,25.32,26.36,26.36,25.32,26.03,26.07,25.79,25.65,25.39,25.82
1930,25.62,25.75,25.69,26.44,26.14,25.71,26.43,26.94,26.02,25.80,25.94,26.20
1931,26.02,26.54,26.56,26.62,26.52,26.17,25.81,26.93,25.88,25.86,25.94,25.59
1932,25.24,25.75,25.61,25.98,25.82,25.24,25.65,25.69,25.65,25.94,25.39,26.04
1933,25.47,25.54,25.70,26.15,26.30,26.01,25.73,26.08,25.57,25.55,25.23,25.33
1934,24.46,24.66,25.01,25.67,26.22,25.46,25.73,26.00,26.03,25.55,25.71,26.12
1935,25.77,25.84,26.33,26.15,25.74,25.39,26.11,25.85,26.18,25.95,25.94,26.04
1936,25.85,26.31,25.95,26.36,26.30,25.62,25.88,25.70,25.79,25.32,25.71,26.13
1937,25.93,25.84,26.41,26.38,25.81,26.00,25.95,26.40,25.79,25.55,25.86,26.04
1938,25.70,26.39,25.70,26.16,25.88,26.09,25.72,25.44,25.79,25.87,25.86,26.13
1939,25.81,25.62,25.98,26.27,26.23,25.52,25.78,25.80,25.35,25.47,25.85,25.79
1940,25.69,25.78,26.45,26.53,26.31,26.23,26.07,25.66,25.75,26.26,26.17,26.27
1941,26.06,26.37,26.65,26.89,26.74,26.72,26.37,26.23,26.25,26.68,26.14,26.63
1942,25.15,25.37,25.69,25.97,26.04,25.62,25.40,25.52,25.47,25.55,25.38,25.42
1943,25.15,25.37,25.69,25.97,26.04,25.62,25.40,25.52,25.47,25.54,25.38,25.42
1944,25.15,25.37,25.69,25.97,26.04,25.62,25.40,25.52,25.47,25.55,25.38,25.41
1945,25.15,25.37,25.69,25.97,26.04,25.62,25.40,25.52,25.47,25.55,25.38,25.42
1946,25.15,25.37,25.71,25.98,26.04,25.62,25.41,25.53,25.47,25.55,25.39,25.44
1947,25.17,25.38,25.71,25.98,26.05,25.62,25.41,25.52,25.48,25.55,25.39,25.43
1948,25.40,25.63,26.11,26.83,26.51,26.40,25.81,26.38,26.10,26.18,25.77,26.52
1949,26.23,26.14,26.64,26.45,26.05,25.87,25.79,26.15,26.02,25.73,25.79,26.13
1950,26.10,26.08,26.03,25.98,26.14,25.85,25.63,25.63,25.62,25.47,25.80,25.78
1951,24.45,24.42,25.39,25.82,25.64,25.79,25.01,25.62,25.47,25.45,25.68,25.64
1952,25.24,25.28,25.44,25.82,25.94,25.67,25.30,25.26,25.46,25.55,24.91,24.96
1953,24.89,24.68,25.20,25.58,25.64,25.71,25.10,25.84,25.27,25.63,25.56,25.60
1954,25.09,25.33,25.45,25.62,25.64,25.42,24.99,25.42,25.29,24.96,24.89,25.09
1955,24.67,25.04,25.54,25.48,26.04,25.30,25.09,24.97,25.41,25.25,25.00,24.91
1956,24.44,24.87,25.30,25.68,25.44,25.12,24.91,25.03,25.17,25.15,25.10,24.83
1957,24.87,25.13,25.40,25.93,25.89,26.02,25.40,25.52,25.47,25.48,25.67,25.45
1958,25.67,25.57,25.88,26.47,26.63,25.99,25.81,25.45,25.87,25.65,25.05,25.63
1959,25.45,25.86,25.69,25.73,26.04,25.76,25.34,25.24,25.47,25.45,25.31,25.70
1960,25.31,25.27,25.70,25.82,26.10,25.52,25.35,25.82,25.57,25.75,25.18,25.51
1961,25.05,25.37,25.60,25.69,26.04,25.29,25.20,25.52,25.25,25.25,25.19,25.41
1962,24.85,24.95,25.20,25.68,26.14,25.32,25.32,24.93,25.47,25.45,25.39,25.42
1963,24.34,24.60,25.53,26.18,26.24,25.62,25.60,25.52,25.70,25.45,25.49,25.61
1964,25.74,25.37,25.59,25.97,26.04,25.42,25.00,25.28,25.41,25.22,25.18,24.92
1965,24.62,25.17,25.35,25.48,25.74,25.52,25.20,25.28,25.19,25.42,25.51,25.42
