,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.81,25.23,26.47,26.17,26.59,24.85,25.41,24.61,25.05,25.95,26.55,25.25
1902,25.53,25.13,25.57,25.79,26.59,24.93,24.43,24.75,25.15,26.15,26.55,25.93
1903,26.61,25.61,25.99,25.71,26.59,24.93,24.51,24.75,25.15,25.29,26.55,24.98
1904,25.35,24.85,26.47,25.31,26.59,25.93,25.41,24.33,26.05,25.15,26.55,25.25
1905,25.91,25.51,25.99,25.51,26.59,25.53,24.81,24.65,25.15,26.35,26.55,26.07
1906,26.37,26.41,25.99,26.07,26.59,25.23,24.71,24.65,25.05,25.29,26.55,25.17
1907,25.53,25.23,25.37,25.61,26.59,24.85,24.43,24.41,26.05,25.59,26.55,25.33
1908,26.01,25.61,25.91,25.97,26.59,24.85,25.41,24.65,26.05,25.39,26.55,25.53
1909,26.11,25.61,25.62,25.89,26.59,25.93,24.33,24.85,25.05,25.39,26.55,25.33
1910,26.01,25.76,25.57,25.51,26.59,24.93,24.61,24.61,26.05,25.06,26.55,25.33
1911,25.63,25.31,25.99,25.89,26.59,25.03,24.33,24.51,25.35,25.39,26.55,25.63
1912,25.91,25.85,25.77,26.61,26.59,25.13,24.51,25.21,25.25,25.59,26.55,25.63
1913,26.01,25.85,25.47,25.71,26.59,25.03,24.81,24.85,25.39,26.05,26.55,25.73
1914,26.21,25.85,25.99,25.89,26.59,25.28,24.71,24.85,25.25,26.49,26.55,26.07
1915,25.81,25.51,26.27,26.27,25.99,25.73,25.21,25.31,25.35,25.95,26.55,25.53
1916,25.11,25.11,25.57,25.87,25.59,24.83,24.81,24.91,25.15,25.76,26.55,25.07
1917,25.21,25.11,25.37,25.47,25.79,25.13,25.01,25.23,26.05,26.65,26.55,26.33
1918,25.01,24.51,25.27,26.07,26.39,25.13,24.71,24.81,25.39,26.25,26.55,25.73
1919,26.21,26.11,26.17,26.07,25.89,25.13,24.41,24.61,25.25,25.95,26.55,25.63
1920,25.31,25.21,25.47,25.77,26.29,25.23,25.11,25.15,26.05,26.65,26.55,25.63
1921,26.01,25.61,25.37,25.67,25.45,25.13,24.91,25.31,25.05,25.49,26.55,25.07
1922,25.81,25.11,25.47,25.97,25.59,25.23,24.91,25.01,25.25,25.49,26.55,25.63
1923,25.91,25.81,25.67,26.27,25.99,25.43,24.43,24.21,25.05,26.45,26.55,25.63
1924,26.50,25.81,26.07,25.97,26.79,25.63,25.21,25.41,25.75,25.29,26.55,25.25
1925,26.01,25.21,25.27,26.07,26.29,25.43,24.91,25.31,25.75,26.15,26.55,25.98
1926,25.91,26.01,25.97,26.77,26.89,25.83,25.21,25.61,25.59,26.05,26.55,25.53
1927,25.91,26.11,26.07,26.37,26.49,25.53,25.21,25.41,25.59,25.95,26.55,25.83
1928,26.61,26.21,25.97,26.27,26.69,25.53,25.01,25.31,25.49,25.95,26.55,25.53
1929,25.91,26.01,25.55,26.17,25.55,25.33,24.31,24.91,25.65,26.25,26.55,25.43
