,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.85,19.07,18.78,19.39,19.43,19.05,18.59,18.57,18.61,19.17,19.53,19.32
1902,18.64,18.77,19.16,19.79,19.41,18.97,18.66,18.50,18.80,19.38,19.53,19.39
1903,18.66,18.93,19.07,19.83,19.59,18.90,18.51,18.52,18.83,19.19,19.37,19.15
1904,18.53,18.71,19.02,19.39,19.29,18.85,18.43,18.57,18.76,19.25,19.36,19.25
1905,18.47,18.81,19.16,19.71,19.14,18.86,18.65,18.57,18.96,19.24,19.63,19.40
1906,18.70,18.81,18.81,19.84,19.70,18.94,18.58,18.53,18.92,19.15,19.44,19.37
1907,18.60,18.75,18.92,19.67,19.14,18.91,18.43,18.45,18.90,19.09,19.38,19.11
1908,18.49,18.59,19.02,19.72,19.22,18.81,18.39,18.35,18.71,19.13,19.35,19.24
1909,18.52,18.81,19.01,19.49,19.21,18.82,18.38,18.39,18.79,19.12,19.29,19.15
1910,18.49,18.77,18.76,19.39,19.40,18.84,18.58,18.52,18.65,19.04,19.40,19.14
1911,18.51,18.93,19.09,19.60,19.38,19.04,18.76,18.57,18.93,19.16,19.90,19.61
1912,18.83,19.06,19.34,19.90,19.50,18.88,18.57,18.51,18.92,19.23,19.55,19.51
1913,18.75,19.05,19.39,19.64,19.54,18.80,18.54,18.66,18.90,19.33,19.64,19.54
1914,18.70,19.01,19.20,19.74,19.74,18.84,18.60,18.66,19.15,19.52,19.98,19.75
1915,18.87,19.12,19.28,19.87,19.64,19.03,18.61,18.75,19.06,19.30,19.73,19.31
1916,18.47,18.92,19.20,19.95,19.35,18.91,18.34,18.48,18.98,19.33,19.63,19.32
1917,18.35,18.63,18.91,19.68,19.06,18.86,18.48,18.36,18.80,19.17,19.64,19.23
1918,18.12,18.08,19.01,19.48,19.12,18.63,18.60,18.57,18.94,19.13,19.71,19.22
1919,18.94,19.10,19.30,19.89,19.64,19.08,18.54,18.77,19.10,19.40,19.62,19.40
1920,18.66,18.74,19.31,19.77,19.47,19.08,18.68,18.46,18.95,19.20,19.77,19.15
1921,18.74,18.65,19.15,19.72,19.24,18.90,18.50,18.58,18.92,19.11,19.45,19.49
1922,18.79,18.76,18.86,19.32,19.18,18.81,18.46,18.36,18.95,19.17,19.68,19.44
1923,18.56,18.68,19.02,19.72,19.28,18.94,18.28,18.38,18.61,19.19,19.60,19.53
1924,19.07,18.96,19.24,19.68,19.37,18.86,18.45,18.67,18.83,19.06,19.47,19.16
1925,18.34,18.40,18.83,19.55,19.22,18.80,18.62,18.31,18.72,18.96,19.32,19.06
1926,18.48,18.62,18.84,19.89,19.71,18.97,18.42,18.43,18.64,18.98,19.35,19.40
1927,18.62,18.65,19.10,19.51,19.00,18.70,18.57,18.40,18.84,18.95,19.36,19.33
1928,18.60,18.93,18.88,19.39,19.25,18.73,18.37,18.32,18.69,18.97,19.41,19.64
1929,18.40,18.56,18.66,19.37,19.23,18.52,18.56,18.57,18.86,18.81,19.20,19.37
1930,18.12,18.33,18.70,19.36,19.24,18.58,18.71,18.86,18.89,19.17,19.67,19.29
1931,18.90,18.59,18.86,19.81,19.38,19.06,18.59,18.93,18.87,19.09,19.32,19.19
1932,18.15,18.44,18.74,19.40,19.10,18.58,18.52,18.22,18.61,19.21,19.43,19.01
1933,18.76,18.22,18.86,19.65,19.24,18.75,18.54,18.65,18.59,18.99,19.23,18.92
1934,18.32,18.47,18.72,19.30,19.29,18.78,18.59,18.55,18.99,19.19,19.34,18.97
1935,18.30,18.36,19.18,19.41,19.13,18.72,18.76,18.55,18.88,19.36,19.55,19.25
1936,18.86,18.79,18.89,19.62,19.56,18.74,18.59,18.49,19.00,19.06,19.52,19.42
1937,18.59,18.61,19.14,19.86,19.23,18.92,18.58,18.64,18.96,19.10,19.62,19.43
1938,18.59,19.02,19.22,19.77,19.32,18.92,18.41,18.59,19.07,19.17,19.43,19.26
1939,19.16,18.61,18.89,19.83,19.43,18.74,18.48,18.70,18.82,19.17,19.62,18.98
1940,18.01,18.54,18.91,19.62,19.43,19.21,18.58,18.54,19.01,19.30,19.66,19.29
1941,18.73,19.02,19.04,20.06,19.74,19.09,18.60,18.91,19.16,19.65,19.93,19.81
1942,18.84,18.99,18.97,19.81,19.48,18.69,18.28,18.36,18.84,19.16,19.25,19.03
1943,18.27,18.21,18.78,19.21,19.03,18.49,18.04,17.89,18.40,18.84,19.12,19.03
1944,18.20,18.44,18.66,19.32,19.03,18.50,18.26,18.25,18.61,18.92,19.05,19.04
1945,18.28,18.58,18.86,19.32,19.09,18.69,18.26,18.25,18.53,18.94,19.08,18.97
1946,18.67,19.12,19.46,19.81,19.64,18.97,18.44,18.40,18.93,19.11,19.48,19.41
1947,18.39,18.94,19.44,19.77,19.62,18.92,18.50,18.37,18.90,19.29,19.31,19.49
1948,18.94,19.01,19.43,19.82,19.44,19.12,18.66,18.92,18.99,19.32,19.53,19.35
1949,18.57,19.24,19.33,19.93,19.54,19.02,18.68,18.78,18.95,19.40,19.61,19.54
1950,18.88,19.12,19.26,19.78,19.53,19.01,18.35,18.47,18.84,19.19,19.69,19.18
1951,17.89,17.86,18.34,19.12,18.92,18.61,17.96,18.29,18.67,18.81,19.38,19.15
1952,18.47,18.78,18.90,19.36,19.16,18.65,18.25,17.97,18.48,19.00,18.72,18.03
1953,18.05,18.18,18.45,19.12,18.94,18.70,18.04,18.43,18.56,18.91,19.20,18.83
1954,18.48,18.43,18.72,19.30,18.90,18.51,17.94,18.21,18.40,18.44,18.54,18.56
1955,17.94,18.00,18.16,18.87,19.13,18.31,17.88,17.77,18.37,18.57,18.83,18.09
1956,17.43,17.87,18.31,19.15,18.57,18.14,17.85,18.02,18.52,18.56,18.76,18.34
1957,17.70,18.05,18.44,19.54,19.25,19.07,18.39,18.36,18.78,18.90,19.35,19.40
1958,18.78,18.62,18.87,19.43,19.96,19.01,18.42,18.18,19.00,19.13,18.85,18.64
1959,18.48,18.78,18.76,19.40,19.14,19.05,18.20,18.14,18.50,18.82,19.31,19.27
1960,18.65,18.66,18.58,19.50,19.14,18.58,18.14,18.50,18.54,18.83,19.10,18.99
