,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.37,21.14,21.29,20.96,20.90,19.85,19.65,19.28,19.79,20.84,21.27,21.35
1902,21.30,21.14,21.07,20.87,20.90,19.85,19.43,19.32,19.79,20.87,21.27,21.47
1903,21.56,21.23,21.19,20.87,20.90,19.85,19.43,19.32,19.79,20.68,21.27,21.27
1904,21.25,21.04,21.29,20.76,20.90,20.07,19.65,19.20,20.01,20.66,21.27,21.35
1905,21.38,21.19,21.19,20.79,20.90,19.98,19.52,19.28,19.79,20.89,21.27,21.54
1906,21.47,21.36,21.19,20.95,20.90,19.94,19.52,19.28,19.79,20.68,21.27,21.35
1907,21.30,21.14,21.07,20.87,20.90,19.85,19.43,19.27,20.01,20.76,21.27,21.35
1908,21.38,21.23,21.16,20.91,20.90,19.85,19.65,19.28,20.01,20.68,21.27,21.39
1909,21.44,21.23,21.12,20.87,20.90,20.07,19.43,19.36,19.79,20.68,21.27,21.35
1910,21.38,21.23,21.07,20.79,20.90,19.85,19.47,19.28,20.01,20.63,21.27,21.35
1911,21.34,21.14,21.19,20.87,20.90,19.85,19.43,19.28,19.88,20.68,21.27,21.44
1912,21.38,21.26,21.16,21.08,20.90,19.90,19.43,19.41,19.84,20.76,21.27,21.44
1913,21.38,21.26,21.07,20.87,20.90,19.85,19.52,19.36,19.88,20.85,21.27,21.44
1914,21.47,21.26,21.19,20.87,20.90,19.94,19.52,19.36,19.84,20.97,21.27,21.54
1915,20.80,20.29,20.99,20.60,20.31,19.97,19.45,19.30,19.88,20.84,21.27,21.39
1916,20.17,19.93,21.07,20.19,19.91,18.97,19.15,18.97,19.79,20.76,21.27,21.27
1917,20.44,20.16,20.19,19.90,20.11,19.27,19.35,19.41,20.01,20.98,21.27,21.57
1918,20.34,19.57,20.09,20.39,20.70,19.27,18.85,18.73,19.88,20.88,21.27,21.44
1919,21.37,21.27,20.99,20.48,20.21,19.40,18.65,18.59,19.84,20.84,21.27,21.44
1920,20.50,20.06,20.29,20.40,20.60,19.50,19.62,19.70,20.01,20.98,21.27,21.44
1921,21.27,20.86,20.19,20.01,19.77,19.54,19.35,19.43,19.79,20.76,21.27,21.27
1922,20.87,20.06,20.10,20.29,19.91,19.47,19.25,18.80,19.84,20.76,21.27,21.44
1923,21.38,21.06,20.59,20.76,20.31,19.64,18.92,18.00,19.79,20.95,21.27,21.44
1924,21.60,20.76,20.89,20.51,21.10,19.97,19.55,19.40,19.94,20.68,21.27,21.35
1925,21.34,20.26,20.10,20.48,20.60,19.47,19.05,19.21,19.94,20.87,21.27,21.48
1926,21.07,21.13,20.86,21.09,21.20,19.97,19.35,19.69,19.92,20.85,21.27,21.39
1927,21.07,21.36,21.01,20.96,20.80,19.87,19.65,19.49,19.92,20.84,21.27,21.44
1928,21.87,21.33,20.79,20.76,21.00,20.00,19.46,19.68,19.88,20.84,21.27,21.39
1929,21.17,21.16,20.30,20.49,19.82,19.47,18.55,18.80,19.93,20.88,21.27,21.35
1930,21.57,20.76,20.99,20.20,20.90,19.27,19.05,19.30,19.94,20.88,21.27,21.57
1931,21.97,21.43,21.49,20.99,21.10,20.34,19.65,19.60,19.98,20.85,21.27,21.44
1932,21.44,20.76,20.49,20.39,20.90,19.67,19.35,19.03,19.93,20.88,21.27,21.44
1933,21.87,20.46,20.59,20.39,21.00,19.77,19.15,20.47,19.79,20.80,21.27,21.44
