,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.96,21.43,22.85,22.43,23.19,21.85,22.56,21.69,21.70,22.25,22.90,21.57
1902,21.69,21.33,21.92,22.06,23.19,21.94,21.58,21.88,21.78,22.44,22.90,22.19
1903,22.76,21.77,22.37,21.96,23.19,21.94,21.68,21.88,21.78,21.60,22.90,21.28
1904,21.50,21.05,22.85,21.60,23.19,22.94,22.56,21.45,22.68,21.41,22.90,21.57
1905,22.06,21.69,22.37,21.78,23.19,22.56,21.95,21.78,21.78,22.64,22.90,22.37
1906,22.52,22.61,22.37,22.33,23.19,22.19,21.85,21.78,21.70,21.60,22.90,21.47
1907,21.69,21.43,21.76,21.87,23.19,21.85,21.58,21.54,22.68,21.87,22.90,21.66
1908,22.16,21.77,22.29,22.25,23.19,21.85,22.56,21.78,22.68,21.70,22.90,21.84
1909,22.26,21.77,22.00,22.15,23.19,22.94,21.48,21.98,21.70,21.70,22.90,21.66
1910,22.16,21.96,21.92,21.78,23.19,21.94,21.76,21.69,22.68,21.32,22.90,21.66
1911,22.20,22.42,22.86,22.86,23.53,22.80,22.56,22.32,22.61,22.48,23.99,22.73
1912,23.00,22.80,23.12,23.30,23.53,22.58,22.35,22.74,22.55,22.64,23.57,22.70
1913,22.64,22.71,22.92,22.49,23.53,22.44,22.50,22.63,22.64,23.01,23.72,22.83
1914,22.75,22.90,22.96,22.82,24.34,22.63,22.53,22.85,22.78,23.32,24.15,23.24
1915,22.72,22.66,23.15,23.09,23.60,23.16,22.56,23.11,22.61,22.94,23.99,22.65
1916,22.12,22.47,22.61,22.87,23.13,22.49,22.05,22.37,22.54,22.88,23.80,22.35
1917,21.92,21.77,22.36,22.47,22.53,22.51,22.45,22.36,22.95,23.37,23.80,23.06
1918,21.16,21.21,22.33,22.76,22.95,22.47,22.41,22.56,22.55,22.82,23.80,22.31
1919,22.91,22.91,23.24,23.01,23.65,22.89,22.16,22.64,22.59,22.88,23.64,22.52
1920,22.24,22.38,23.26,22.67,23.51,22.94,22.64,22.26,23.35,23.54,24.15,21.93
1921,22.57,22.16,22.54,22.65,22.84,21.98,22.35,22.73,22.52,22.41,23.40,22.45
1922,22.85,22.18,22.47,22.42,22.82,22.53,22.45,22.45,22.59,22.49,24.15,22.93
1923,22.35,22.50,22.58,23.03,23.20,22.81,21.99,22.03,22.05,22.99,23.64,22.61
1924,23.06,22.62,22.64,22.71,23.16,22.64,22.69,23.02,22.38,21.60,23.00,22.18
1925,22.35,21.66,22.11,22.70,23.39,23.02,22.56,22.82,22.75,22.75,23.40,22.59
1926,22.34,22.62,22.87,23.55,23.70,23.06,22.71,22.96,22.62,22.76,23.49,22.65
1927,22.43,22.41,22.89,22.73,23.25,22.69,22.56,22.86,22.65,22.58,23.32,22.80
1928,22.86,22.51,22.69,22.77,23.48,22.74,22.48,22.48,22.62,22.71,23.16,22.69
1929,22.35,22.24,22.28,22.87,23.25,22.39,22.35,22.61,22.61,22.66,22.90,22.32
1930,22.75,22.35,22.82,22.73,23.32,22.58,22.82,23.27,22.77,22.87,23.46,22.89
1931,23.21,23.21,23.18,23.20,23.59,23.14,22.54,23.35,22.76,22.75,23.51,22.41
1932,22.45,22.28,22.50,22.69,23.05,22.33,22.43,22.75,22.62,22.96,22.84,22.57
1933,22.83,22.13,22.52,22.73,23.42,22.76,22.56,23.00,22.19,22.52,22.80,22.16
1934,21.99,21.63,21.97,22.44,23.23,22.58,22.55,22.71,22.55,22.82,23.26,22.62
1935,22.58,22.78,23.05,22.75,23.01,22.51,22.55,22.65,22.89,22.90,23.49,22.84
1936,22.66,22.89,22.94,22.85,23.55,22.60,22.61,22.63,22.70,22.49,23.31,22.86
1937,22.66,22.85,23.20,22.95,22.89,22.82,22.57,23.07,22.67,22.63,23.36,22.64
1938,22.79,22.95,22.80,22.94,23.10,22.76,22.40,22.30,22.75,22.92,23.40,22.71
1939,22.77,22.45,22.80,22.96,23.16,22.48,22.49,22.69,22.42,22.56,23.33,22.84
1940,22.62,22.46,23.00,22.94,22.92,22.98,22.74,22.62,22.76,23.46,23.51,22.96
1941,23.06,23.16,23.52,23.60,23.88,23.49,22.89,22.93,22.87,23.40,23.64,23.23
1942,22.75,22.70,23.16,22.73,23.24,23.00,22.24,22.61,22.58,22.64,22.90,22.64
1943,21.87,21.86,22.09,22.25,23.19,22.11,21.76,22.06,22.31,22.17,22.90,22.28
1944,22.33,22.20,22.53,22.54,22.94,22.67,22.20,22.54,22.48,22.85,22.90,22.54
1945,22.78,22.50,22.64,22.58,23.09,22.56,22.20,22.64,22.31,22.35,22.90,22.64
1946,23.46,22.59,22.85,22.90,22.90,23.02,22.80,23.33,22.43,22.96,22.92,22.90
1947,23.49,22.97,22.95,22.73,23.34,23.12,22.39,22.78,22.48,22.73,22.94,23.38
1948,22.23,22.79,23.30,23.64,23.66,23.41,22.81,23.14,23.03,23.42,23.42,23.34
1949,23.06,22.81,23.21,23.14,23.05,23.06,22.39,22.81,22.70,22.92,23.30,22.94
1950,22.96,22.50,22.96,22.77,23.18,22.81,22.24,22.48,22.55,22.45,22.79,22.54
1951,21.92,21.75,22.92,22.95,22.79,23.04,22.21,22.54,22.73,22.80,23.33,22.77
1952,22.83,22.65,22.43,22.94,23.02,22.98,22.40,22.51,22.49,22.70,22.46,22.53
1953,22.67,22.28,22.72,22.84,22.87,23.05,22.25,22.67,22.68,23.10,22.88,23.02
1954,22.63,22.44,22.88,22.74,23.05,22.75,22.25,22.41,22.48,22.13,22.13,22.35
1955,22.35,22.36,22.53,22.61,23.29,22.69,21.94,22.14,22.43,22.60,22.42,22.29
1956,21.89,22.27,22.63,22.74,22.83,22.37,22.02,22.29,22.37,22.52,22.58,22.27
1957,22.48,22.25,22.62,23.08,23.06,23.13,22.45,22.46,22.52,22.99,23.07,22.55
1958,23.02,22.54,23.03,23.25,23.57,23.17,22.57,22.54,22.73,22.89,22.37,22.54
1959,22.65,22.92,22.72,22.74,23.40,22.84,22.27,22.37,22.61,23.08,23.01,22.45
1960,22.63,22.40,22.71,22.89,23.20,22.82,22.71,23.10,22.83,23.00,22.91,22.72
1961,22.44,22.57,22.80,22.97,23.33,22.43,22.13,22.33,21.93,22.29,22.71,22.62
1962,22.49,22.16,22.53,22.68,23.04,22.53,22.77,22.34,22.45,23.09,22.98,22.53
1963,22.25,21.91,22.63,22.99,23.12,22.67,22.25,22.31,22.53,22.90,23.01,22.58
1964,22.99,22.66,23.05,23.02,23.36,22.68,22.23,22.60,22.69,22.51,22.83,22.07
1965,22.11,22.19,22.44,22.45,22.95,22.66,22.28,22.28,22.23,22.31,23.14,22.76
1966,22.48,22.71,22.81,22.96,23.43,22.35,22.24,22.79,23.03,23.03,23.06,22.49
1967,22.43,22.26,22.52,22.40,22.65,22.46,22.19,22.63,22.51,22.95,22.79,22.44
1968,22.12,22.10,22.41,22.44,22.80,22.72,22.55,22.68,22.92,22.99,23.04,22.60
1969,22.35,22.76,23.08,23.11,23.29,23.09,22.68,22.49,22.86,22.99,23.03,22.66
1970,22.72,22.77,22.97,22.92,23.27,23.15,22.69,22.72,22.68,23.02,23.02,22.63
1971,22.22,22.27,22.51,23.07,22.90,22.72,22.59,22.57,22.90,22.99,22.61,22.56
1972,22.24,22.57,22.80,22.83,23.19,22.86,22.69,22.96,22.63,22.88,23.10,23.22
1973,23.10,23.23,23.41,23.49,22.76,23.24,22.89,22.77,22.65,23.02,22.69,22.29
1974,21.90,21.88,22.11,22.58,22.54,22.12,21.95,22.60,22.37,23.04,22.83,22.65
1975,22.47,22.29,22.45,22.86,22.63,22.56,22.25,22.75,22.48,22.74,22.30,22.46
1976,21.74,21.75,22.30,22.06,22.75,22.12,21.83,22.33,22.30,22.68,22.68,22.62
1977,22.36,21.88,22.75,23.04,22.88,22.68,22.30,22.31,22.53,22.92,22.62,22.86
1978,22.63,22.58,23.22,23.10,23.49,23.25,22.66,22.84,22.74,22.92,22.52,22.58
1979,22.46,22.67,22.87,23.01,23.14,23.06,22.54,23.03,22.78,22.99,22.81,22.53
1980,22.45,22.55,22.65,23.27,23.27,23.32,22.86,22.57,22.58,23.00,22.76,22.47
1981,22.49,22.54,23.31,23.12,23.57,23.54,23.14,23.47,22.90,23.30,23.19,22.73
1982,22.53,22.90,23.21,22.97,23.30,23.03,22.58,22.43,22.52,22.60,23.02,22.71
1983,22.96,23.35,23.35,23.74,23.87,23.69,23.09,23.08,22.81,23.32,23.01,22.51
1984,22.23,22.12,22.52,22.98,23.02,23.15,22.65,23.04,22.67,22.84,22.61,22.44
1985,22.69,22.89,22.76,23.18,23.40,23.27,22.44,23.09,22.70,22.96,22.99,22.66
1986,22.37,22.43,22.91,23.09,23.38,23.41,22.96,23.26,23.03,23.18,22.87,23.13
1987,22.60,22.75,23.19,23.58,23.37,23.73,23.23,23.00,23.07,23.43,23.43,23.14
1988,23.25,23.07,23.47,23.55,24.00,23.50,23.07,22.99,22.99,23.46,23.08,22.63
1989,23.02,22.69,22.57,22.98,23.39,23.18,23.28,23.23,22.90,23.34,23.22,22.93
1990,22.60,23.09,23.51,23.80,23.63,23.58,22.82,23.32,23.03,23.33,23.39,23.00
1991,22.94,22.89,23.40,23.51,23.45,23.95,23.32,23.34,23.20,23.31,22.81,22.65
1992,23.41,23.09,23.99,23.76,23.74,23.89,22.86,23.41,22.95,23.14,22.70,22.74
1993,23.38,22.88,23.16,23.36,23.73,23.77,23.28,23.40,23.08,23.33,23.27,23.19
1994,23.82,23.08,23.18,23.51,23.72,23.78,22.99,23.20,23.34,23.37,23.14,23.49
1995,23.41,22.89,23.57,23.63,24.09,23.95,23.42,23.39,23.49,23.51,23.37,22.89
1996,22.92,22.60,23.58,23.61,23.90,23.89,23.63,23.38,23.47,23.20,23.45,22.96
1997,23.19,22.92,23.82,23.45,23.70,23.70,23.39,23.81,23.49,23.81,23.77,23.74
1998,23.60,23.91,24.33,24.07,24.72,24.18,23.54,23.46,23.64,23.86,23.79,23.32
1999,23.18,22.84,23.49,23.55,23.56,23.40,23.00,23.26,23.37,23.16,23.45,22.97
2000,23.01,22.86,23.27,23.07,23.87,23.80,23.65,23.37,23.55,23.73,23.67,23.60
2001,22.92,23.14,23.34,23.37,24.05,23.54,23.72,23.98,23.69,23.93,23.73,23.39
2002,23.37,23.44,23.54,23.92,24.12,23.77,24.07,23.68,23.37,23.48,23.61,23.79
2003,22.72,23.23,23.29,23.25,24.09,22.92,22.71,23.58,23.25,23.69,23.44,23.30
2004,23.38,23.35,23.28,23.87,23.61,23.35,23.34,23.84,23.12,23.20,23.20,23.13
2005,23.09,23.60,23.67,23.67,23.49,23.70,23.72,24.20,23.79,23.70,23.39,23.09
2006,22.71,23.09,23.29,23.37,23.02,23.02,23.46,23.74,22.96,23.52,23.22,23.48
2007,23.09,23.16,23.62,23.83,24.03,24.12,23.56,23.63,23.17,23.91,23.47,23.29
2008,23.48,22.84,22.91,23.55,23.75,23.48,22.86,23.93,23.37,24.16,23.81,23.47
2009,23.18,23.25,22.91,24.03,24.09,23.96,23.53,23.56,23.76,24.31,23.61,23.68
2010,23.59,24.04,23.91,24.13,24.29,24.71,24.05,24.12,23.89,23.99,23.56,23.41
2011,23.30,23.47,23.72,23.97,24.03,24.03,23.69,23.65,23.66,23.72,23.59,23.52
2012,23.11,23.62,23.42,23.65,23.97,23.92,23.20,23.59,23.76,24.20,23.77,23.81
2013,23.71,23.52,23.96,23.93,24.01,24.18,23.70,24.08,23.50,24.15,23.48,23.55
2014,22.92,23.21,23.60,23.98,23.98,24.76,23.77,23.52,23.50,23.85,23.62,23.39
2015,23.05,23.09,23.70,24.06,24.10,24.03,23.61,23.97,23.82,24.39,23.67,23.87
2016,23.32,24.00,24.33,24.56,24.45,23.93,23.85,24.40,24.13,24.42,23.79,23.89
2017,23.79,23.41,23.53,24.08,23.99,23.85,23.70,23.78,23.62,24.51,23.50,23.68
2018,23.38,23.13,23.62,24.25,23.66,23.59,23.63,24.08,23.43,24.21,23.96,23.96
2019,23.91,23.92,24.08,24.68,24.46,23.31,23.37,24.17,23.74,24.26,23.78,23.67
2020,23.92,23.90,24.23,24.37,24.79,24.19,23.71,24.52,23.63,24.19,23.78,23.72
2021,23.25,23.18,22.80,23.87,23.81,24.14,23.52,23.49,23.93,24.82,23.89,23.38
