,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.36,20.58,21.94,21.40,21.85,20.19,21.08,19.97,20.15,20.96,21.87,20.63
1902,21.00,20.48,20.94,21.00,21.85,20.29,19.98,20.17,20.25,21.16,21.87,21.33
1903,22.26,20.98,21.44,20.90,21.85,20.29,20.08,20.17,20.25,20.26,21.87,20.33
1904,20.86,20.18,21.94,20.50,21.85,21.39,21.08,19.67,21.25,20.06,21.87,20.63
1905,21.38,20.88,21.44,20.70,21.85,20.99,20.38,20.07,20.25,21.36,21.87,21.53
1906,21.88,21.88,21.44,21.30,21.85,20.59,20.28,20.07,20.15,20.26,21.87,20.53
1907,21.00,20.58,20.74,20.80,21.85,20.19,19.98,19.77,21.25,20.56,21.87,20.73
1908,21.53,20.98,21.34,21.20,21.85,20.19,21.08,20.07,21.25,20.36,21.87,20.93
1909,21.66,20.98,21.04,21.10,21.85,21.39,19.88,20.27,20.15,20.36,21.87,20.73
1910,21.53,21.18,20.94,20.70,21.85,20.29,20.18,19.97,21.25,19.96,21.87,20.73
1911,21.31,21.13,21.65,21.46,21.96,20.75,20.43,20.18,20.76,20.81,22.22,21.45
1912,21.85,21.64,21.61,22.15,21.96,20.71,20.44,20.84,20.69,20.95,22.08,21.40
1913,21.76,21.59,21.36,21.18,21.96,20.60,20.66,20.55,20.83,21.42,22.13,21.55
1914,21.91,21.67,21.70,21.46,22.22,20.85,20.64,20.66,20.80,21.82,22.26,21.97
1915,21.73,21.44,22.01,21.85,21.82,21.34,20.94,21.03,20.76,21.32,22.22,21.37
1916,20.99,21.12,21.28,21.53,21.56,20.58,20.48,20.45,20.61,21.21,22.15,20.90
1917,21.00,20.73,21.11,21.12,21.48,20.74,20.82,20.63,21.35,21.91,22.15,21.97
1918,20.46,20.93,20.99,21.83,21.75,21.03,20.62,20.52,20.80,21.46,22.15,21.31
1919,22.01,21.84,21.96,21.65,21.80,20.91,20.30,20.49,20.71,21.31,22.11,21.34
1920,21.18,21.12,21.77,21.33,21.86,20.98,20.93,20.45,21.46,21.96,22.26,21.03
1921,21.71,21.14,21.17,21.32,21.44,20.46,20.63,20.82,20.57,20.81,22.02,20.95
1922,21.78,20.92,21.23,21.31,21.48,20.80,20.74,20.58,20.71,20.82,22.26,21.52
1923,21.51,21.44,21.38,21.76,21.72,21.04,20.23,19.96,20.35,21.66,22.11,21.38
1924,22.21,21.57,21.58,21.46,21.94,21.07,21.02,21.11,20.95,20.26,21.87,20.97
1925,21.56,20.73,20.92,21.51,21.85,21.14,20.77,20.92,21.13,21.36,22.02,21.59
1926,21.53,21.63,21.62,22.35,22.07,21.37,21.03,21.17,20.95,21.31,22.07,21.37
1927,21.60,21.59,21.68,21.65,21.85,20.99,20.98,21.02,20.95,21.16,22.01,21.58
1928,22.21,21.68,21.54,21.65,21.95,21.00,20.78,20.67,20.86,21.22,21.97,21.37
1929,21.56,21.48,21.09,21.65,21.58,20.79,20.40,20.69,21.03,21.42,21.87,21.17
1930,22.06,21.43,21.74,21.43,21.85,20.86,20.91,21.27,21.15,21.46,22.07,21.89
1931,22.53,22.23,22.09,22.06,22.05,21.44,20.98,21.37,21.19,21.32,22.07,21.33
1932,21.66,21.33,21.28,21.46,21.85,20.70,20.86,20.94,20.95,21.51,21.87,21.38
1933,22.16,21.16,21.38,21.46,21.95,21.04,20.83,21.27,20.40,21.07,21.82,21.21
1934,21.49,20.88,20.85,21.28,21.67,20.90,20.88,20.81,20.69,21.37,21.97,21.39
1935,21.86,21.89,21.89,21.46,21.80,20.69,20.54,20.61,21.03,21.32,22.07,21.84
1936,21.77,21.93,21.79,21.48,21.95,20.90,20.84,20.88,21.09,21.16,21.97,21.79
1937,21.74,21.98,22.20,21.65,21.62,20.94,20.73,20.99,21.03,21.26,22.02,21.47
1938,22.07,21.94,21.84,21.81,21.79,20.81,20.69,20.47,21.09,21.56,22.02,21.57
1939,22.13,21.55,21.68,21.75,21.63,20.66,20.89,20.92,20.85,21.16,22.02,21.67
1940,21.86,21.68,21.78,21.57,21.14,20.92,20.97,20.45,21.25,22.22,22.13,21.99
1941,22.55,22.33,22.59,22.48,22.13,21.72,21.01,20.88,21.21,21.85,22.11,22.07
1942,22.32,22.08,22.34,21.80,21.95,21.50,20.57,20.87,21.15,21.36,21.87,21.83
1943,21.26,21.08,21.14,21.20,21.85,20.49,20.18,20.37,20.85,20.86,21.87,21.43
1944,21.86,21.49,21.71,21.51,21.38,21.00,20.51,20.70,21.05,21.66,21.87,21.73
1945,22.32,21.79,21.74,21.70,21.66,20.73,20.51,20.87,20.85,21.06,21.87,21.83
1946,22.86,21.68,21.94,21.91,21.29,21.49,21.54,21.93,20.95,21.76,21.87,22.13
1947,22.96,22.29,21.93,21.47,21.95,21.49,20.88,21.07,21.05,21.46,21.87,22.53
1948,20.98,21.88,22.08,22.12,22.16,21.74,21.15,20.98,21.35,22.17,22.01,22.21
1949,22.21,21.92,21.89,21.88,21.59,21.20,20.53,20.75,20.87,21.57,22.01,21.94
1950,22.33,21.64,21.85,21.65,21.75,20.96,20.36,20.45,20.85,20.91,21.27,21.38
1951,21.36,21.15,22.04,21.85,21.48,21.24,20.53,20.55,21.25,21.43,22.38,21.71
1952,22.24,22.01,21.31,21.97,21.59,21.15,20.73,20.64,20.97,21.08,21.04,21.53
1953,22.14,21.68,21.87,21.80,21.46,21.16,20.46,20.65,21.17,21.98,21.61,22.33
1954,22.34,21.66,22.14,21.96,21.94,21.09,20.68,20.45,20.83,20.65,20.79,21.43
1955,21.99,21.58,21.52,21.65,21.85,21.09,20.18,20.38,20.70,21.08,21.16,21.23
1956,21.34,21.68,21.84,21.80,21.65,20.74,20.48,20.58,20.72,21.16,21.41,21.33
1957,21.86,21.46,21.54,22.20,21.85,21.31,20.78,20.57,20.86,21.77,22.03,21.69
1958,22.64,21.68,22.14,22.36,22.02,21.59,20.83,20.76,20.96,21.35,20.91,21.11
1959,22.30,22.49,22.30,21.71,22.79,21.50,20.43,20.43,21.02,21.96,22.94,21.31
1960,21.95,21.87,21.88,21.99,21.99,21.28,21.68,21.58,21.52,21.81,22.22,22.03
1961,22.03,22.21,22.18,22.19,22.15,20.77,20.19,20.09,19.57,20.42,21.57,21.66
1962,21.78,21.46,21.74,22.00,21.85,21.30,21.89,21.04,20.82,22.24,22.43,21.66
1963,21.85,21.39,21.60,22.00,21.83,21.17,20.38,19.71,20.34,21.85,22.13,21.50
1964,22.74,22.19,22.29,22.29,22.31,21.29,21.27,21.57,21.85,21.55,22.21,21.27
1965,21.82,21.80,21.83,21.69,21.84,21.15,20.69,20.67,20.41,20.83,22.45,22.30
1966,22.37,22.38,22.28,22.40,22.29,20.89,20.61,21.60,22.24,22.59,22.59,21.75
1967,22.43,22.02,21.89,21.71,21.52,20.69,20.48,21.07,21.25,22.18,22.47,21.91
1968,21.97,21.66,21.94,21.88,22.08,21.92,22.01,21.73,22.27,22.61,22.45,22.18
1969,22.18,22.50,22.74,22.68,22.24,21.75,21.49,21.33,21.81,22.09,22.57,22.06
1970,22.58,22.35,22.38,22.47,22.43,21.97,21.61,21.27,21.74,22.25,22.53,22.20
1971,21.59,21.61,21.71,22.25,21.85,21.19,21.42,21.38,21.84,21.81,21.60,21.98
1972,21.89,22.00,22.11,21.92,22.18,21.34,20.42,21.22,20.50,21.27,21.75,22.48
1973,22.78,22.71,22.68,22.50,21.52,21.63,21.28,21.09,21.15,21.51,21.08,21.57
1974,20.97,20.63,20.69,21.35,21.13,20.27,19.84,20.36,21.09,21.98,21.56,21.82
1975,21.71,21.37,21.56,21.75,21.29,20.84,20.99,20.77,21.20,21.35,20.98,21.73
1976,20.83,20.63,21.20,21.06,21.30,20.59,19.38,20.20,20.06,21.53,21.68,21.85
1977,21.52,20.99,21.50,21.73,21.58,21.15,20.10,20.27,20.56,21.55,21.22,21.77
1978,21.77,21.50,21.96,21.96,22.00,21.66,21.54,21.08,21.54,21.58,21.16,21.65
1979,21.53,21.75,21.71,22.03,21.75,21.56,21.06,21.45,21.50,21.55,21.79,21.28
1980,21.67,21.51,21.74,22.45,21.74,21.66,21.49,21.33,21.00,21.76,21.60,21.63
1981,21.55,21.58,22.34,22.15,22.25,22.15,22.60,22.20,21.82,22.02,22.14,21.80
1982,21.56,21.66,22.13,22.05,21.38,20.83,19.65,19.16,19.40,20.74,21.13,20.62
1983,22.02,22.15,22.04,22.52,22.21,21.91,21.39,20.92,21.11,21.67,21.55,21.53
1984,21.26,21.35,21.26,22.12,21.85,21.66,21.54,21.81,21.86,21.60,20.94,21.31
1985,21.80,21.96,21.84,22.22,21.95,21.80,21.13,21.87,21.59,21.60,22.26,21.83
1986,21.56,21.26,22.35,22.36,21.57,22.18,21.45,21.13,22.18,22.10,21.94,22.49
1987,22.10,21.89,21.84,22.71,22.14,21.78,21.89,21.34,21.19,21.99,21.82,22.54
1988,22.27,22.01,22.09,22.70,23.01,22.03,22.10,21.88,21.69,22.15,22.17,21.99
1989,22.09,22.50,21.70,22.15,21.95,21.80,22.38,21.97,21.86,22.78,22.13,22.07
