,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.99,19.25,20.11,19.95,20.25,19.34,19.96,19.05,19.04,19.32,20.76,20.17
1902,19.77,19.17,19.34,19.65,20.25,19.43,19.15,19.21,19.11,19.47,20.76,20.69
1903,20.67,19.56,19.73,19.57,20.25,19.43,19.22,19.21,19.11,18.79,20.76,19.94
1904,19.61,18.94,20.11,19.26,20.25,20.26,19.96,18.82,19.87,18.65,20.76,20.17
1905,20.08,19.46,19.73,19.42,20.25,19.96,19.45,19.12,19.11,19.63,20.76,20.85
1906,20.42,20.26,19.73,19.88,20.25,19.66,19.37,19.12,19.04,18.79,20.76,20.07
1907,19.77,19.25,19.20,19.50,20.25,19.34,19.15,18.91,19.87,19.01,20.76,20.25
1908,20.14,19.56,19.65,19.82,20.25,19.34,19.96,19.12,19.87,18.86,20.76,20.38
1909,20.22,19.56,19.42,19.73,20.25,20.26,19.07,19.28,19.04,18.86,20.76,20.25
1910,20.14,19.69,19.34,19.42,20.25,19.43,19.29,19.05,19.87,18.56,20.76,20.25
1911,20.19,20.12,20.16,20.35,20.56,20.19,20.01,19.57,19.84,19.52,21.76,21.22
1912,20.94,20.45,20.41,20.73,20.56,19.97,19.81,19.95,19.78,19.67,21.39,21.15
1913,20.60,20.37,20.25,20.02,20.56,19.84,19.93,19.86,19.87,20.00,21.53,21.27
1914,20.68,20.54,20.24,20.31,21.33,20.02,19.97,20.07,20.01,20.25,21.92,21.65
1915,20.72,20.42,20.44,20.56,20.88,20.46,19.96,20.28,19.84,19.91,21.76,21.13
1916,20.18,20.28,19.95,20.40,20.43,19.92,19.45,19.56,19.80,19.88,21.61,20.86
1917,19.97,19.53,19.74,20.02,19.65,19.93,19.89,19.52,20.09,20.29,21.61,21.45
1918,19.17,19.01,19.70,20.30,20.05,19.88,19.89,19.81,19.79,19.78,21.61,20.78
1919,20.86,20.55,20.53,20.49,20.94,20.27,19.64,19.90,19.83,19.87,21.45,20.99
1920,20.28,20.16,20.79,20.15,20.72,20.32,20.02,19.36,20.50,20.44,21.92,20.47
1921,20.52,19.82,19.90,20.18,20.09,19.34,19.77,19.90,19.79,19.45,21.23,20.95
1922,20.86,19.95,19.87,19.93,20.05,19.93,19.89,19.68,19.83,19.55,21.92,21.37
1923,20.27,20.16,19.89,20.47,20.43,20.18,19.42,19.35,19.32,19.95,21.45,21.06
1924,21.00,20.33,19.95,20.18,20.17,19.96,20.10,20.19,19.63,18.80,20.86,20.70
1925,20.26,19.41,19.49,20.20,20.54,20.38,20.02,20.00,19.94,19.76,21.21,21.01
1926,20.31,20.26,20.14,20.98,20.80,20.39,20.14,20.10,19.82,19.75,21.28,21.13
1927,20.39,20.07,20.16,20.13,20.34,20.01,19.98,20.00,19.86,19.57,21.13,21.25
1928,20.77,20.16,19.98,20.22,20.54,20.01,19.88,19.59,19.82,19.71,20.96,21.15
1929,20.30,19.86,19.52,20.35,20.55,19.80,19.88,19.93,19.87,19.74,20.75,20.82
1930,20.69,20.08,20.02,20.26,20.35,20.02,20.33,20.57,20.03,19.83,21.29,21.37
1931,21.15,20.87,20.44,20.65,20.71,20.40,19.97,20.57,19.98,19.79,21.30,20.86
1932,20.28,20.01,19.74,20.13,20.05,19.68,19.93,19.98,19.79,19.91,20.74,21.03
1933,20.72,19.87,19.80,20.15,20.47,20.15,19.97,19.99,19.45,19.54,20.61,20.66
1934,19.89,19.38,19.28,19.91,20.43,19.93,19.89,19.94,19.77,19.70,21.06,21.09
1935,20.54,20.39,20.27,20.14,19.97,19.83,19.98,19.86,20.06,19.85,21.29,21.27
1936,20.65,20.57,20.17,20.24,20.49,19.93,20.02,19.80,19.92,19.48,21.07,21.28
1937,20.68,20.41,20.50,20.34,20.05,20.22,20.10,20.40,19.88,19.62,21.21,21.11
1938,20.62,20.55,20.09,20.35,20.11,20.18,19.84,19.56,19.92,19.92,21.22,21.18
1939,20.63,19.96,20.09,20.37,20.42,19.88,19.88,19.85,19.57,19.55,21.19,21.21
1940,20.48,20.15,20.49,20.64,20.46,20.51,20.28,19.89,19.96,20.42,21.50,21.46
1941,21.02,20.86,20.79,21.03,20.95,20.99,20.56,20.32,20.16,20.41,21.45,21.63
1942,20.42,20.16,20.33,20.19,20.25,20.26,19.87,19.90,19.77,19.63,20.76,21.06
1943,19.92,19.63,19.51,19.82,20.25,19.57,19.29,19.35,19.56,19.26,20.76,20.78
1944,20.08,19.79,19.66,20.18,20.25,20.16,19.87,19.97,19.72,19.85,20.76,20.98
1945,20.52,20.06,19.88,20.03,20.25,20.26,19.87,19.97,19.56,19.39,20.76,21.06
1946,21.36,20.44,20.11,20.41,20.25,20.28,19.89,20.04,19.64,19.90,20.76,21.29
1947,21.29,20.46,20.22,20.39,20.28,20.29,19.83,19.90,19.72,19.73,20.77,21.61
1948,20.63,20.38,20.50,21.31,20.72,20.60,20.19,20.37,20.18,20.39,21.16,21.68
1949,20.89,20.42,20.53,20.54,20.26,20.49,19.94,20.20,19.96,19.89,21.13,21.41
1950,21.04,20.33,20.28,20.29,20.36,20.25,19.84,19.89,19.74,19.42,21.11,21.03
1951,19.82,19.33,20.15,20.45,20.00,20.44,19.67,19.89,19.87,19.79,21.07,21.19
1952,20.61,20.19,19.90,20.41,20.32,20.40,19.92,19.88,19.76,19.77,20.61,20.94
1953,20.57,19.88,19.85,20.31,20.04,20.36,19.76,20.12,19.87,20.12,20.94,21.41
1954,20.51,20.13,20.16,20.16,19.98,19.98,19.66,19.80,19.67,19.28,20.39,20.76
1955,20.24,20.02,19.99,20.16,20.31,20.06,19.40,19.26,19.59,19.62,20.65,20.64
1956,19.86,19.94,19.93,20.30,19.83,19.70,19.45,19.44,19.56,19.54,20.51,20.70
1957,20.41,20.01,19.93,20.53,20.02,20.51,19.84,19.79,19.89,19.98,20.85,20.92
1958,20.82,20.27,20.22,20.76,20.67,20.51,20.07,19.70,20.06,19.98,20.66,20.97
1959,20.61,20.55,20.04,20.23,20.28,20.28,19.82,19.67,19.87,20.03,20.69,21.10
1960,20.71,19.92,20.18,20.49,20.41,20.18,19.98,20.23,19.97,20.19,20.86,21.17
1961,20.43,20.46,20.22,20.75,20.42,19.87,19.80,19.76,19.53,19.46,20.99,21.39
1962,20.38,19.77,19.96,20.39,20.38,20.00,19.97,19.68,19.83,20.19,21.12,21.10
1963,20.19,19.60,19.94,20.55,20.66,20.24,20.16,19.81,20.15,20.07,21.21,21.54
1964,21.24,20.42,20.25,20.55,20.62,20.13,20.00,19.80,20.03,19.69,20.92,20.77
1965,20.09,19.96,19.81,20.23,20.21,20.27,19.76,19.68,19.62,19.55,20.83,21.16
1966,20.47,20.50,20.13,20.50,20.54,19.79,19.93,20.13,20.31,20.01,20.89,21.24
1967,20.62,20.05,19.92,19.88,19.92,20.05,19.90,20.07,20.07,20.21,20.92,21.07
1968,19.80,19.64,19.37,19.70,19.60,19.68,19.74,19.59,19.85,19.72,20.72,20.88
1969,20.33,20.53,20.12,20.39,20.51,20.42,20.08,19.80,20.17,20.07,20.75,21.29
1970,20.62,20.33,20.11,20.08,20.07,20.25,20.05,20.05,19.83,19.98,20.88,20.90
1971,20.13,20.20,19.68,20.53,19.64,20.08,20.01,19.80,19.82,19.82,20.40,20.78
1972,20.07,20.20,19.84,20.34,19.91,20.33,20.04,20.09,20.08,20.00,21.18,22.00
1973,20.86,20.77,20.58,21.13,19.76,20.62,20.13,20.33,20.10,20.02,20.37,20.65
1974,19.77,19.74,19.63,20.10,19.56,19.71,19.48,19.86,19.47,19.56,20.53,21.10
1975,20.59,20.02,19.88,20.37,19.64,20.00,19.61,19.99,19.48,19.34,20.12,20.82
1976,19.71,19.64,19.80,19.50,20.05,19.55,19.59,19.51,19.72,19.40,20.50,20.83
1977,20.64,19.47,20.14,20.29,20.22,19.99,19.91,19.52,19.74,19.68,20.54,21.28
1978,20.79,20.38,20.68,20.65,20.69,20.38,19.89,20.15,19.62,19.86,20.55,20.91
1979,20.64,20.33,20.23,20.69,20.13,20.41,19.90,20.07,19.81,20.00,20.57,20.77
1980,20.40,19.84,20.13,20.79,20.43,20.68,20.19,19.61,19.75,20.02,20.63,20.69
1981,20.08,20.07,20.47,20.36,20.34,20.52,20.17,19.89,19.94,20.15,20.73,21.07
