,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.40,21.80,23.10,22.50,23.30,21.50,22.10,21.10,21.40,22.30,23.20,21.80
1902,22.10,21.70,22.10,22.10,23.30,21.60,21.00,21.30,21.50,22.50,23.20,22.50
1903,23.30,22.20,22.60,22.00,23.30,21.60,21.10,21.30,21.50,21.60,23.20,21.50
1904,21.90,21.40,23.10,21.60,23.30,22.70,22.10,20.80,22.50,21.40,23.20,21.80
1905,22.50,22.10,22.60,21.80,23.30,22.30,21.40,21.20,21.50,22.70,23.20,22.70
1906,23.00,23.10,22.60,22.40,23.30,21.90,21.30,21.20,21.40,21.60,23.20,21.70
1907,22.10,21.80,21.90,21.90,23.30,21.50,21.00,20.90,22.50,21.90,23.20,21.90
1908,22.60,22.20,22.50,22.30,23.30,21.50,22.10,21.20,22.50,21.70,23.20,22.10
1909,22.70,22.20,22.20,22.20,23.30,22.70,20.90,21.40,21.40,21.70,23.20,21.90
1910,22.60,22.40,22.10,21.80,23.30,21.60,21.20,21.10,22.50,21.30,23.20,21.90
1911,22.40,22.30,22.80,22.60,23.40,22.10,21.40,21.30,22.00,22.10,23.60,22.60
1912,22.90,22.90,22.80,23.20,23.40,22.00,21.50,22.00,21.90,22.30,23.40,22.60
1913,22.80,22.80,22.50,22.30,23.40,21.90,21.70,21.70,22.10,22.80,23.50,22.70
1914,23.00,22.90,22.90,22.60,23.70,22.20,21.70,21.80,22.00,23.20,23.60,23.10
1915,22.70,22.60,23.10,22.90,23.20,22.60,22.00,22.20,22.00,22.70,23.60,22.50
1916,22.00,22.30,22.40,22.60,22.90,21.90,21.50,21.60,21.90,22.50,23.50,22.10
1917,22.00,21.90,22.20,22.20,22.80,22.00,21.80,21.80,22.60,23.20,23.50,23.10
1918,21.50,22.00,22.10,22.80,23.20,22.30,21.60,21.60,22.10,22.80,23.50,22.50
1919,23.00,23.10,23.10,22.70,23.20,22.20,21.30,21.60,22.00,22.60,23.40,22.50
1920,22.20,22.30,22.80,22.40,23.30,22.30,22.00,21.70,22.70,23.30,23.60,22.20
1921,22.80,22.40,22.30,22.40,22.80,21.80,21.70,22.00,21.80,22.10,23.40,22.10
1922,22.80,22.10,22.40,22.40,22.80,22.10,21.80,21.70,22.00,22.20,23.60,22.70
1923,22.60,22.70,22.50,22.90,23.10,22.30,21.30,21.10,21.60,23.00,23.40,22.60
1924,23.30,22.80,22.70,22.60,23.40,22.40,22.00,22.20,22.20,21.60,23.20,22.10
1925,22.60,21.90,22.10,22.60,23.30,22.40,21.80,22.10,22.40,22.70,23.40,22.80
1926,22.60,22.80,22.80,23.40,23.60,22.70,22.00,22.30,22.20,22.60,23.40,22.50
1927,22.60,22.90,22.80,22.80,23.30,22.30,22.00,22.20,22.20,22.50,23.30,22.80
1928,23.30,22.90,22.70,22.70,23.40,22.40,21.80,21.90,22.10,22.60,23.30,22.50
1929,22.60,22.70,22.20,22.70,22.90,22.10,21.40,21.80,22.30,22.80,23.20,22.30
1930,23.10,22.60,22.90,22.50,23.30,22.10,21.90,22.40,22.40,22.80,23.40,23.10
1931,23.60,23.40,23.30,23.20,23.50,22.80,22.00,22.50,22.40,22.70,23.40,22.50
1932,22.70,22.50,22.40,22.60,23.30,22.10,21.90,22.10,22.20,22.80,23.20,22.60
1933,23.20,22.40,22.50,22.60,23.40,22.30,21.80,22.50,21.70,22.40,23.20,22.40
1934,22.60,22.10,22.00,22.40,23.10,22.20,21.90,21.90,21.90,22.70,23.30,22.60
1935,22.90,23.10,23.10,22.60,23.20,22.00,21.50,21.70,22.30,22.70,23.40,23.00
1936,22.80,23.10,22.90,22.60,23.40,22.20,21.90,22.10,22.30,22.50,23.30,23.00
1937,22.80,23.20,23.40,22.70,23.00,22.20,21.70,22.00,22.30,22.60,23.40,22.60
1938,23.20,23.20,23.00,22.90,23.20,22.10,21.70,21.60,22.30,22.90,23.40,22.70
1939,23.20,22.80,22.80,22.80,23.00,21.90,22.00,22.10,22.10,22.50,23.40,22.80
1940,23.00,22.90,22.90,22.60,22.40,22.10,22.00,21.50,22.50,23.60,23.50,23.20
1941,23.60,23.50,23.80,23.60,23.60,23.00,21.90,21.90,22.50,23.20,23.40,23.20
1942,23.40,23.30,23.50,22.90,23.40,22.90,21.50,22.00,22.40,22.70,23.20,23.00
1943,22.30,22.30,22.30,22.30,23.30,21.80,21.20,21.50,22.10,22.20,23.20,22.60
1944,23.00,22.80,22.90,22.60,22.70,22.30,21.50,21.80,22.30,23.00,23.20,22.90
1945,23.40,23.10,22.90,22.80,23.10,22.00,21.50,22.00,22.10,22.40,23.20,23.00
1946,23.90,22.80,23.10,23.00,22.60,22.80,22.60,23.10,22.20,23.10,23.20,23.30
1947,24.00,23.60,23.00,22.50,23.40,22.80,21.90,22.20,22.30,22.80,23.20,23.70
1948,21.80,23.10,23.20,23.20,23.70,23.10,22.10,22.00,22.60,23.50,23.30,23.40
1949,23.30,23.20,23.00,23.00,23.00,22.40,21.50,21.80,22.10,22.90,23.30,23.10
