,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.81,21.51,22.49,22.26,22.75,22.04,22.27,21.58,21.92,21.47,21.91,21.82
1902,21.63,21.45,21.85,22.00,22.75,22.10,21.59,21.72,21.98,21.60,21.91,22.27
1903,22.39,21.76,22.16,21.95,22.75,22.10,21.66,21.72,21.98,21.02,21.91,21.62
1904,21.50,21.28,22.49,21.70,22.75,22.79,22.27,21.41,22.62,20.89,21.91,21.82
1905,21.87,21.70,22.16,21.82,22.75,22.53,21.85,21.65,21.98,21.72,21.91,22.38
1906,22.16,22.36,22.16,22.19,22.75,22.28,21.77,21.65,21.92,21.02,21.91,21.76
1907,21.63,21.51,21.72,21.88,22.75,22.04,21.59,21.46,22.62,21.22,21.91,21.88
1908,21.95,21.76,22.10,22.12,22.75,22.04,22.27,21.65,22.62,21.09,21.91,22.00
1909,22.00,21.76,21.92,22.07,22.75,22.79,21.53,21.78,21.92,21.09,21.91,21.88
1910,21.95,21.89,21.85,21.82,22.75,22.10,21.71,21.58,22.62,20.86,21.91,21.88
1911,21.99,22.42,22.63,22.72,23.15,22.87,22.57,22.07,22.72,21.72,23.15,22.90
1912,22.96,22.76,23.03,23.07,23.15,22.57,22.24,22.42,22.68,21.86,22.67,22.84
1913,22.48,22.66,22.87,22.30,23.15,22.41,22.35,22.38,22.76,22.22,22.86,22.98
1914,22.56,22.88,22.75,22.65,24.08,22.60,22.43,22.67,22.96,22.46,23.33,23.43
1915,22.63,22.69,22.91,22.92,23.51,23.18,22.35,22.90,22.72,22.12,23.15,22.80
1916,22.07,22.59,22.45,22.75,22.95,22.55,21.77,22.03,22.70,22.10,22.96,22.56
1917,21.79,21.67,22.17,22.35,21.99,22.50,22.27,21.92,22.92,22.44,22.96,23.05
1918,20.80,20.86,22.16,22.48,22.45,22.31,22.30,22.34,22.64,21.88,22.96,22.31
1919,22.78,22.86,23.11,22.89,23.61,22.98,22.04,22.48,22.73,22.06,22.77,22.61
1920,22.16,22.42,23.35,22.52,23.33,23.02,22.47,21.84,23.39,22.63,23.33,22.07
1921,22.39,22.02,22.40,22.53,22.55,22.04,22.18,22.42,22.72,21.60,22.48,22.67
1922,22.82,22.20,22.29,22.15,22.45,22.50,22.28,22.10,22.73,21.70,23.33,23.12
1923,22.12,22.42,22.37,22.86,22.95,22.81,21.82,21.79,22.09,22.07,22.77,22.72
1924,23.09,22.69,22.49,22.53,22.71,22.53,22.49,22.70,22.43,21.07,22.09,22.32
1925,22.00,21.48,21.86,22.47,22.98,22.90,22.44,22.35,22.63,21.81,22.33,22.45
1926,22.09,22.32,22.38,23.31,23.43,22.92,22.37,22.47,22.52,21.76,22.43,22.80
1927,22.28,22.18,22.62,22.42,22.68,22.50,22.39,22.39,22.62,21.60,22.29,22.82
1928,22.52,22.44,22.37,22.46,23.04,22.49,22.13,21.96,22.49,21.72,22.10,22.87
1929,22.01,22.03,22.03,22.59,23.09,22.19,22.25,22.25,22.56,21.61,21.83,22.33
1930,22.39,22.10,22.43,22.48,22.95,22.39,22.65,22.93,22.69,21.94,22.50,22.84
1931,23.01,23.00,22.83,22.99,23.24,23.04,22.26,23.10,22.69,21.83,22.58,22.49
1932,22.12,22.05,22.27,22.47,22.45,22.09,22.09,22.28,22.54,22.07,21.78,22.56
1933,22.56,21.88,22.26,22.54,23.00,22.68,22.37,22.50,22.19,21.67,21.73,22.06
1934,21.59,21.34,21.66,22.16,23.01,22.50,22.31,22.41,22.59,21.85,22.24,22.59
1935,22.19,22.47,22.78,22.49,22.39,22.45,22.56,22.35,23.04,22.06,22.53,22.74
1936,22.49,22.69,22.71,22.63,23.20,22.54,22.50,22.18,22.66,21.43,22.34,22.76
1937,22.45,22.60,22.87,22.86,22.40,22.79,22.46,22.81,22.60,21.71,22.36,22.72
1938,22.45,22.78,22.50,22.69,22.61,22.76,22.13,21.93,22.75,21.94,22.41,22.73
1939,22.47,22.26,22.42,22.75,22.88,22.43,22.11,22.15,22.32,21.69,22.27,22.98
1940,22.40,22.40,22.85,22.90,22.97,23.22,22.70,22.42,22.75,22.54,22.66,23.02
1941,22.74,23.02,23.28,23.47,23.72,23.58,22.88,22.85,22.92,22.68,22.77,23.38
1942,22.16,22.27,22.68,22.44,22.75,22.79,22.22,22.30,22.53,21.72,21.91,22.56
1943,21.74,21.82,21.97,22.12,22.75,22.22,21.71,21.84,22.36,21.40,21.91,22.33
1944,21.88,21.94,22.10,22.44,22.75,22.70,22.22,22.34,22.51,21.95,21.91,22.51
1945,22.26,22.19,22.29,22.32,22.75,22.79,22.22,22.34,22.36,21.54,21.91,22.56
1946,22.95,22.53,22.49,22.69,22.76,22.90,22.25,22.50,22.50,22.00,21.97,22.68
1947,22.88,22.61,22.88,22.92,23.00,23.11,22.21,22.41,22.51,21.87,22.01,23.18
1948,22.62,22.67,23.04,23.69,23.32,23.37,22.61,22.98,23.01,22.43,22.55,23.32
1949,22.75,22.73,23.07,23.01,22.86,23.17,22.37,22.69,22.83,21.97,22.38,23.05
1950,22.89,22.53,22.81,22.64,22.99,22.85,22.13,22.24,22.52,21.53,22.32,22.55
1951,21.61,21.40,22.54,22.65,22.39,23.03,21.92,22.23,22.60,21.85,22.12,22.79
1952,22.57,22.48,22.23,22.66,22.87,22.91,22.22,22.28,22.34,21.81,21.74,22.24
1953,22.28,22.00,22.28,22.65,22.58,22.96,21.99,22.51,22.52,22.04,22.05,22.86
1954,22.30,22.35,22.56,22.35,22.42,22.51,21.85,22.20,22.34,21.24,21.38,22.30
1955,22.05,22.12,22.33,22.42,22.65,22.56,21.66,21.70,22.36,21.70,21.71,22.09
1956,21.63,22.01,22.24,22.48,22.21,22.09,21.62,21.80,22.22,21.64,21.76,22.21
1957,22.08,21.96,22.31,22.78,22.61,23.15,22.21,22.26,22.67,22.00,21.99,22.69
1958,22.50,22.45,22.60,23.04,23.40,23.09,22.24,22.11,22.79,22.01,21.89,22.48
1959,22.43,22.62,22.50,22.61,22.83,22.94,22.23,22.22,22.61,22.03,21.88,22.52
1960,22.38,22.25,22.46,22.61,22.85,22.70,22.21,22.65,22.71,22.12,21.92,22.77
1961,22.16,22.51,22.54,22.86,22.85,22.40,22.06,22.19,22.21,21.60,21.98,22.82
1962,22.23,21.83,22.31,22.47,22.79,22.40,22.12,21.93,22.60,22.07,22.13,22.60
1963,21.81,21.71,22.38,22.73,23.02,22.73,22.51,22.32,23.00,22.13,22.15,22.91
1964,22.90,22.66,22.69,22.75,23.07,22.58,22.10,21.94,22.64,21.63,21.97,22.21
1965,21.66,22.02,22.10,22.30,22.65,22.72,22.07,21.98,22.36,21.65,21.85,22.59
1966,22.20,22.49,22.40,22.65,22.95,22.31,22.22,22.49,22.89,21.93,21.87,22.54
1967,22.22,22.14,22.17,22.05,22.43,22.61,22.25,22.44,22.69,22.03,21.96,22.50
