,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.97,19.24,20.46,19.94,20.51,18.59,19.24,18.18,18.61,19.43,20.55,19.25
1902,19.67,19.14,19.46,19.54,20.51,18.69,18.14,18.38,18.71,19.63,20.55,19.95
1903,20.87,19.64,19.96,19.44,20.51,18.69,18.24,18.38,18.71,18.74,20.55,18.95
1904,19.47,18.84,20.46,19.04,20.51,19.79,19.24,17.88,19.71,18.54,20.55,19.25
1905,20.03,19.54,19.96,19.24,20.51,19.39,18.54,18.28,18.71,19.83,20.55,20.15
1906,20.53,20.54,19.96,19.84,20.51,18.99,18.44,18.28,18.61,18.74,20.55,19.15
1907,19.67,19.24,19.26,19.34,20.51,18.59,18.14,17.98,19.71,19.04,20.55,19.35
1908,20.16,19.64,19.86,19.74,20.51,18.59,19.24,18.28,19.71,18.84,20.55,19.55
1909,20.27,19.64,19.56,19.64,20.51,19.79,18.04,18.48,18.61,18.84,20.55,19.35
1910,20.16,19.84,19.46,19.24,20.51,18.69,18.34,18.18,19.71,18.44,20.55,19.35
1911,19.82,19.57,20.07,19.86,20.56,18.98,18.33,18.23,19.06,19.07,20.72,19.88
1912,20.26,20.13,19.90,20.57,20.56,19.01,18.43,18.96,18.99,19.26,20.65,19.87
1913,20.25,20.10,19.62,19.61,20.56,18.90,18.69,18.62,19.15,19.74,20.67,19.98
1914,20.42,20.15,20.09,19.84,20.69,19.18,18.63,18.68,19.02,20.19,20.74,20.39
1915,20.07,19.78,20.38,20.18,20.22,19.59,19.04,19.02,19.06,19.64,20.72,19.78
1916,19.32,19.40,19.62,19.81,19.90,18.77,18.64,18.58,18.90,19.47,20.69,19.32
1917,19.42,19.24,19.43,19.40,19.93,19.02,18.86,18.88,19.74,20.30,20.69,20.52
1918,19.07,19.11,19.29,20.12,20.39,19.22,18.57,18.52,19.13,19.85,20.69,19.86
1919,20.42,20.30,20.23,19.96,20.17,19.06,18.26,18.40,18.99,19.63,20.67,19.83
1920,19.55,19.47,19.92,19.67,20.41,19.15,18.97,18.73,19.81,20.32,20.74,19.65
1921,20.20,19.72,19.46,19.60,19.73,18.92,18.74,18.98,18.82,19.13,20.63,19.35
1922,20.08,19.30,19.55,19.79,19.85,19.09,18.78,18.68,18.99,19.15,20.74,19.92
