,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.80,20.18,21.44,20.98,21.41,19.46,19.96,18.93,19.47,20.52,21.44,20.21
1902,20.51,20.08,20.49,20.60,21.41,19.54,18.95,19.12,19.57,20.71,21.44,20.86
1903,21.60,20.54,20.96,20.51,21.41,19.54,19.04,19.12,19.57,19.88,21.44,19.93
1904,20.33,19.79,21.44,20.15,21.41,20.57,19.96,18.66,20.50,19.70,21.44,20.21
1905,20.89,20.45,20.96,20.32,21.41,20.19,19.32,19.02,19.57,20.89,21.44,21.04
1906,21.35,21.39,20.96,20.88,21.41,19.82,19.23,19.02,19.47,19.88,21.44,20.12
1907,20.51,20.18,20.32,20.43,21.41,19.46,18.95,18.75,20.50,20.16,21.44,20.31
1908,20.99,20.54,20.87,20.79,21.41,19.46,19.96,19.02,20.50,19.97,21.44,20.49
1909,21.09,20.54,20.59,20.70,21.41,20.57,18.85,19.21,19.47,19.97,21.44,20.31
1910,20.99,20.74,20.49,20.32,21.41,19.54,19.12,18.93,20.50,19.60,21.44,20.31
1911,20.61,20.29,20.96,20.72,21.41,19.64,18.88,18.85,19.76,19.98,21.45,20.61
1912,20.90,20.83,20.71,21.45,21.41,19.74,19.07,19.58,19.67,20.17,21.44,20.61
1913,20.99,20.82,20.43,20.52,21.41,19.63,19.34,19.23,19.86,20.64,21.45,20.71
1914,21.19,20.83,20.96,20.72,21.42,19.92,19.26,19.23,19.69,21.09,21.45,21.07
1915,20.80,20.50,21.29,21.09,20.85,20.37,19.76,19.68,19.76,20.54,21.45,20.52
1916,20.08,20.11,20.50,20.69,20.47,19.47,19.36,19.28,19.58,20.36,21.45,20.05
1917,20.19,20.09,20.34,20.29,20.65,19.77,19.56,19.60,20.50,21.24,21.45,21.31
1918,19.99,19.54,20.24,20.90,21.21,19.80,19.26,19.18,19.85,20.81,21.45,20.69
1919,21.19,21.09,21.14,20.89,20.76,19.77,18.96,19.01,19.67,20.54,21.44,20.61
1920,20.30,20.20,20.49,20.59,21.15,19.87,19.66,19.52,20.50,21.24,21.45,20.58
1921,20.99,20.59,20.34,20.49,20.28,19.77,19.46,19.68,19.50,20.08,21.44,20.06
1922,20.80,20.07,20.44,20.79,20.47,19.87,19.46,19.38,19.67,20.08,21.45,20.61
1923,20.90,20.79,20.64,21.09,20.85,20.07,18.97,18.58,19.48,21.01,21.44,20.61
1924,21.48,20.79,21.04,20.79,21.61,20.27,19.76,19.78,20.20,19.88,21.44,20.23
1925,20.99,20.19,20.24,20.89,21.13,20.07,19.46,19.68,20.21,20.73,21.44,20.96
1926,20.89,20.99,20.94,21.59,21.71,20.47,19.76,19.98,20.03,20.64,21.44,20.52
1927,20.89,21.09,21.04,21.16,21.31,20.16,19.76,19.78,20.03,20.54,21.44,20.80
1928,21.59,21.19,20.94,21.09,21.51,20.18,19.56,19.68,19.95,20.54,21.44,20.52
1929,20.89,20.99,20.53,20.99,20.38,19.97,18.89,19.28,20.12,20.81,21.44,20.42
1930,21.39,20.69,21.24,20.69,21.41,19.84,19.46,19.78,20.21,20.81,21.44,21.13
1931,21.80,21.43,21.44,21.39,21.61,20.57,19.76,19.98,20.30,20.64,21.44,20.70
1932,21.09,20.59,20.64,20.89,21.41,19.97,19.66,19.68,20.12,20.81,21.44,20.61
1933,21.64,20.47,20.74,20.79,21.51,20.07,19.56,20.37,19.48,20.45,21.44,20.60
1934,21.09,20.37,20.34,20.69,20.75,20.07,19.66,19.48,19.67,20.81,21.44,20.61
1935,21.19,21.29,21.24,20.79,21.41,19.77,19.07,19.20,20.04,20.64,21.44,21.13
1936,20.99,21.18,21.14,20.79,21.51,20.07,19.56,19.78,20.20,20.64,21.44,21.05
1937,20.89,21.39,21.54,20.99,20.85,19.84,19.24,19.40,20.12,20.64,21.44,20.71
1938,21.56,21.29,21.34,21.26,21.31,19.67,19.46,19.28,20.20,20.91,21.44,20.80
1939,21.60,21.17,21.04,21.09,20.57,19.65,19.77,19.78,20.03,20.54,21.44,20.97
1940,21.36,21.18,20.79,20.49,19.14,19.48,19.54,18.95,20.40,21.54,21.45,21.23
1941,21.99,21.63,21.99,21.79,21.71,20.51,19.32,19.24,20.21,21.02,21.44,21.23
1942,21.95,21.75,21.84,21.33,21.61,20.77,19.21,19.68,20.40,20.89,21.44,21.31
1943,20.70,20.64,20.69,20.79,21.41,19.73,19.12,19.30,20.12,20.43,21.44,20.96
1944,21.55,21.17,21.41,20.89,20.46,20.03,19.17,19.39,20.30,21.14,21.44,21.21
1945,21.90,21.39,21.24,21.26,21.03,19.62,19.17,19.66,20.12,20.62,21.44,21.31
1946,22.19,20.93,21.44,21.39,20.36,20.72,20.69,21.14,20.20,21.24,21.44,21.61
1947,22.39,21.89,21.34,20.74,21.61,20.72,19.76,19.98,20.30,20.98,21.44,21.99
1948,18.67,21.29,21.44,21.11,22.01,20.93,19.86,19.40,20.40,21.54,21.44,21.43
1949,21.56,21.37,21.14,21.20,20.73,20.18,19.16,19.33,19.80,21.00,21.44,21.22
1950,21.64,20.99,21.28,21.00,21.05,20.00,18.80,19.14,19.95,20.26,19.75,20.57
1951,20.89,20.69,21.54,21.12,20.45,20.19,19.22,19.16,20.40,20.75,22.44,21.01
1952,21.79,21.61,20.68,21.29,20.55,20.01,19.40,19.41,20.06,20.16,19.34,20.88
1953,21.59,21.29,21.44,21.30,20.54,20.11,19.16,19.18,20.26,21.34,20.58,21.71
1954,21.89,21.09,21.69,21.50,21.71,20.27,19.56,19.18,20.01,19.94,18.86,20.92
1955,21.59,21.00,20.94,21.07,21.25,20.18,19.03,19.37,19.90,20.44,19.55,20.74
1956,20.89,21.29,21.34,21.29,21.21,19.97,19.36,19.58,19.90,20.54,20.55,20.71
1957,21.39,20.89,20.94,21.69,21.58,20.38,19.65,19.38,19.90,21.14,21.75,21.21
1958,22.19,21.19,21.67,21.79,21.91,20.77,19.46,19.68,19.87,20.55,19.22,20.31
1959,21.79,22.08,22.00,21.28,23.10,20.71,19.10,19.18,20.10,21.44,23.06,20.42
1960,21.21,21.40,21.28,21.45,21.28,20.32,20.41,20.29,20.70,21.24,21.63,21.29
1961,21.51,21.79,21.81,21.84,21.48,19.77,18.87,18.39,18.73,20.16,20.76,21.14
1962,21.30,20.91,21.42,21.72,21.11,20.69,20.77,19.97,20.04,22.10,22.20,21.11
1963,21.23,21.00,21.18,21.49,20.86,20.39,18.97,18.24,19.31,21.42,21.77,20.96
1964,22.12,21.81,21.84,21.95,21.94,20.57,20.10,20.22,21.05,21.18,21.24,20.94
1965,21.31,21.35,21.55,20.98,21.09,20.10,19.19,19.23,19.35,20.35,22.32,21.93
1966,21.87,21.75,21.81,21.93,21.83,19.99,19.21,20.30,21.16,21.87,22.07,21.13
1967,22.04,21.60,21.45,21.23,20.87,19.60,19.00,19.79,20.27,21.41,22.05,21.39
1968,21.67,21.05,21.57,21.59,22.08,21.60,21.06,20.51,21.35,21.96,22.18,21.53
1969,21.70,22.08,22.28,22.07,21.81,20.73,20.28,20.35,20.57,21.34,22.27,21.50
1970,21.98,21.93,21.93,22.37,22.35,21.23,20.34,19.88,20.91,21.84,21.98,21.66
1971,21.14,21.20,21.48,21.56,21.62,20.66,20.32,20.63,21.39,21.41,20.75,21.58
1972,21.16,21.62,21.45,21.41,21.84,20.44,19.52,20.18,19.92,20.54,21.97,22.18
1973,22.39,22.26,22.29,22.08,21.65,21.15,20.74,20.48,20.99,21.10,20.76,21.14
1974,20.42,20.30,20.23,20.68,20.70,19.64,18.97,19.70,21.00,21.75,20.98,21.15
1975,21.08,20.96,21.15,21.30,20.96,19.96,19.95,20.04,20.99,21.17,20.64,21.23
1976,20.11,20.56,20.75,20.72,20.61,19.73,18.46,19.21,19.26,21.23,21.10,21.41
1977,20.73,20.56,20.90,21.10,21.00,20.32,18.95,19.37,19.81,21.15,20.85,21.21
1978,21.29,21.14,21.12,21.28,21.52,20.98,20.70,20.04,20.98,20.96,20.57,21.08
1979,20.90,21.25,21.22,21.51,21.43,20.91,19.89,20.24,20.76,20.85,21.67,20.90
1980,21.17,21.08,21.15,21.82,21.23,20.54,20.54,20.44,20.25,21.28,21.46,21.17
1981,20.91,21.13,21.59,21.64,22.22,21.32,22.11,21.82,21.20,21.38,21.68,21.32
1982,20.66,20.88,21.01,21.33,20.57,19.66,18.30,18.04,18.48,19.89,21.02,20.59
1983,21.37,21.56,21.70,22.29,21.85,21.28,20.24,19.97,20.39,21.04,20.95,21.11
1984,20.39,20.55,20.62,21.46,21.40,20.61,20.40,20.61,20.97,21.03,19.84,20.77
1985,21.00,21.22,21.24,21.40,21.45,20.92,19.96,20.60,20.73,20.74,21.83,21.48
1986,21.20,20.73,21.89,21.91,21.25,21.67,20.78,20.10,21.63,21.58,21.28,21.66
1987,21.56,21.53,21.51,22.35,22.57,21.76,20.85,20.78,20.70,21.43,21.34,22.15
1988,21.71,21.69,21.95,21.93,22.48,21.20,20.84,20.97,21.20,21.77,21.76,21.63
1989,21.32,21.94,21.24,21.59,21.68,21.33,21.66,21.06,21.30,21.84,21.64,21.60
1990,21.09,21.79,21.84,22.19,21.51,20.84,20.36,20.10,20.60,21.27,22.44,21.30
1991,21.40,21.28,21.54,22.10,21.41,21.15,20.11,20.07,20.41,21.44,21.07,21.51
1992,21.68,21.61,22.08,21.78,21.56,21.60,20.63,20.50,20.70,21.40,21.17,21.42
1993,21.87,22.01,21.93,21.60,21.83,21.41,20.48,20.64,20.56,21.89,22.16,21.91
1994,23.02,21.81,21.57,22.04,22.10,21.20,19.71,20.37,20.71,21.46,22.45,22.17
1995,22.16,21.94,21.80,21.98,21.97,21.57,20.86,20.70,20.87,22.11,21.36,21.67
1996,22.08,21.65,22.08,22.11,21.96,22.03,21.24,20.86,21.20,21.95,21.67,21.81
1997,21.50,21.75,22.52,21.90,21.82,21.76,19.91,20.22,20.67,21.79,21.98,22.52
1998,21.89,22.81,22.79,22.43,21.81,21.41,20.56,20.89,21.43,21.88,21.94,21.96
1999,21.64,21.62,22.40,22.05,21.59,21.54,20.09,20.48,21.10,21.80,21.57,21.21
2000,21.41,21.39,22.22,21.72,21.61,20.94,20.90,20.40,21.26,22.36,22.15,22.31
2001,21.18,21.95,21.82,21.98,21.57,21.07,21.55,21.09,21.68,22.30,22.15,21.12
2002,21.11,21.71,21.12,21.66,21.32,20.54,21.73,20.03,20.25,20.84,22.07,21.99
2003,20.99,21.83,21.19,21.47,21.45,20.02,19.23,19.61,20.63,21.95,21.94,21.90
2004,21.77,21.88,21.56,22.21,21.56,19.71,21.39,20.53,20.80,21.15,21.35,21.97
2005,22.19,22.25,22.61,22.10,21.71,21.61,22.22,21.79,21.48,21.94,21.60,21.63
2006,21.31,21.40,22.28,22.26,21.41,20.37,20.51,20.67,19.72,20.62,21.63,22.28
2007,21.29,22.06,22.65,22.50,21.63,21.85,21.12,20.73,20.41,22.19,21.91,22.20
2008,22.04,21.51,21.21,22.05,22.22,21.31,20.08,21.87,21.32,22.84,22.17,22.29
2009,21.85,21.95,21.46,22.51,22.05,21.38,21.27,20.58,21.65,22.75,22.71,23.05
2010,22.33,22.76,22.77,22.31,22.09,22.53,22.63,22.36,22.69,22.14,21.95,22.40
2011,21.94,22.41,22.51,22.08,22.65,21.47,21.16,20.92,21.72,22.29,21.85,22.20
2012,21.64,22.57,22.14,22.99,22.88,21.99,20.72,20.84,21.73,23.08,22.95,23.12
2013,22.21,22.56,22.34,22.63,22.71,22.48,22.01,21.84,21.24,22.61,21.88,22.48
2014,22.06,21.58,22.27,22.58,21.96,22.15,21.59,21.38,21.13,22.32,22.71,22.39
2015,21.76,21.83,21.80,22.75,21.88,21.43,20.54,20.90,20.60,22.18,22.71,22.92
2016,21.48,23.03,22.85,23.52,22.26,21.22,21.03,22.59,23.02,22.60,22.48,22.79
2017,22.59,22.35,22.48,22.85,22.20,21.79,20.86,21.72,21.92,23.20,21.91,22.11
2018,22.22,21.68,22.64,23.25,21.52,21.93,20.67,20.62,21.21,22.47,22.31,22.74
2019,22.61,22.85,22.59,23.09,22.30,21.12,20.24,20.94,20.45,22.45,22.10,22.58
2020,22.93,22.76,22.42,23.00,22.35,21.95,22.04,22.10,22.04,22.56,22.31,22.43
2021,21.44,21.71,22.05,22.39,22.01,22.27,20.82,21.56,22.75,23.19,21.92,21.80
