,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.58,21.10,21.83,21.32,21.56,20.01,20.30,19.66,20.13,21.23,22.10,21.37
1902,21.39,21.04,21.20,21.05,21.56,20.08,19.61,19.78,20.19,21.36,22.10,21.80
1903,22.15,21.36,21.51,21.00,21.56,20.08,19.69,19.78,20.19,20.79,22.10,21.17
1904,21.26,20.85,21.83,20.74,21.56,20.78,20.30,19.47,20.83,20.66,22.10,21.37
1905,21.63,21.30,21.51,20.86,21.56,20.53,19.88,19.71,20.19,21.48,22.10,21.94
1906,21.92,21.95,21.51,21.24,21.56,20.26,19.81,19.71,20.13,20.79,22.10,21.31
1907,21.39,21.10,21.07,20.93,21.56,20.01,19.61,19.53,20.83,20.98,22.10,21.43
1908,21.70,21.36,21.45,21.18,21.56,20.01,20.30,19.71,20.83,20.85,22.10,21.56
1909,21.76,21.36,21.26,21.12,21.56,20.78,19.55,19.84,20.13,20.85,22.10,21.43
1910,21.70,21.49,21.20,20.86,21.56,20.08,19.75,19.66,20.83,20.60,22.10,21.43
1911,21.45,21.17,21.51,21.12,21.56,20.14,19.55,19.59,20.31,20.85,22.10,21.62
1912,21.63,21.55,21.32,21.63,21.56,20.21,19.69,20.10,20.26,20.98,22.10,21.62
1913,21.70,21.55,21.13,21.00,21.56,20.14,19.88,19.84,20.39,21.30,22.10,21.69
1914,21.83,21.55,21.51,21.12,21.56,20.33,19.81,19.84,20.26,21.62,22.10,21.94
1915,21.37,20.97,21.62,21.23,20.96,20.59,20.10,20.08,20.31,21.23,22.10,21.56
1916,20.62,20.58,21.20,20.83,20.56,19.68,19.70,19.70,20.19,21.11,22.10,21.24
1917,20.82,20.67,20.73,20.45,20.76,19.98,19.92,20.09,20.83,21.71,22.10,22.11
1918,20.65,20.07,20.63,21.03,21.36,19.98,19.57,19.56,20.39,21.42,22.10,21.69
1919,21.82,21.71,21.53,21.03,20.86,20.01,19.30,19.37,20.26,21.23,22.10,21.62
1920,20.92,20.71,20.83,20.83,21.26,20.11,20.12,20.13,20.83,21.71,22.10,21.62
1921,21.65,21.20,20.73,20.63,20.36,20.07,19.84,20.13,20.13,20.91,22.10,21.24
1922,21.40,20.57,20.78,20.93,20.56,20.08,19.82,19.72,20.26,20.91,22.10,21.62
1923,21.63,21.43,21.04,21.25,20.96,20.28,19.41,18.88,20.13,21.55,22.10,21.62
1924,22.12,21.37,21.43,21.01,21.76,20.54,20.12,20.22,20.65,20.79,22.10,21.37
1925,21.65,20.77,20.63,21.03,21.26,20.28,19.77,20.06,20.65,21.36,22.10,21.87
1926,21.52,21.57,21.33,21.73,21.86,20.68,20.01,20.44,20.51,21.30,22.10,21.56
1927,21.52,21.73,21.45,21.39,21.46,20.41,20.20,20.25,20.51,21.23,22.10,21.73
1928,22.25,21.77,21.33,21.25,21.66,20.49,20.00,20.23,20.45,21.23,22.10,21.56
1929,21.55,21.57,20.84,21.13,20.46,20.18,19.20,19.66,20.58,21.42,22.10,21.50
1930,22.02,21.27,21.54,20.82,21.56,19.98,19.77,20.16,20.65,21.42,22.10,22.01
1931,22.42,21.97,21.90,21.55,21.76,20.87,20.20,20.38,20.70,21.30,22.10,21.69
1932,21.78,21.18,21.03,21.03,21.56,20.24,20.00,20.03,20.58,21.42,22.10,21.62
1933,22.32,20.97,21.13,20.95,21.66,20.34,19.85,20.94,20.13,21.17,22.10,21.62
1934,21.75,20.87,20.73,20.83,20.86,20.28,20.10,19.87,20.26,21.42,22.10,21.62
1935,21.91,21.87,21.67,20.95,21.56,19.98,19.40,19.53,20.51,21.30,22.10,22.01
1936,21.70,21.67,21.53,20.98,21.66,20.34,19.90,20.25,20.65,21.30,22.10,21.94
1937,21.52,21.97,21.93,21.13,20.96,19.98,19.48,19.63,20.58,21.30,22.10,21.69
1938,22.29,21.88,21.73,21.43,21.46,19.87,19.80,19.66,20.65,21.48,22.10,21.73
1939,22.34,21.89,21.34,21.25,20.66,19.78,20.24,20.25,20.51,21.23,22.10,21.87
1940,22.18,21.83,21.06,20.43,19.17,19.47,19.80,19.18,20.76,21.93,22.10,22.06
1941,22.71,22.17,22.45,21.93,21.86,20.67,19.49,19.46,20.65,21.55,22.10,22.06
1942,22.71,22.43,22.24,21.53,21.76,21.01,19.42,20.03,20.76,21.48,22.10,22.11
1943,21.52,21.43,21.32,21.18,21.56,20.21,19.75,19.91,20.58,21.17,22.10,21.87
1944,22.34,21.80,21.91,20.94,20.56,20.12,19.35,19.63,20.70,21.69,22.10,22.06
1945,22.64,22.01,21.64,21.43,21.16,19.60,19.35,19.93,20.58,21.30,22.10,22.11
1946,22.74,21.35,21.83,21.50,20.46,20.98,21.20,21.77,20.65,21.71,22.10,22.32
1947,23.02,22.51,21.70,20.71,21.76,20.98,20.20,20.36,20.70,21.55,22.10,22.57
1948,19.22,21.87,21.83,21.23,22.16,21.25,20.20,19.66,20.76,21.93,22.10,22.20
1949,22.29,22.03,21.41,21.26,20.86,20.24,19.44,19.58,20.25,21.55,22.03,22.06
1950,22.30,21.53,21.86,21.13,21.16,20.37,18.98,19.37,20.45,21.03,20.47,21.20
1951,21.52,21.35,21.80,21.17,20.57,20.60,19.50,19.41,20.73,21.41,23.10,21.80
1952,22.43,22.27,20.99,21.38,20.66,20.17,19.66,19.70,20.64,20.84,20.27,21.84
1953,22.19,21.83,21.86,21.55,20.67,20.45,19.37,19.40,20.76,21.93,21.29,22.46
1954,22.59,21.77,21.95,21.77,21.86,20.61,19.90,19.42,20.61,20.55,19.79,21.81
1955,22.30,21.62,21.44,21.28,21.37,20.46,19.44,19.84,20.37,20.97,20.33,21.65
1956,21.58,21.87,21.73,21.52,21.36,20.27,19.70,20.02,20.23,20.97,21.26,21.39
1957,21.98,21.49,21.39,21.92,21.76,20.70,20.02,19.72,20.14,21.69,22.38,21.99
1958,22.96,21.80,22.23,21.98,22.06,20.99,19.80,20.12,20.08,21.05,20.35,21.24
1959,22.09,22.51,22.06,21.43,23.01,20.66,19.40,19.51,20.36,21.91,23.27,21.29
1960,21.93,22.07,21.68,21.64,21.42,20.37,20.64,20.63,20.95,21.77,22.46,22.05
1961,22.30,22.48,22.18,22.08,21.43,19.92,19.24,18.65,19.38,21.28,21.64,22.27
1962,22.04,21.55,21.94,22.02,21.22,21.24,21.22,20.60,20.55,22.81,23.00,21.99
1963,21.87,21.69,21.69,21.54,20.99,20.55,19.27,18.54,19.65,21.96,22.51,21.89
1964,22.74,22.39,22.24,21.96,21.92,20.58,20.26,20.41,21.25,21.59,21.69,21.63
1965,21.88,21.80,22.08,20.82,20.98,20.05,19.11,19.38,19.61,21.18,22.98,22.80
1966,22.43,22.21,22.07,21.93,21.79,20.13,19.17,20.56,21.39,22.11,22.44,21.79
1967,22.42,22.01,21.65,21.15,20.80,19.50,19.26,20.02,20.40,21.48,22.45,22.00
1968,22.35,21.67,21.75,21.53,22.28,21.67,21.32,20.74,21.32,22.05,22.63,22.22
1969,22.31,22.58,22.49,22.01,21.80,20.80,20.53,20.70,20.49,21.67,22.81,22.10
1970,22.38,22.35,22.13,22.37,22.22,21.14,20.33,19.93,21.01,22.21,22.34,22.28
1971,21.40,21.56,21.77,21.34,21.69,20.64,20.32,20.77,21.55,21.61,21.17,22.06
1972,21.41,21.95,21.48,21.33,21.74,20.37,19.84,20.11,20.05,21.06,22.70,22.82
1973,22.93,22.51,22.63,22.32,21.98,21.53,21.28,20.95,21.44,21.61,21.58,21.92
1974,21.26,20.97,20.85,20.92,21.00,20.01,19.57,20.34,21.51,22.05,21.65,21.76
1975,21.61,21.51,21.46,21.48,21.31,20.17,20.31,20.65,21.38,21.46,21.45,22.02
1976,20.91,21.57,21.34,20.92,20.83,20.03,19.34,19.79,19.77,21.77,21.76,22.27
1977,21.68,21.36,21.61,21.35,21.29,20.52,19.37,19.68,20.19,21.61,21.58,22.09
1978,22.05,21.88,21.58,21.56,21.87,21.38,21.14,20.54,21.27,21.46,21.29,21.85
1979,21.74,21.78,21.63,21.79,21.81,21.25,20.31,20.71,21.15,21.42,22.33,21.74
1980,21.88,21.74,21.61,22.03,21.52,20.74,21.08,20.80,20.62,21.83,22.28,22.11
1981,21.69,21.74,21.92,21.80,22.53,21.38,22.45,22.16,21.48,21.87,22.40,22.10
1982,21.29,21.44,21.03,21.37,20.68,20.08,18.93,18.98,19.48,20.76,22.06,22.38
1983,22.11,22.28,22.23,22.51,22.05,21.63,20.63,20.45,20.88,21.83,21.79,21.93
1984,20.56,21.13,20.97,21.63,21.87,20.62,20.74,20.95,21.12,21.41,20.73,21.64
1985,21.64,21.71,21.70,21.47,21.68,21.10,20.34,20.96,20.95,21.03,22.52,22.41
1986,22.00,21.46,22.18,22.19,21.50,22.13,21.24,20.51,21.83,22.12,21.89,22.32
1987,22.30,22.14,21.92,22.53,23.15,22.25,21.20,21.32,21.07,22.22,22.27,23.01
1988,22.29,22.21,22.55,21.91,22.51,21.03,20.92,21.54,21.66,22.31,22.44,22.26
1989,21.96,22.09,21.78,22.01,22.17,21.61,22.12,21.39,21.64,21.96,22.14,22.48
1990,21.72,22.36,22.23,22.27,21.60,21.03,20.70,20.42,20.88,21.72,23.23,22.11
1991,22.07,21.89,21.88,22.19,21.56,21.26,20.31,20.30,20.64,21.77,21.58,22.39
1992,22.35,22.25,22.37,21.81,21.63,21.90,20.99,20.82,21.03,21.72,21.86,22.15
1993,22.50,22.44,22.10,21.77,21.84,21.36,20.73,20.83,20.73,22.09,22.93,22.75
1994,23.13,22.21,21.73,22.03,22.04,21.22,19.91,20.65,20.94,21.81,23.49,22.71
1995,22.53,22.32,21.91,22.17,21.98,21.65,21.20,21.04,21.13,22.48,21.82,22.51
1996,22.61,22.14,22.35,22.32,21.90,22.10,21.55,21.30,21.53,22.51,22.39,22.69
1997,22.17,22.26,22.53,22.12,21.81,21.78,20.07,20.46,20.87,22.09,22.79,23.36
1998,22.16,22.89,22.71,22.49,21.80,21.33,20.71,21.02,21.80,22.34,22.78,22.71
1999,22.18,22.21,22.55,22.19,21.69,21.54,20.41,20.85,21.43,22.11,22.17,21.99
2000,21.90,21.91,22.41,21.87,21.68,21.04,21.11,20.73,21.59,22.57,22.56,22.80
2001,21.67,22.24,22.01,21.88,21.57,21.22,21.26,20.94,21.51,22.34,22.53,21.80
