,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.27,21.20,21.85,21.86,22.18,21.35,21.39,20.83,21.27,21.37,21.66,21.18
1902,21.15,21.16,21.46,21.71,22.18,21.39,20.98,20.91,21.31,21.45,21.66,21.45
1903,21.61,21.35,21.66,21.67,22.18,21.39,21.01,20.91,21.31,21.11,21.66,21.06
1904,21.07,21.04,21.85,21.52,22.18,21.81,21.39,20.71,21.69,21.02,21.66,21.18
1905,21.32,21.32,21.66,21.59,22.18,21.66,21.13,20.87,21.31,21.53,21.66,21.53
1906,21.48,21.69,21.66,21.82,22.18,21.50,21.09,20.87,21.27,21.11,21.66,21.15
1907,21.15,21.20,21.39,21.63,22.18,21.35,20.98,20.75,21.69,21.23,21.66,21.22
1908,21.35,21.35,21.62,21.78,22.18,21.35,21.39,20.87,21.69,21.14,21.66,21.29
1909,21.39,21.35,21.50,21.74,22.18,21.81,20.94,20.95,21.27,21.14,21.66,21.22
1910,21.35,21.44,21.46,21.59,22.18,21.39,21.06,20.83,21.69,20.99,21.66,21.22
1911,21.35,21.65,21.88,22.06,22.35,21.77,21.43,21.08,21.67,21.47,22.19,21.72
1912,21.78,21.84,22.02,22.27,22.35,21.65,21.32,21.29,21.65,21.55,21.99,21.69
1913,21.59,21.79,21.94,21.87,22.35,21.58,21.39,21.24,21.70,21.73,22.07,21.76
1914,21.64,21.88,21.93,22.04,22.75,21.67,21.41,21.36,21.77,21.88,22.26,21.98
1915,21.54,21.63,21.95,22.13,22.29,21.95,21.39,21.45,21.67,21.69,22.19,21.67
1916,21.23,21.53,21.77,21.99,22.04,21.55,21.12,21.09,21.65,21.67,22.11,21.54
1917,21.17,21.25,21.54,21.80,21.81,21.57,21.35,21.13,21.81,21.87,22.11,21.83
1918,20.81,20.88,21.53,21.90,22.07,21.51,21.28,21.16,21.65,21.62,22.11,21.48
1919,21.69,21.87,22.03,22.10,22.30,21.78,21.15,21.18,21.68,21.66,22.02,21.60
1920,21.32,21.50,21.88,21.96,22.29,21.80,21.47,21.17,22.01,21.95,22.26,21.33
1921,21.54,21.50,21.62,21.89,21.89,21.45,21.32,21.31,21.65,21.43,21.91,21.58
1922,21.61,21.41,21.58,21.80,21.90,21.60,21.34,21.07,21.68,21.48,22.26,21.81
1923,21.46,21.68,21.70,22.13,22.12,21.75,21.12,20.82,21.39,21.70,22.02,21.65
1924,21.77,21.68,21.74,21.97,22.20,21.70,21.46,21.42,21.58,21.11,21.70,21.44
1925,21.44,21.20,21.43,21.95,22.24,21.80,21.36,21.31,21.74,21.59,21.91,21.62
1926,21.41,21.72,21.86,22.38,22.45,21.87,21.43,21.42,21.67,21.59,21.95,21.67
1927,21.45,21.66,21.88,22.03,22.20,21.72,21.44,21.35,21.69,21.50,21.86,21.74
1928,21.71,21.67,21.75,22.01,22.33,21.76,21.39,21.25,21.67,21.57,21.78,21.70
