,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.45,22.31,22.86,22.92,22.87,22.13,21.78,21.53,21.75,22.19,22.70,22.41
1902,22.41,22.30,22.76,22.87,22.87,22.14,21.66,21.56,21.77,22.22,22.70,22.51
1903,22.54,22.37,22.82,22.86,22.87,22.14,21.68,21.56,21.77,22.10,22.70,22.39
1904,22.39,22.27,22.86,22.81,22.87,22.27,21.78,21.50,21.88,22.08,22.70,22.41
1905,22.47,22.35,22.82,22.84,22.87,22.23,21.71,21.55,21.77,22.24,22.70,22.54
1906,22.51,22.45,22.82,22.91,22.87,22.18,21.70,21.55,21.75,22.10,22.70,22.41
1907,22.41,22.31,22.72,22.85,22.87,22.13,21.66,21.51,21.88,22.14,22.70,22.43
1908,22.48,22.37,22.81,22.89,22.87,22.13,21.78,21.55,21.88,22.11,22.70,22.45
1909,22.50,22.37,22.76,22.89,22.87,22.27,21.64,21.57,21.75,22.11,22.70,22.43
1910,22.48,22.39,22.76,22.84,22.87,22.14,21.68,21.53,21.88,22.07,22.70,22.43
1911,22.42,22.32,22.82,22.89,22.87,22.16,21.64,21.52,21.80,22.11,22.70,22.47
1912,22.47,22.40,22.78,22.99,22.87,22.17,21.68,21.62,21.78,22.14,22.70,22.47
1913,22.48,22.40,22.74,22.86,22.87,22.16,21.71,21.57,21.81,22.20,22.70,22.48
1914,22.51,22.40,22.82,22.89,22.87,22.19,21.70,21.57,21.78,22.27,22.70,22.54
1915,21.99,21.62,22.62,22.64,22.44,22.22,21.63,21.52,21.80,22.19,22.70,22.45
1916,21.49,21.31,22.76,22.28,22.13,21.44,21.38,21.27,21.77,22.16,22.70,22.40
1917,21.70,21.54,21.97,22.09,22.29,21.67,21.54,21.62,21.88,22.27,22.70,22.55
1918,21.65,21.09,21.95,22.42,22.77,21.67,21.19,21.08,21.81,22.22,22.70,22.48
1919,22.47,22.42,22.66,22.53,22.36,21.77,21.02,20.95,21.78,22.19,22.70,22.47
1920,21.78,21.44,22.11,22.48,22.67,21.85,21.79,21.88,21.88,22.27,22.70,22.47
