,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.23,22.12,22.69,22.71,22.99,22.06,21.85,21.52,21.90,22.16,22.43,22.04
1902,22.14,22.10,22.39,22.59,22.99,22.09,21.53,21.58,21.93,22.22,22.43,22.25
1903,22.49,22.25,22.54,22.56,22.99,22.09,21.56,21.58,21.93,21.94,22.43,21.95
1904,22.08,22.00,22.69,22.44,22.99,22.42,21.85,21.42,22.23,21.88,22.43,22.04
1905,22.26,22.22,22.54,22.50,22.99,22.31,21.65,21.55,21.93,22.28,22.43,22.32
1906,22.39,22.51,22.54,22.68,22.99,22.18,21.62,21.55,21.90,21.94,22.43,22.02
1907,22.14,22.12,22.33,22.53,22.99,22.06,21.53,21.46,22.23,22.04,22.43,22.07
1908,22.29,22.25,22.51,22.65,22.99,22.06,21.86,21.55,22.23,21.98,22.43,22.13
1909,22.32,22.25,22.42,22.62,22.99,22.42,21.50,21.61,21.90,21.98,22.43,22.07
1910,22.29,22.31,22.39,22.50,22.99,22.09,21.59,21.52,22.23,21.85,22.43,22.07
1911,22.21,22.25,22.59,22.70,23.01,22.21,21.62,21.57,22.06,22.06,22.52,22.26
1912,22.36,22.42,22.56,22.91,23.01,22.21,21.64,21.78,22.04,22.13,22.48,22.25
1913,22.35,22.42,22.48,22.62,23.01,22.17,21.72,21.68,22.09,22.26,22.50,22.28
1914,22.40,22.43,22.61,22.70,23.07,22.25,21.70,21.71,22.06,22.40,22.53,22.41
1915,22.08,21.97,22.57,22.66,22.70,22.38,21.74,21.77,22.06,22.24,22.52,22.22
1916,21.67,21.74,22.46,22.40,22.45,21.79,21.51,21.51,22.01,22.19,22.50,22.09
1917,21.77,21.77,22.05,22.20,22.51,21.96,21.67,21.75,22.25,22.42,22.50,22.43
1918,21.63,21.39,21.99,22.47,22.89,21.94,21.43,21.42,22.08,22.28,22.50,22.23
1919,22.40,22.47,22.58,22.56,22.66,22.05,21.27,21.34,22.04,22.23,22.49,22.23
1920,21.86,21.81,22.18,22.46,22.87,22.11,21.82,21.84,22.28,22.43,22.53,22.16
1921,22.28,22.15,22.06,22.30,22.31,22.02,21.65,21.79,21.99,22.08,22.47,22.10
1922,22.12,21.75,22.04,22.43,22.42,22.04,21.61,21.47,22.04,22.09,22.53,22.27
1923,22.29,22.31,22.27,22.70,22.67,22.16,21.39,20.97,21.94,22.35,22.49,22.24
1924,22.53,22.21,22.45,22.55,23.12,22.33,21.80,21.83,22.14,21.94,22.43,22.11
1925,22.28,21.82,21.99,22.53,22.86,22.14,21.56,21.72,22.18,22.26,22.47,22.32
1926,22.17,22.36,22.44,22.96,23.21,22.37,21.70,21.95,22.13,22.24,22.48,22.22
1927,22.18,22.46,22.53,22.78,22.98,22.26,21.84,21.84,22.13,22.20,22.46,22.30
1928,22.64,22.46,22.40,22.67,23.08,22.33,21.73,21.88,22.10,22.21,22.45,22.23
1929,22.21,22.33,22.11,22.57,22.39,22.04,21.25,21.47,22.15,22.28,22.43,22.17
1930,22.48,22.16,22.54,22.41,22.99,21.96,21.58,21.79,22.19,22.29,22.48,22.40
1931,22.73,22.60,22.81,22.86,23.15,22.54,21.84,21.97,22.21,22.25,22.48,22.24
1932,22.34,22.13,22.23,22.49,22.99,22.13,21.69,21.64,22.14,22.30,22.43,22.24
1933,22.64,22.00,22.29,22.49,23.08,22.23,21.61,22.32,21.96,22.17,22.43,22.20
1934,22.28,21.89,22.03,22.38,22.62,22.15,21.79,21.61,22.04,22.27,22.46,22.25
