,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.38,21.39,21.72,22.09,22.11,21.72,21.58,21.49,21.48,21.62,21.70,21.69
1902,21.38,21.39,21.72,22.09,22.11,21.72,21.58,21.49,21.48,21.62,21.70,21.69
1903,21.38,21.38,21.71,22.08,22.11,21.72,21.56,21.49,21.46,21.60,21.69,21.67
1904,21.36,21.35,21.69,22.04,22.07,21.70,21.57,21.46,21.48,21.59,21.67,21.65
1905,21.37,21.36,21.71,22.09,22.11,21.71,21.45,21.47,21.45,21.67,21.67,21.62
1906,21.38,21.39,21.72,22.09,22.11,21.71,21.56,21.48,21.45,21.59,21.68,21.68
1907,21.53,21.78,22.01,22.33,22.09,21.71,21.55,21.46,21.45,21.74,21.71,21.64
1908,21.26,21.19,21.68,22.20,22.27,21.70,21.81,21.49,21.46,21.61,21.68,21.65
1909,21.31,21.33,21.72,22.28,22.10,21.72,21.56,21.49,21.45,21.61,21.94,21.78
1910,21.38,21.39,21.71,22.17,22.27,21.72,21.58,21.76,21.63,21.64,21.79,21.59
1911,21.14,21.25,21.55,22.16,22.24,21.86,21.84,21.70,21.66,21.77,21.76,21.64
1912,21.32,21.30,21.73,22.21,22.11,21.98,21.56,21.78,21.73,21.74,21.75,21.60
1913,21.19,21.21,21.69,22.13,22.08,21.72,21.74,21.70,21.68,21.60,21.69,21.50
1914,21.39,21.37,21.72,22.09,22.10,21.72,21.58,21.49,21.49,21.65,21.70,21.57
1915,21.19,21.06,21.60,22.10,22.15,21.96,21.56,21.49,21.47,21.77,21.59,21.57
1916,20.96,20.91,21.65,21.81,22.00,21.69,21.79,21.59,21.60,21.62,21.59,21.62
1917,21.11,21.12,21.53,21.99,22.07,21.75,21.56,21.67,21.49,21.60,21.59,21.51
1918,21.22,21.07,21.51,21.97,22.22,21.71,21.52,21.39,21.49,21.62,21.69,21.64
1919,21.31,21.33,21.69,22.05,22.17,21.76,21.77,21.42,21.67,21.80,21.91,21.83
1920,21.34,21.28,21.66,22.26,22.07,21.67,21.58,21.56,21.47,21.60,21.97,21.81
1921,21.49,21.38,21.67,22.20,21.95,21.93,21.56,21.75,21.47,21.86,21.75,21.77
1922,21.34,21.18,21.75,22.26,21.98,21.65,21.52,21.73,21.70,21.61,21.88,21.64
1923,21.40,21.36,21.81,22.05,22.03,21.90,21.51,21.54,21.47,21.89,21.87,21.79
1924,21.43,21.36,21.92,22.04,22.14,21.72,21.87,21.82,21.68,21.80,21.79,21.62
1925,21.37,21.29,21.84,22.26,22.07,21.90,21.51,21.47,21.47,21.79,21.90,21.88
1926,21.60,21.34,21.65,22.17,22.15,22.00,21.53,21.52,21.47,21.87,21.82,21.79
1927,21.37,21.34,21.85,22.23,22.10,21.72,21.58,21.76,21.48,21.75,21.72,21.55
1928,21.28,21.36,21.69,22.14,22.11,21.98,21.57,21.76,21.61,21.74,21.87,21.68
1929,21.19,21.42,21.71,22.17,21.97,21.88,21.70,21.67,21.65,21.82,21.82,21.53
1930,21.29,21.12,21.63,22.07,22.31,21.90,21.66,21.67,21.70,21.70,21.78,21.65
1931,21.38,21.35,21.81,22.15,22.15,22.02,21.59,21.71,21.48,21.82,21.77,21.68
1932,21.42,21.27,21.58,22.01,22.10,21.69,21.55,21.44,21.71,21.76,21.79,21.79
1933,21.48,21.30,21.83,22.01,22.12,21.91,21.84,21.65,21.71,21.84,21.68,21.39
1934,21.31,21.20,21.62,22.12,22.12,21.89,21.58,21.44,21.60,21.78,21.87,21.64
1935,21.33,21.33,21.81,22.02,22.26,21.63,21.48,21.61,21.65,21.78,21.87,21.62
1936,21.30,21.13,21.74,22.22,22.12,21.94,21.54,21.49,21.73,21.87,21.88,21.72
1937,21.33,21.39,21.76,22.29,22.04,21.86,21.69,21.61,21.48,21.75,21.87,21.83
