,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.35,22.34,22.95,22.90,23.49,22.98,23.16,22.79,22.68,22.73,22.94,22.35
1902,22.25,22.31,22.63,22.77,23.49,23.01,22.82,22.84,22.71,22.80,22.94,22.57
1903,22.63,22.47,22.78,22.72,23.49,23.01,22.85,22.84,22.71,22.50,22.94,22.26
1904,22.20,22.22,22.95,22.61,23.49,23.36,23.16,22.69,23.03,22.44,22.94,22.35
1905,22.38,22.44,22.78,22.68,23.49,23.24,22.95,22.83,22.71,22.86,22.94,22.63
1906,22.52,22.75,22.78,22.86,23.49,23.11,22.92,22.83,22.68,22.50,22.94,22.32
1907,22.25,22.34,22.57,22.70,23.49,22.98,22.82,22.72,23.03,22.59,22.94,22.38
1908,22.43,22.47,22.76,22.83,23.49,22.98,23.16,22.83,23.03,22.54,22.94,22.45
1909,22.45,22.47,22.66,22.80,23.49,23.36,22.78,22.87,22.68,22.54,22.94,22.38
1910,22.43,22.53,22.63,22.68,23.49,23.01,22.88,22.79,23.03,22.40,22.94,22.38
1911,22.50,23.21,23.28,23.40,23.87,23.72,23.86,23.17,23.35,23.04,24.18,23.37
1912,23.66,23.48,23.87,23.64,23.87,23.30,23.40,23.43,23.33,23.17,23.70,23.29
1913,23.03,23.34,23.74,22.92,23.87,23.14,23.46,23.45,23.38,23.48,23.89,23.44
1914,23.07,23.64,23.42,23.34,24.82,23.29,23.57,23.82,23.70,23.67,24.36,23.88
1915,23.19,23.38,23.48,23.56,24.26,23.98,23.32,24.04,23.35,23.38,24.18,23.27
1916,22.72,23.36,23.17,23.41,23.69,23.34,22.72,23.06,23.39,23.41,23.99,23.08
1917,22.34,22.28,22.81,23.08,22.74,23.19,23.27,22.88,23.31,23.44,23.99,23.20
1918,21.21,21.30,22.87,22.90,23.22,22.88,23.38,23.44,23.24,23.02,23.99,22.57
1919,23.36,23.58,23.82,23.62,24.34,23.87,23.15,23.65,23.42,23.30,23.79,23.01
1920,22.80,23.12,23.80,23.29,24.07,23.89,23.58,22.96,23.80,23.64,24.36,22.49
1921,22.93,22.70,23.09,23.22,23.29,22.98,23.26,23.49,23.44,22.83,23.51,23.23
1922,23.47,22.94,22.88,22.67,23.22,23.19,23.32,23.04,23.42,22.99,24.36,23.66
1923,22.71,23.12,23.04,23.58,23.69,23.57,22.93,22.80,22.64,23.18,23.79,23.13
1924,23.73,23.39,23.13,23.22,23.48,23.22,23.54,23.75,22.93,22.56,23.17,22.75
