,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.91,20.19,21.45,21.10,21.44,19.97,20.64,19.49,19.84,20.64,21.61,20.54
1902,20.61,20.09,20.45,20.71,21.44,20.07,19.54,19.69,19.94,20.82,21.61,21.22
1903,21.77,20.59,20.95,20.63,21.44,20.07,19.64,19.69,19.94,19.95,21.61,20.25
1904,20.41,19.79,21.45,20.23,21.44,21.17,20.64,19.19,20.94,19.77,21.61,20.54
1905,20.99,20.49,20.95,20.43,21.44,20.77,19.94,19.59,19.94,21.01,21.61,21.42
1906,21.51,21.49,20.95,21.00,21.44,20.37,19.84,19.59,19.84,19.95,21.61,20.44
1907,20.61,20.19,20.26,20.53,21.44,19.97,19.54,19.29,20.94,20.26,21.61,20.63
1908,21.11,20.59,20.85,20.90,21.44,19.97,20.64,19.59,20.94,20.05,21.61,20.83
1909,21.21,20.59,20.55,20.80,21.44,21.17,19.45,19.79,19.84,20.05,21.61,20.63
1910,21.11,20.79,20.45,20.43,21.44,20.07,19.74,19.49,20.94,19.67,21.61,20.63
1911,21.02,21.07,21.36,21.44,21.68,20.84,20.37,19.98,20.69,20.75,22.37,21.64
1912,21.76,21.52,21.50,21.98,21.68,20.68,20.25,20.51,20.64,20.91,22.07,21.61
1913,21.50,21.44,21.28,21.10,21.68,20.55,20.44,20.33,20.76,21.33,22.18,21.74
1914,21.60,21.60,21.43,21.40,22.27,20.76,20.45,20.53,20.81,21.67,22.48,22.17
1915,21.59,21.44,21.74,21.74,21.68,21.28,20.59,20.82,20.69,21.23,22.37,21.54
1916,20.92,21.23,21.05,21.50,21.37,20.60,20.04,20.08,20.60,21.14,22.27,21.19
1917,20.76,20.53,20.85,21.05,20.99,20.67,20.46,20.12,21.13,21.72,22.27,22.03
1918,19.99,20.47,20.77,21.59,21.29,20.82,20.39,20.30,20.68,21.20,22.27,21.30
1919,21.77,21.65,21.75,21.60,21.71,20.97,20.09,20.33,20.68,21.20,22.15,21.46
1920,21.04,21.14,21.67,21.23,21.66,21.02,20.59,19.92,21.40,21.82,22.48,20.93
1921,21.43,20.88,21.00,21.26,21.16,20.14,20.31,20.47,20.58,20.71,21.96,21.27
1922,21.69,20.91,21.01,21.09,21.16,20.69,20.44,20.25,20.68,20.77,22.48,21.78
1923,21.16,21.24,21.06,21.64,21.43,20.96,19.89,19.76,20.18,21.40,22.15,21.53
1924,21.96,21.42,21.18,21.30,21.44,20.82,20.72,20.78,20.64,19.95,21.68,21.10
1925,21.19,20.43,20.60,21.34,21.57,21.16,20.55,20.61,20.93,21.13,21.96,21.60
1926,21.21,21.41,21.35,22.24,21.79,21.25,20.74,20.77,20.78,21.11,22.02,21.54
1927,21.29,21.26,21.36,21.36,21.45,20.81,20.58,20.64,20.81,20.94,21.91,21.73
1928,21.81,21.35,21.20,21.41,21.63,20.82,20.46,20.19,20.75,21.05,21.80,21.57
1929,21.21,21.09,20.70,21.52,21.44,20.58,20.31,20.45,20.83,21.16,21.61,21.29
1930,21.70,21.20,21.35,21.36,21.50,20.81,20.81,21.12,21.00,21.23,22.02,21.98
1931,22.21,22.10,21.73,21.88,21.73,21.26,20.58,21.15,20.99,21.15,22.02,21.38
1932,21.21,21.09,20.93,21.27,21.32,20.47,20.53,20.59,20.75,21.31,21.61,21.53
1933,21.71,20.95,21.03,21.28,21.59,20.93,20.54,20.69,20.28,20.88,21.51,21.20
1934,20.91,20.49,20.45,21.07,21.41,20.77,20.49,20.50,20.64,21.11,21.85,21.56
1935,21.50,21.59,21.54,21.28,21.28,20.57,20.43,20.36,20.95,21.18,22.02,21.90
1936,21.52,21.76,21.44,21.34,21.59,20.74,20.58,20.46,20.90,20.91,21.85,21.88
1937,21.56,21.63,21.85,21.48,21.22,20.96,20.59,20.92,20.83,21.00,21.96,21.59
1938,21.61,21.74,21.35,21.59,21.34,20.88,20.39,20.10,20.90,21.33,21.96,21.69
1939,21.67,21.13,21.34,21.54,21.39,20.61,20.51,20.49,20.54,20.90,21.96,21.74
1940,21.43,21.33,21.68,21.72,21.18,21.18,20.81,20.33,20.97,21.94,22.18,22.08
1941,22.11,22.11,22.15,22.33,21.87,21.80,21.06,20.82,21.11,21.80,22.15,22.18
1942,21.69,21.56,21.76,21.49,21.49,21.25,20.31,20.47,20.84,21.01,21.61,21.72
1943,20.81,20.69,20.65,20.90,21.44,20.27,19.74,19.89,20.54,20.54,21.61,21.32
1944,21.24,21.03,21.07,21.29,21.20,20.90,20.29,20.41,20.74,21.31,21.61,21.62
1945,21.74,21.38,21.17,21.29,21.36,20.81,20.29,20.51,20.54,20.73,21.61,21.72
1946,22.51,21.50,21.45,21.69,21.20,21.23,20.87,21.14,20.64,21.41,21.61,22.02
1947,22.51,21.86,21.46,21.35,21.49,21.23,20.44,20.59,20.74,21.11,21.61,22.42
1948,21.09,21.58,21.76,22.17,21.79,21.52,20.83,20.87,21.16,21.91,21.91,22.31
1949,21.88,21.60,21.71,21.73,21.26,21.22,20.38,20.62,20.83,21.31,21.91,22.00
1950,22.04,21.44,21.53,21.45,21.43,20.99,20.27,20.29,20.68,20.71,21.47,21.51
1951,20.82,20.57,21.54,21.69,21.16,21.23,20.24,20.39,20.94,21.21,22.00,21.78
1952,21.64,21.46,21.02,21.71,21.29,21.21,20.47,20.36,20.74,21.08,21.15,21.52
1953,21.61,21.15,21.24,21.49,21.10,21.19,20.27,20.59,20.94,21.71,21.58,22.22
1954,21.67,21.29,21.57,21.53,21.35,20.87,20.26,20.27,20.62,20.53,20.96,21.32
1955,21.30,21.19,21.18,21.39,21.53,20.91,19.85,19.81,20.48,20.92,21.23,21.21
1956,20.78,21.19,21.31,21.49,21.16,20.55,20.04,20.09,20.49,20.88,21.26,21.26
