,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.53,21.78,21.58,21.80,21.83,22.06,20.80,20.52,20.93,21.57,21.86,22.02
1902,21.81,21.93,21.85,22.02,21.99,21.88,21.11,20.90,20.81,21.29,21.86,21.82
1903,22.17,22.00,21.92,21.95,21.99,21.58,21.35,21.20,21.31,21.57,21.86,21.72
1904,21.54,21.76,21.65,21.45,21.99,21.27,21.15,20.84,21.14,21.40,21.77,21.78
1905,21.79,21.81,22.15,21.88,22.22,21.94,21.45,20.96,21.17,21.47,21.94,22.28
1906,22.47,22.34,22.07,22.44,22.41,22.40,21.65,21.24,21.14,21.47,21.45,21.87
1907,22.03,21.87,21.85,21.68,21.95,21.63,21.18,21.04,21.07,21.61,21.94,21.72
1908,22.10,22.00,21.85,21.92,22.07,21.50,21.15,21.17,21.17,21.50,21.94,21.72
1909,22.19,22.17,21.82,21.65,21.83,21.96,21.35,21.26,21.07,21.71,21.66,21.87
1910,22.03,21.84,21.69,21.48,21.91,21.70,21.51,21.39,21.41,21.64,21.75,21.82
1911,22.14,22.08,22.38,21.64,21.61,21.23,20.87,20.61,20.96,21.40,21.89,22.14
1912,22.07,21.81,21.74,21.77,21.91,21.83,21.41,20.81,21.31,21.57,21.84,22.02
1913,21.87,21.90,21.69,21.77,21.06,21.05,20.76,20.78,20.75,21.38,22.28,22.20
1914,21.90,22.30,22.01,21.98,21.87,21.35,20.59,20.77,21.00,21.33,21.77,21.94
1915,21.93,22.11,22.07,22.13,21.83,21.77,21.61,21.17,21.49,21.67,22.01,21.55
1916,21.90,21.87,21.82,22.02,22.05,22.19,21.78,21.44,21.41,21.57,21.70,21.78
1917,21.72,21.81,21.85,21.64,21.57,21.66,21.55,21.30,21.41,21.47,21.86,21.46
1918,21.57,21.61,21.85,21.65,21.75,21.58,20.95,21.11,20.93,21.61,22.19,21.98
1919,21.90,22.20,21.89,21.83,21.72,21.44,20.62,20.73,20.96,21.26,21.70,21.98
1920,21.96,21.87,21.96,21.98,22.05,22.30,21.81,21.40,21.38,21.57,21.86,21.75
1921,21.90,21.84,21.62,21.74,22.07,22.30,21.28,20.93,21.23,21.64,22.01,21.94
1922,22.07,21.93,21.71,21.92,21.75,21.55,20.76,20.45,21.00,21.40,22.08,21.82
1923,21.96,21.93,21.69,21.74,21.91,21.58,20.72,20.39,20.81,21.33,21.89,21.82
1924,22.23,21.95,22.05,21.57,22.22,21.83,21.31,20.96,21.28,21.57,22.17,21.75
1925,21.96,21.69,21.62,21.26,21.57,21.32,20.89,20.77,20.84,21.33,21.98,22.11
1926,22.07,22.25,22.35,22.02,21.61,21.53,21.01,21.08,21.41,21.74,22.17,22.02
1927,21.98,22.50,22.15,21.80,21.83,22.01,21.15,20.77,21.11,21.64,21.86,22.20
1928,21.87,22.25,21.74,22.04,21.69,21.16,21.01,21.04,21.38,21.71,22.10,22.05
1929,22.14,21.93,21.77,21.48,21.42,21.16,20.65,20.93,21.00,21.47,22.32,21.90
1930,22.33,21.84,21.74,21.98,21.95,21.32,21.21,20.93,21.00,21.47,21.86,21.78
1931,21.96,21.84,21.89,21.88,22.13,22.13,21.31,21.04,21.31,21.26,21.77,22.11
1932,22.41,22.24,21.82,22.02,21.87,21.83,20.72,20.65,21.14,21.64,21.84,21.78
1933,22.37,21.90,21.71,21.95,21.99,21.70,20.80,20.96,21.17,21.52,21.75,21.48
1934,21.84,21.61,21.59,21.88,21.78,21.83,21.26,20.77,21.05,21.44,21.89,22.20
1935,22.10,22.11,21.59,21.74,21.72,21.44,20.68,20.93,21.07,21.38,21.94,22.14
1936,21.98,22.11,21.92,21.92,21.95,21.79,21.41,21.30,21.38,21.52,21.98,21.98
1937,21.79,22.25,21.74,21.80,21.91,21.70,20.65,20.65,21.19,21.44,22.08,21.78
1938,21.81,21.87,22.07,22.07,22.13,21.88,20.99,20.96,21.14,21.34,21.36,21.82
1939,21.72,21.84,21.65,21.48,21.64,21.44,21.11,20.58,20.88,21.26,21.71,21.87
1940,21.68,21.51,21.58,21.64,21.39,21.46,20.89,20.69,20.81,21.11,21.75,21.82
1941,21.87,21.79,21.60,21.58,21.42,21.22,20.62,20.25,20.64,21.04,21.39,21.66
1942,21.81,21.82,22.05,21.85,22.16,21.97,20.98,20.78,21.21,21.38,21.53,21.44
1943,21.84,21.64,21.55,21.55,21.30,20.83,21.01,20.81,20.58,21.20,21.31,21.46
1944,21.70,21.78,21.30,21.71,21.16,21.32,20.56,20.53,20.93,21.29,21.50,21.47
1945,21.81,21.94,21.57,21.52,21.39,21.35,20.69,21.08,21.05,21.08,21.35,21.27
1946,21.59,21.79,21.66,21.47,21.67,21.16,20.95,20.60,20.77,21.21,21.67,21.76
1947,22.10,21.87,21.59,21.30,21.33,21.51,21.16,21.07,20.98,21.29,21.66,21.64
1948,21.96,21.92,21.71,21.16,21.49,21.02,21.11,20.59,20.68,21.37,21.74,21.45
1949,21.97,21.53,21.59,21.26,21.21,20.62,20.52,20.43,20.82,21.25,21.63,21.40
1950,21.70,21.67,21.66,21.50,21.53,21.38,20.69,20.67,20.82,21.01,21.44,21.18
1951,21.80,21.68,21.73,21.77,21.39,21.65,20.82,20.83,20.95,21.43,21.75,21.83
1952,22.06,22.15,21.81,21.84,21.75,21.28,21.09,20.58,21.10,21.49,21.73,21.92
1953,21.78,21.79,21.78,21.59,21.17,21.37,20.82,20.39,20.88,21.53,21.74,21.79
1954,21.82,21.85,21.85,21.72,21.59,21.19,20.76,20.89,21.00,21.04,21.58,21.24
1955,21.77,21.71,21.57,21.61,21.73,21.79,21.32,21.22,21.19,21.47,21.38,21.74
1956,21.49,21.62,21.53,21.60,21.58,21.30,21.18,20.73,20.52,21.32,21.58,21.33
