,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.84,20.25,20.19,20.24,20.43,20.43,20.39,19.66,19.68,19.76,20.22,20.22
1902,20.82,20.25,20.19,20.25,20.44,20.43,20.39,19.67,19.68,19.76,20.22,20.22
1903,20.83,20.25,20.20,20.25,20.44,20.42,20.40,19.68,19.68,19.76,20.22,20.22
1904,20.82,20.25,20.19,20.24,20.44,20.42,20.39,19.67,19.68,19.76,20.22,20.22
1905,20.82,20.25,20.20,20.24,20.44,20.43,20.40,19.67,19.68,19.76,20.22,20.23
1906,20.84,20.26,20.20,20.26,20.44,20.44,20.40,19.68,19.68,19.76,20.21,20.22
1907,20.82,20.25,20.19,20.24,20.44,20.42,20.39,19.67,19.68,19.76,20.22,20.22
1908,20.83,20.25,20.19,20.24,20.44,20.42,20.39,19.67,19.68,19.76,20.22,20.22
1909,20.83,20.26,20.19,20.24,20.43,20.43,20.40,19.68,19.68,19.77,20.22,20.22
1910,20.82,20.25,20.19,20.24,20.43,20.42,20.40,19.68,19.69,19.76,20.22,20.22
1911,20.83,20.26,20.21,20.24,20.43,20.42,20.39,19.67,19.68,19.76,20.22,20.23
1912,20.82,20.25,20.19,20.24,20.43,20.43,20.40,19.67,19.68,19.76,20.22,20.22
1913,20.82,20.25,20.19,20.24,20.42,20.41,20.39,19.67,19.67,19.76,20.23,20.23
1914,20.82,20.26,20.20,20.25,20.43,20.42,20.38,19.67,19.68,19.76,20.22,20.22
1915,20.82,20.26,20.20,20.25,20.43,20.43,20.40,19.67,19.69,19.76,20.22,20.22
1916,20.82,20.25,20.19,20.25,20.44,20.44,20.41,19.68,19.69,19.76,20.22,20.22
1917,20.82,20.25,20.19,20.24,20.43,20.42,20.40,19.68,19.69,19.76,20.22,20.21
1918,20.82,20.25,20.19,20.24,20.43,20.42,20.39,19.67,19.68,19.76,20.23,20.22
1919,20.82,20.26,20.19,20.24,20.43,20.42,20.38,19.67,19.68,19.76,20.22,20.22
