province_name,year,month,min_temp
Aceh,1901,Jan,18.85
Aceh,1901,Feb,19.07
Aceh,1901,Mar,18.78
Aceh,1901,Apr,19.39
Aceh,1901,May,19.43
Aceh,1901,Jun,19.05
Aceh,1901,Jul,18.59
Aceh,1901,Aug,18.57
Aceh,1901,Sep,18.61
Aceh,1901,Oct,19.17
Aceh,1901,Nov,19.53
Aceh,1901,Dec,19.32
Aceh,1902,Jan,18.64
Aceh,1902,Feb,18.77
Aceh,1902,Mar,19.16
Aceh,1902,Apr,19.79
Aceh,1902,May,19.41
Aceh,1902,Jun,18.97
Aceh,1902,Jul,18.66
Aceh,1902,Aug,18.5
Aceh,1902,Sep,18.8
Aceh,1902,Oct,19.38
Aceh,1902,Nov,19.53
Aceh,1902,Dec,19.39
Aceh,1903,Jan,18.66
Aceh,1903,Feb,18.93
Aceh,1903,Mar,19.07
Aceh,1903,Apr,19.83
Aceh,1903,May,19.59
Aceh,1903,Jun,18.9
Aceh,1903,Jul,18.51
Aceh,1903,Aug,18.52
Aceh,1903,Sep,18.83
Aceh,1903,Oct,19.19
Aceh,1903,Nov,19.37
Aceh,1903,Dec,19.15
Aceh,1904,Jan,18.53
Aceh,1904,Feb,18.71
Aceh,1904,Mar,19.02
Aceh,1904,Apr,19.39
Aceh,1904,May,19.29
Aceh,1904,Jun,18.85
Aceh,1904,Jul,18.43
Aceh,1904,Aug,18.57
Aceh,1904,Sep,18.76
Aceh,1904,Oct,19.25
Aceh,1904,Nov,19.36
Aceh,1904,Dec,19.25
Aceh,1905,Jan,18.47
Aceh,1905,Feb,18.81
Aceh,1905,Mar,19.16
Aceh,1905,Apr,19.71
Aceh,1905,May,19.14
Aceh,1905,Jun,18.86
Aceh,1905,Jul,18.65
Aceh,1905,Aug,18.57
Aceh,1905,Sep,18.96
Aceh,1905,Oct,19.24
Aceh,1905,Nov,19.63
Aceh,1905,Dec,19.4
Aceh,1906,Jan,18.7
Aceh,1906,Feb,18.81
Aceh,1906,Mar,18.81
Aceh,1906,Apr,19.84
Aceh,1906,May,19.7
Aceh,1906,Jun,18.94
Aceh,1906,Jul,18.58
Aceh,1906,Aug,18.53
Aceh,1906,Sep,18.92
Aceh,1906,Oct,19.15
Aceh,1906,Nov,19.44
Aceh,1906,Dec,19.37
Aceh,1907,Jan,18.6
Aceh,1907,Feb,18.75
Aceh,1907,Mar,18.92
Aceh,1907,Apr,19.67
Aceh,1907,May,19.14
Aceh,1907,Jun,18.91
Aceh,1907,Jul,18.43
Aceh,1907,Aug,18.45
Aceh,1907,Sep,18.9
Aceh,1907,Oct,19.09
Aceh,1907,Nov,19.38
Aceh,1907,Dec,19.11
Aceh,1908,Jan,18.49
Aceh,1908,Feb,18.59
Aceh,1908,Mar,19.02
Aceh,1908,Apr,19.72
