,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.71,20.38,20.45,20.15,19.63,18.79,17.94,17.77,18.76,19.90,20.79,20.73
1902,20.71,20.38,20.44,20.15,19.63,18.79,17.92,17.78,18.77,19.90,20.79,20.75
1903,20.71,20.40,20.45,20.14,19.63,18.79,17.93,17.78,18.77,19.88,20.79,20.73
1904,20.70,20.38,20.45,20.14,19.63,18.81,17.94,17.77,18.78,19.88,20.79,20.73
1905,20.71,20.39,20.45,20.14,19.63,18.81,17.94,17.78,18.77,19.90,20.79,20.75
1906,20.71,20.40,20.45,20.15,19.63,18.81,17.94,17.78,18.76,19.88,20.79,20.73
1907,20.71,20.38,20.43,20.14,19.63,18.79,17.92,17.77,18.78,19.88,20.79,20.73
1908,20.71,20.40,20.45,20.15,19.63,18.79,17.94,17.78,18.78,19.88,20.79,20.75
1909,20.71,20.40,20.44,20.15,19.63,18.81,17.92,17.78,18.76,19.88,20.79,20.73
1910,20.71,20.40,20.44,20.14,19.63,18.79,17.94,17.77,18.78,19.88,20.79,20.73
1911,20.71,20.38,20.45,20.15,19.63,18.80,17.92,17.77,18.77,19.88,20.79,20.75
1912,20.71,20.40,20.45,20.16,19.63,18.80,17.93,17.78,18.77,19.88,20.79,20.75
1913,20.71,20.40,20.43,20.14,19.63,18.80,17.94,17.78,18.77,19.90,20.79,20.75
1914,20.71,20.40,20.45,20.15,19.63,18.81,17.94,17.78,18.77,19.90,20.79,20.75
1915,20.09,19.42,20.14,19.79,19.17,18.81,17.77,17.68,18.77,19.90,20.79,20.75
1916,19.59,19.08,20.44,19.37,18.85,17.91,17.53,17.41,18.77,19.89,20.79,20.73
1917,19.83,19.42,19.47,19.19,19.00,18.15,17.71,17.81,18.78,19.90,20.79,20.75
1918,19.83,18.91,19.47,19.54,19.50,18.15,17.30,17.18,18.77,19.90,20.79,20.75
1919,20.69,20.40,20.21,19.70,19.09,18.30,17.12,17.00,18.77,19.90,20.79,20.75
1920,19.93,19.26,19.63,19.68,19.42,18.39,18.04,18.23,18.78,19.90,20.79,20.75
1921,20.59,20.07,19.47,19.28,18.65,18.47,17.77,17.81,18.76,19.88,20.79,20.73
1922,20.17,19.26,19.38,19.54,18.85,18.31,17.61,17.18,18.77,19.88,20.79,20.75
1923,20.71,20.23,19.86,19.94,19.17,18.48,17.44,16.45,18.76,19.90,20.79,20.75
1924,20.81,19.90,20.12,19.77,19.83,18.81,17.84,17.78,18.78,19.88,20.79,20.73
1925,20.68,19.52,19.47,19.70,19.42,18.31,17.46,17.59,18.78,19.90,20.79,20.75
1926,20.42,20.23,20.12,20.16,19.92,18.71,17.63,17.98,18.78,19.90,20.79,20.75
1927,20.42,20.50,20.28,20.16,19.57,18.71,18.04,17.81,18.78,19.90,20.79,20.75
1928,21.08,20.40,20.04,19.94,19.73,18.89,17.84,18.16,18.77,19.90,20.79,20.75
1929,20.50,20.23,19.63,19.70,18.75,18.31,16.96,17.18,18.78,19.90,20.79,20.74
1930,20.81,19.90,20.21,19.46,19.63,18.07,17.46,17.59,18.78,19.90,20.79,20.75
1931,21.08,20.40,20.71,20.13,19.83,19.12,18.04,17.88,18.78,19.90,20.79,20.75
1932,20.71,19.90,19.81,19.62,19.63,18.56,17.71,17.33,18.78,19.90,20.79,20.75
1933,21.08,19.66,19.87,19.62,19.73,18.63,17.53,18.81,18.76,19.90,20.79,20.75
1934,20.69,19.58,19.55,19.46,19.09,18.48,17.94,17.42,18.77,19.90,20.79,20.75
1935,20.91,20.40,20.45,19.62,19.63,18.15,17.21,16.93,18.78,19.90,20.79,20.75
1936,20.71,20.23,20.12,19.69,19.73,18.63,17.61,17.81,18.78,19.90,20.79,20.75
1937,20.34,20.58,20.55,19.78,19.17,18.07,17.06,16.79,18.78,19.90,20.79,20.75
1938,21.34,20.58,20.35,19.96,19.57,17.98,17.61,17.18,18.78,19.90,20.79,20.75
1939,21.34,20.88,20.04,19.87,18.91,17.91,18.19,17.81,18.78,19.90,20.79,20.75
1940,21.45,20.65,19.50,18.57,17.68,17.19,17.37,16.38,18.78,19.91,20.80,20.75
1941,21.57,20.69,21.10,20.26,19.92,18.56,16.85,16.54,18.78,19.90,20.79,20.75
1942,21.69,21.11,20.88,20.06,19.88,19.19,16.88,17.39,18.79,19.90,20.79,20.74
1943,20.71,20.40,20.45,20.15,19.63,18.80,17.94,17.79,18.76,19.90,20.79,20.75
1944,21.46,20.59,20.84,19.30,18.85,17.97,16.74,16.81,18.79,19.90,20.80,20.73
1945,21.51,20.66,20.35,20.04,19.33,17.28,16.72,17.24,18.77,19.89,20.78,20.73
1946,21.15,19.52,20.45,19.83,18.78,19.02,19.15,19.48,18.76,19.90,20.77,20.73
1947,21.57,21.04,20.17,18.88,19.78,19.04,17.95,17.78,18.77,19.89,20.79,20.73
1948,18.48,20.40,20.45,19.69,20.12,19.46,17.74,16.85,18.76,19.89,20.79,20.73
1949,21.33,20.76,19.96,19.54,19.05,18.07,17.08,16.91,18.36,19.87,20.62,20.73
1950,20.96,20.05,20.79,19.60,19.34,18.72,16.44,16.71,18.76,19.88,19.45,19.62
1951,20.39,20.02,20.25,19.57,18.80,18.95,17.21,16.82,18.67,19.85,21.68,20.47
1952,21.15,20.82,19.57,19.79,18.94,18.20,17.30,17.03,18.93,19.38,19.51,20.50
1953,20.84,20.30,20.55,20.10,18.90,18.73,16.93,16.69,18.87,20.16,20.09,20.96
1954,21.36,20.48,20.37,20.38,19.89,18.86,17.54,16.79,18.85,18.95,19.04,20.21
1955,21.10,20.20,20.28,19.92,19.50,18.60,17.36,17.59,18.57,19.28,19.36,20.48
1956,20.52,20.38,20.32,20.16,19.49,18.53,17.42,17.58,18.25,19.17,20.09,19.89
1957,20.71,20.10,20.15,20.49,19.76,18.94,17.77,17.14,17.98,19.90,20.98,20.55
1958,21.73,20.43,21.08,20.51,20.11,19.06,17.54,17.73,17.86,19.25,19.75,20.19
1959,20.30,20.70,20.12,19.90,20.37,18.29,17.19,17.00,18.22,20.20,21.08,20.01
1960,20.51,20.41,20.37,20.15,19.12,18.41,17.78,17.70,18.85,20.05,20.88,21.03
1961,21.02,20.94,20.75,20.72,19.17,17.99,17.06,16.03,18.11,20.31,20.91,21.67
1962,20.96,20.53,20.87,20.86,19.36,19.96,19.21,18.64,19.17,21.53,21.42,20.95
1963,20.36,20.34,20.21,20.20,19.23,18.67,17.17,16.39,18.14,20.37,21.71,21.23
1964,21.50,20.97,20.60,20.22,19.46,18.18,17.55,17.57,19.13,19.86,20.14,20.23
1965,20.71,20.09,20.86,18.97,18.49,17.67,16.28,16.60,17.59,19.75,21.37,21.46
1966,21.10,20.59,20.49,20.14,19.38,18.34,16.29,17.92,19.18,19.91,20.57,20.25
1967,20.79,20.25,20.06,19.17,18.55,17.31,17.01,17.35,17.97,18.75,20.53,20.44
1968,21.36,20.36,20.17,19.60,20.14,19.28,18.93,17.93,18.56,19.57,20.89,20.71
1969,20.95,20.82,20.73,20.11,19.47,18.75,18.21,18.08,18.01,19.50,21.17,20.49
1970,20.88,20.55,20.11,20.38,19.53,18.64,17.43,17.08,18.67,20.16,20.51,20.60
1971,19.64,19.80,20.34,19.08,19.39,18.22,17.04,17.67,18.98,19.58,19.51,20.24
1972,19.73,20.16,19.55,19.42,19.23,17.94,17.41,16.73,17.80,19.03,21.18,21.13
1973,21.55,20.40,20.90,20.65,19.93,19.67,18.93,18.24,19.43,19.63,20.60,20.47
1974,20.44,19.70,19.90,19.36,19.03,18.15,17.15,17.79,19.45,19.98,20.27,20.16
1975,20.13,19.97,19.92,19.88,19.59,18.20,18.21,18.26,19.16,19.38,20.33,20.56
1976,20.01,20.32,20.16,19.32,18.85,18.27,18.02,17.52,18.03,20.12,20.57,20.78
1977,21.03,20.31,20.75,20.04,19.39,18.47,16.86,16.78,18.27,19.43,20.48,20.85
1978,20.90,20.70,20.45,20.21,20.15,19.69,18.82,17.94,19.06,19.70,20.07,20.41
1979,20.87,20.23,20.28,20.27,20.22,19.51,18.16,18.33,19.29,19.74,20.96,20.55
1980,20.80,20.49,20.41,20.53,19.53,18.71,18.67,18.24,18.65,19.98,20.96,20.84
1981,20.79,20.41,20.46,20.37,20.82,19.21,19.19,19.02,19.55,20.24,21.28,20.63
1982,20.22,20.33,19.72,19.92,18.89,18.67,17.04,17.17,17.82,19.16,20.83,21.47
1983,21.11,21.15,21.21,21.05,20.55,19.84,18.36,18.19,19.29,20.71,21.03,20.49
1984,18.78,19.86,19.88,20.32,20.36,18.51,18.67,18.48,18.90,19.56,20.05,20.45
1985,20.57,20.38,20.48,20.03,20.20,19.26,18.09,18.42,18.78,19.25,21.24,20.82
1986,21.07,20.13,20.87,20.92,19.75,20.91,19.03,17.95,19.54,20.64,20.55,20.85
1987,21.30,20.85,20.68,20.96,21.81,20.58,18.89,18.70,18.88,20.60,21.60,21.75
1988,21.16,20.74,21.40,20.41,20.46,18.77,18.28,19.17,19.56,20.93,21.18,20.56
1989,20.82,20.02,20.59,20.84,20.55,19.65,19.76,18.38,19.51,19.81,20.53,21.44
1990,20.54,20.69,20.85,20.57,19.65,19.03,18.32,17.78,18.78,19.90,21.96,20.75
1991,20.91,20.60,20.40,20.49,19.63,19.06,17.77,17.38,18.39,19.62,20.22,21.15
1992,21.31,20.81,20.70,20.18,19.67,20.09,18.61,18.09,18.96,19.63,20.59,20.56
1993,21.30,20.78,20.28,20.20,19.66,18.83,18.19,17.80,18.33,19.70,21.48,21.40
1994,20.73,20.40,19.82,20.16,19.63,18.81,17.68,17.77,18.77,19.70,22.25,20.76
1995,20.71,20.40,20.03,20.28,20.02,19.28,18.77,18.23,19.00,20.47,20.34,21.19
1996,21.21,20.60,20.62,20.84,19.62,19.61,19.02,18.73,19.39,20.98,21.09,21.47
1997,20.97,20.60,20.63,20.56,19.64,19.58,17.71,17.68,18.46,19.90,21.48,21.98
1998,20.66,20.43,20.49,21.03,19.64,18.84,17.98,17.83,19.82,20.62,21.49,21.10
1999,20.88,20.87,20.65,20.28,19.62,19.21,18.02,18.16,19.26,20.00,20.79,20.54
2000,20.41,20.30,20.52,20.17,19.63,18.79,18.34,17.97,19.42,20.20,20.79,20.75
2001,20.33,20.50,20.25,20.18,19.63,19.31,18.43,18.02,19.18,20.10,20.99,20.35
2002,20.55,20.30,20.28,19.84,19.65,18.51,18.39,17.28,18.00,19.65,21.49,21.25
2003,20.63,20.61,20.26,20.01,19.65,18.56,17.96,17.02,19.22,19.65,20.99,20.55
2004,21.40,20.50,20.65,20.31,19.65,17.52,18.36,17.40,18.28,19.76,20.55,20.85
2005,21.13,21.30,20.90,20.31,19.65,19.50,19.04,17.98,18.68,19.90,20.42,20.26
2006,20.41,20.20,20.62,19.90,19.63,18.41,17.61,17.58,17.89,19.44,20.72,21.18
2007,20.86,20.57,21.54,21.15,19.87,20.46,18.31,18.19,18.80,20.41,21.06,20.65
2008,20.63,19.86,19.95,19.96,20.27,19.74,18.95,18.45,19.51,20.89,21.19,21.48
2009,21.14,19.92,20.25,20.46,19.85,18.99,18.77,18.21,20.15,19.83,21.80,21.91
2010,21.24,20.28,20.55,20.35,20.55,20.24,19.92,19.57,20.20,20.58,21.31,21.49
2011,20.65,20.75,21.15,21.24,20.45,20.18,18.34,17.78,19.02,20.47,21.10,21.67
2012,20.51,20.07,21.25,21.46,20.38,19.91,19.17,18.34,19.63,20.83,21.61,21.35
2013,20.96,20.39,20.88,21.04,20.85,20.91,19.49,18.59,18.81,20.68,20.63,21.57
2014,20.96,19.90,20.01,20.28,19.59,19.89,18.44,18.56,18.67,20.10,21.82,21.66
2015,21.11,20.42,20.29,20.76,19.37,19.51,18.18,17.88,18.59,19.95,21.89,21.83
2016,20.72,21.08,21.33,21.50,19.65,18.85,17.96,19.24,20.00,20.49,21.03,21.15
2017,21.16,20.97,20.92,20.50,19.63,19.11,18.64,19.00,19.28,20.78,20.70,21.13
2018,20.39,19.84,21.24,20.19,19.63,19.93,18.78,18.03,19.02,19.62,21.09,20.49
2019,21.13,21.21,20.52,21.08,19.87,18.72,17.97,17.76,18.22,19.72,20.74,19.65
2020,21.36,20.92,20.36,20.69,19.85,20.15,19.58,19.00,20.10,20.57,20.43,20.95
2021,19.76,20.30,20.52,20.36,19.64,19.81,18.71,19.30,20.47,20.50,20.32,21.17
