,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.09,20.44,20.17,19.95,19.55,18.89,17.57,17.45,18.44,19.93,21.00,20.99
1902,20.65,20.54,20.35,20.08,19.63,18.78,17.77,17.69,18.38,19.75,21.00,20.85
1903,20.87,20.59,20.39,20.03,19.63,18.60,17.91,17.88,18.68,19.93,21.00,20.81
1904,20.49,20.43,20.23,19.73,19.63,18.40,17.79,17.65,18.58,19.83,20.94,20.84
1905,20.63,20.48,20.53,20.00,19.77,18.80,17.97,17.73,18.60,19.87,21.05,21.15
1906,21.05,20.79,20.50,20.34,19.89,19.10,18.10,17.89,18.58,19.87,20.74,20.90
1907,20.79,20.50,20.35,19.89,19.61,18.62,17.81,17.77,18.54,19.95,21.05,20.81
1908,20.83,20.59,20.35,20.01,19.69,18.53,17.79,17.85,18.60,19.89,21.05,20.81
1909,20.89,20.69,20.33,19.85,19.55,18.82,17.91,17.92,18.54,20.02,20.86,20.90
1910,20.79,20.48,20.25,19.75,19.59,18.66,18.02,17.98,18.74,19.97,20.94,20.85
1911,20.85,20.63,20.67,19.84,19.39,18.38,17.61,17.51,18.46,19.83,21.03,21.07
1912,20.81,20.48,20.29,19.93,19.59,18.74,17.96,17.64,18.68,19.93,20.98,20.99
1913,20.69,20.52,20.25,19.93,19.06,18.26,17.55,17.61,18.34,19.82,21.25,21.11
1914,20.71,20.77,20.46,20.05,19.57,18.44,17.45,17.59,18.48,19.77,20.94,20.95
1915,20.60,20.43,20.42,20.08,19.45,18.70,18.03,17.83,18.80,19.99,21.09,20.70
1916,20.47,20.21,20.33,19.91,19.50,18.76,18.08,17.93,18.74,19.93,20.89,20.84
1917,20.40,20.27,20.14,19.63,19.23,18.49,17.98,17.93,18.74,19.87,21.00,20.64
1918,20.32,20.02,20.14,19.72,19.46,18.45,17.53,17.69,18.44,19.95,21.21,20.97
1919,20.71,20.70,20.32,19.88,19.35,18.41,17.30,17.40,18.46,19.73,20.89,20.97
1920,20.58,20.25,20.23,19.96,19.62,18.93,18.21,18.10,18.72,19.93,21.00,20.84
1921,20.68,20.42,20.02,19.73,19.48,18.96,17.83,17.71,18.64,19.97,21.09,20.95
1922,20.69,20.30,20.05,19.88,19.32,18.47,17.49,17.28,18.48,19.83,21.13,20.85
1923,20.74,20.50,20.13,19.87,19.49,18.53,17.43,17.08,18.38,19.77,21.03,20.85
1924,20.94,20.46,20.40,19.71,19.81,18.74,17.89,17.73,18.66,19.93,21.19,20.84
1925,20.74,20.19,20.02,19.52,19.32,18.31,17.53,17.55,18.40,19.77,21.07,21.05
1926,20.74,20.71,20.59,20.07,19.45,18.55,17.64,17.84,18.74,20.03,21.19,20.99
1927,20.71,20.90,20.48,19.95,19.54,18.84,17.80,17.59,18.55,19.97,21.00,21.11
1928,20.77,20.75,20.20,20.05,19.48,18.35,17.71,17.86,18.72,20.02,21.15,21.01
1929,20.81,20.50,20.13,19.66,19.10,18.23,17.28,17.58,18.48,19.87,21.27,20.93
1930,21.00,20.38,20.24,19.89,19.61,18.26,17.73,17.67,18.48,19.87,21.00,20.84
1931,20.83,20.48,20.43,19.99,19.77,18.99,17.91,17.81,18.68,19.73,20.94,21.05
1932,21.01,20.62,20.19,19.96,19.57,18.69,17.48,17.44,18.58,19.97,20.98,20.84
1933,21.06,20.36,20.15,19.92,19.64,18.62,17.48,17.96,18.60,19.91,20.94,20.67
1934,20.68,20.17,20.00,19.83,19.39,18.67,17.85,17.52,18.53,19.84,21.02,21.11
1935,20.88,20.64,20.19,19.80,19.47,18.37,17.36,17.53,18.54,19.82,21.05,21.07
