,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.97,19.86,20.00,20.06,19.94,19.54,18.96,18.91,19.02,19.39,19.69,20.07
1902,19.93,19.86,20.01,20.06,19.94,19.53,18.97,18.93,19.02,19.39,19.69,20.06
1903,20.09,19.90,20.12,20.08,19.91,19.52,18.99,18.88,18.99,19.25,19.65,20.06
1904,19.95,19.84,20.01,20.01,19.90,19.39,18.84,18.73,18.85,19.26,19.53,20.06
1905,20.02,19.73,20.03,20.11,19.93,19.58,18.87,18.74,18.94,19.36,19.59,20.17
1906,20.07,20.06,20.09,20.19,19.96,19.54,18.96,18.81,19.01,19.26,19.67,20.13
1907,19.92,19.87,19.96,20.07,19.90,19.54,18.92,18.83,18.86,19.26,19.60,20.06
1908,19.92,19.92,20.03,20.04,19.90,19.39,18.92,18.91,18.98,19.21,19.62,20.04
1909,20.00,19.98,20.05,20.12,20.05,19.62,19.17,19.05,19.03,19.42,19.70,20.05
1910,20.02,19.88,20.04,20.10,19.98,19.59,19.07,19.00,19.08,19.45,19.68,20.17
1911,20.06,19.86,20.10,20.09,19.90,19.46,18.89,18.90,18.82,19.29,19.68,20.21
1912,19.95,19.99,20.07,20.18,19.89,19.68,18.97,18.77,18.98,19.31,19.69,20.15
1913,20.04,19.87,20.08,20.05,19.91,19.48,18.91,18.79,18.81,19.19,19.71,20.07
1914,20.03,19.87,20.10,20.17,19.96,19.49,18.85,18.70,18.80,19.13,19.51,20.07
1915,19.96,19.96,20.08,20.06,19.99,19.53,19.07,18.91,19.13,19.38,19.75,20.16
1916,19.89,19.96,20.09,20.12,19.92,19.59,19.14,19.04,19.04,19.41,19.74,20.12
1917,19.98,19.94,20.00,20.10,19.96,19.51,19.11,18.96,19.07,19.40,19.75,19.96
1918,19.94,19.79,19.98,20.03,19.81,19.38,18.74,18.75,18.79,19.25,19.72,20.10
1919,19.93,19.94,20.04,20.05,19.91,19.34,18.76,18.73,18.86,19.20,19.67,20.06
1920,19.93,19.84,20.12,20.12,19.94,19.62,18.99,18.90,18.98,19.33,19.61,20.05
1921,19.93,19.95,20.11,19.98,19.92,19.62,18.96,18.79,19.01,19.38,19.62,20.08
1922,20.05,19.97,20.03,20.02,19.79,19.51,18.99,18.73,19.00,19.38,19.60,20.14
1923,20.03,19.81,19.90,20.00,19.90,19.38,18.71,18.88,18.75,19.30,19.67,20.16
1924,20.02,19.98,20.14,20.07,19.94,19.54,18.89,18.87,19.00,19.44,19.80,20.07
1925,20.03,19.94,20.03,19.97,19.83,19.44,18.85,18.78,18.91,19.21,19.64,20.14
1926,19.95,20.00,20.17,20.13,20.03,19.52,18.97,18.94,19.06,19.43,19.68,20.12
1927,19.96,19.96,20.19,20.11,19.98,19.63,18.97,18.76,18.85,19.26,19.61,20.08
1928,19.98,19.99,20.07,20.18,19.91,19.43,18.84,18.84,19.00,19.39,19.69,20.22
1929,19.92,19.77,20.01,20.12,19.81,19.48,18.94,18.76,18.84,19.32,19.69,20.00
1930,19.98,19.86,20.00,20.05,20.04,19.54,18.85,18.81,18.82,19.28,19.58,20.05
1931,20.08,19.87,19.98,19.88,19.87,19.37,18.77,18.93,18.83,19.38,19.56,20.07
1932,20.05,19.99,20.12,20.23,20.01,19.52,18.83,18.78,18.95,19.35,19.69,20.11
1933,20.09,19.95,20.12,20.11,19.93,19.52,19.00,18.92,19.03,19.38,19.67,20.06
1934,19.99,19.98,20.04,20.14,19.97,19.62,19.02,18.90,18.87,19.33,19.82,20.07
1935,20.08,20.00,20.05,20.04,19.86,19.49,19.02,18.79,18.97,19.37,19.62,20.11
1936,20.06,19.90,20.09,20.11,19.87,19.54,18.99,18.79,18.99,19.30,19.68,20.16
1937,20.01,19.94,20.11,20.08,19.99,19.58,19.01,18.86,18.99,19.37,19.74,20.16
1938,20.00,19.86,20.05,20.15,19.90,19.55,18.97,18.91,18.90,19.27,19.65,20.05
1939,19.97,19.85,20.00,20.07,19.87,19.51,18.98,18.84,18.96,19.31,19.69,20.18
1940,19.93,19.85,19.99,20.07,19.97,19.57,18.96,18.88,18.93,19.19,19.71,20.17
1941,19.93,19.85,20.02,20.00,19.91,19.43,18.73,18.66,18.80,19.35,19.54,19.99
1942,19.99,19.93,20.03,20.22,20.05,19.62,19.13,18.90,19.05,19.39,19.68,20.11
