,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.84,21.86,21.78,21.96,21.96,21.74,21.41,21.25,21.46,21.73,21.92,21.78
1902,21.80,21.86,21.79,21.98,21.98,21.73,21.42,21.27,21.45,21.72,21.92,21.76
1903,21.82,21.87,21.80,21.97,21.98,21.70,21.44,21.29,21.48,21.73,21.92,21.76
1904,21.78,21.86,21.78,21.94,21.98,21.69,21.43,21.27,21.46,21.72,21.92,21.76
1905,21.80,21.86,21.81,21.97,21.99,21.73,21.45,21.27,21.46,21.72,21.93,21.79
1906,21.84,21.89,21.81,22.01,22.01,21.77,21.47,21.29,21.46,21.72,21.90,21.76
1907,21.80,21.86,21.79,21.96,21.98,21.71,21.43,21.27,21.46,21.73,21.93,21.76
1908,21.81,21.87,21.79,21.97,21.98,21.70,21.43,21.29,21.46,21.72,21.93,21.76
1909,21.82,21.88,21.79,21.96,21.96,21.73,21.44,21.29,21.46,21.74,21.92,21.76
1910,21.80,21.86,21.78,21.95,21.97,21.72,21.46,21.30,21.48,21.74,21.92,21.76
1911,21.82,21.88,21.83,21.96,21.96,21.69,21.42,21.25,21.46,21.72,21.93,21.79
1912,21.80,21.86,21.78,21.96,21.97,21.72,21.45,21.27,21.48,21.73,21.92,21.78
1913,21.80,21.86,21.78,21.96,21.92,21.67,21.41,21.27,21.44,21.72,21.95,21.79
1914,21.80,21.89,21.80,21.98,21.97,21.70,21.40,21.26,21.46,21.72,21.92,21.77
1915,21.80,21.88,21.81,21.99,21.96,21.72,21.46,21.29,21.49,21.74,21.94,21.75
1916,21.80,21.86,21.79,21.98,21.98,21.75,21.47,21.31,21.48,21.73,21.92,21.76
1917,21.79,21.86,21.79,21.96,21.95,21.71,21.46,21.30,21.48,21.72,21.92,21.74
1918,21.78,21.85,21.79,21.96,21.96,21.70,21.42,21.29,21.46,21.73,21.95,21.77
1919,21.80,21.89,21.80,21.96,21.96,21.70,21.40,21.26,21.46,21.71,21.92,21.77
1920,21.80,21.86,21.80,21.98,21.98,21.76,21.48,21.30,21.48,21.73,21.92,21.76
1921,21.80,21.86,21.78,21.96,21.98,21.76,21.44,21.27,21.47,21.74,21.94,21.77
1922,21.80,21.86,21.78,21.97,21.96,21.70,21.41,21.24,21.46,21.72,21.94,21.76
1923,21.80,21.86,21.78,21.96,21.97,21.70,21.41,21.24,21.45,21.72,21.93,21.76
1924,21.70,21.79,21.73,21.84,21.88,21.65,21.35,21.23,21.36,21.62,21.83,21.62
1925,21.73,21.79,21.71,21.86,21.84,21.64,21.33,21.24,21.39,21.64,21.82,21.70
1926,21.73,21.83,21.76,21.95,21.96,21.70,21.39,21.22,21.41,21.74,21.88,21.72
1927,21.77,21.92,21.81,21.96,21.91,21.73,21.37,21.22,21.46,21.69,21.92,21.77
1928,21.79,21.87,21.78,21.99,21.94,21.62,21.46,21.27,21.45,21.71,21.94,21.71
1929,21.71,21.79,21.78,21.89,21.87,21.70,21.28,21.21,21.41,21.65,21.88,21.66
1930,21.74,21.74,21.71,21.90,21.89,21.66,21.36,21.24,21.35,21.72,21.86,21.68
1931,21.73,21.77,21.75,21.94,21.96,21.74,21.42,21.23,21.42,21.60,21.87,21.78
1932,21.77,21.83,21.79,21.94,21.87,21.70,21.34,21.26,21.39,21.73,21.85,21.73
1933,21.78,21.86,21.78,21.98,21.94,21.66,21.38,21.25,21.39,21.63,21.85,21.74
1934,21.80,21.85,21.78,21.94,21.90,21.70,21.44,21.22,21.38,21.70,21.84,21.71
1935,21.73,21.85,21.78,21.92,21.89,21.65,21.33,21.23,21.41,21.65,21.85,21.71
1936,21.75,21.83,21.75,21.87,21.89,21.63,21.37,21.19,21.41,21.65,21.88,21.72
1937,21.79,21.87,21.73,21.90,21.90,21.66,21.34,21.16,21.36,21.66,21.82,21.73
1938,21.77,21.86,21.75,21.91,21.87,21.68,21.37,21.27,21.38,21.65,21.80,21.67
1939,21.74,21.77,21.71,21.88,21.89,21.64,21.42,21.25,21.46,21.63,21.84,21.69
1940,21.72,21.74,21.71,21.89,21.87,21.63,21.37,21.19,21.39,21.61,21.83,21.71
1941,21.74,21.77,21.71,21.90,21.91,21.66,21.35,21.20,21.36,21.67,21.81,21.68
1942,21.73,21.84,21.77,21.89,21.91,21.69,21.37,21.21,21.38,21.67,21.83,21.68
1943,21.72,21.82,21.70,21.87,21.85,21.57,21.42,21.18,21.36,21.60,21.81,21.66
1944,21.79,21.86,21.75,21.96,21.93,21.69,21.39,21.25,21.46,21.72,21.90,21.75
1945,21.80,21.86,21.78,21.95,21.95,21.70,21.42,21.29,21.46,21.70,21.89,21.73
1946,21.78,21.86,21.78,21.96,21.96,21.70,21.42,21.26,21.45,21.71,21.92,21.76
1947,21.81,21.86,21.78,21.94,21.95,21.71,21.44,21.29,21.46,21.72,21.92,21.76
1948,21.80,21.86,21.78,21.96,21.93,21.66,21.43,21.26,21.44,21.69,21.92,21.69
1949,21.80,21.84,21.75,21.93,21.82,21.65,21.35,21.23,21.42,21.68,21.85,21.64
1950,21.72,21.78,21.66,21.95,21.89,21.66,21.42,21.21,21.38,21.64,21.83,21.66
1951,21.79,21.87,21.78,21.96,21.96,21.71,21.42,21.26,21.41,21.72,21.90,21.76
1952,21.81,21.88,21.77,21.94,21.96,21.70,21.42,21.21,21.39,21.72,21.92,21.75
1953,21.79,21.86,21.76,21.95,21.93,21.70,21.42,21.24,21.41,21.76,21.92,21.74
1954,21.80,21.91,21.79,21.95,21.93,21.69,21.39,21.27,21.46,21.66,21.86,21.68
1955,21.73,21.83,21.76,21.95,21.90,21.68,21.44,21.27,21.47,21.69,21.86,21.74
1956,21.16,21.84,21.46,21.85,21.50,21.41,21.13,21.02,20.96,21.58,21.68,21.19
1957,21.37,21.67,21.63,21.89,21.70,21.54,21.27,21.50,21.41,22.12,21.99,21.65
1958,21.84,21.86,21.70,22.33,22.27,22.10,21.67,21.49,21.81,22.08,22.35,21.76
1959,21.79,21.76,21.95,21.95,22.01,21.70,21.40,21.07,21.34,21.62,22.21,21.83
1960,21.78,21.98,21.77,22.06,21.83,21.56,21.23,21.31,21.34,22.12,22.24,21.92
1961,22.23,22.17,22.10,22.29,22.29,21.56,21.38,21.43,21.51,21.87,21.57,21.73
1962,21.63,22.15,21.55,21.80,21.79,21.31,21.67,21.29,21.29,21.91,22.58,21.97
1963,22.25,22.32,22.09,22.40,22.43,22.09,21.43,21.39,21.69,21.74,22.05,22.01
1964,22.01,22.29,22.07,22.29,22.43,21.77,21.47,21.03,21.86,21.46,21.77,21.53
1965,21.70,21.98,21.57,21.26,21.91,21.60,21.66,21.23,21.79,22.05,22.72,21.35
1966,21.74,21.85,22.11,22.23,21.98,21.95,21.45,21.50,21.79,21.93,21.89,21.67
1967,21.76,21.80,21.74,21.91,21.80,21.90,21.62,21.46,21.29,22.21,22.10,21.83
1968,22.01,22.26,21.98,22.04,21.94,22.24,21.73,21.64,21.64,22.03,21.78,21.97
1969,21.74,21.99,22.23,22.18,22.27,22.11,21.76,21.44,21.69,21.80,22.05,22.03
1970,22.05,22.22,22.16,22.25,22.16,22.15,21.40,21.17,21.49,21.84,21.89,21.80
1971,21.74,21.95,21.94,22.37,21.95,21.55,20.99,20.43,21.52,21.59,21.75,21.54
1972,21.32,21.83,21.37,21.20,21.67,21.59,20.74,20.56,20.98,21.50,21.54,21.99
1973,21.94,22.32,21.91,21.76,21.83,22.33,21.56,21.49,21.52,21.45,21.85,21.61
1974,22.02,22.06,21.70,22.17,22.06,21.77,21.20,21.41,21.52,21.68,21.94,21.80
1975,20.94,21.59,21.19,21.25,21.35,21.34,21.19,21.15,21.42,21.29,21.76,21.38
1976,21.47,20.58,21.67,21.73,21.76,20.95,21.15,20.93,21.15,20.90,21.06,21.08
1977,21.58,21.22,21.29,22.03,21.48,21.03,21.20,20.98,21.63,21.69,21.57,21.82
1978,21.35,21.68,21.44,21.96,22.04,21.68,21.37,21.16,21.19,21.60,21.55,21.48
1979,21.65,21.63,21.63,21.20,21.72,21.40,21.22,21.00,21.29,22.02,21.45,21.79
1980,21.88,21.57,21.49,22.42,22.13,21.54,21.66,20.93,21.73,21.74,21.80,21.30
1981,21.63,20.93,21.14,21.66,22.13,21.44,21.49,21.42,21.53,21.45,22.01,21.70
1982,21.63,21.83,21.66,21.91,21.97,21.71,21.12,20.75,20.83,20.91,21.37,21.77
1983,21.21,21.62,21.79,21.78,21.47,21.84,21.30,21.03,21.19,21.77,22.24,21.70
1984,21.36,21.63,21.82,21.53,21.85,21.21,21.13,21.16,20.81,21.74,22.14,21.88
1985,22.20,22.13,22.12,22.12,22.27,21.29,21.36,21.05,21.36,21.71,22.02,21.95
1986,22.11,22.25,21.89,22.05,21.70,22.34,21.95,21.92,21.90,21.77,21.78,21.82
1987,21.88,22.01,21.96,22.11,22.01,22.26,22.17,21.63,21.71,21.80,22.27,21.81
1988,22.34,22.40,22.25,22.21,22.18,21.93,21.64,22.08,21.56,21.97,22.24,21.80
1989,22.27,22.24,21.80,22.47,22.12,21.51,21.24,21.86,21.65,22.02,22.27,22.73
1990,22.23,21.45,21.91,22.10,22.26,21.70,21.34,21.30,21.35,22.13,22.37,22.00
1991,21.51,21.84,21.78,21.99,22.21,22.10,21.15,21.29,21.94,21.72,22.02,21.76
1992,21.59,21.88,21.84,21.51,22.08,22.10,21.28,21.34,21.48,22.08,21.84,21.91
1993,21.55,21.84,21.69,21.92,21.98,21.72,21.46,21.27,21.61,21.98,22.31,22.33
1994,21.94,22.27,22.12,22.10,22.54,21.70,21.72,21.67,21.42,21.86,22.17,21.99
1995,21.68,21.69,21.91,22.14,22.41,21.91,21.45,21.53,21.46,21.67,21.94,22.00
1996,21.76,22.54,21.81,22.19,21.95,21.72,21.44,21.35,22.32,21.75,22.41,22.05
1997,21.78,21.83,21.75,21.94,21.98,21.78,21.46,21.28,21.45,21.76,21.94,21.85
1998,21.80,21.96,21.87,22.04,22.07,21.75,21.59,21.61,21.86,22.21,21.96,21.80
1999,21.80,21.95,21.77,21.93,21.51,21.73,21.40,21.24,21.45,21.77,21.92,21.73
2000,21.85,21.84,21.83,21.95,21.94,21.68,21.42,21.31,21.54,21.81,21.95,21.76
2001,21.96,22.17,21.79,22.38,22.09,21.77,21.87,22.12,21.81,21.82,22.23,22.01
2002,21.92,22.13,22.12,22.35,22.53,22.02,21.40,21.94,21.97,22.12,22.21,21.89
2003,21.90,22.26,21.58,22.52,22.71,22.23,21.78,21.24,21.60,21.90,22.84,22.19
2004,22.09,22.46,22.37,22.66,22.15,22.23,21.44,21.32,21.57,22.35,22.28,22.09
2005,22.06,22.31,22.14,21.85,22.03,21.78,21.72,21.67,21.63,21.77,22.32,21.80
2006,21.78,22.38,21.91,22.19,22.26,21.59,21.68,22.36,21.86,22.46,21.92,22.01
2007,22.29,22.14,21.78,21.95,22.41,22.18,21.64,21.35,21.83,22.18,22.34,22.13
2008,21.47,22.26,21.99,21.43,21.96,21.32,21.38,21.38,20.82,21.86,22.02,22.33
2009,22.19,22.37,22.02,22.62,22.37,22.15,22.30,22.01,22.61,22.36,22.57,22.59
2010,22.11,22.82,22.06,22.96,23.12,22.65,22.23,22.15,22.58,22.26,22.52,22.17
2011,22.39,21.88,22.52,22.89,21.38,21.63,22.20,21.22,21.88,22.31,22.66,22.54
2012,22.75,22.92,21.74,22.59,22.50,21.66,21.82,21.94,22.25,21.76,22.44,22.42
2013,22.68,22.98,22.36,22.02,22.03,21.76,21.47,21.26,21.47,22.49,21.91,22.45
2014,22.49,22.78,22.61,23.10,22.73,22.17,21.44,21.65,21.55,22.80,21.97,22.38
2015,22.56,22.06,21.92,22.97,22.90,21.79,22.45,21.30,22.55,22.66,21.98,22.60
2016,21.93,22.21,21.93,22.10,22.05,21.86,22.34,21.83,22.32,22.34,22.46,22.17
2017,21.97,22.24,22.24,22.40,22.37,21.76,21.98,21.80,21.98,22.36,22.40,22.16
2018,22.43,22.92,22.26,22.03,22.03,22.05,22.23,22.03,22.03,22.05,22.21,21.98
2019,22.72,21.60,22.50,22.78,22.67,22.05,21.92,22.29,22.42,21.70,22.71,22.26
2020,22.48,22.82,22.42,22.25,22.89,21.73,21.89,21.67,22.00,22.43,22.38,21.70
2021,21.79,22.78,21.79,21.87,21.89,21.66,22.04,21.66,22.07,22.51,22.43,21.71
