,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.67,21.66,22.32,22.43,22.63,22.00,21.88,21.62,21.84,22.00,22.15,21.83
1902,21.60,21.64,22.07,22.34,22.63,22.02,21.62,21.67,21.86,22.05,22.15,22.01
1903,21.89,21.77,22.20,22.31,22.63,22.02,21.65,21.67,21.86,21.83,22.15,21.76
1904,21.55,21.58,22.32,22.21,22.63,22.29,21.88,21.55,22.10,21.78,22.15,21.83
1905,21.70,21.74,22.20,22.26,22.63,22.19,21.72,21.65,21.86,22.10,22.15,22.06
1906,21.80,21.96,22.20,22.41,22.63,22.10,21.70,21.65,21.84,21.83,22.15,21.80
1907,21.60,21.66,22.03,22.28,22.63,22.00,21.62,21.58,22.10,21.89,22.15,21.85
1908,21.72,21.77,22.17,22.39,22.63,22.00,21.88,21.65,22.10,21.85,22.15,21.91
1909,21.75,21.77,22.10,22.36,22.63,22.29,21.60,21.70,21.84,21.85,22.15,21.85
1910,21.72,21.81,22.07,22.26,22.63,22.02,21.68,21.62,22.10,21.75,22.15,21.85
1911,21.83,22.55,22.71,22.98,23.03,22.74,22.71,21.99,22.52,22.33,23.44,22.85
1912,23.07,22.82,23.37,23.20,23.03,22.29,22.18,22.22,22.50,22.44,22.95,22.77
1913,22.38,22.66,23.23,22.46,23.03,22.11,22.24,22.31,22.53,22.77,23.15,22.95
1914,22.41,22.98,22.86,22.89,24.01,22.25,22.38,22.70,22.90,22.94,23.63,23.42
1915,22.55,22.68,22.89,23.13,23.43,23.00,22.07,22.92,22.52,22.68,23.44,22.75
1916,22.07,22.69,22.61,22.99,22.83,22.33,21.43,21.87,22.56,22.72,23.25,22.58
1917,21.67,21.56,22.22,22.64,21.84,22.15,22.04,21.67,22.40,22.68,23.25,22.62
1918,20.47,20.48,22.32,22.39,22.33,21.79,22.16,22.28,22.38,22.26,23.25,22.00
1919,22.73,22.92,23.29,23.21,23.53,22.90,21.93,22.51,22.57,22.60,23.05,22.45
1920,22.17,22.45,23.21,22.89,23.23,22.92,22.40,21.78,22.90,22.88,23.63,21.93
1921,22.28,22.00,22.53,22.78,22.43,22.00,22.05,22.32,22.62,22.11,22.75,22.74
1922,22.86,22.24,22.27,22.18,22.33,22.15,22.10,21.80,22.57,22.27,23.63,23.17
1923,22.04,22.45,22.48,23.15,22.83,22.56,21.72,21.60,21.75,22.46,23.05,22.61
1924,23.33,22.86,22.68,22.78,22.72,22.19,22.28,22.54,22.04,21.95,22.50,22.24
1925,21.68,21.26,21.81,22.56,22.59,22.39,22.28,21.83,21.97,22.07,22.29,21.92
1926,21.83,21.89,21.99,23.31,23.33,22.43,21.86,22.02,21.94,21.96,22.39,22.75
1927,22.23,21.86,22.66,22.58,22.29,21.97,22.20,21.98,22.10,21.82,22.36,22.59
1928,22.10,22.49,22.32,22.45,22.72,21.96,21.70,21.62,21.89,21.94,22.16,22.87
1929,21.67,21.75,21.94,22.57,22.88,21.59,22.14,21.99,22.09,21.71,21.96,22.07
1930,21.95,21.78,22.31,22.50,22.75,21.87,22.58,22.95,22.36,22.28,22.82,22.55
1931,22.83,22.69,22.77,23.04,23.03,22.77,22.06,23.14,22.27,22.19,22.75,22.28
1932,21.72,21.88,22.21,22.45,22.21,21.55,21.88,21.83,22.01,22.45,22.05,22.27
1933,22.41,21.51,22.17,22.68,22.75,22.37,22.13,22.32,21.78,21.98,21.95,21.65
1934,21.13,21.00,21.53,22.06,22.78,22.05,22.10,22.24,22.39,22.21,22.46,22.34
1935,21.93,22.01,22.83,22.48,22.21,21.98,22.62,22.17,22.77,22.57,22.83,22.47
1936,22.53,22.57,22.64,22.80,23.13,22.16,22.40,21.92,22.33,21.75,22.60,22.57
1937,22.34,22.31,22.87,23.13,22.30,22.54,22.34,22.60,22.24,22.07,22.65,22.68
1938,22.24,22.78,22.49,22.78,22.46,22.43,21.86,21.71,22.44,22.23,22.69,22.50
1939,22.48,22.13,22.31,22.90,22.73,22.06,21.85,21.95,21.91,22.10,22.56,22.70
1940,22.30,22.24,22.90,22.93,22.88,22.98,22.47,22.16,22.38,22.89,23.00,22.74
1941,22.55,22.97,23.31,23.56,23.65,23.22,22.71,22.72,22.73,23.39,23.13,23.37
1942,21.79,21.95,22.38,22.51,22.63,22.29,21.89,21.89,22.10,22.09,22.14,22.12
1943,21.65,21.76,22.13,22.37,22.62,22.05,21.66,21.70,21.98,21.97,22.15,22.03
1944,21.69,21.83,22.17,22.50,22.62,22.26,21.88,21.89,22.06,22.18,22.14,22.12
1945,21.84,21.95,22.26,22.45,22.63,22.29,21.88,21.89,22.00,22.02,22.14,22.11
1946,22.25,22.30,22.60,22.80,22.86,22.40,21.88,22.01,22.15,22.21,22.24,22.11
1947,22.05,22.20,22.79,22.90,22.86,22.58,21.90,22.05,22.09,22.23,22.15,22.54
1948,22.39,22.49,22.96,23.51,23.16,23.03,22.33,22.85,22.58,22.70,22.82,22.88
1949,22.60,22.82,23.10,23.19,22.75,22.79,22.31,22.50,22.55,22.35,22.60,22.77
1950,22.71,22.52,22.74,22.65,22.89,22.43,21.82,21.79,22.14,21.89,22.63,22.24
1951,21.39,21.19,22.18,22.43,22.29,22.40,21.47,21.79,22.07,22.00,22.21,22.42
1952,22.22,22.33,22.11,22.57,22.73,22.33,21.88,21.77,21.75,22.09,21.87,21.47
1953,21.70,21.59,22.08,22.51,22.44,22.50,21.67,22.06,21.97,22.19,22.17,22.17
1954,21.93,22.14,22.25,22.23,22.37,22.03,21.49,21.82,21.86,21.58,21.52,21.85
1955,21.65,21.74,22.04,22.21,22.37,21.95,21.33,21.42,21.87,21.84,21.84,21.53
