,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1902,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1903,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1904,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1905,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1906,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1907,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1908,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1909,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1910,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1911,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1912,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1913,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1914,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1915,18.88,18.76,19.89,19.17,19.27,18.83,18.15,18.07,18.23,18.81,19.09,19.14
1916,18.74,18.63,19.98,19.06,19.17,18.56,18.07,17.97,18.23,18.81,19.09,19.14
1917,18.82,18.76,19.69,19.01,19.22,18.64,18.13,18.08,18.23,18.81,19.09,19.14
1918,18.82,18.62,19.69,19.10,19.38,18.64,18.01,17.89,18.23,18.81,19.09,19.14
1919,19.08,19.05,19.92,19.15,19.25,18.68,17.96,17.85,18.23,18.81,19.09,19.14
1920,18.84,18.70,19.74,19.15,19.35,18.71,18.21,18.22,18.23,18.81,19.09,19.14
1921,19.07,18.97,19.69,19.03,19.13,18.74,18.15,18.08,18.23,18.81,19.09,19.14
1922,18.91,18.70,19.66,19.10,19.17,18.68,18.11,17.89,18.23,18.81,19.09,19.14
1923,19.08,19.01,19.81,19.23,19.27,18.74,18.06,17.66,18.23,18.81,19.09,19.14
1924,19.10,18.91,19.89,19.17,19.46,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1925,19.08,18.78,19.69,19.15,19.35,18.68,18.06,18.02,18.23,18.81,19.09,19.14
1926,19.00,19.01,19.89,19.29,19.49,18.83,18.11,18.15,18.23,18.81,19.09,19.14
1927,19.00,19.05,19.94,19.29,19.41,18.83,18.21,18.08,18.23,18.81,19.09,19.14
1928,19.20,19.05,19.86,19.23,19.42,18.83,18.20,18.20,18.23,18.81,19.09,19.14
1929,19.01,19.01,19.74,19.15,19.14,18.68,17.90,17.89,18.23,18.81,19.09,19.14
1930,19.10,18.91,19.92,19.09,19.41,18.60,18.06,18.02,18.23,18.81,19.09,19.14
1931,19.20,19.05,20.06,19.29,19.46,18.92,18.21,18.12,18.23,18.81,19.09,19.14
1932,19.08,18.91,19.79,19.13,19.41,18.76,18.13,17.94,18.23,18.81,19.09,19.14
1933,19.20,18.82,19.81,19.13,19.42,18.79,18.07,18.40,18.23,18.81,19.09,19.14
1934,19.08,18.82,19.71,19.09,19.25,18.74,18.20,17.97,18.23,18.81,19.09,19.14
1935,19.15,19.05,19.98,19.13,19.41,18.64,17.97,17.82,18.23,18.81,19.09,19.14
1936,19.08,19.01,19.89,19.15,19.42,18.79,18.11,18.08,18.23,18.81,19.09,19.14
1937,18.95,19.11,19.99,19.17,19.27,18.60,17.93,17.76,18.23,18.81,19.09,19.14
1938,19.27,19.11,19.98,19.23,19.41,18.58,18.11,17.89,18.23,18.81,19.09,19.14
1939,19.27,19.21,19.86,19.21,19.19,18.56,18.28,18.08,18.23,18.81,19.09,19.14
1940,19.21,19.03,19.80,19.04,19.09,18.56,18.18,17.86,18.28,18.84,19.09,19.20
1941,19.35,19.21,20.20,19.42,19.57,18.92,18.10,18.00,18.27,18.94,19.09,19.14
1942,19.40,19.29,20.12,19.28,19.46,18.92,17.85,17.94,18.23,18.81,19.09,19.14
1943,19.08,19.05,19.98,19.29,19.41,18.83,18.20,18.08,18.23,18.81,19.09,19.14
1944,19.32,19.11,20.12,19.03,19.17,18.58,17.83,17.76,18.23,18.81,19.09,19.14
1945,19.34,19.13,19.98,19.28,19.32,18.36,17.83,17.89,18.23,18.81,19.09,19.14
1946,19.22,18.78,19.98,19.21,19.14,18.91,18.57,18.63,18.23,18.81,19.09,19.14
1947,19.34,19.25,19.92,18.89,19.46,18.91,18.20,18.08,18.23,18.81,19.09,19.14
1948,18.37,19.05,19.98,19.15,19.58,19.06,18.15,17.80,18.23,18.81,19.09,19.14
1949,19.27,19.20,19.44,18.47,19.24,18.06,17.96,17.81,18.06,18.81,18.89,19.14
1950,19.24,18.64,20.68,19.21,19.38,19.26,18.04,17.89,18.28,18.81,18.24,18.24
1951,19.13,18.80,19.87,19.22,19.30,19.35,18.07,17.98,18.23,19.18,19.97,19.17
1952,19.30,19.63,19.44,19.21,19.28,18.63,18.10,17.98,18.69,18.82,18.44,18.99
