,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1902,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1903,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1904,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1905,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1906,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1907,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1908,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1909,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1910,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1911,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1912,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1913,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1914,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1915,19.82,19.68,20.49,19.87,19.91,19.40,18.59,18.47,18.75,19.36,19.89,19.99
1916,19.66,19.57,20.58,19.74,19.81,19.12,18.51,18.39,18.75,19.36,19.89,19.99
1917,19.73,19.68,20.29,19.68,19.86,19.21,18.56,18.49,18.75,19.36,19.89,19.99
1918,19.73,19.52,20.29,19.79,20.02,19.21,18.44,18.31,18.75,19.36,19.89,19.99
1919,20.00,19.97,20.51,19.84,19.89,19.26,18.38,18.26,18.75,19.36,19.89,19.99
1920,19.76,19.63,20.33,19.84,19.99,19.28,18.64,18.63,18.75,19.36,19.89,19.99
1921,19.97,19.88,20.29,19.70,19.76,19.31,18.59,18.49,18.75,19.36,19.89,19.99
1922,19.84,19.63,20.26,19.79,19.81,19.26,18.54,18.31,18.75,19.36,19.89,19.99
1923,20.00,19.92,20.41,19.91,19.91,19.31,18.48,18.07,18.75,19.36,19.89,19.99
1924,20.04,19.82,20.49,19.87,20.11,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1925,20.00,19.70,20.29,19.84,19.99,19.26,18.48,18.43,18.75,19.36,19.89,19.99
1926,19.92,19.92,20.49,19.97,20.13,19.40,18.54,18.55,18.75,19.36,19.89,19.99
1927,19.92,19.97,20.54,19.97,20.05,19.40,18.64,18.49,18.75,19.36,19.89,19.99
1928,20.11,19.97,20.45,19.91,20.07,19.40,18.63,18.61,18.75,19.36,19.89,19.99
1929,19.93,19.92,20.33,19.84,19.78,19.26,18.34,18.31,18.75,19.36,19.89,19.99
1930,20.04,19.82,20.51,19.76,20.05,19.18,18.48,18.43,18.75,19.36,19.89,19.99
1931,20.11,19.97,20.66,19.97,20.11,19.50,18.64,18.52,18.75,19.36,19.89,19.99
1932,20.00,19.82,20.38,19.81,20.05,19.33,18.56,18.36,18.75,19.36,19.89,19.99
1933,20.11,19.75,20.41,19.81,20.07,19.35,18.51,18.81,18.75,19.36,19.89,19.99
1934,20.00,19.72,20.31,19.76,19.89,19.31,18.63,18.39,18.75,19.36,19.89,19.99
1935,20.06,19.97,20.58,19.81,20.05,19.21,18.41,18.23,18.75,19.36,19.89,19.99
1936,20.00,19.92,20.49,19.84,20.07,19.35,18.54,18.49,18.75,19.36,19.89,19.99
1937,19.89,20.02,20.58,19.87,19.91,19.18,18.36,18.19,18.75,19.36,19.89,19.99
1938,20.18,20.02,20.58,19.91,20.05,19.15,18.54,18.31,18.75,19.36,19.89,19.99
1939,20.18,20.12,20.45,19.89,19.84,19.12,18.71,18.49,18.75,19.36,19.89,19.99
1940,20.20,20.01,20.32,19.57,19.56,18.98,18.51,18.13,18.75,19.36,19.89,19.99
1941,20.26,20.06,20.79,20.05,20.14,19.37,18.37,18.19,18.75,19.38,19.89,19.99
1942,20.32,20.20,20.71,19.95,20.11,19.50,18.29,18.36,18.75,19.36,19.89,19.99
1943,20.00,19.97,20.58,19.97,20.05,19.40,18.63,18.49,18.75,19.36,19.89,19.99
1944,20.23,20.02,20.71,19.70,19.81,19.15,18.26,18.19,18.75,19.36,19.89,19.99
1945,20.26,20.04,20.58,19.95,19.96,18.93,18.26,18.31,18.75,19.36,19.89,19.99
1946,20.13,19.70,20.58,19.89,19.78,19.48,19.02,19.04,18.75,19.36,19.89,19.99
1947,20.27,20.18,20.51,19.59,20.11,19.48,18.63,18.49,18.75,19.36,19.89,19.99
1948,19.30,19.97,20.58,19.84,20.21,19.63,18.59,18.19,18.75,19.36,19.89,19.99
1949,20.18,20.10,20.00,19.14,19.88,18.61,18.38,18.22,18.59,19.36,19.69,19.99
1950,20.10,19.46,21.36,19.84,19.98,19.80,18.27,18.20,18.75,19.36,18.73,18.78
1951,19.94,19.55,20.37,19.83,19.85,19.93,18.43,18.25,18.75,19.76,20.82,19.93
1952,20.15,20.47,19.83,19.74,19.87,19.05,18.46,18.31,19.26,19.29,19.02,19.73
1953,20.07,19.83,20.57,20.07,19.88,19.80,18.36,18.21,19.27,20.04,19.34,20.19
1954,20.21,20.16,20.47,20.35,20.12,19.61,18.55,18.23,18.87,18.77,18.57,19.47
