,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.50,19.51,19.67,19.63,19.92,19.52,19.06,18.91,18.93,19.38,19.62,19.65
1902,19.50,19.51,19.67,19.63,19.92,19.52,19.06,18.91,18.93,19.38,19.62,19.65
1903,19.50,19.51,19.67,19.63,19.92,19.52,19.06,18.91,18.93,19.37,19.62,19.64
1904,19.49,19.50,19.67,19.63,19.92,19.51,19.06,18.91,18.93,19.37,19.61,19.64
1905,19.50,19.50,19.67,19.63,19.92,19.52,19.04,18.91,18.93,19.38,19.61,19.64
1906,19.50,19.51,19.67,19.63,19.92,19.51,19.06,18.91,18.93,19.37,19.61,19.65
1907,19.50,19.53,19.68,19.65,19.92,19.52,19.05,18.91,18.93,19.39,19.62,19.65
1908,19.49,19.49,19.67,19.64,19.93,19.51,19.07,18.91,18.93,19.38,19.61,19.65
1909,19.49,19.51,19.67,19.65,19.92,19.52,19.06,18.91,18.93,19.38,19.63,19.64
1910,19.50,19.51,19.67,19.63,19.93,19.52,19.06,18.93,18.94,19.38,19.62,19.63
1911,19.49,19.49,19.65,19.63,19.93,19.52,19.07,18.92,18.94,19.39,19.62,19.65
1912,19.50,19.50,19.67,19.64,19.92,19.53,19.06,18.93,18.95,19.39,19.62,19.64
1913,19.49,19.50,19.67,19.63,19.92,19.52,19.07,18.92,18.95,19.37,19.62,19.63
1914,19.50,19.50,19.67,19.63,19.92,19.52,19.06,18.91,18.93,19.38,19.62,19.63
1915,19.48,19.47,19.66,19.63,19.93,19.53,19.06,18.91,18.93,19.39,19.61,19.63
1916,19.46,19.46,19.67,19.61,19.91,19.49,19.07,18.92,18.94,19.38,19.61,19.64
1917,19.47,19.47,19.65,19.61,19.91,19.50,19.06,18.93,18.93,19.37,19.61,19.63
1918,19.48,19.46,19.64,19.62,19.93,19.50,19.04,18.90,18.93,19.38,19.62,19.64
1919,19.49,19.50,19.67,19.63,19.92,19.51,19.06,18.90,18.94,19.39,19.64,19.65
1920,19.49,19.48,19.66,19.65,19.92,19.51,19.06,18.92,18.93,19.38,19.64,19.64
1921,19.50,19.51,19.65,19.63,19.90,19.53,19.06,18.93,18.93,19.39,19.62,19.64
1922,19.49,19.48,19.65,19.64,19.91,19.51,19.06,18.92,18.95,19.38,19.63,19.65
1923,19.50,19.51,19.66,19.63,19.92,19.53,19.06,18.89,18.93,19.39,19.63,19.65
1924,19.50,19.50,19.68,19.63,19.92,19.52,19.08,18.93,18.95,19.39,19.62,19.64
1925,19.50,19.48,19.66,19.65,19.92,19.53,19.06,18.91,18.93,19.39,19.64,19.65
1926,19.51,19.51,19.67,19.63,19.92,19.53,19.06,18.91,18.93,19.39,19.63,19.64
1927,19.50,19.51,19.67,19.64,19.92,19.52,19.06,18.93,18.93,19.39,19.62,19.63
1928,19.49,19.51,19.67,19.63,19.92,19.53,19.06,18.93,18.94,19.39,19.63,19.65
1929,19.48,19.51,19.66,19.64,19.91,19.53,19.05,18.92,18.94,19.39,19.63,19.63
1930,19.49,19.49,19.67,19.62,19.93,19.52,19.06,18.93,18.95,19.38,19.62,19.65
1931,19.50,19.51,19.67,19.63,19.92,19.53,19.06,18.93,18.93,19.39,19.62,19.65
1932,19.50,19.50,19.66,19.62,19.92,19.52,19.06,18.91,18.95,19.39,19.62,19.65
1933,19.50,19.49,19.67,19.62,19.92,19.53,19.07,18.94,18.95,19.39,19.62,19.63
1934,19.49,19.49,19.65,19.63,19.92,19.53,19.06,18.91,18.94,19.39,19.63,19.64
1935,19.49,19.50,19.67,19.62,19.93,19.50,19.04,18.91,18.94,19.39,19.63,19.64
1936,19.49,19.50,19.67,19.65,19.92,19.53,19.06,18.91,18.95,19.39,19.63,19.65
1937,19.50,19.51,19.67,19.65,19.92,19.52,19.05,18.90,18.93,19.39,19.63,19.65
1938,19.52,19.51,19.68,19.63,19.92,19.50,19.06,18.90,18.93,19.39,19.64,19.65
1939,19.52,19.52,19.68,19.63,19.91,19.49,19.06,18.91,18.95,19.39,19.63,19.65
1940,19.51,19.45,19.65,19.62,19.89,19.49,19.13,18.90,18.99,19.43,19.63,19.69
1941,19.63,19.61,19.78,19.77,20.02,19.61,19.10,19.00,18.99,19.47,19.62,19.65
1942,19.53,19.53,19.67,19.63,19.92,19.52,19.03,18.91,18.93,19.38,19.62,19.65
1943,19.50,19.51,19.67,19.63,19.92,19.52,19.06,18.91,18.93,19.38,19.62,19.65
1944,19.52,19.51,19.67,19.61,19.91,19.50,19.03,18.88,18.93,19.38,19.62,19.65
1945,19.53,19.51,19.67,19.63,19.92,19.47,19.03,18.90,18.93,19.38,19.62,19.65
