,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1902,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1903,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1904,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1905,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1906,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1907,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1908,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1909,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1910,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1911,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1912,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1913,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1914,21.32,21.28,21.23,21.30,21.22,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1915,21.29,21.23,21.23,21.30,21.21,20.72,20.08,19.72,20.00,20.71,21.34,21.31
1916,21.27,21.20,21.23,21.26,21.18,20.68,20.07,19.72,20.00,20.71,21.34,21.31
1917,21.28,21.23,21.18,21.26,21.19,20.69,20.08,19.72,20.00,20.71,21.34,21.31
1918,21.28,21.20,21.18,21.27,21.22,20.69,20.05,19.69,20.00,20.71,21.34,21.31
1919,21.32,21.28,21.23,21.29,21.20,20.71,20.03,19.68,20.00,20.71,21.34,21.31
1920,21.28,21.22,21.18,21.29,21.22,20.72,20.08,19.73,20.00,20.71,21.34,21.31
1921,21.32,21.27,21.18,21.26,21.17,20.72,20.08,19.72,20.00,20.71,21.34,21.31
