,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.35,20.31,20.47,20.13,20.54,20.28,20.06,19.86,19.74,19.93,20.27,20.45
1902,20.35,20.31,20.47,20.13,20.54,20.28,20.06,19.86,19.74,19.93,20.27,20.45
1903,20.36,20.29,20.45,20.11,20.54,20.28,20.03,19.85,19.71,19.90,20.25,20.41
1904,20.32,20.24,20.43,20.05,20.45,20.21,20.05,19.78,19.74,19.87,20.19,20.38
1905,20.33,20.24,20.47,20.13,20.53,20.26,20.01,19.81,19.68,19.87,20.20,20.44
1906,20.34,20.32,20.47,20.13,20.54,20.25,20.04,19.84,19.68,19.88,20.21,20.44
1907,20.32,20.28,20.42,20.07,20.51,20.26,20.01,19.80,19.68,19.91,20.26,20.43
1908,20.35,20.30,20.45,20.11,20.48,20.25,20.03,19.86,19.71,19.91,20.23,20.42
1909,20.35,20.30,20.47,20.11,20.52,20.27,20.04,19.86,19.68,19.91,20.22,20.38
1910,20.35,20.31,20.46,20.07,20.48,20.27,20.05,19.84,19.68,19.90,20.21,20.44
1911,20.36,20.28,20.44,20.06,20.46,20.22,20.03,19.83,19.69,19.91,20.23,20.43
1912,20.34,20.31,20.47,20.13,20.54,20.30,20.03,19.83,19.72,19.89,20.23,20.43
1913,20.36,20.31,20.47,20.06,20.48,20.27,20.04,19.83,19.72,19.90,20.24,20.44
1914,20.33,20.28,20.47,20.13,20.53,20.27,20.06,19.86,19.71,19.92,20.27,20.45
1915,20.36,20.31,20.49,20.14,20.54,20.30,20.07,19.87,19.73,19.92,20.27,20.44
1916,20.35,20.30,20.46,20.08,20.45,20.25,20.05,19.86,19.71,19.91,20.23,20.44
1917,20.34,20.28,20.46,20.11,20.46,20.25,20.04,19.84,19.71,19.89,20.23,20.43
1918,20.27,20.23,20.41,20.06,20.51,20.22,20.05,19.81,19.73,19.90,20.24,20.40
1919,20.35,20.32,20.47,20.13,20.54,20.27,20.05,19.85,19.71,19.90,20.25,20.42
1920,20.35,20.31,20.46,20.13,20.52,20.28,20.06,19.85,19.72,19.90,20.25,20.41
1921,20.33,20.31,20.47,20.07,20.49,20.25,20.05,19.86,19.72,19.91,20.25,20.41
1922,20.36,20.30,20.47,20.13,20.51,20.27,20.05,19.84,19.72,19.92,20.26,20.44
1923,20.34,20.30,20.41,20.11,20.51,20.27,20.05,19.83,19.72,19.90,20.24,20.44
1924,20.34,20.30,20.46,20.12,20.53,20.27,20.05,19.85,19.73,19.92,20.24,20.38
1925,20.35,20.29,20.46,20.11,20.50,20.26,20.05,19.86,19.73,19.90,20.24,20.41
1926,20.33,20.30,20.46,20.13,20.55,20.28,20.05,19.86,19.73,19.93,20.25,20.41
1927,20.34,20.32,20.48,20.13,20.52,20.27,20.05,19.85,19.75,19.91,20.26,20.45
1928,20.37,20.31,20.48,20.13,20.53,20.27,20.06,19.86,19.73,19.92,20.27,20.43
1929,20.29,20.29,20.45,20.10,20.51,20.28,20.03,19.83,19.73,19.91,20.24,20.41
1930,20.34,20.29,20.47,20.11,20.51,20.27,20.06,19.85,19.74,19.94,20.26,20.44
1931,20.35,20.31,20.49,20.14,20.56,20.31,20.07,19.86,19.73,19.92,20.26,20.44
1932,20.33,20.29,20.47,20.13,20.51,20.28,20.06,19.86,19.73,19.93,20.26,20.44
1933,20.35,20.32,20.48,20.14,20.54,20.27,20.06,19.87,19.74,19.90,20.25,20.44
1934,20.36,20.29,20.46,20.12,20.52,20.27,20.07,19.85,19.71,19.93,20.26,20.41
1935,20.33,20.31,20.48,20.13,20.52,20.28,20.06,19.87,19.72,19.93,20.25,20.43
1936,20.35,20.33,20.48,20.12,20.53,20.27,20.06,19.85,19.73,19.92,20.26,20.46
1937,20.36,20.33,20.47,20.13,20.52,20.29,20.06,19.85,19.73,19.90,20.25,20.45
1938,20.35,20.31,20.48,20.11,20.51,20.26,20.05,19.88,19.74,19.91,20.25,20.43
1939,20.35,20.29,20.47,20.12,20.49,20.28,20.07,19.87,19.75,19.93,20.26,20.42
1940,20.33,20.28,20.48,20.13,20.55,20.29,20.06,19.85,19.73,19.92,20.26,20.44
1941,20.34,20.29,20.46,20.12,20.53,20.28,20.06,19.85,19.73,19.92,20.25,20.43
1942,20.34,20.30,20.47,20.11,20.53,20.28,20.06,19.85,19.73,19.92,20.25,20.43
1943,20.34,20.30,20.46,20.11,20.53,20.26,20.06,19.84,19.73,19.91,20.25,20.43
1944,20.35,20.31,20.47,20.13,20.54,20.28,20.06,19.86,19.74,19.93,20.27,20.45
1945,20.35,20.31,20.47,20.13,20.54,20.28,20.06,19.86,19.74,19.93,20.27,20.45
1946,20.35,20.31,20.47,20.13,20.54,20.28,20.06,19.86,19.74,19.93,20.27,20.45
1947,20.41,20.32,20.49,20.15,20.54,20.32,20.12,19.91,19.79,19.94,20.27,20.45
1948,20.34,20.30,20.43,20.13,20.53,20.28,20.06,19.85,19.72,19.92,20.21,20.43
1949,20.33,20.30,20.25,19.77,20.51,20.03,20.05,19.85,19.73,19.91,20.15,20.43
1950,20.34,20.11,20.80,20.10,20.52,20.55,20.06,19.85,19.72,19.91,19.88,19.97
1951,20.34,20.18,20.05,19.89,20.28,20.22,19.55,19.68,19.60,19.99,20.54,20.18
1952,20.03,20.50,20.05,19.87,20.43,20.09,19.86,19.50,19.66,19.78,19.97,20.30
1953,19.91,20.19,20.20,20.02,20.26,20.41,19.66,19.56,19.76,20.01,19.98,20.22
1954,20.04,20.06,20.23,20.01,19.87,20.08,19.68,19.49,19.40,19.35,19.66,20.02
1955,20.01,20.11,20.31,19.98,20.16,20.09,19.52,19.56,19.54,19.66,19.93,19.96
1956,19.93,20.21,20.17,20.14,19.81,19.86,19.33,19.37,19.48,19.50,19.92,20.13
1957,20.00,19.89,20.45,20.26,20.44,20.51,19.93,19.73,19.53,19.86,19.97,20.29
1958,20.49,20.03,20.42,20.12,20.53,20.39,20.07,19.72,19.61,19.79,20.13,20.21
1959,20.01,20.21,20.36,20.00,20.20,20.26,19.68,19.53,19.46,19.83,20.14,19.96
1960,20.16,20.12,20.22,20.14,20.25,20.17,19.80,19.87,19.51,19.90,20.19,20.39
1961,19.86,20.34,20.44,20.10,20.24,19.93,19.77,19.54,19.53,19.68,19.88,20.37
1962,20.21,20.29,20.28,20.02,20.18,20.02,19.85,19.47,19.45,19.92,20.15,20.35
1963,19.68,20.06,20.03,19.66,20.04,20.22,19.81,19.40,19.65,19.80,20.26,20.37
1964,20.28,20.52,20.21,20.26,20.34,20.04,19.44,19.50,19.59,19.71,20.09,20.19
