,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.06,19.92,20.74,20.94,20.81,19.90,19.71,19.45,19.88,20.01,20.19,20.14
1902,19.98,19.90,20.49,20.84,20.81,19.92,19.44,19.50,19.91,20.06,20.19,20.32
1903,20.26,20.01,20.63,20.81,20.81,19.92,19.47,19.50,19.91,19.83,20.19,20.06
1904,19.92,19.83,20.74,20.72,20.81,20.20,19.71,19.37,20.16,19.79,20.19,20.14
1905,20.08,19.99,20.63,20.78,20.81,20.10,19.55,19.48,19.91,20.11,20.19,20.37
1906,20.18,20.22,20.63,20.92,20.81,19.99,19.52,19.48,19.88,19.83,20.19,20.12
1907,19.98,19.92,20.45,20.79,20.81,19.90,19.44,19.41,20.16,19.91,20.19,20.16
1908,20.11,20.01,20.60,20.89,20.81,19.90,19.71,19.48,20.16,19.87,20.19,20.22
1909,20.13,20.01,20.52,20.86,20.81,20.20,19.42,19.53,19.88,19.87,20.19,20.16
1910,20.11,20.07,20.49,20.78,20.81,19.92,19.49,19.45,20.16,19.74,20.19,20.16
1911,20.19,20.72,21.08,21.43,21.19,20.57,20.41,19.79,20.49,20.30,21.33,21.05
1912,21.29,20.96,21.65,21.64,21.19,20.18,19.95,20.01,20.49,20.40,20.89,21.00
1913,20.68,20.82,21.53,20.96,21.19,20.01,20.02,20.07,20.52,20.70,21.07,21.15
1914,20.72,21.09,21.22,21.34,22.04,20.14,20.13,20.41,20.83,20.87,21.51,21.58
1915,20.84,20.84,21.26,21.57,21.51,20.80,19.87,20.61,20.49,20.63,21.33,20.98
1916,20.39,20.84,20.98,21.44,21.00,20.20,19.29,19.69,20.53,20.66,21.16,20.82
1917,20.05,19.84,20.64,21.12,20.12,20.06,19.84,19.51,20.44,20.65,21.16,20.89
1918,18.98,18.90,20.72,20.92,20.53,19.75,19.95,20.05,20.39,20.26,21.16,20.31
1919,20.99,21.05,21.60,21.63,21.61,20.71,19.72,20.24,20.54,20.53,20.98,20.72
1920,20.48,20.63,21.54,21.33,21.34,20.74,20.15,19.60,20.85,20.83,21.51,20.24
1921,20.59,20.22,20.92,21.24,20.62,19.90,19.83,20.09,20.58,20.10,20.72,20.95
1922,21.09,20.43,20.69,20.72,20.53,20.06,19.89,19.64,20.54,20.26,21.51,21.35
1923,20.38,20.63,20.87,21.58,21.00,20.43,19.53,19.44,19.82,20.43,20.98,20.85
1924,21.39,20.92,20.95,21.24,20.82,20.08,20.02,20.29,20.09,19.91,20.44,20.49
1925,20.12,19.58,20.28,21.10,20.90,20.39,20.05,19.78,20.15,20.13,20.42,20.35
1926,20.22,20.30,20.65,21.82,21.44,20.39,19.77,19.93,20.11,20.07,20.52,20.98
1927,20.52,20.17,21.06,21.06,20.62,19.97,19.98,19.88,20.22,19.93,20.45,20.91
1928,20.52,20.59,20.76,21.01,20.98,19.98,19.64,19.56,20.08,20.05,20.28,21.08
1929,20.10,19.97,20.28,21.10,21.07,19.63,19.95,19.94,20.20,19.90,20.05,20.50
1930,20.42,20.17,20.68,21.09,20.97,19.90,20.32,20.73,20.44,20.20,20.76,20.93
1931,21.11,21.01,21.23,21.54,21.20,20.61,19.85,20.83,20.34,20.21,20.73,20.55
1932,20.10,20.21,20.57,20.93,20.44,19.56,19.70,19.67,20.07,20.39,20.10,20.62
1933,20.59,19.94,20.64,21.12,20.96,20.33,19.87,20.05,19.86,20.01,19.93,20.08
