,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.45,20.84,21.93,21.73,22.34,20.85,21.53,20.64,20.63,21.15,22.19,21.14
1902,21.19,20.76,21.03,21.37,22.34,20.94,20.56,20.82,20.71,21.32,22.19,21.76
1903,22.23,21.21,21.47,21.28,22.34,20.94,20.66,20.82,20.71,20.52,22.19,20.87
1904,21.00,20.49,21.93,20.92,22.34,21.92,21.53,20.37,21.61,20.33,22.19,21.14
1905,21.54,21.11,21.47,21.10,22.34,21.56,20.92,20.73,20.71,21.50,22.19,21.93
1906,21.98,22.02,21.47,21.64,22.34,21.20,20.83,20.73,20.63,20.52,22.19,21.05
1907,21.19,20.84,20.85,21.18,22.34,20.85,20.56,20.47,21.61,20.79,22.19,21.22
1908,21.63,21.21,21.38,21.54,22.34,20.85,21.53,20.73,21.61,20.61,22.19,21.41
1909,21.73,21.21,21.12,21.45,22.34,21.92,20.48,20.91,20.63,20.61,22.19,21.22
1910,21.63,21.38,21.03,21.10,22.34,20.94,20.74,20.64,21.61,20.25,22.19,21.22
1911,21.67,21.84,21.96,22.16,22.68,21.80,21.54,21.24,21.54,21.39,23.27,22.30
1912,22.47,22.22,22.21,22.60,22.68,21.58,21.33,21.67,21.49,21.53,22.86,22.26
1913,22.13,22.12,22.03,21.80,22.68,21.45,21.47,21.57,21.58,21.91,23.02,22.40
1914,22.23,22.30,22.05,22.12,23.52,21.63,21.51,21.79,21.71,22.19,23.45,22.80
1915,22.25,22.15,22.26,22.40,22.94,22.14,21.53,22.03,21.54,21.82,23.27,22.21
1916,21.65,22.00,21.72,22.21,22.45,21.53,20.99,21.27,21.49,21.76,23.11,21.93
1917,21.43,21.21,21.48,21.80,21.68,21.54,21.43,21.23,21.87,22.25,23.11,22.61
1918,20.58,20.65,21.44,22.11,22.11,21.49,21.42,21.52,21.49,21.69,23.11,21.86
1919,22.40,22.32,22.36,22.31,23.00,21.90,21.15,21.60,21.53,21.77,22.94,22.08
1920,21.75,21.88,22.58,21.94,22.79,21.94,21.57,21.05,22.28,22.41,23.45,21.49
1921,22.05,21.54,21.67,21.98,22.12,20.90,21.30,21.63,21.49,21.31,22.69,22.02
1922,22.38,21.65,21.62,21.72,22.05,21.55,21.43,21.39,21.53,21.40,23.45,22.49
