,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.21,19.31,19.75,20.24,20.15,19.65,19.44,19.56,19.65,19.75,19.81,19.84
1902,19.20,19.29,19.76,20.25,20.15,19.65,19.44,19.55,19.65,19.76,19.81,19.84
1903,19.20,19.30,19.76,20.25,20.16,19.64,19.43,19.55,19.66,19.75,19.80,19.83
1904,19.19,19.29,19.76,20.24,20.15,19.65,19.43,19.55,19.65,19.75,19.80,19.84
1905,19.20,19.30,19.76,20.24,20.15,19.65,19.44,19.55,19.66,19.75,19.81,19.84
1906,19.20,19.30,19.75,20.25,20.16,19.65,19.43,19.55,19.66,19.75,19.81,19.84
1907,19.20,19.29,19.75,20.24,20.15,19.64,19.43,19.55,19.66,19.75,19.80,19.83
1908,19.19,19.29,19.76,20.24,20.15,19.64,19.43,19.55,19.65,19.75,19.80,19.84
1909,19.20,19.30,19.75,20.24,20.15,19.65,19.43,19.55,19.65,19.75,19.80,19.83
1910,19.20,19.29,19.75,20.24,20.15,19.64,19.43,19.55,19.65,19.74,19.80,19.83
1911,19.37,20.07,20.22,20.79,20.47,20.27,20.45,19.87,20.21,20.13,20.84,20.70
1912,20.51,20.24,20.92,20.88,20.48,19.83,19.90,19.94,20.20,20.21,20.43,20.61
1913,19.82,20.07,20.86,20.33,20.47,19.64,19.90,20.10,20.20,20.46,20.58,20.78
1914,19.82,20.39,20.38,20.71,21.27,19.74,20.06,20.48,20.59,20.54,20.99,21.17
1915,19.98,20.08,20.31,20.88,20.78,20.42,19.68,20.66,20.21,20.38,20.83,20.60
1916,19.65,20.15,20.23,20.80,20.33,19.89,19.13,19.72,20.27,20.45,20.67,20.53
1917,19.29,19.13,19.84,20.55,19.53,19.65,19.67,19.46,19.90,20.14,20.67,20.23
1918,18.18,18.12,19.99,20.08,19.92,19.26,19.83,20.10,20.06,19.93,20.67,19.84
1919,20.14,20.32,20.77,21.02,20.87,20.42,19.67,20.33,20.29,20.30,20.52,20.30
1920,19.74,19.91,20.47,20.79,20.63,20.42,20.06,19.72,20.28,20.30,20.98,19.83
1921,19.75,19.53,20.15,20.64,19.99,19.64,19.74,20.10,20.36,19.93,20.27,20.70
1922,20.29,19.76,19.85,20.00,19.93,19.65,19.75,19.55,20.28,20.06,20.98,20.99
1923,19.58,19.91,20.07,20.94,20.32,20.03,19.52,19.46,19.49,20.07,20.52,20.47
1924,20.69,20.25,20.23,20.63,20.24,19.65,19.85,20.24,19.66,19.86,20.13,20.17
1925,19.19,18.83,19.47,20.38,20.03,19.81,19.91,19.53,19.58,19.74,19.79,19.70
1926,19.31,19.30,19.53,20.97,20.71,19.84,19.40,19.71,19.58,19.64,19.87,20.60
1927,19.71,19.29,20.20,20.40,19.80,19.49,19.82,19.71,19.74,19.53,19.88,20.40
1928,19.47,19.88,19.86,20.27,20.13,19.47,19.36,19.48,19.52,19.64,19.74,20.75
1929,19.07,19.14,19.36,20.20,20.24,19.04,19.82,19.95,19.74,19.39,19.54,20.11
1930,19.17,19.13,19.64,20.26,20.13,19.37,20.27,20.83,20.13,19.85,20.40,20.37
1931,20.17,19.85,20.12,20.72,20.37,20.17,19.76,20.90,19.92,19.92,20.09,20.07
1932,19.03,19.30,19.55,20.14,19.68,19.10,19.61,19.47,19.62,20.09,19.82,20.07
1933,19.72,18.88,19.62,20.48,20.12,19.87,19.73,20.02,19.47,19.67,19.56,19.48
1934,18.58,18.61,19.11,19.84,20.21,19.49,19.70,20.00,20.15,19.82,20.00,20.17
