,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.30,20.60,21.80,21.36,21.68,19.61,20.00,19.00,19.74,20.93,21.84,20.74
1902,21.02,20.50,20.90,20.98,21.68,19.70,19.02,19.15,19.84,21.13,21.84,21.42
1903,22.10,20.98,21.32,20.90,21.68,19.70,19.10,19.15,19.84,20.27,21.84,20.47
1904,20.84,20.22,21.80,20.50,21.68,20.70,20.00,18.72,20.74,20.13,21.84,20.74
1905,21.40,20.88,21.32,20.70,21.68,20.30,19.40,19.05,19.84,21.33,21.84,21.56
1906,21.86,21.78,21.32,21.26,21.68,20.00,19.30,19.05,19.74,20.27,21.84,20.66
1907,21.02,20.60,20.70,20.80,21.68,19.61,19.02,18.80,20.74,20.56,21.84,20.82
1908,21.50,20.98,21.24,21.16,21.68,19.61,20.00,19.05,20.74,20.37,21.84,21.02
1909,21.60,20.98,20.95,21.08,21.68,20.70,18.92,19.25,19.74,20.37,21.84,20.82
1910,21.50,21.12,20.90,20.70,21.68,19.70,19.20,19.00,20.74,20.04,21.84,20.82
1911,21.12,20.68,21.32,21.08,21.68,19.80,18.92,18.90,20.04,20.37,21.84,21.12
1912,21.40,21.22,21.10,21.80,21.68,19.90,19.10,19.60,19.94,20.56,21.84,21.12
1913,21.50,21.22,20.80,20.90,21.68,19.80,19.40,19.25,20.09,21.03,21.84,21.22
1914,21.70,21.22,21.32,21.08,21.68,20.04,19.30,19.25,19.94,21.46,21.84,21.56
1915,21.30,20.88,21.60,21.46,21.08,20.50,19.80,19.70,20.04,20.93,21.84,21.02
1916,20.60,20.48,20.90,21.06,20.68,19.60,19.40,19.30,19.84,20.74,21.84,20.56
1917,20.70,20.48,20.70,20.66,20.88,19.90,19.60,19.62,20.74,21.63,21.84,21.82
1918,20.50,19.88,20.60,21.26,21.48,19.90,19.30,19.20,20.09,21.23,21.84,21.22
1919,21.70,21.48,21.50,21.26,20.98,19.90,19.00,19.00,19.94,20.93,21.84,21.12
1920,20.80,20.58,20.80,20.96,21.38,20.00,19.70,19.55,20.74,21.63,21.84,21.12
1921,21.50,20.98,20.70,20.86,20.54,19.90,19.50,19.70,19.74,20.46,21.84,20.56
1922,21.30,20.48,20.80,21.16,20.68,20.00,19.50,19.40,19.94,20.46,21.84,21.12
1923,21.40,21.18,21.00,21.46,21.08,20.20,19.02,18.60,19.74,21.43,21.84,21.12
1924,21.99,21.18,21.40,21.16,21.88,20.40,19.80,19.80,20.44,20.27,21.84,20.74
1925,21.50,20.58,20.60,21.26,21.38,20.20,19.50,19.70,20.44,21.13,21.84,21.47
1926,21.40,21.38,21.30,21.96,21.98,20.60,19.80,20.00,20.28,21.03,21.84,21.02
1927,21.40,21.48,21.40,21.56,21.58,20.30,19.80,19.80,20.28,20.93,21.84,21.32
1928,22.10,21.58,21.30,21.46,21.78,20.30,19.60,19.70,20.19,20.93,21.84,21.02
1929,21.40,21.38,20.88,21.36,20.64,20.10,18.90,19.30,20.34,21.23,21.84,20.92
1930,21.90,21.08,21.60,21.04,21.68,19.96,19.50,19.80,20.44,21.23,21.84,21.62
1931,22.30,21.78,21.80,21.76,21.88,20.70,19.80,20.00,20.54,21.03,21.84,21.22
1932,21.60,20.98,21.00,21.26,21.68,20.10,19.70,19.70,20.34,21.23,21.84,21.12
1933,22.14,20.86,21.10,21.16,21.78,20.20,19.60,20.40,19.74,20.83,21.84,21.12
1934,21.60,20.76,20.70,21.06,20.98,20.20,19.70,19.50,19.94,21.23,21.84,21.12
1935,21.70,21.68,21.60,21.16,21.68,19.90,19.10,19.20,20.28,21.03,21.84,21.62
1936,21.50,21.58,21.50,21.16,21.78,20.20,19.60,19.80,20.44,21.03,21.84,21.56
1937,21.40,21.78,21.90,21.36,21.08,19.96,19.30,19.40,20.34,21.03,21.84,21.22
1938,22.10,21.68,21.70,21.66,21.58,19.80,19.50,19.30,20.44,21.33,21.84,21.32
1939,22.10,21.58,21.40,21.46,20.84,19.76,19.80,19.80,20.28,20.93,21.84,21.47
1940,21.90,21.58,21.16,20.86,19.38,19.60,19.60,18.96,20.64,21.93,21.84,21.72
1941,22.50,21.98,22.35,22.16,21.98,20.60,19.36,19.26,20.44,21.43,21.84,21.72
1942,22.50,22.18,22.20,21.68,21.88,20.90,19.26,19.70,20.64,21.33,21.84,21.82
1943,21.20,21.08,21.10,21.16,21.68,19.90,19.20,19.34,20.34,20.83,21.84,21.47
1944,22.10,21.58,21.80,21.26,20.68,20.10,19.20,19.40,20.54,21.53,21.84,21.72
1945,22.40,21.78,21.60,21.66,21.28,19.70,19.20,19.70,20.34,21.03,21.84,21.82
1946,22.70,21.28,21.80,21.76,20.64,20.84,20.74,21.20,20.44,21.63,21.84,22.12
1947,22.90,22.28,21.70,21.06,21.88,20.84,19.80,20.00,20.54,21.43,21.84,22.48
1948,19.10,21.68,21.80,21.46,22.28,21.10,19.90,19.40,20.64,21.93,21.84,21.92
1949,22.10,21.78,21.50,21.56,20.98,20.30,19.20,19.30,20.04,21.43,21.84,21.72
1950,22.20,21.38,21.63,21.36,21.28,20.10,18.80,19.16,20.19,20.64,20.08,21.08
1951,21.40,21.08,21.90,21.46,20.68,20.30,19.26,19.16,20.64,21.13,22.84,21.52
1952,22.30,21.98,21.00,21.66,20.78,20.10,19.40,19.40,20.34,20.53,19.68,21.42
1953,22.10,21.68,21.80,21.66,20.78,20.20,19.20,19.20,20.48,21.73,20.94,22.22
1954,22.40,21.48,22.06,21.86,21.98,20.40,19.60,19.20,20.24,20.33,19.18,21.44
1955,22.10,21.40,21.30,21.46,21.48,20.30,19.10,19.40,20.14,20.83,19.88,21.22
1956,21.40,21.68,21.70,21.66,21.48,20.10,19.40,19.60,20.14,20.93,20.94,21.22
1957,21.90,21.28,21.30,22.06,21.88,20.50,19.70,19.40,20.14,21.53,22.14,21.72
1958,22.70,21.58,22.04,22.16,22.18,20.90,19.50,19.70,20.11,20.93,19.56,20.82
1959,22.30,22.48,22.37,21.66,23.38,20.84,19.10,19.20,20.34,21.83,23.44,20.92
1960,21.80,21.78,21.66,21.83,21.48,20.42,20.40,20.38,21.01,21.66,22.02,21.80
1961,22.08,22.20,22.17,22.27,21.68,19.90,18.90,18.42,19.02,20.56,21.06,21.63
1962,21.82,21.28,21.86,22.13,21.33,20.90,20.80,20.00,20.30,22.62,22.64,21.59
1963,21.78,21.38,21.56,21.93,21.10,20.52,18.96,18.26,19.52,21.82,22.22,21.52
1964,22.68,22.18,22.20,22.36,22.24,20.70,20.16,20.34,21.32,21.60,21.54,21.48
1965,21.88,21.78,21.90,21.34,21.38,20.20,19.20,19.34,19.61,20.76,22.80,22.50
1966,22.38,22.10,22.17,22.34,22.14,20.10,19.25,20.36,21.41,22.28,22.44,21.55
1967,22.58,21.98,21.86,21.56,21.14,19.70,19.00,19.86,20.52,21.83,22.52,21.85
1968,22.20,21.40,21.90,21.93,22.38,21.70,21.10,20.56,21.60,22.33,22.60,22.03
1969,22.26,22.48,22.67,22.44,22.14,20.84,20.30,20.38,20.79,21.73,22.65,22.00
1970,22.56,22.28,22.27,22.74,22.64,21.30,20.36,19.91,21.20,22.23,22.40,22.10
1971,21.66,21.58,21.86,21.92,21.88,20.80,20.34,20.68,21.64,21.78,21.02,22.10
1972,21.68,22.00,21.83,21.76,22.08,20.54,19.51,20.30,20.17,20.96,22.38,22.74
1973,22.90,22.66,22.68,22.45,21.97,21.32,20.80,20.54,21.26,21.53,21.14,21.70
1974,20.98,20.68,20.60,21.05,21.00,19.80,19.02,19.78,21.34,22.18,21.34,21.62
1975,21.58,21.36,21.56,21.64,21.21,20.10,19.96,20.10,21.27,21.58,20.94,21.72
1976,20.68,20.95,21.10,21.06,20.88,19.84,18.44,19.22,19.47,21.62,21.44,21.90
1977,21.37,20.92,21.30,21.45,21.30,20.40,18.94,19.40,20.04,21.58,21.22,21.72
1978,21.82,21.56,21.43,21.65,21.78,21.10,20.70,20.10,21.22,21.38,20.88,21.55
1979,21.42,21.60,21.53,21.93,21.68,21.04,19.90,20.28,21.02,21.26,22.14,21.42
1980,21.70,21.42,21.50,22.20,21.48,20.70,20.60,20.46,20.54,21.66,21.94,21.67
1981,21.40,21.48,21.98,21.96,22.48,21.44,22.22,21.88,21.44,21.78,22.04,21.81
1982,21.08,21.12,21.24,21.63,20.69,19.78,18.27,18.04,18.70,20.26,21.36,21.14
