,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,312.87,373.95,411.38,128.23,105.08,219.62,220.48,44.34,73.29,47.80,303.65,244.58
1902,438.34,569.06,287.25,62.12,77.00,68.13,16.53,43.93,0.95,1.80,101.41,303.85
1903,200.48,348.23,300.42,274.12,143.83,35.25,87.47,7.25,66.70,161.09,153.78,336.83
1904,199.17,423.98,305.14,168.61,205.16,115.68,62.63,48.14,94.18,241.36,157.48,226.62
1905,446.25,315.22,120.85,279.55,118.66,12.56,103.16,141.83,8.03,45.05,139.27,93.62
1906,482.64,230.08,423.99,183.26,51.18,12.34,54.36,95.81,220.47,372.92,341.00,410.50
1907,178.48,377.96,466.55,117.96,98.50,47.39,100.41,69.56,52.38,174.19,197.08,297.80
1908,264.64,316.20,219.00,61.81,119.98,59.07,102.36,106.66,76.89,102.38,392.73,489.13
1909,272.74,230.22,312.18,136.08,205.37,121.02,205.04,191.58,236.76,342.35,149.13,221.30
1910,358.53,363.01,214.81,90.25,60.81,116.37,192.68,110.73,175.36,254.77,230.39,309.86
1911,204.91,277.23,95.05,114.46,153.08,166.13,164.57,3.65,20.62,142.58,113.37,288.03
1912,370.97,263.30,425.35,63.65,47.35,10.12,157.92,1.64,35.10,107.98,225.06,267.64
1913,377.80,289.30,504.81,73.73,58.45,5.65,9.38,22.20,33.19,117.97,132.10,229.43
1914,326.57,307.97,256.78,155.70,143.05,54.62,0.69,3.77,5.49,2.23,113.90,206.02
1915,430.01,402.71,195.21,83.61,243.49,33.72,40.49,44.31,77.91,204.26,220.98,145.43
1916,403.54,226.40,346.13,29.56,46.89,52.00,366.01,155.55,157.36,331.34,277.16,445.50
1917,370.90,290.23,499.43,240.06,72.20,99.93,18.11,90.08,159.79,279.60,217.39,412.13
1918,377.27,371.41,85.66,69.20,120.52,7.42,58.77,96.04,2.50,11.17,114.90,304.09
1919,297.76,403.77,249.51,136.65,109.85,13.56,5.93,33.76,13.28,16.91,175.74,306.04
1920,390.43,302.76,258.53,160.88,98.15,90.62,174.82,275.14,113.75,312.71,275.64,218.87
1921,300.03,441.05,349.21,63.50,27.36,111.64,61.42,73.28,70.87,336.22,160.66,299.04
1922,412.09,434.27,279.42,183.20,250.51,130.55,56.10,8.70,19.14,264.47,86.33,373.29
1923,409.46,333.95,221.13,161.40,214.72,92.59,385.97,5.36,4.76,54.62,87.23,212.84
1924,226.71,290.81,204.61,186.33,243.11,60.20,58.99,3.90,36.40,332.79,381.34,96.97
1925,437.49,314.38,390.04,119.83,45.64,44.12,99.14,6.25,72.05,21.85,48.99,251.82
1926,317.80,271.08,300.74,155.91,136.62,7.71,9.68,30.65,57.30,103.52,180.34,476.56
1927,449.40,132.38,346.13,214.89,116.64,143.56,57.03,4.54,51.35,34.49,239.16,337.92
1928,389.63,304.18,285.95,257.89,27.04,80.95,38.32,91.27,19.27,90.02,180.64,545.60
1929,418.25,220.41,386.29,112.88,6.87,104.16,17.64,18.57,41.10,8.88,41.84,334.45
1930,181.51,386.09,255.99,147.41,100.95,4.03,121.14,37.64,13.93,238.39,240.87,322.11
1931,278.93,296.42,317.34,223.25,177.63,78.48,30.34,40.68,28.54,193.30,168.72,253.33
1932,542.08,338.69,422.24,226.13,79.91,118.52,24.55,23.22,11.02,156.37,229.35,447.22
1933,238.62,329.38,512.50,294.58,138.72,164.34,41.25,96.30,168.87,134.61,318.04,411.62
1934,368.59,416.92,316.46,252.22,90.06,22.96,278.07,68.85,16.61,266.25,427.91,221.06
1935,373.69,305.52,279.93,200.06,118.35,102.10,22.85,22.57,35.78,299.98,129.82,132.99
1936,466.15,265.63,263.71,295.17,128.72,118.30,24.74,24.95,27.46,173.03,337.79,325.80
1937,421.51,229.76,295.93,246.07,169.07,219.79,68.41,13.72,78.52,55.41,92.08,495.12
1938,464.39,379.78,117.77,69.02,239.16,168.55,254.67,37.18,25.29,125.79,386.01,264.78
1939,385.97,359.57,398.30,201.66,204.64,207.00,356.88,87.68,56.42,111.40,155.33,148.89
1940,499.66,305.46,174.93,185.51,119.74,89.76,29.15,7.30,0.61,13.43,94.57,295.96
1941,352.26,197.11,427.55,197.47,229.63,153.81,95.94,4.85,15.41,130.40,253.31,241.05
1942,364.91,394.94,313.82,141.05,164.75,57.02,121.61,37.69,48.74,215.23,425.71,316.27
1943,379.64,453.67,372.03,147.93,82.39,75.11,151.46,135.60,12.28,252.16,395.45,164.52
1944,272.75,376.29,261.39,86.66,33.53,30.90,21.26,6.40,21.95,27.59,119.61,283.26
1945,366.28,378.06,458.90,120.85,68.40,20.82,91.71,19.25,96.97,214.57,155.04,277.52
1946,370.54,235.59,301.61,56.71,63.11,28.11,59.96,6.47,3.58,4.81,134.91,200.01
1947,327.30,338.71,292.60,120.80,32.02,35.89,17.22,18.24,215.50,310.63,373.23,222.57
1948,112.03,316.16,206.67,148.15,112.51,35.66,74.08,26.59,26.06,32.34,115.69,268.59
1949,440.98,350.40,238.26,184.82,289.30,223.26,38.92,10.90,21.92,10.03,172.98,159.54
1950,352.33,272.33,239.03,176.95,45.89,258.42,206.43,59.83,91.51,504.22,298.04,471.39
1951,397.37,511.36,203.51,40.50,27.15,216.98,96.01,97.19,30.63,16.31,67.62,150.75
1952,405.46,354.79,154.08,79.35,94.62,17.69,7.93,16.59,82.69,276.48,505.69,337.89
1953,261.09,201.97,280.39,202.13,189.74,27.81,77.63,43.58,14.15,7.62,138.65,256.95
1954,339.75,249.11,249.03,280.66,242.41,222.34,39.31,193.83,138.27,343.37,211.95,456.76
1955,277.07,251.48,219.32,87.13,322.55,283.45,418.27,123.70,230.82,364.07,524.70,204.14
1956,390.57,339.13,219.17,103.49,104.81,148.51,241.47,163.61,141.70,126.54,128.73,467.55
1957,270.86,458.57,258.91,107.84,83.01,52.13,429.56,55.68,13.04,21.04,110.12,401.79
1958,177.14,355.64,332.71,144.26,135.99,143.86,259.78,115.96,18.35,156.92,188.96,270.63
1959,339.39,354.50,401.48,123.62,203.67,167.91,82.36,3.24,63.79,37.22,128.47,385.68
1960,357.19,443.48,240.91,152.11,267.31,40.85,25.17,29.73,14.52,69.54,305.30,186.68
1961,315.59,289.63,180.96,139.42,63.25,12.92,20.28,3.27,6.23,14.05,46.82,170.25
1962,353.63,352.17,147.53,268.68,43.95,55.48,148.26,83.72,2.39,93.53,135.77,388.50
1963,533.22,331.20,414.90,103.20,70.95,19.27,2.02,3.92,30.77,49.81,57.14,388.20
1964,180.11,273.34,377.93,155.66,154.25,46.90,29.61,95.46,87.37,691.75,356.31,155.41
1965,344.22,169.71,322.97,84.32,60.37,21.46,10.92,1.94,8.68,13.40,129.33,212.13
1966,256.57,445.73,418.12,180.51,65.69,61.27,12.62,24.56,30.59,121.32,148.42,316.92
1967,432.30,243.08,248.88,84.69,33.44,7.53,16.74,6.64,12.55,40.61,55.14,363.34
1968,433.95,291.47,229.37,162.00,285.85,184.16,525.68,178.16,91.54,152.68,123.74,396.31
1969,183.88,427.58,259.18,95.91,29.14,34.91,44.77,22.03,26.73,45.89,113.40,183.59
1970,232.71,385.07,213.23,219.95,147.87,75.85,49.45,4.86,126.86,81.22,172.35,295.47
1971,432.40,456.02,373.33,70.09,160.58,144.26,70.16,16.95,63.64,349.43,281.09,290.60
1972,229.64,203.24,388.19,51.23,118.18,5.89,4.90,0.63,7.07,16.40,53.95,247.42
1973,462.25,292.85,327.20,160.42,277.21,82.42,210.73,19.76,433.23,126.28,314.55,287.66
1974,334.75,448.34,290.58,69.98,93.91,37.32,13.47,44.45,263.97,445.28,308.07,277.95
1975,276.70,387.55,338.79,233.67,331.99,20.01,31.09,134.52,193.17,525.66,419.91,384.23
1976,336.31,206.87,225.20,46.76,39.51,13.25,5.09,37.31,0.00,136.30,121.87,163.58
1977,341.71,347.85,260.86,88.13,46.52,80.44,7.64,6.27,25.08,17.79,14.57,273.27
1978,399.26,224.74,384.91,124.50,171.91,267.83,141.98,116.61,206.88,188.67,173.26,359.05
