,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,358.84,218.44,242.73,281.84,190.17,136.56,137.32,132.45,193.92,243.03,294.38,327.12
1902,285.98,212.07,270.76,264.27,215.01,125.83,125.63,145.63,155.92,207.69,270.36,290.67
1903,345.94,230.01,300.07,251.38,207.30,129.02,153.95,166.62,185.99,234.59,313.53,324.07
1904,296.28,217.18,281.54,284.12,172.81,137.15,164.64,137.09,177.18,277.73,261.96,286.20
1905,331.16,278.32,274.71,274.47,188.51,118.51,132.67,156.74,184.76,231.34,300.74,278.10
1906,320.59,256.19,259.51,298.06,191.79,161.46,148.82,153.34,181.62,249.00,289.67,294.19
1907,330.68,270.11,258.61,258.36,166.78,123.88,173.73,141.86,240.31,227.72,281.79,273.08
1908,301.21,230.16,239.12,296.88,177.29,149.40,146.17,144.40,196.29,261.62,270.96,279.55
1909,271.74,273.05,277.50,261.35,215.90,149.48,124.84,196.52,168.34,263.28,275.08,299.53
1910,305.41,208.42,254.47,229.59,185.21,146.28,152.79,154.72,215.83,236.05,302.37,302.64
1911,256.43,186.83,241.83,270.17,200.95,131.90,147.33,140.57,181.69,272.22,295.27,276.43
1912,312.15,234.18,296.86,236.97,208.59,129.04,120.78,137.03,179.70,238.88,301.91,347.88
1913,292.88,244.61,263.91,262.23,184.43,141.25,126.15,143.74,177.89,209.85,258.48,316.62
1914,334.51,269.02,268.57,290.89,197.91,150.50,103.79,133.49,159.46,214.65,289.19,274.33
1915,281.49,247.93,241.61,293.05,219.46,172.49,115.05,131.88,187.07,239.44,290.92,308.02
1916,293.68,191.28,278.29,281.49,204.17,115.72,141.69,143.40,193.16,284.05,276.96,324.76
1917,304.60,225.30,304.55,257.54,173.22,135.45,129.42,173.97,178.84,245.22,246.78,312.17
1918,265.99,196.82,268.08,229.76,212.22,134.49,110.29,120.06,179.77,224.75,327.28,261.97
1919,293.06,238.26,269.46,238.53,200.23,113.71,143.82,114.80,172.51,234.69,296.55,291.68
1920,276.80,207.25,232.28,291.22,180.48,138.43,124.02,143.43,160.41,206.87,250.81,226.24
1921,285.91,227.75,217.81,199.46,189.34,136.79,139.59,125.14,157.90,225.83,248.45,229.74
1922,287.91,222.63,216.55,258.20,163.91,112.36,118.98,107.83,159.01,209.60,220.66,234.16
1923,287.20,207.93,211.18,234.07,169.32,117.29,125.13,114.35,158.94,210.11,272.24,234.19
1924,298.16,219.45,251.60,213.30,186.70,123.34,107.74,132.35,154.15,214.42,230.29,265.17
1925,310.17,206.36,238.97,217.14,151.64,127.73,120.87,116.40,180.23,202.49,285.60,268.63
1926,291.45,225.33,292.27,285.42,174.76,123.76,114.19,116.39,148.58,196.84,293.25,292.25
1927,222.75,246.85,279.91,273.08,131.72,109.50,59.64,97.57,237.72,268.38,373.94,280.58
1928,318.17,271.21,255.43,235.00,200.96,99.82,183.19,203.22,164.57,247.32,286.74,360.51
1929,283.85,227.70,268.99,300.81,143.70,159.60,108.39,131.99,180.50,211.88,242.63,332.34
1930,321.84,178.26,321.74,245.09,156.20,116.37,94.78,107.98,131.48,309.46,311.11,350.90
