,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,266.78,248.28,158.19,240.98,122.58,119.89,194.09,103.55,61.78,139.26,136.60,184.34
1902,234.75,259.70,151.87,152.66,132.83,110.93,102.17,83.43,65.62,100.12,131.48,205.59
1903,191.64,206.42,208.77,111.34,167.94,184.38,236.74,124.11,95.26,135.86,153.12,184.10
1904,217.34,274.80,186.11,218.74,130.71,152.73,205.34,115.63,66.21,106.94,241.16,179.40
1905,186.90,182.11,161.35,161.74,216.13,125.95,127.37,104.44,84.85,150.77,132.07,111.49
1906,265.68,198.02,104.44,149.83,126.12,165.71,134.70,145.10,104.10,192.90,143.79,158.64
1907,176.83,170.94,250.70,145.17,133.53,180.33,277.12,134.38,68.29,169.92,157.61,193.77
1908,203.93,201.94,147.55,146.39,161.91,153.92,181.78,125.91,75.69,118.42,188.57,133.64
1909,226.02,290.16,228.03,115.40,113.68,170.19,205.34,165.63,100.85,129.47,192.78,178.67
1910,312.33,272.00,186.34,148.29,134.25,210.33,152.62,137.49,128.09,192.04,313.29,153.92
1911,176.83,265.30,106.18,148.29,130.34,128.82,162.71,95.08,68.29,89.03,152.20,192.09
1912,253.11,146.65,169.97,176.46,150.20,200.20,230.01,130.79,58.52,83.51,160.32,182.93
1913,301.14,199.70,284.33,180.51,141.33,156.80,163.82,100.42,62.94,100.54,108.03,119.72
1914,281.85,174.59,110.20,97.23,116.16,140.98,181.14,138.86,109.87,166.45,142.27,167.36
1915,191.38,137.18,103.02,157.98,134.25,125.95,117.30,139.27,86.66,112.04,134.48,179.62
1916,239.41,208.63,178.89,112.91,159.05,153.92,222.69,107.12,105.90,174.60,119.43,173.49
1917,279.92,225.97,191.49,141.67,202.29,182.34,191.30,124.11,93.14,252.49,179.24,182.68
1918,238.02,253.87,140.66,157.98,206.93,181.54,107.21,79.00,64.75,108.21,122.14,166.18
1919,172.38,153.62,137.24,137.95,221.11,139.35,178.44,76.74,87.22,86.91,141.70,140.00
1920,289.72,151.11,130.90,137.03,119.70,170.19,161.58,101.77,80.43,175.44,135.37,159.36
1921,233.27,255.56,167.65,117.63,127.52,127.18,198.61,104.00,91.95,154.16,165.13,187.19
1922,242.22,200.82,211.93,168.31,129.28,146.25,117.30,140.15,89.00,153.33,141.70,156.49
1923,238.27,135.47,161.66,137.95,123.98,108.54,157.65,87.47,57.64,103.95,115.84,203.20
1924,221.81,184.93,333.75,133.56,158.35,168.14,120.09,164.75,97.88,138.43,204.49,223.95
1925,189.99,195.81,226.87,149.83,141.01,158.01,149.23,112.95,76.89,123.52,150.08,187.19
1926,420.16,167.32,125.72,144.83,141.70,128.00,202.54,145.10,101.15,122.25,138.97,137.90
1927,172.66,196.89,272.24,145.45,126.12,142.20,143.11,96.39,73.92,107.37,185.25,135.75
1928,227.39,238.23,210.77,155.47,109.09,199.79,139.16,130.79,89.61,226.52,132.67,200.39
1929,205.36,199.70,203.88,136.07,159.44,249.69,166.10,140.15,97.01,118.00,192.78,153.92
1930,203.77,222.63,181.40,140.83,122.19,143.74,110.35,77.08,67.67,101.81,131.83,208.05
