,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,363.70,480.10,363.10,159.50,125.40,230.90,187.50,35.10,18.30,113.40,222.10,272.30
1902,335.40,412.60,316.40,132.80,145.40,46.80,10.20,4.40,0.00,36.80,90.90,183.90
1903,297.20,508.50,317.20,252.30,280.90,83.00,121.80,7.40,123.60,225.50,189.10,194.90
1904,384.90,368.40,304.40,231.80,236.20,232.10,174.70,113.80,246.90,240.70,198.60,199.10
1905,351.60,326.10,224.90,258.80,144.00,51.60,140.80,20.60,70.60,50.80,177.70,157.10
1906,407.40,233.00,219.70,152.40,101.30,46.00,127.70,172.40,442.70,266.10,210.00,294.20
1907,322.20,368.00,281.80,272.20,185.30,93.10,128.90,133.80,116.50,134.30,190.20,257.20
1908,287.80,309.60,178.00,195.30,260.20,138.40,165.00,190.80,138.90,231.80,221.80,219.60
1909,392.00,372.20,306.10,280.60,309.70,280.40,175.60,186.00,191.90,326.80,234.80,180.10
1910,327.00,379.00,173.20,286.60,201.00,139.80,111.20,216.70,230.00,302.10,218.50,126.80
1911,311.60,202.60,169.60,206.40,195.10,145.50,137.20,19.50,105.00,199.10,169.40,209.20
1912,372.40,428.40,277.50,106.30,72.90,112.70,134.30,57.90,122.80,163.90,192.50,254.10
1913,368.50,274.80,201.80,276.00,142.90,41.20,11.00,46.50,56.80,181.00,120.20,271.00
1914,396.20,308.20,239.60,199.50,257.70,73.00,10.80,11.20,3.30,30.80,136.40,242.10
1915,440.10,421.80,187.10,164.40,307.00,161.40,69.90,22.80,157.80,171.10,252.10,204.40
1916,596.20,409.30,301.70,207.30,146.80,107.70,84.50,165.50,225.10,366.40,190.10,209.60
1917,395.90,381.00,213.40,298.10,170.30,92.90,136.90,105.60,214.20,300.70,168.50,328.30
1918,341.20,462.60,157.30,194.90,162.70,26.90,38.30,50.30,18.50,40.90,429.50,212.00
1919,405.10,406.50,186.40,303.60,298.80,144.80,33.10,84.10,44.40,63.60,216.80,207.90
1920,356.40,310.40,297.90,266.50,102.00,75.90,22.70,322.30,269.00,313.20,124.10,203.70
1921,360.60,325.20,283.30,224.30,87.90,119.50,127.40,117.20,91.30,150.90,113.30,262.10
1922,407.80,338.60,221.00,341.30,248.30,92.00,107.30,39.20,96.10,232.20,184.80,158.70
1923,332.10,361.10,184.90,182.80,216.20,194.20,211.70,0.70,13.80,71.50,132.90,288.50
1924,326.70,287.70,270.80,271.60,198.70,84.40,23.60,26.20,131.30,295.20,219.30,231.70
1925,434.20,344.50,255.10,186.90,101.80,6.50,24.40,10.40,20.10,64.00,90.70,266.20
1926,393.60,424.00,330.00,198.50,200.90,40.40,26.10,22.40,76.60,154.90,129.70,269.50
1927,413.10,217.80,273.00,239.30,241.20,118.30,125.30,95.00,94.20,151.10,200.50,335.40
1928,248.70,388.70,302.00,276.10,142.60,157.90,68.40,204.30,60.60,199.80,195.40,257.90
1929,464.30,251.80,266.80,255.40,167.50,111.50,27.40,26.20,51.00,120.20,184.20,206.00
1930,236.90,370.00,237.00,312.70,288.30,70.30,106.80,43.00,67.70,246.60,181.70,195.10
1931,348.10,325.20,361.10,187.60,249.70,158.50,95.40,146.50,103.50,227.80,137.00,350.20
1932,307.50,388.50,338.50,248.60,241.20,155.60,40.50,30.70,141.60,145.10,161.00,214.70
1933,317.90,364.60,330.30,209.50,209.30,169.90,121.40,121.60,234.40,222.10,150.70,265.90
1934,399.00,225.10,279.80,210.30,103.70,124.60,119.70,20.90,96.20,134.00,233.80,292.60
1935,354.40,316.70,228.40,290.40,145.40,160.00,5.50,7.80,30.70,159.10,221.70,291.00
1936,319.20,290.30,271.10,326.30,142.20,117.60,161.00,64.40,94.60,209.50,257.20,213.20
1937,510.30,290.70,256.00,271.60,281.20,184.60,42.50,27.90,145.90,196.10,221.20,332.30
1938,366.90,305.30,288.90,201.30,206.90,253.60,201.50,131.90,84.30,147.70,228.80,244.10
1939,366.30,316.30,170.80,261.40,167.80,210.20,210.20,117.80,112.20,150.10,135.80,297.30
1940,459.30,256.20,295.40,266.50,240.50,165.40,85.40,57.10,30.00,68.10,131.40,289.80
1941,333.40,235.60,292.40,231.00,270.00,161.40,91.10,40.20,88.50,160.40,158.80,268.50
1942,414.40,321.30,216.60,259.60,189.40,118.20,132.00,112.50,106.30,320.30,155.10,238.00
1943,584.10,438.00,312.10,169.80,191.00,105.70,132.70,112.50,118.10,270.30,228.20,130.30
1944,427.00,309.20,286.70,186.50,129.90,14.60,27.60,14.50,139.60,126.50,311.50,161.10
1945,306.60,390.90,306.90,238.20,140.60,12.20,26.40,48.30,229.20,178.80,134.50,180.70
1946,399.70,362.90,280.10,130.60,83.30,18.60,24.70,14.50,25.60,63.30,168.20,260.00
1947,359.80,279.60,260.30,213.10,74.80,17.20,36.00,177.20,353.80,185.70,161.50,356.80
1948,273.30,207.10,260.60,156.00,95.00,76.30,74.60,13.20,44.40,53.00,216.10,194.70
1949,608.30,269.20,205.10,229.70,244.70,176.00,34.10,20.60,77.00,81.30,221.00,133.00
1950,238.70,262.70,182.80,172.20,282.00,164.80,99.90,87.00,205.50,237.10,199.90,180.80
1951,349.10,335.40,210.70,144.90,167.20,151.60,147.20,155.30,101.30,132.70,93.60,240.10
1952,440.10,235.00,323.80,139.50,147.60,126.60,94.50,146.00,168.30,254.10,165.60,205.10
1953,247.90,199.30,318.20,156.90,206.30,74.40,19.80,39.40,22.70,44.10,176.50,159.20
1954,378.90,261.40,120.20,198.40,162.90,103.20,101.90,116.50,156.40,252.00,223.10,205.10
1955,283.40,325.10,252.20,220.80,172.00,211.80,289.40,127.30,182.90,231.40,247.10,225.10
1956,379.40,198.90,251.50,271.90,157.70,162.60,121.10,178.70,229.70,213.80,179.50,202.80
1957,239.00,237.90,184.50,110.10,107.20,115.00,226.10,74.90,47.90,93.80,163.50,261.00
1958,305.40,342.50,221.00,190.90,228.40,90.60,242.40,262.60,164.80,136.10,135.70,296.50
1959,259.50,246.10,307.40,213.30,248.80,161.70,112.10,19.10,46.70,117.70,173.20,208.40
1960,533.40,434.50,158.30,403.90,184.50,93.90,106.20,116.60,109.40,165.80,198.10,175.10
1961,527.00,251.70,145.20,206.50,227.90,49.10,7.90,7.90,2.20,26.40,166.40,168.90
1962,464.10,337.40,244.50,220.20,84.90,181.20,157.00,127.50,70.00,220.20,151.60,253.50
1963,596.50,272.00,222.80,137.20,105.00,25.40,11.10,1.20,8.40,80.40,138.40,168.20
1964,208.60,170.90,192.20,269.70,187.00,56.20,45.20,171.80,171.20,229.00,204.70,216.40
1965,669.60,328.70,287.70,165.20,159.70,76.30,63.10,24.40,56.20,57.80,153.30,248.60
1966,273.30,204.70,251.00,145.20,188.60,61.90,7.10,24.40,87.10,226.70,308.50,222.10
1967,341.10,431.10,227.10,197.70,87.30,9.10,11.30,12.20,7.30,72.60,171.70,260.30
1968,318.70,346.20,226.50,151.70,256.40,258.80,215.50,190.50,133.20,82.30,257.10,362.90
1969,293.00,229.20,172.30,266.10,198.00,78.70,45.90,34.90,179.70,156.40,142.30,179.00
1970,368.60,379.80,353.20,296.00,286.70,170.70,75.50,45.50,89.10,207.10,312.90,298.30
1971,376.80,415.00,260.70,118.00,192.40,139.70,46.80,50.40,60.20,294.60,189.60,210.50
1972,525.90,210.40,377.00,169.20,205.10,15.40,39.20,37.60,12.80,49.50,148.40,184.30
1973,404.50,349.00,312.00,250.70,213.40,162.50,107.70,162.60,195.50,253.60,176.90,224.60
