,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,347.98,193.36,217.58,334.24,179.30,136.60,142.84,109.18,171.69,213.70,292.83,333.80
1902,276.62,214.17,264.91,301.35,221.79,93.59,91.75,108.85,115.89,143.92,208.76,277.34
1903,440.41,269.32,328.18,284.02,213.36,114.04,171.89,186.85,160.84,195.50,294.51,331.48
1904,346.04,187.18,266.73,334.54,141.00,115.02,166.29,129.92,158.11,279.44,238.01,304.73
1905,334.00,313.17,289.46,324.78,217.04,99.06,115.37,137.77,155.61,189.74,310.07,256.64
1906,347.25,280.29,275.90,340.34,186.93,164.85,149.82,156.93,148.63,219.76,280.87,331.38
1907,299.22,267.96,261.61,269.91,152.93,113.92,183.73,110.05,236.92,190.48,259.80,239.04
1908,295.03,233.77,228.21,340.68,157.88,132.33,145.57,129.42,182.38,221.15,250.98,327.21
1909,278.75,304.55,324.27,301.56,223.06,126.15,97.21,191.02,130.33,231.23,241.96,300.94
1910,296.04,246.72,257.44,220.97,170.34,138.56,153.83,174.94,204.19,199.46,290.05,306.45
1911,291.85,139.78,192.17,280.38,232.65,104.38,122.02,117.26,153.60,252.92,331.57,259.03
1912,275.16,308.43,263.44,288.33,236.74,123.26,109.60,130.29,171.53,211.82,283.47,376.23
1913,364.23,252.98,397.60,333.81,191.18,157.37,108.50,110.79,163.83,175.47,274.93,289.76
1914,452.80,237.55,281.97,394.03,178.79,151.14,72.74,87.40,108.24,151.76,263.72,237.73
1915,284.41,234.79,220.13,374.19,202.82,166.40,132.17,102.10,164.12,213.06,288.00,328.11
1916,237.52,126.98,324.71,307.27,223.79,108.34,177.37,152.95,170.23,232.54,293.50,312.52
1917,360.50,266.11,349.43,285.19,175.53,111.86,102.55,211.92,172.47,210.44,209.25,292.57
1918,368.38,126.80,236.07,266.62,229.22,152.54,86.40,89.62,170.76,177.69,249.05,247.38
1919,325.86,230.12,308.84,276.24,214.09,80.10,156.76,90.50,139.88,210.69,270.70,262.39
1920,313.19,198.11,221.81,317.06,175.76,111.52,120.15,125.41,123.21,170.03,243.51,154.20
1921,342.30,250.66,232.53,224.80,205.02,112.46,125.89,92.96,132.32,236.99,249.85,176.74
1922,261.65,201.66,211.15,292.38,152.95,105.68,95.21,105.47,126.45,182.06,241.41,201.99
1923,332.72,173.88,221.57,210.05,155.28,91.10,137.69,86.84,119.90,159.20,250.31,197.48
1924,313.71,297.75,332.52,208.02,207.06,105.40,88.01,114.42,145.32,178.36,181.49,223.10
1925,367.45,241.16,235.40,219.34,170.04,111.72,98.77,95.32,178.08,210.60,292.21,282.33
1926,277.49,221.55,284.44,316.48,153.10,107.58,122.45,110.07,135.49,172.87,280.24,278.77
1927,225.90,267.60,309.57,331.29,138.50,98.52,41.01,86.80,261.62,239.72,369.98,270.14
1928,309.73,296.86,283.97,273.95,178.98,69.37,170.31,157.43,130.25,233.77,321.67,314.74
1929,221.01,235.61,301.52,296.15,171.27,173.61,85.26,129.57,188.59,200.79,263.78,334.06
1930,303.40,151.21,382.11,330.12,168.62,132.59,61.61,85.01,113.91,294.27,311.24,337.71
1931,437.05,263.45,353.18,336.52,208.03,175.24,161.71,140.53,245.76,240.14,332.36,412.49
1932,297.68,202.63,245.17,340.02,261.89,166.82,95.61,150.36,167.46,221.27,229.44,310.70
1933,424.87,192.73,282.97,271.21,275.30,153.82,153.49,189.76,197.63,208.86,325.47,160.35
1934,323.68,152.12,325.34,314.71,152.16,184.40,141.15,125.90,124.06,223.68,291.92,182.06
1935,256.78,262.52,254.81,247.26,234.74,140.78,101.66,119.40,114.01,230.23,392.96,354.55
1936,299.12,205.40,299.72,247.91,304.55,106.31,112.24,128.01,102.40,290.48,272.19,228.95
1937,262.04,266.69,205.96,411.89,214.08,99.71,143.00,134.72,196.89,188.78,223.10,325.45
1938,297.57,216.41,379.29,354.73,244.93,108.08,137.73,195.20,165.64,163.78,264.21,332.44
1939,310.36,144.66,241.24,391.14,193.62,128.77,81.83,150.49,219.27,258.50,238.32,349.59
1940,195.74,278.27,287.97,285.76,192.13,119.94,109.54,129.30,175.28,118.48,289.57,299.48
1941,373.95,265.03,339.34,385.30,239.53,107.48,94.17,140.39,109.91,175.99,338.22,371.39
1942,283.43,229.14,303.21,357.70,206.50,116.30,131.94,127.11,160.56,250.81,271.96,345.51
1943,257.93,271.18,296.86,320.30,188.12,123.81,124.98,114.43,159.87,201.33,268.35,260.69
1944,238.61,258.70,251.24,310.82,190.22,115.80,120.64,119.71,181.27,211.86,268.98,256.41
1945,260.15,257.67,333.31,328.08,199.19,111.23,140.63,135.04,149.82,220.50,257.43,265.47
1946,264.72,271.03,312.74,324.73,208.32,117.27,115.49,119.61,178.21,214.87,270.66,325.21
1947,277.28,236.74,325.55,314.36,183.67,109.67,129.00,114.26,177.91,198.42,246.70,302.64
1948,424.82,340.63,434.35,277.01,232.13,117.05,162.23,110.07,158.13,185.24,348.37,298.01
1949,272.20,248.11,248.96,308.29,168.37,114.73,108.29,106.11,133.81,227.78,282.08,302.22
1950,284.66,213.78,346.53,387.40,227.70,93.85,117.35,157.08,173.99,253.03,353.35,212.49
