,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,332.05,413.37,432.44,193.72,116.15,270.85,250.19,38.23,20.82,161.23,350.76,370.88
1902,332.58,388.28,399.75,145.91,161.44,71.60,13.02,12.89,1.89,48.49,146.98,241.88
1903,253.66,457.58,409.48,305.31,307.52,101.00,119.79,10.81,149.94,328.00,334.15,314.40
1904,347.99,345.48,402.19,302.86,283.37,226.09,173.69,109.95,313.53,347.62,329.80,300.29
1905,308.81,347.57,275.68,336.60,181.68,51.26,187.58,25.29,83.99,74.03,285.53,223.58
1906,384.70,256.42,271.77,212.33,116.18,43.61,141.80,228.76,557.92,346.68,373.87,432.62
1907,313.57,343.28,329.46,324.23,215.53,86.08,150.10,139.06,133.66,169.42,334.74,370.46
1908,273.35,330.55,213.03,236.59,299.34,149.85,208.33,215.48,147.17,334.99,385.75,300.60
1909,343.62,390.30,356.77,338.28,402.50,323.15,233.25,172.77,244.14,457.77,352.64,258.54
1910,303.90,356.71,252.02,351.05,224.12,155.11,177.19,229.49,294.57,452.97,357.34,228.33
1911,304.07,191.65,226.70,244.38,222.36,180.42,144.59,21.87,160.76,286.21,299.33,297.41
1912,360.22,448.37,348.98,151.09,90.63,97.81,145.50,36.04,121.14,243.01,390.41,335.72
1913,325.45,273.69,313.77,336.91,142.88,28.73,8.43,45.04,79.46,264.57,198.83,330.62
1914,362.03,316.54,298.33,253.05,292.14,78.67,10.45,8.70,2.91,36.60,236.97,333.59
1915,442.01,440.57,256.43,212.27,355.25,177.58,85.24,21.59,171.30,249.28,407.90,280.60
1916,496.36,415.91,366.04,263.73,187.26,127.82,118.47,180.07,324.09,513.19,310.42,348.44
1917,368.02,371.94,245.76,385.49,211.87,82.78,152.50,92.05,304.89,440.16,302.37,424.67
1918,314.48,435.39,217.08,229.85,193.01,37.65,37.99,33.28,19.68,60.59,480.57,348.78
1919,396.89,403.98,245.50,375.32,387.97,166.98,36.19,87.85,54.12,75.18,355.55,321.65
1920,349.84,323.90,400.45,340.95,139.75,71.18,43.32,347.97,371.67,460.60,232.74,270.39
1921,317.59,255.07,436.42,255.25,100.71,105.00,120.22,115.03,112.53,205.70,235.09,370.42
1922,385.29,334.45,269.08,351.85,324.82,121.07,125.36,34.75,106.42,316.60,340.63,228.02
1923,293.07,411.72,208.84,225.20,287.82,223.38,313.76,0.75,16.06,95.49,222.44,378.35
1924,373.08,307.46,375.25,393.12,261.42,129.76,38.86,20.63,111.44,463.36,407.43,348.15
1925,324.07,301.72,332.50,244.01,118.97,3.66,33.59,9.19,19.16,77.41,202.27,418.53
1926,362.62,403.24,483.35,203.18,280.39,30.85,18.00,18.87,66.98,208.84,268.56,399.22
1927,375.82,304.60,340.78,316.40,301.89,131.70,121.88,87.36,110.83,179.51,431.37,436.88
1928,398.75,369.80,442.35,331.06,186.43,158.35,88.72,272.55,78.26,282.35,423.59,395.79
1929,382.44,318.01,366.78,259.50,136.46,97.01,30.93,19.69,51.93,194.23,287.79,366.48
1930,284.01,407.87,362.18,364.18,387.84,44.52,116.01,62.69,58.05,300.50,327.35,322.48
1931,421.74,360.87,475.18,289.90,251.92,136.39,88.49,121.30,81.43,339.98,243.44,394.79
1932,309.16,338.65,410.64,357.54,300.69,172.97,49.79,21.71,188.65,185.97,270.07,267.20
1933,440.40,358.87,329.57,274.89,264.81,154.13,95.29,141.76,293.17,291.99,309.83,322.03
1934,355.48,230.94,300.23,357.65,140.35,82.87,80.67,24.22,101.20,182.87,408.35,382.34
1935,342.40,410.72,291.97,299.97,138.25,108.67,4.86,7.35,29.72,253.73,372.81,301.32
1936,372.36,380.70,402.35,298.40,163.89,139.75,95.00,43.59,89.42,269.22,386.56,307.33
1937,415.51,358.87,369.95,347.19,357.23,238.58,50.59,12.24,113.49,272.63,229.99,474.37
1938,416.25,329.59,342.56,267.99,345.49,265.99,265.44,171.06,61.90,193.97,400.60,345.84
