,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,442.46,376.79,459.43,155.68,64.60,254.59,195.14,28.15,10.69,96.88,260.58,344.61
1902,437.06,442.33,424.28,80.92,123.40,82.39,5.49,23.57,0.06,23.26,107.85,254.89
1903,243.73,507.44,517.34,275.67,225.51,101.26,46.65,11.53,76.17,245.25,355.42,433.07
1904,355.96,384.84,472.42,268.29,285.50,148.45,69.56,68.52,234.36,269.00,279.40,433.71
1905,369.22,462.78,306.08,346.34,204.84,20.28,150.53,30.46,49.11,59.25,288.84,241.50
1906,573.90,339.12,303.98,260.49,118.75,28.35,90.70,236.29,354.72,211.37,393.21,564.09
1907,401.21,391.90,331.26,207.47,182.24,54.58,85.29,80.23,82.67,148.60,362.63,439.16
1908,319.67,510.38,311.49,247.72,276.04,138.42,143.44,171.14,87.91,232.46,382.52,348.47
1909,419.84,407.60,356.86,298.18,406.79,320.74,183.38,123.61,185.01,343.90,251.62,251.37
1910,384.84,361.36,352.31,280.67,182.01,159.73,184.39,161.86,234.64,388.36,349.09,359.91
1911,398.41,326.81,294.46,228.93,199.05,151.64,108.31,12.09,104.92,211.71,311.19,366.16
1912,491.04,441.88,444.81,148.68,108.87,50.49,49.01,12.38,32.09,196.59,456.44,348.01
1913,422.29,342.53,411.71,254.74,75.63,9.72,4.85,22.32,51.68,211.30,172.10,369.59
1914,389.72,367.97,301.69,249.09,198.23,83.13,3.17,2.46,2.05,12.72,216.06,378.63
1915,577.22,488.44,339.14,206.91,354.93,135.70,41.74,23.88,78.39,173.14,378.76,323.84
1916,596.06,389.81,377.23,157.58,135.93,142.91,126.66,153.39,241.67,446.68,303.80,378.94
1917,451.55,448.87,283.12,366.29,182.33,69.23,54.68,45.78,260.45,350.88,348.85,451.35
1918,399.37,507.69,219.99,175.43,173.50,40.93,15.28,17.97,5.58,53.91,292.18,396.11
1919,381.17,405.36,328.66,306.97,350.04,107.71,18.87,48.92,28.74,20.64,336.63,448.20
1920,464.56,289.46,435.15,346.79,139.52,63.96,40.81,250.30,259.91,366.47,292.40,234.84
1921,326.43,426.95,476.95,187.68,44.76,97.37,52.22,47.97,79.59,255.98,199.37,347.09
1922,393.22,374.76,378.72,257.21,312.71,194.38,48.53,22.03,42.04,230.58,225.71,354.11
1923,357.36,398.67,290.15,171.79,274.81,147.73,290.51,0.16,0.56,31.66,234.43,369.97
1924,332.07,402.36,387.02,324.07,192.76,78.68,59.81,16.58,42.48,367.47,382.29,255.19
1925,469.14,363.59,469.04,206.52,70.96,5.53,15.99,5.14,7.04,29.57,160.60,318.98
1926,432.27,384.38,482.14,263.19,279.44,6.03,1.69,9.52,26.68,89.66,274.11,488.93
1927,580.55,247.43,408.51,300.12,289.36,161.63,58.20,28.50,62.38,224.40,284.79,349.30
1928,408.96,457.33,511.77,277.09,103.26,143.99,56.08,161.66,36.90,178.76,374.48,524.21
1929,399.26,289.59,516.34,186.45,33.59,61.60,2.14,8.38,31.84,88.48,139.70,399.49
1930,319.86,428.32,320.16,281.63,367.49,25.84,48.26,39.31,21.86,222.43,262.12,375.23
1931,479.41,389.16,391.45,314.07,284.89,95.79,42.77,50.06,53.74,221.14,230.85,267.10
1932,406.63,398.59,427.22,347.62,220.41,150.23,22.27,8.25,77.17,160.68,250.97,321.34
1933,474.96,436.92,398.28,228.49,225.51,140.97,25.66,155.49,193.61,233.45,282.44,335.45
1934,553.37,344.26,406.48,332.49,90.76,55.19,37.24,13.84,29.35,191.82,428.75,287.54
1935,396.80,335.00,334.41,307.91,119.08,45.68,1.46,5.01,4.79,171.21,295.90,299.59
1936,413.19,320.94,391.72,354.09,155.79,115.21,52.49,32.53,43.10,174.41,260.40,294.25
1937,482.90,305.41,399.29,396.50,234.08,163.46,18.02,1.56,89.94,144.28,213.29,509.24
1938,501.95,427.78,344.20,234.67,330.40,188.43,199.17,118.07,41.68,145.11,321.88,397.44
1939,506.93,357.43,351.01,315.61,123.77,222.17,251.18,127.78,63.00,159.77,225.70,262.85
1940,482.38,331.25,335.14,261.65,217.85,96.58,14.63,5.20,11.01,50.23,201.24,409.25
1941,470.05,337.16,413.69,304.17,302.69,149.09,61.90,11.61,41.55,100.85,258.33,437.98
1942,488.45,405.39,288.75,246.41,253.23,116.48,114.87,46.86,114.25,338.46,351.95,272.99
1943,435.09,491.04,481.57,244.02,137.88,158.44,202.79,146.14,49.24,316.11,431.71,216.66
1944,327.02,395.42,355.87,176.54,67.24,8.58,5.88,22.45,40.00,90.24,232.46,317.87
1945,426.11,461.79,422.22,186.30,120.76,4.20,25.86,6.48,174.43,264.44,274.52,312.23
1946,379.57,376.07,414.39,155.06,116.00,16.97,45.77,8.81,9.31,60.69,282.13,396.24
1947,386.75,341.95,361.88,290.56,51.82,2.15,39.96,69.99,96.16,206.10,276.53,341.44
1948,312.41,297.01,443.02,246.66,143.19,69.71,100.35,11.35,56.60,41.78,284.60,390.18
1949,541.14,338.24,311.35,244.49,216.12,119.14,7.28,33.39,48.55,55.53,324.75,236.30
1950,350.47,412.43,291.60,195.73,196.59,199.60,87.01,69.44,118.13,318.00,360.92,282.07
1951,413.20,351.23,253.43,167.67,119.99,231.16,129.08,90.79,112.10,92.81,113.84,497.82
1952,427.30,440.55,430.12,180.23,146.55,49.77,31.60,121.26,136.06,302.75,456.60,298.69
1953,297.00,277.53,392.27,313.83,255.15,29.96,75.80,7.27,14.82,22.17,293.26,287.67
1954,450.13,373.95,258.32,331.76,279.58,125.20,102.67,176.02,161.17,226.92,488.37,335.35
1955,404.65,378.09,335.99,272.31,226.73,118.69,291.04,215.38,151.16,323.95,386.43,392.42
1956,418.07,368.52,239.27,202.07,251.13,202.14,172.60,205.02,100.96,213.04,271.72,337.32
1957,300.73,278.77,470.95,192.33,88.70,69.12,250.42,99.22,20.69,53.76,187.55,457.66
1958,350.22,430.65,516.53,301.08,232.36,86.32,224.42,227.59,117.18,268.22,273.87,532.81
1959,365.68,364.36,395.18,244.10,341.87,122.51,173.93,12.64,64.83,119.19,280.21,390.66
1960,476.67,438.89,357.32,269.96,310.36,70.86,87.46,26.64,58.47,146.72,391.33,287.12
1961,484.25,295.68,281.96,247.32,216.46,24.29,13.95,0.39,2.63,49.31,171.53,273.44
