,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,328.06,288.60,302.11,224.48,196.55,157.62,150.47,109.55,118.89,131.67,220.46,320.25
1902,321.42,294.73,298.44,218.30,190.27,144.29,138.46,100.21,118.88,131.67,215.96,328.90
1903,319.27,298.31,301.03,225.96,202.17,158.19,145.86,100.54,118.88,132.73,220.45,333.92
1904,325.15,292.61,300.66,222.00,200.64,149.89,138.95,100.31,121.85,137.16,223.72,328.29
1905,320.80,289.10,300.15,225.74,192.41,144.96,149.67,107.54,120.65,133.37,221.18,316.42
1906,328.68,285.54,308.07,228.68,200.85,147.83,142.00,111.45,121.75,142.46,229.58,329.98
1907,322.60,284.36,308.26,231.41,199.32,144.95,139.41,102.04,119.65,132.85,228.25,329.05
1908,317.70,303.49,308.75,229.18,199.12,146.11,141.33,103.64,119.39,134.97,234.58,332.13
1909,325.95,293.15,303.16,222.19,204.38,168.91,151.39,110.26,130.10,150.65,236.34,321.11
1910,328.05,297.06,306.81,227.79,196.33,159.18,144.10,103.35,126.42,138.31,224.00,328.15
1911,323.97,289.21,294.64,228.59,196.93,160.03,143.91,100.22,127.19,131.67,221.16,332.65
1912,329.58,297.73,317.52,221.59,196.98,147.68,140.01,100.20,118.88,132.10,234.07,328.56
1913,330.44,288.98,313.86,227.62,198.28,147.96,138.91,100.72,119.59,132.91,219.82,331.12
1914,325.73,290.49,301.78,228.16,197.71,148.55,138.14,100.20,118.88,131.67,216.03,326.25
1915,328.34,291.27,302.16,229.79,206.05,150.25,138.49,100.47,125.54,134.78,230.80,327.82
1916,326.71,286.17,308.98,222.44,192.94,159.07,147.98,115.49,121.34,152.12,231.42,333.47
1917,322.16,297.19,300.33,229.13,200.14,160.18,139.07,107.50,131.56,149.69,232.35,334.45
1918,324.82,284.22,294.94,225.54,192.57,147.48,138.45,100.47,118.88,129.97,219.77,327.76
1919,320.79,296.71,302.55,228.66,204.70,146.49,138.53,101.08,118.88,129.08,223.01,330.74
1920,331.72,291.15,306.47,230.32,193.17,145.63,148.47,110.36,122.70,154.10,233.23,326.05
1921,323.83,303.40,303.93,236.00,191.69,151.17,140.27,100.60,122.38,147.47,223.41,326.23
1922,327.83,294.49,303.03,237.30,194.61,158.56,138.79,100.23,118.89,138.58,221.05,329.39
