,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,239.47,357.11,331.74,238.96,159.18,184.02,134.70,100.05,88.06,169.13,258.78,296.31
1902,245.62,369.52,312.13,213.33,158.95,80.69,65.91,60.02,84.43,98.97,142.39,196.66
1903,245.72,442.00,320.86,286.75,203.09,90.28,211.35,87.46,160.03,169.28,197.73,200.23
1904,257.79,285.30,274.50,228.79,180.22,188.24,232.80,162.68,195.42,264.70,291.10,285.51
1905,258.09,217.16,290.54,261.17,156.90,111.39,125.82,78.11,106.01,102.66,242.98,201.60
1906,296.37,192.87,273.39,203.77,152.22,101.55,169.68,111.87,326.71,283.66,224.69,342.12
1907,219.32,308.89,330.61,275.34,184.84,125.36,152.25,153.32,199.06,192.10,235.89,319.70
1908,259.61,261.46,242.41,261.73,217.99,144.63,190.18,188.20,262.03,243.02,259.68,306.21
1909,276.76,263.86,376.63,285.92,193.92,227.13,132.86,213.93,180.12,325.94,257.06,236.66
1910,275.70,323.18,212.90,296.42,178.40,146.89,113.63,234.95,261.35,257.84,199.68,181.75
1911,251.32,203.47,173.10,241.79,183.76,128.37,200.65,50.87,94.12,218.03,189.42,273.75
1912,257.40,322.98,299.23,158.27,89.15,144.98,182.45,135.18,244.28,166.14,221.45,292.74
1913,290.60,236.83,238.42,292.66,172.21,99.54,62.41,79.52,80.76,176.63,152.03,297.75
1914,242.36,220.55,250.21,188.32,205.12,93.78,35.57,41.17,35.02,72.07,152.72,286.05
1915,281.48,278.61,191.42,207.12,245.73,149.41,108.15,61.66,232.94,202.84,276.35,290.44
1916,413.87,280.82,345.60,226.21,118.03,97.10,109.35,195.97,191.46,327.09,228.03,235.07
1917,319.45,282.40,255.80,286.85,138.64,116.95,169.83,201.85,208.88,293.50,170.54,397.49
1918,283.77,344.81,161.12,231.83,159.94,53.06,69.65,114.27,58.11,69.01,549.09,209.15
1919,259.20,297.27,223.00,290.43,199.13,121.81,75.92,108.51,78.55,118.90,217.23,213.02
1920,283.72,211.43,267.32,284.57,115.25,97.01,48.52,314.22,225.79,277.16,124.18,250.47
1921,280.21,289.39,293.21,238.53,96.93,121.99,173.89,140.09,123.08,198.26,168.30,309.69
1922,279.34,256.88,279.17,326.31,199.77,102.18,129.03,89.38,125.27,241.95,195.30,242.68
1923,265.22,279.06,237.70,203.14,162.61,172.12,236.40,31.06,40.28,98.31,170.16,313.92
1924,259.66,239.61,294.18,259.21,185.51,106.22,48.72,63.31,168.02,253.93,211.03,257.27
1925,302.86,302.86,284.10,213.91,118.64,44.71,51.58,44.68,76.27,90.81,119.38,291.01
1926,279.31,304.97,329.45,246.03,167.30,67.30,61.62,72.44,112.83,184.96,150.88,318.85
1927,277.02,185.90,288.89,240.32,197.18,83.01,81.32,117.07,111.96,180.51,262.93,371.13
1928,240.43,346.19,333.54,284.70,176.34,148.40,107.08,273.00,102.59,211.31,190.53,368.70
1929,346.45,209.42,317.66,295.18,130.50,120.22,52.21,55.85,92.20,107.75,184.88,266.52
1930,202.54,253.93,246.67,279.93,208.61,97.81,120.51,82.49,93.43,237.45,199.60,277.63
1931,267.18,290.44,354.69,206.02,204.71,172.31,123.49,199.97,195.03,219.91,212.39,379.98
1932,281.19,311.36,357.07,254.28,188.78,177.32,71.14,95.32,164.63,179.88,195.71,315.80
1933,238.03,274.81,327.05,212.49,186.07,193.56,157.81,144.54,250.71,227.39,184.05,272.11
1934,294.74,205.55,306.30,243.12,113.19,134.77,147.25,53.16,110.18,164.00,251.22,300.48
1935,278.69,216.78,234.78,302.91,159.76,141.40,37.34,39.00,48.27,164.83,231.96,312.52
1936,251.43,227.92,293.66,354.56,169.62,129.49,172.33,107.64,131.33,204.84,280.75,252.83
1937,374.20,214.01,279.99,281.52,202.32,208.20,114.79,100.20,209.39,172.57,259.72,333.00
1938,298.95,259.88,295.66,216.00,199.26,220.09,209.33,226.12,118.18,174.95,253.33,301.05
1939,281.42,271.17,194.45,271.54,168.83,195.67,207.75,149.29,143.87,174.71,175.10,309.84
1940,321.57,260.49,294.96,262.89,212.56,156.52,75.25,72.84,89.81,80.89,173.58,294.79
1941,279.21,199.76,353.68,223.21,238.78,139.64,92.78,89.41,100.79,140.91,220.72,291.64
1942,280.97,282.59,227.45,263.37,195.04,138.18,167.78,151.07,146.26,296.63,189.20,321.42
1943,405.84,366.20,345.11,194.89,176.66,123.67,186.26,168.46,174.41,267.51,250.96,210.27
1944,274.88,280.78,313.61,214.74,141.23,40.85,56.01,43.33,149.70,165.63,391.86,210.54
1945,235.85,303.66,342.58,244.62,151.37,33.63,54.79,105.54,215.66,147.07,148.80,240.82
1946,293.85,307.58,305.06,161.96,97.92,48.74,46.42,50.54,47.42,100.90,197.80,316.46
1947,267.67,244.38,304.92,216.55,111.40,45.35,84.20,199.31,337.85,196.15,205.60,381.33
1948,229.78,211.56,397.20,176.46,132.59,100.78,122.05,66.42,98.90,99.10,242.99,203.02
1949,365.80,238.79,213.10,205.52,177.61,171.68,68.22,78.53,83.40,138.16,273.32,219.29
1950,188.16,255.31,202.93,183.55,227.24,160.77,119.57,127.84,228.06,249.79,243.18,259.29
1951,260.01,322.48,210.36,170.49,152.14,187.44,152.96,159.36,142.62,138.02,147.47,257.53
1952,292.97,198.82,373.80,206.94,166.17,120.51,117.43,215.96,192.23,246.10,212.58,285.22
1953,208.17,200.47,331.70,228.30,186.36,101.26,54.99,69.14,56.52,95.95,203.26,211.50
1954,288.37,233.96,194.23,246.08,186.25,125.78,151.25,172.26,154.07,237.66,250.59,274.25
1955,261.42,261.33,278.44,285.36,165.36,180.06,304.99,227.93,241.82,233.75,248.76,299.78
1956,254.38,188.13,207.67,202.16,162.96,146.52,206.54,212.24,234.32,239.46,227.10,270.08
1957,223.95,227.05,230.86,194.71,134.91,113.00,225.14,158.95,55.81,104.28,144.68,362.78
1958,212.70,261.38,278.04,218.84,194.42,134.69,172.59,271.41,168.97,159.10,196.30,310.96
1959,191.32,208.81,364.65,198.95,240.34,175.27,137.39,56.47,84.72,131.46,199.87,331.97
1960,372.97,389.81,175.05,355.60,188.22,103.39,196.29,184.51,180.64,170.33,243.01,291.79
1961,310.64,219.40,266.20,214.70,208.47,78.96,45.02,18.78,23.55,48.94,152.67,238.99
1962,272.24,298.53,299.13,238.28,99.51,173.90,133.06,169.32,83.25,225.36,188.25,319.90
1963,425.33,282.61,221.28,173.85,138.88,46.91,29.39,20.43,23.95,79.77,138.65,232.24
1964,253.90,235.78,237.59,292.51,196.96,83.42,86.92,189.74,197.15,251.44,232.37,279.91
1965,310.53,280.31,288.97,213.90,237.63,113.73,118.44,66.42,96.44,100.68,216.26,289.10
1966,319.46,238.09,323.99,221.85,140.34,82.88,42.78,74.00,125.56,265.27,375.78,259.48
1967,295.80,353.88,230.10,251.83,151.04,37.58,58.14,38.68,43.79,114.79,224.55,322.23
1968,280.55,221.09,329.57,214.14,276.83,228.06,291.57,260.86,176.59,158.33,342.28,375.39
1969,229.01,259.36,252.80,286.79,193.08,91.23,93.88,68.57,209.94,164.73,161.19,244.37
1970,275.06,314.06,312.14,299.01,266.94,137.48,118.54,91.51,152.69,182.43,308.78,339.45
1971,275.71,357.68,330.12,162.21,128.67,150.08,85.28,145.15,105.15,268.31,221.27,253.75
1972,350.81,233.98,320.80,193.26,183.07,44.96,50.03,68.83,38.52,70.89,153.95,274.63
1973,304.60,291.55,332.87,287.69,220.06,178.74,110.20,222.54,231.23,217.08,213.97,266.36
1974,258.31,328.00,279.10,207.80,169.21,123.12,127.48,222.29,309.74,214.06,244.94,303.25
1975,250.52,297.49,256.60,227.02,204.97,79.99,155.07,166.83,230.19,317.49,186.94,327.28
1976,307.87,171.38,379.18,226.65,83.51,63.42,64.40,122.75,87.88,207.68,332.43,246.27
1977,355.14,388.27,330.24,288.56,165.93,210.03,49.75,88.38,75.96,70.33,188.78,316.18
1978,265.28,229.64,318.58,241.84,163.81,203.13,207.32,174.03,210.51,213.77,186.31,287.34
1979,337.99,187.12,237.70,223.66,196.51,146.69,109.60,114.11,148.49,187.82,276.97,364.59
1980,255.03,284.45,251.30,249.57,118.33,114.63,137.28,221.46,191.51,217.32,247.40,338.05
1981,349.60,232.59,297.36,225.19,226.37,191.92,195.27,143.10,246.30,194.33,283.21,315.44
1982,343.45,223.83,228.16,273.81,103.25,93.25,76.98,39.42,50.53,120.38,148.97,254.34
1983,263.74,193.19,219.65,224.99,170.78,103.71,132.32,90.96,43.19,223.05,245.21,269.07
1984,305.58,243.02,275.25,225.96,266.86,113.11,156.51,222.71,238.70,151.88,199.56,281.86
1985,200.90,199.26,252.69,292.84,139.57,187.05,232.84,101.47,204.76,230.19,142.96,248.97
1986,358.81,223.12,277.69,235.42,131.46,150.07,157.59,135.49,238.88,173.70,268.69,243.97
1987,306.39,228.82,280.95,231.62,150.75,91.77,68.24,34.42,57.68,99.96,174.57,318.62
1988,239.39,268.07,355.93,200.61,178.55,90.61,68.02,135.77,92.38,226.05,234.02,251.56
1989,326.21,375.53,238.17,233.53,279.20,117.51,158.95,165.40,118.43,140.62,205.68,355.68
1990,300.26,325.00,206.68,183.86,135.64,143.15,183.29,274.06,134.30,157.12,150.70,360.00
1991,267.41,350.86,290.59,240.77,127.61,54.71,35.77,20.81,36.44,106.84,228.61,401.32
1992,270.78,248.92,295.03,320.72,269.28,133.85,126.20,222.55,241.81,313.23,255.80,307.88
1993,315.30,228.49,285.43,343.54,244.24,173.95,107.88,216.51,98.81,171.93,239.31,325.50
1994,273.73,292.05,373.05,241.45,143.35,91.41,40.84,46.27,43.99,144.30,171.03,286.85
1995,359.61,309.34,349.45,289.40,129.94,196.22,244.58,96.81,130.75,238.27,223.41,223.79
1996,322.30,322.41,257.12,287.73,165.43,153.11,102.37,222.18,176.81,325.44,341.67,248.30
1997,230.71,229.83,216.19,236.01,162.92,47.96,37.73,22.46,28.84,41.70,146.28,219.37
1998,207.91,254.61,320.78,216.67,209.76,211.69,233.45,250.82,231.13,275.95,220.91,258.10
1999,324.70,264.64,243.25,180.78,184.91,150.01,178.93,62.88,109.28,244.68,314.56,308.73
2000,287.00,250.81,181.12,263.32,224.03,131.78,131.42,171.49,100.99,161.50,241.14,183.20
2001,369.83,254.77,295.72,291.07,116.86,147.47,133.98,139.95,139.27,362.19,315.25,339.77
