,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,155.61,170.47,188.94,259.07,191.97,255.21,295.22,234.57,73.04,135.11,147.04,171.76
1902,192.24,167.98,179.37,201.34,167.34,252.32,117.05,140.06,127.56,75.43,112.53,169.72
1903,152.19,149.88,208.78,231.87,230.81,276.15,262.78,277.31,107.37,128.48,150.08,153.04
1904,224.68,190.35,197.47,255.20,225.17,265.87,228.67,138.87,117.14,123.29,226.82,150.42
1905,172.99,177.86,201.70,209.32,277.02,257.18,251.45,114.49,143.66,111.04,165.87,119.26
1906,181.04,151.14,154.53,276.44,188.31,270.09,186.54,214.01,122.02,137.02,180.41,158.78
1907,148.43,170.96,202.02,191.92,205.07,274.83,250.00,166.96,95.40,104.84,191.49,166.01
1908,230.00,157.78,173.65,239.68,208.26,266.29,208.78,172.44,128.54,112.99,226.90,158.54
1909,198.05,163.94,199.67,219.12,223.97,271.68,261.17,257.13,143.98,146.43,216.61,174.44
1910,196.04,176.17,193.14,191.46,203.96,284.62,251.87,335.37,169.00,169.70,205.21,166.31
1911,201.10,193.33,135.60,196.51,220.82,258.86,179.18,138.33,87.16,110.44,176.77,216.00
1912,230.77,191.65,158.02,194.93,265.88,281.34,388.30,236.89,88.58,103.03,191.49,185.48
1913,203.57,156.95,208.30,267.39,216.78,267.24,191.71,168.60,96.39,103.39,182.35,164.22
1914,216.93,158.08,163.91,180.79,165.74,262.04,136.40,110.75,82.77,89.96,156.88,145.93
1915,133.53,146.71,112.45,321.50,247.68,256.21,135.44,213.01,179.18,96.10,190.63,155.95
1916,173.38,218.96,197.57,154.28,301.45,266.27,458.54,383.44,206.21,123.99,116.19,164.95
1917,192.13,178.39,199.90,186.23,234.57,275.50,618.69,400.75,182.28,177.38,160.77,157.35
1918,185.19,231.66,141.11,141.86,181.71,274.24,126.67,118.76,73.49,106.16,122.33,150.32
1919,154.51,125.55,162.66,220.29,240.60,261.24,299.25,97.00,114.02,73.38,124.19,142.94
1920,183.15,181.16,146.02,220.51,179.05,271.28,252.18,179.64,116.65,109.93,176.30,112.82
1921,266.00,181.33,174.35,198.90,206.49,257.58,379.52,163.35,140.38,135.60,145.42,189.60
1922,221.75,179.60,169.19,213.66,235.73,264.25,147.61,163.44,89.54,131.14,106.13,155.17
1923,205.50,148.18,185.15,224.81,234.14,251.19,297.05,99.90,71.76,97.59,111.36,179.46
1924,214.59,196.43,219.65,148.21,291.23,272.58,330.72,247.45,135.83,123.26,159.02,193.48
1925,142.76,189.94,154.50,255.88,244.20,268.22,203.73,123.57,94.15,89.08,123.20,175.73
1926,174.74,148.43,121.42,175.72,255.87,257.70,253.97,236.32,163.45,106.45,122.20,135.10
1927,163.38,168.96,209.81,168.60,192.94,263.01,494.87,121.20,108.70,97.04,182.24,167.63
1928,139.48,199.91,161.25,203.67,173.67,280.26,144.29,218.02,101.34,113.19,106.49,133.51
