,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,313.05,308.27,344.42,110.31,69.80,94.93,86.21,21.39,45.74,39.67,218.54,251.40
1902,420.19,512.33,225.43,62.65,45.45,34.82,10.02,32.06,4.86,15.16,97.31,261.93
1903,171.62,246.66,275.08,201.62,118.24,23.32,23.21,5.81,39.94,121.16,133.56,264.68
1904,177.49,428.94,183.87,123.13,101.26,41.47,9.22,13.18,30.86,141.97,150.66,215.34
1905,338.82,256.59,109.69,255.88,95.77,9.70,28.87,79.96,6.60,45.67,115.74,137.81
1906,381.51,198.66,434.39,135.91,33.02,8.30,21.52,11.36,60.00,246.62,216.99,368.32
1907,190.64,282.44,474.05,96.06,49.26,19.73,25.46,24.90,16.36,70.88,161.44,300.04
1908,255.17,272.66,189.85,112.25,56.21,31.89,13.52,37.87,25.12,62.48,229.72,428.96
1909,289.47,206.75,215.43,107.73,138.53,46.38,63.57,68.27,91.32,182.67,157.20,208.42
1910,371.73,255.06,220.36,110.10,46.39,56.51,121.59,104.60,64.43,235.46,288.26,304.31
1911,146.14,192.51,87.71,94.01,155.41,72.74,80.09,2.07,7.04,90.37,107.20,337.13
1912,261.44,235.90,395.83,55.12,32.88,4.00,111.12,0.65,20.14,53.02,173.73,276.75
1913,379.09,215.79,508.80,73.34,64.24,2.53,2.77,7.53,15.53,55.20,122.73,229.24
1914,293.28,253.59,171.41,141.11,103.95,28.14,0.49,1.42,0.86,2.15,142.34,230.40
1915,324.50,351.03,129.34,84.42,196.07,4.71,26.38,36.05,68.74,150.15,192.56,116.81
1916,305.07,264.13,259.06,39.24,46.94,32.73,161.91,122.42,66.68,205.92,269.27,475.12
1917,309.62,232.48,487.13,210.24,56.01,61.79,6.89,32.26,51.75,152.03,197.04,373.84
1918,451.73,325.09,47.90,78.56,68.21,2.48,17.73,111.95,0.44,11.06,69.53,369.20
1919,314.29,351.84,255.71,91.35,42.77,2.14,1.08,3.36,8.26,8.93,177.48,298.01
1920,303.59,291.78,255.30,120.00,71.51,55.03,102.92,191.55,50.00,179.47,262.30,168.51
1921,238.02,390.88,280.10,49.09,23.83,90.40,11.78,20.94,32.31,208.88,121.27,304.33
1922,364.50,384.25,234.84,118.53,209.38,44.10,11.43,3.06,4.35,171.27,55.91,342.12
1923,319.94,251.32,216.97,113.18,111.47,57.70,83.23,1.17,5.75,38.38,83.19,229.51
1924,201.96,239.02,181.83,118.89,154.55,20.40,12.02,1.28,10.34,224.66,326.93,99.53
1925,483.35,270.54,311.11,94.00,56.51,14.05,46.54,3.45,54.64,10.54,37.70,213.78
1926,287.80,225.04,231.44,163.69,82.43,3.66,2.48,13.84,27.43,43.70,182.83,311.64
1927,373.87,169.98,328.28,131.77,136.19,91.75,14.21,3.03,18.03,25.67,168.98,227.51
1928,329.26,234.44,233.59,217.66,10.01,28.80,21.24,28.21,4.61,66.55,138.89,518.10
1929,356.19,189.47,359.88,91.74,9.86,34.35,5.79,7.54,14.89,11.55,42.67,264.71
1930,170.40,316.94,230.61,110.48,54.96,1.12,44.40,10.84,6.21,111.99,192.84,315.68
1931,182.59,270.38,276.83,169.81,97.40,36.52,10.01,14.26,10.23,69.87,124.84,172.42
1932,407.39,273.75,298.84,189.17,104.07,111.02,6.65,9.86,5.21,52.26,209.71,378.55
1933,194.65,247.50,368.46,214.06,94.57,83.78,9.32,52.20,104.03,76.01,259.05,445.70
1934,364.42,364.44,257.56,180.56,49.02,18.57,95.05,33.55,12.12,128.07,435.71,206.63
1935,462.54,283.04,230.16,145.73,65.98,31.95,6.22,7.94,16.39,180.43,185.50,186.33
1936,499.04,221.93,169.94,246.79,112.01,82.74,9.13,11.01,15.01,92.37,226.77,297.04
1937,362.24,238.21,335.90,174.55,103.49,120.94,17.43,16.30,22.73,22.84,111.71,334.12
1938,353.29,333.22,102.33,67.67,234.73,85.99,110.56,9.30,42.62,54.03,200.54,242.33
1939,377.77,284.02,244.98,143.70,131.63,158.09,146.18,28.01,16.19,56.02,129.27,166.80
1940,417.51,202.33,173.11,138.99,55.19,31.36,8.34,3.33,1.34,6.58,82.88,246.75
1941,345.93,182.57,369.13,126.15,154.19,54.60,29.71,1.46,6.29,54.22,157.34,248.75
1942,330.74,342.82,264.56,134.43,107.62,33.08,38.48,21.45,30.56,110.41,282.30,289.17
1943,341.52,349.86,278.17,138.76,82.51,41.89,44.75,39.57,23.03,122.82,270.62,245.51
1944,289.97,319.53,252.85,111.57,73.13,32.93,27.58,17.22,25.89,66.76,155.05,288.44
1945,341.60,320.85,293.79,133.71,82.30,30.80,34.55,19.74,34.62,93.70,162.46,263.83
1946,319.33,256.35,243.32,104.69,85.18,29.19,34.81,17.11,22.23,61.09,158.37,242.42
1947,316.69,296.42,228.66,121.47,75.28,31.75,26.35,18.34,55.00,131.11,189.63,248.77
1948,166.29,289.99,201.31,111.57,70.49,27.23,37.35,18.93,19.47,52.46,149.81,267.01
1949,358.35,330.88,197.12,129.94,162.24,96.30,16.13,11.36,18.01,28.57,158.84,210.87
1950,326.66,265.12,198.81,127.83,46.61,119.23,70.00,41.87,43.73,267.34,264.96,395.62
1951,317.53,450.38,164.58,63.68,18.20,108.95,32.87,41.79,12.97,17.90,82.94,163.07
1952,477.62,259.29,140.02,43.03,42.80,5.11,4.33,10.14,20.11,110.50,376.08,261.57
1953,263.93,234.45,250.83,158.50,138.14,10.03,48.36,11.21,3.70,39.68,137.72,252.46
1954,356.29,164.03,173.62,172.43,166.69,65.23,22.01,76.30,36.34,167.57,222.93,405.32
1955,245.69,312.19,125.28,103.06,234.86,152.51,147.47,57.68,87.15,200.32,433.59,213.45
1956,376.23,299.96,165.14,154.41,65.09,93.09,115.34,82.88,59.78,120.40,133.93,361.35
1957,274.05,477.00,204.23,77.85,62.08,13.27,153.54,29.63,3.93,24.93,145.01,306.82
1958,142.50,359.55,312.30,126.19,92.31,62.18,120.02,47.29,24.91,92.82,190.06,244.33
1959,347.16,242.47,317.70,92.45,160.09,108.57,20.84,1.06,26.43,46.26,122.88,373.32
1960,299.20,315.38,184.29,147.04,144.17,22.27,23.95,16.02,7.73,65.94,271.59,157.26
1961,298.86,271.00,151.34,142.78,69.33,7.92,28.50,2.45,4.65,18.84,69.07,206.30
1962,291.64,352.97,126.71,177.97,59.24,29.19,65.94,57.42,12.45,53.24,115.89,377.23
1963,489.90,238.46,273.78,98.14,55.02,9.19,1.63,10.98,9.57,40.27,86.35,352.56
1964,164.35,270.90,325.39,161.26,129.55,35.57,11.26,44.09,31.23,379.58,327.00,191.40
1965,300.55,263.61,245.26,75.61,27.93,15.69,3.05,1.99,1.01,11.91,122.20,198.59
1966,221.72,287.10,352.76,109.75,56.17,30.61,5.39,11.06,10.38,59.85,180.35,373.55
1967,378.96,188.48,207.08,116.02,24.16,4.42,8.09,3.08,3.32,7.94,115.68,349.24
1968,488.71,369.34,163.44,125.46,174.36,73.37,219.11,71.64,27.10,87.32,104.90,364.72
1969,174.93,298.00,261.91,105.48,25.82,46.87,11.11,8.88,10.02,53.27,98.56,241.13
1970,297.65,377.51,208.56,165.89,72.69,27.67,10.64,5.24,43.88,37.65,184.00,261.76
1971,397.89,367.32,314.33,64.69,128.88,42.38,40.07,7.64,36.57,156.35,253.87,260.78
1972,178.79,188.77,246.07,72.16,50.41,11.38,1.43,0.36,1.59,12.71,97.76,262.58
1973,391.66,260.32,321.57,192.19,246.67,47.60,98.58,28.33,146.84,108.92,288.66,266.92
1974,336.04,362.98,257.98,79.88,81.15,29.98,11.19,57.77,100.21,273.21,235.85,253.04
1975,218.64,446.63,273.96,229.23,275.61,9.75,24.61,56.47,79.10,352.62,321.82,350.51
1976,296.63,155.61,215.38,59.11,39.66,10.81,3.39,11.71,0.91,86.11,194.16,135.59
1977,302.21,389.49,196.43,71.25,39.37,18.31,8.09,1.59,8.07,36.56,47.55,368.89
1978,383.84,254.49,355.66,94.97,119.95,194.89,68.93,101.87,69.69,114.27,179.90,294.73
1979,265.69,186.07,225.27,69.21,249.89,91.39,6.45,28.06,16.09,41.14,145.24,243.89
1980,373.46,252.79,175.86,188.05,28.68,2.70,15.83,47.70,3.77,59.46,143.64,293.78
1981,325.29,370.49,220.84,153.14,84.12,63.48,157.59,20.05,83.18,117.26,309.89,368.33
1982,400.06,250.50,210.67,124.89,9.14,7.58,1.99,7.93,2.05,3.41,34.65,120.15
1983,243.89,255.50,239.36,215.97,285.75,21.83,18.28,4.19,12.44,189.85,441.65,292.53
1984,326.91,391.95,280.51,191.60,132.83,35.74,35.47,36.98,121.50,108.91,187.94,288.30
1985,156.85,433.12,280.83,136.60,43.02,65.99,34.40,7.88,9.22,53.01,212.00,283.57
1986,372.92,275.32,240.14,178.14,28.92,100.05,50.67,24.30,6.60,73.41,166.57,127.56
1987,347.56,248.62,204.78,61.70,120.97,38.32,5.94,5.55,6.16,20.42,116.18,268.50
1988,349.50,179.92,299.82,65.41,53.05,17.28,9.57,64.60,44.91,90.68,354.79,255.11
1989,307.00,300.97,243.62,177.13,60.67,109.53,93.00,42.55,18.07,78.65,106.75,257.63
1990,633.57,216.51,338.63,128.88,61.12,18.68,26.58,25.42,24.52,36.10,47.12,359.89
1991,327.09,338.25,110.54,154.44,50.38,2.92,39.34,2.61,4.42,18.54,251.21,139.62
1992,368.92,461.42,228.64,215.16,55.11,13.20,38.37,10.55,57.67,159.55,137.36,292.47
1993,281.28,225.76,183.24,118.91,43.00,62.43,8.35,10.29,13.41,74.85,142.09,279.40
1994,307.28,393.04,481.67,92.18,25.10,2.85,3.06,0.86,0.70,7.12,99.87,344.62
1995,339.76,420.58,314.10,138.21,67.13,49.59,12.14,11.79,14.51,180.66,273.53,312.48
1996,255.59,411.71,229.60,109.38,37.87,20.25,15.53,38.51,6.55,154.51,285.81,361.81
1997,339.61,358.27,103.31,113.97,37.43,39.92,9.79,10.45,0.60,61.33,143.80,179.07
1998,224.62,241.36,241.44,211.45,116.79,74.44,138.44,11.20,141.95,188.30,258.86,335.16
1999,393.84,440.13,302.45,242.06,73.94,58.07,152.35,48.34,21.56,166.58,255.35,310.11
2000,459.90,283.53,357.22,195.83,205.63,31.81,7.25,27.11,3.84,311.99,256.82,134.38
2001,308.43,177.98,221.09,118.28,7.97,123.15,3.86,0.92,4.46,137.64,199.93,279.81
2002,258.08,447.19,108.05,114.30,6.16,0.86,2.18,2.33,1.28,1.76,101.18,377.15
2003,375.11,416.06,200.10,185.72,35.03,14.59,1.71,5.96,29.05,57.03,188.24,337.76
2004,144.18,286.81,187.03,26.21,143.54,9.35,10.57,2.29,4.86,13.76,147.67,295.32
2005,162.62,193.34,203.48,231.87,7.13,42.82,4.33,56.04,9.98,254.72,181.58,290.51
2006,268.76,487.37,304.48,288.39,103.19,9.44,1.23,3.66,0.69,9.24,46.36,317.77
2007,136.08,224.50,355.56,272.42,65.61,42.59,2.55,14.89,1.13,32.13,188.86,359.14
2008,253.33,381.72,177.90,111.15,44.03,26.10,5.66,3.21,18.11,135.32,209.32,288.50
2009,321.89,343.17,204.77,104.93,108.59,3.94,74.76,1.99,48.75,10.22,99.38,208.51
2010,426.95,163.00,108.84,242.71,207.00,58.48,103.47,63.03,128.14,255.36,266.26,418.36
2011,348.85,269.57,247.37,308.93,284.72,1.24,27.31,0.76,2.23,56.94,234.55,284.17
2012,439.58,237.24,462.50,78.62,155.64,3.54,11.93,0.48,1.20,19.32,89.51,245.83
2013,537.25,305.36,172.32,127.35,166.18,106.87,31.50,25.56,0.95,14.33,149.62,425.58
2014,194.59,191.48,107.63,128.12,23.74,4.93,87.85,2.35,0.46,1.91,128.54,327.65
2015,329.26,211.98,272.59,205.51,139.53,2.61,8.65,7.69,1.10,1.95,49.43,253.29
2016,281.88,420.92,232.52,112.62,116.08,184.63,64.15,51.31,142.18,244.06,205.97,365.07
2017,411.84,429.43,216.79,189.17,62.40,90.96,43.81,9.89,4.62,139.18,517.26,276.27
2018,390.98,335.36,181.63,115.95,95.72,19.70,10.35,54.16,31.29,11.22,294.85,159.01
2019,369.21,227.29,337.89,61.29,69.88,4.38,1.75,16.11,13.75,10.09,67.95,141.18
2020,232.63,249.32,365.60,99.90,205.21,22.16,6.67,4.05,24.49,127.60,141.74,349.89
2021,417.53,425.49,300.26,147.67,21.08,72.04,10.99,43.17,153.89,215.40,436.19,399.26
