,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,228.78,158.89,138.94,228.52,160.19,150.53,128.06,121.50,181.46,205.05,283.69,266.44
1902,255.67,191.44,192.65,261.64,198.15,119.06,78.75,133.03,121.88,201.07,236.16,271.41
1903,361.81,237.24,214.93,219.71,183.91,123.04,126.55,225.03,165.59,183.04,233.29,255.24
1904,324.89,137.04,145.65,259.08,104.18,118.77,164.00,146.61,172.56,228.94,198.64,243.96
1905,250.50,268.28,183.53,230.53,227.52,115.25,137.49,193.60,175.87,194.94,286.72,233.69
1906,304.10,243.70,237.66,262.36,191.68,229.86,124.11,201.98,156.03,241.14,205.10,370.20
1907,220.02,212.05,210.67,203.74,141.38,173.69,165.99,100.95,205.00,247.48,223.23,254.53
1908,205.59,217.84,198.07,274.96,135.87,179.30,108.69,135.55,209.59,234.47,225.48,278.66
1909,270.31,302.33,260.14,278.37,157.98,182.09,84.07,233.54,124.55,211.91,209.46,221.49
1910,230.68,281.88,217.57,167.59,131.85,169.73,124.34,226.09,193.50,215.69,199.67,266.86
1911,237.87,93.46,153.02,202.84,222.19,89.09,84.03,153.73,204.11,282.70,334.12,265.82
1912,152.27,309.46,144.41,207.31,216.71,174.20,92.49,167.68,163.76,276.92,245.64,316.23
1913,308.95,216.35,332.93,278.92,180.50,236.97,97.47,125.81,195.40,209.55,322.02,269.92
1914,391.11,172.05,230.87,368.19,116.97,224.02,83.17,108.81,127.24,169.41,231.82,209.69
1915,211.81,179.07,173.43,325.46,147.23,220.84,151.24,181.56,203.15,230.83,298.38,261.11
1916,169.24,69.18,300.77,264.02,204.35,134.63,210.26,222.07,151.30,209.57,251.59,207.56
1917,313.04,305.03,344.25,249.38,174.58,144.46,84.03,270.43,192.02,195.72,185.04,272.52
1918,309.28,82.50,172.03,233.08,207.29,221.98,101.49,136.74,223.68,200.46,236.60,212.11
1919,258.62,179.10,262.06,261.20,206.80,98.16,152.77,118.32,169.26,235.42,245.11,227.13
1920,280.92,195.22,168.43,233.49,140.21,134.44,103.80,177.80,171.56,176.70,252.11,110.74
1921,321.04,227.65,215.09,200.25,182.56,164.62,117.99,129.39,188.63,264.83,223.25,121.80
1922,220.50,203.91,203.18,231.21,138.54,118.43,91.45,158.81,162.34,241.86,290.88,196.04
1923,315.05,128.64,212.76,192.08,140.92,112.54,132.53,136.35,150.09,179.72,227.67,208.06
1924,275.21,333.58,295.21,190.17,194.98,151.53,109.85,147.34,217.24,184.30,172.80,182.28
1925,357.04,256.84,232.00,244.45,171.01,141.05,99.36,109.81,223.27,284.53,310.75,276.85
1926,218.07,206.66,186.91,247.87,136.62,137.24,131.48,143.04,180.71,206.55,250.48,278.10
1927,225.70,261.47,268.49,275.76,156.87,110.57,61.36,155.64,311.19,253.70,287.52,244.26
1928,227.97,281.36,235.25,262.55,132.19,75.73,139.75,170.07,160.12,251.06,351.69,223.90
1929,168.36,209.64,242.47,186.35,202.56,228.47,63.19,159.08,237.05,226.66,300.05,217.80
1930,195.61,125.55,276.87,315.46,170.90,203.36,83.02,117.21,158.89,303.01,266.97,274.07
1931,367.42,187.12,266.31,262.34,226.53,230.80,180.90,130.28,264.55,218.53,281.08,323.00
1932,193.19,184.78,218.70,249.31,246.74,179.45,127.69,196.62,178.25,211.77,263.89,222.09
