,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1902,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1903,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1904,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1905,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1906,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1907,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.45,141.66,228.46,305.81
1908,326.91,318.69,305.85,289.58,222.41,163.78,160.58,142.68,130.40,141.62,228.75,340.14
1909,340.93,350.22,285.56,279.09,231.00,163.83,211.30,140.61,114.71,141.91,227.53,299.72
1910,332.12,300.05,296.78,307.37,210.96,168.70,178.88,143.95,132.27,142.91,267.65,296.97
1911,321.96,293.85,290.05,275.41,214.80,165.30,166.35,129.77,114.67,141.32,216.76,330.92
1912,337.70,358.05,300.68,264.90,222.68,167.08,153.40,131.16,115.86,141.32,215.97,290.91
1913,318.21,322.23,295.34,295.69,231.40,160.39,167.03,124.94,114.54,141.35,201.15,297.14
1914,344.23,309.91,295.40,284.83,198.73,157.12,140.36,124.94,114.52,141.32,201.92,278.31
1915,340.23,319.79,296.80,298.58,222.75,142.18,144.95,124.94,130.08,141.37,237.31,281.95
1916,285.50,291.61,285.83,262.28,204.45,163.14,161.79,143.95,130.77,142.11,230.18,304.99
1917,336.66,331.58,300.64,278.13,226.46,164.05,180.05,165.32,139.50,142.20,255.30,322.62
1918,312.32,319.02,285.81,292.52,206.63,150.48,141.42,124.94,114.52,141.38,198.30,366.02
1919,329.28,323.94,310.14,274.25,221.90,153.02,146.78,125.69,116.37,141.32,200.78,297.85
1920,326.70,297.37,299.80,290.10,225.56,158.50,145.38,150.20,128.56,141.97,227.84,303.97
1921,329.00,329.12,304.37,270.28,221.93,155.75,163.38,157.23,116.10,141.89,227.71,314.14
1922,349.90,286.76,315.97,262.85,218.23,164.35,159.02,132.98,114.52,141.45,207.15,297.78
1923,344.40,311.18,294.33,279.40,205.85,147.69,181.82,124.96,114.53,141.39,198.25,343.67
1924,351.54,311.22,327.66,282.67,240.58,183.89,147.10,140.25,117.29,141.80,262.84,274.46
1925,345.94,316.95,283.16,293.47,225.06,168.29,146.93,128.68,115.23,141.32,203.26,290.16
1926,349.46,309.45,291.68,297.43,222.74,153.14,141.24,135.60,119.26,141.40,207.03,278.50
1927,307.17,294.82,290.96,293.45,203.63,164.76,148.07,124.99,120.50,141.32,238.93,312.65
1928,304.34,337.64,299.59,254.57,203.34,154.84,145.82,130.58,114.54,141.45,215.69,300.02
1929,316.18,314.70,312.25,266.71,210.46,145.86,150.80,129.31,117.49,141.34,218.45,290.58
1930,303.73,313.02,301.77,279.82,205.83,145.61,141.22,124.96,114.52,141.44,197.10,309.11
1931,341.88,299.12,309.31,293.69,222.58,174.53,161.19,130.27,117.30,141.46,224.26,275.12
1932,311.78,290.91,294.88,291.14,213.55,182.02,150.52,128.72,115.23,141.39,217.69,309.82
1933,321.26,309.71,304.86,278.10,205.01,165.03,170.43,159.06,115.33,141.49,213.79,299.50
1934,298.16,303.74,300.23,271.66,221.45,178.28,155.36,129.84,117.08,141.49,247.22,307.83
1935,344.79,295.81,296.04,300.74,241.41,163.69,152.10,135.19,114.52,141.49,239.02,275.33
1936,313.29,322.98,338.08,283.05,217.93,163.90,147.54,172.37,129.26,141.48,240.03,317.88
1937,322.08,307.49,286.13,302.91,211.28,163.32,175.26,124.94,117.09,141.35,203.54,284.55
1938,299.25,291.27,280.35,265.83,216.37,159.14,173.40,183.09,128.48,141.38,219.02,298.10
1939,312.53,289.43,297.27,263.56,218.17,166.39,181.91,136.54,114.52,141.49,208.81,282.05
1940,302.61,300.81,282.71,295.26,253.33,154.35,141.09,125.39,119.67,141.34,199.07,320.50
1941,300.76,295.94,275.98,262.02,201.46,154.64,141.66,124.94,114.52,141.67,211.48,297.28
1942,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1943,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1944,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1945,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1946,327.31,318.29,305.89,290.06,222.26,162.96,160.70,142.58,130.67,141.67,228.81,305.26
1947,307.56,333.15,338.07,287.83,205.37,155.15,171.83,148.07,143.45,141.67,217.72,321.87
1948,286.22,372.78,293.49,301.85,220.63,158.36,159.30,141.34,153.88,73.18,205.44,259.74
1949,350.48,285.73,252.78,318.49,202.75,207.04,193.83,110.18,124.82,168.31,160.43,326.67
1950,339.92,342.87,254.29,294.67,216.35,264.95,150.74,227.65,122.83,253.23,217.41,217.90
1951,298.08,383.84,232.80,203.26,255.67,139.16,182.89,92.37,92.32,149.06,140.76,211.49
1952,260.34,349.08,371.54,233.98,208.13,179.49,154.59,179.18,104.90,194.20,294.68,372.53
1953,320.33,259.57,315.83,294.35,231.10,107.84,232.32,119.52,104.58,151.99,277.46,266.97
1954,310.75,331.90,366.96,319.08,215.27,219.26,185.08,338.82,143.52,145.71,236.23,244.51
1955,299.51,356.13,246.58,373.65,282.07,211.56,202.65,152.66,134.19,210.44,355.72,327.96
1956,388.57,302.76,271.93,284.76,219.36,228.74,144.62,171.76,158.37,211.16,211.52,368.67
