,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1902,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1903,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1904,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1905,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1906,319.22,295.63,291.44,292.53,248.05,183.44,161.71,122.23,111.15,123.51,208.56,298.38
1907,319.22,295.63,291.44,292.72,247.45,183.02,161.46,122.03,90.12,122.01,181.45,345.29
1908,283.09,327.51,288.09,251.33,265.60,289.55,146.84,130.12,85.70,119.19,203.22,374.12
1909,360.90,389.93,239.37,250.60,275.09,206.08,389.58,116.64,62.36,143.82,210.32,254.93
1910,317.77,245.59,281.43,346.59,192.72,197.42,251.49,246.55,121.13,225.84,315.46,292.40
1911,275.36,232.38,237.83,219.71,232.34,185.14,155.17,67.06,49.70,95.09,159.25,388.04
1912,340.98,411.84,255.26,200.49,254.98,179.11,139.95,72.35,81.52,94.89,169.02,238.31
1913,311.80,298.71,266.33,316.43,317.27,187.92,223.61,52.86,50.74,97.16,123.81,274.96
1914,381.43,290.18,278.82,286.38,153.00,170.40,69.91,52.86,49.25,94.85,114.54,224.14
1915,358.39,288.45,254.02,299.22,250.61,94.87,98.53,53.12,98.40,98.55,258.00,238.71
1916,216.54,237.16,235.13,182.41,179.57,203.23,284.66,242.34,118.08,158.08,307.12,284.06
1917,317.74,324.64,282.60,272.74,271.13,199.73,274.58,196.16,142.33,165.32,299.38,347.92
1918,285.41,292.57,213.70,343.93,169.07,119.14,80.41,54.66,49.13,99.17,109.23,450.57
1919,292.95,324.44,309.68,303.09,228.81,127.95,91.05,58.86,59.75,95.00,124.69,280.01
1920,329.62,247.25,276.27,298.24,277.55,179.92,105.20,141.95,91.62,149.48,195.61,266.63
1921,304.54,352.89,314.54,240.85,218.59,236.25,158.39,154.56,60.22,141.23,202.52,312.85
1922,366.04,239.24,309.25,221.16,241.58,184.30,149.23,76.48,49.46,107.81,140.02,286.06
1923,345.88,290.64,246.25,239.33,181.84,106.11,273.44,54.50,49.97,102.38,108.80,398.46
1924,356.47,333.73,356.26,256.01,313.90,275.43,95.30,107.06,73.71,136.54,333.95,219.60
1925,354.09,314.01,230.17,282.33,254.96,209.93,92.69,69.14,54.27,95.00,118.20,246.33
1926,368.11,296.76,255.39,300.17,230.17,125.04,75.02,91.26,64.80,101.53,134.54,261.00
1927,273.45,217.38,256.97,321.28,188.40,188.84,139.01,55.45,71.73,96.75,222.46,315.54
1928,250.93,362.77,271.24,234.81,170.35,143.72,113.33,77.44,50.31,106.40,171.03,288.49
1929,281.62,280.64,320.08,208.32,177.29,99.98,139.13,109.24,60.67,97.40,165.20,243.27
1930,239.02,278.99,290.31,275.69,187.27,91.71,73.53,54.69,49.62,105.81,114.60,306.95
1931,332.53,254.32,283.61,314.93,253.92,228.51,180.48,87.73,58.92,106.52,188.68,222.80
1932,286.72,251.62,286.88,313.77,236.79,325.42,104.86,72.56,51.68,101.26,195.12,322.65
1933,326.60,276.28,313.64,253.11,201.06,257.22,173.94,248.25,58.62,109.19,176.07,276.28
1934,261.51,257.04,295.81,271.09,237.39,238.34,214.61,72.65,71.08,109.62,293.77,294.28
1935,371.73,248.09,247.70,357.95,314.97,163.82,110.90,90.85,50.50,109.16,228.24,221.48
1936,314.49,294.32,389.53,301.78,222.76,188.63,110.21,254.13,117.39,107.69,231.44,345.78
