,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1902,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1903,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1904,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1905,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1906,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1907,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,36.24,87.73,72.64,316.50
1908,134.04,282.44,232.60,131.16,301.29,572.60,116.75,131.44,21.83,80.52,119.59,277.53
1909,262.53,327.78,177.48,182.00,279.88,274.91,560.25,101.46,38.26,142.63,136.42,132.48
1910,198.08,146.31,245.39,315.69,149.31,223.32,325.97,480.41,125.79,352.13,239.86,215.92
1911,138.24,134.38,159.99,119.48,237.81,202.61,116.80,18.60,2.49,18.37,65.55,329.01
1912,232.54,356.70,166.05,110.68,266.27,176.48,134.13,26.39,87.49,18.37,86.29,118.38
1913,214.20,204.74,210.28,285.44,394.52,239.61,306.29,2.26,5.89,24.16,35.89,180.10
1914,297.02,217.07,245.53,249.07,97.34,203.33,2.96,2.26,1.97,18.37,15.14,121.13
1915,260.16,186.83,178.32,232.22,249.76,52.82,60.55,2.26,69.93,27.05,204.62,147.49
1916,98.56,143.91,165.31,74.48,142.82,294.06,556.94,479.94,129.88,182.90,360.56,153.42
1917,192.73,239.74,236.07,244.93,287.79,249.57,397.60,200.39,152.58,204.48,246.06,268.53
1918,170.62,196.72,114.38,373.14,101.00,85.98,24.33,2.36,1.97,28.55,11.35,359.74
1919,159.78,256.13,273.66,330.83,191.84,99.79,32.83,15.56,23.96,18.40,31.62,182.86
1920,237.25,152.24,214.64,241.85,325.40,223.96,63.84,123.10,53.14,155.65,100.36,145.75
1921,183.71,298.43,308.79,197.91,174.87,401.38,144.66,126.88,23.99,136.80,121.05,213.72
1922,259.05,167.41,255.97,161.63,242.98,207.01,140.33,29.48,2.00,46.04,50.75,203.86
1923,235.70,215.76,165.96,152.63,137.47,49.29,384.47,6.97,3.95,33.01,6.00,318.96
1924,235.74,321.91,342.34,181.01,338.27,395.72,41.28,80.19,58.97,121.05,286.64,126.14
1925,230.05,253.17,152.74,208.90,241.83,264.55,34.39,27.32,4.92,18.41,18.26,139.70
1926,265.56,236.32,197.13,237.19,197.85,87.78,13.80,52.32,21.86,35.73,38.03,201.38
1927,157.14,98.86,193.37,307.82,168.25,215.43,165.42,8.55,39.65,18.57,135.27,229.63
1928,121.78,308.53,210.88,229.71,130.25,129.19,95.71,41.38,4.92,45.91,89.05,197.67
1929,161.59,185.44,287.59,124.21,112.27,39.31,150.50,136.93,19.43,21.40,73.13,134.41
1930,105.96,184.47,253.90,243.08,155.07,26.00,6.79,6.99,2.02,43.07,21.68,214.99
1931,210.56,160.36,206.10,291.53,268.55,285.31,219.41,69.64,13.11,48.72,99.64,123.74
1932,187.49,183.07,268.79,296.16,251.42,535.83,54.41,35.20,4.65,32.91,130.21,245.67
1933,244.66,191.75,302.15,190.59,185.84,418.94,156.36,366.90,20.43,53.13,99.96,160.56
1934,153.02,156.45,277.78,251.71,222.94,294.35,325.17,32.69,49.73,53.17,251.30,195.96
1935,281.74,165.40,164.40,372.81,343.68,151.46,63.96,58.42,2.12,53.11,144.24,122.70
1936,230.77,192.87,393.85,288.46,202.54,209.68,76.46,331.70,131.31,50.20,146.98,276.87
1937,180.70,153.01,187.88,286.39,167.80,292.92,201.99,2.42,50.64,24.29,45.96,211.07
1938,147.85,126.55,142.44,197.59,249.40,211.56,228.43,272.59,70.03,28.60,132.19,183.95
1939,221.05,157.55,190.15,139.46,330.44,377.49,531.91,61.69,2.06,53.09,53.31,159.05
1940,191.05,109.74,212.75,527.37,479.08,154.34,10.51,3.85,20.39,21.29,21.84,261.53
1941,190.43,107.43,79.04,165.17,259.52,129.37,14.52,2.72,2.62,90.85,59.94,170.81
1942,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1943,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1944,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1945,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1946,210.67,206.89,241.50,245.71,247.87,210.65,162.68,107.53,104.69,90.97,130.52,207.89
1947,124.10,273.15,416.70,232.62,110.07,133.95,249.50,140.03,185.45,90.97,139.84,237.26
1948,166.03,218.27,203.90,324.24,144.31,205.44,115.24,19.94,40.72,18.05,80.11,163.41
1949,209.23,291.85,163.59,257.19,355.95,159.28,116.24,41.38,18.65,87.85,47.32,205.40
1950,154.11,189.02,150.58,193.63,247.47,314.11,162.88,107.53,67.15,190.06,130.57,151.81
1951,119.94,201.69,152.33,42.72,249.36,163.78,307.89,18.32,99.56,93.01,142.84,73.69
1952,228.01,308.55,361.02,192.61,222.93,336.08,148.58,130.47,47.52,106.91,237.18,348.59
1953,316.22,136.08,189.73,233.41,183.04,106.05,237.85,49.79,45.16,94.98,270.82,166.58
1954,205.03,148.20,294.18,425.03,356.29,338.74,96.03,339.73,90.24,125.07,196.37,216.95
1955,203.99,216.26,227.36,300.07,338.19,345.96,689.54,339.93,140.98,167.90,201.99,219.55
1956,200.58,161.07,99.01,287.27,231.71,281.16,234.37,479.89,76.19,216.98,214.94,243.74
1957,231.79,244.77,205.87,70.86,270.00,152.59,163.15,299.85,3.72,27.75,115.64,315.57
1958,141.27,254.05,410.40,255.47,189.16,164.16,89.57,277.10,27.26,57.21,104.37,226.11
1959,199.37,210.55,284.56,226.69,412.84,429.24,155.51,38.67,48.57,42.08,98.19,264.12
1960,253.07,293.77,234.47,207.72,343.21,273.28,326.90,148.15,107.15,53.31,188.96,177.07
1961,235.69,313.39,234.42,331.82,226.94,291.12,75.96,29.85,55.10,33.49,91.55,267.23
1962,283.70,177.34,214.10,313.29,245.36,344.72,91.09,112.80,72.50,35.63,140.80,200.59
1963,203.32,182.86,301.02,201.44,198.25,54.50,42.52,68.56,15.83,17.92,103.53,249.55
1964,252.47,219.73,412.18,214.69,262.68,95.91,213.55,204.26,238.21,227.07,234.73,217.11
1965,233.33,214.56,150.45,103.56,183.89,135.33,66.20,15.16,7.18,17.89,34.11,159.74
1966,191.54,264.96,327.85,259.99,188.58,169.22,23.15,49.61,8.55,54.27,162.32,274.83
1967,224.13,203.79,169.31,235.39,181.31,96.89,89.91,62.73,78.31,32.71,93.41,210.33
1968,308.00,123.95,211.10,235.12,210.56,354.92,532.39,224.58,30.16,49.29,63.69,240.06
1969,117.79,228.69,257.63,195.49,191.62,98.96,138.95,16.87,32.96,31.33,80.73,203.77
1970,153.73,220.13,302.10,180.64,343.06,255.27,114.03,37.99,147.56,79.70,139.68,248.05
1971,231.90,214.28,215.75,159.43,201.48,311.47,196.36,221.16,295.30,192.75,191.73,132.12
1972,245.60,197.80,169.91,161.44,151.56,53.31,17.83,35.06,1.97,18.13,44.68,103.52
1973,214.45,206.79,259.54,300.61,265.96,257.78,228.46,242.80,341.26,102.50,193.75,192.62
1974,119.02,266.44,175.35,151.00,408.60,466.19,439.81,143.69,319.96,165.82,120.02,141.86
1975,179.71,154.95,244.80,397.38,413.08,302.92,403.15,324.12,282.70,366.71,245.68,217.41
1976,197.10,262.21,248.57,162.28,208.25,166.37,89.32,58.51,1.99,91.27,190.77,208.63
1977,240.54,227.07,187.92,303.92,136.77,356.49,48.08,41.94,56.04,54.27,85.16,181.89
1978,187.41,240.87,396.98,282.50,215.18,307.87,226.10,188.46,283.33,80.45,162.97,157.63
