,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,203.45,134.54,112.52,193.95,186.52,143.85,149.96,141.96,202.11,254.00,285.96,248.06
1902,288.72,187.92,179.65,248.21,213.30,162.84,114.78,198.29,197.43,355.74,355.59,257.90
1903,320.02,154.69,141.69,200.49,197.85,154.98,128.82,255.29,187.76,244.20,289.86,347.30
1904,348.44,174.02,141.97,231.38,196.37,128.71,187.71,163.06,232.10,273.64,212.12,278.98
1905,379.50,207.08,158.72,209.98,270.75,149.12,150.79,236.12,251.15,295.76,227.70,244.18
1906,385.46,184.79,174.36,261.84,198.86,270.61,152.33,233.38,148.03,250.41,237.72,450.60
1907,284.13,188.87,227.21,142.72,156.52,202.83,165.64,118.99,195.73,285.40,319.76,457.21
1908,280.37,199.16,215.18,244.61,195.49,177.10,105.16,168.88,309.24,275.76,265.29,289.47
1909,288.30,238.96,239.75,237.12,164.54,203.67,93.71,238.04,159.62,324.19,181.33,222.69
1910,299.59,264.37,232.97,199.29,141.12,241.19,167.49,201.62,182.09,249.77,228.67,351.49
1911,254.47,104.47,151.68,243.13,156.52,104.13,100.08,159.17,225.18,336.65,268.98,322.66
1912,193.92,185.32,119.68,148.08,266.53,139.97,79.37,153.61,167.73,395.89,290.83,312.22
1913,269.38,182.47,159.23,241.23,234.78,243.80,147.83,159.00,226.63,234.14,288.43,379.85
1914,309.28,151.35,185.62,241.02,103.73,197.45,65.37,166.60,191.16,292.59,286.53,242.64
1915,217.88,116.10,231.18,329.93,197.57,214.73,188.05,243.75,293.14,311.85,347.61,328.53
1916,261.86,87.85,274.69,221.88,236.57,113.75,287.65,243.53,158.73,271.30,197.74,263.50
1917,371.81,230.32,379.46,199.14,160.42,146.86,111.90,275.76,182.46,194.25,255.02,334.91
1918,296.85,90.10,190.10,212.27,181.40,232.94,105.98,152.43,264.80,310.89,320.15,226.38
1919,268.08,146.29,192.28,244.72,217.95,71.18,136.60,159.10,278.45,261.51,243.58,327.44
1920,307.87,178.30,190.42,226.97,169.76,119.98,87.78,219.11,234.96,240.13,272.01,194.11
1921,351.56,230.34,248.44,123.09,199.22,157.26,111.41,165.80,263.97,315.01,313.23,194.17
1922,249.74,145.26,262.52,212.33,205.50,107.68,139.12,179.73,218.22,345.54,309.06,287.26
1923,319.84,138.02,194.11,207.98,138.82,126.07,111.64,159.57,238.30,352.84,297.16,241.66
1924,321.53,210.06,331.42,218.91,202.00,162.81,124.95,160.18,251.03,219.42,212.80,267.21
1925,321.94,175.93,210.89,228.73,108.84,155.89,110.83,108.89,271.64,349.56,363.02,351.24
1926,238.73,181.38,180.20,194.10,202.05,171.21,114.91,159.26,163.04,318.97,308.96,381.92
1927,248.12,178.40,229.98,314.93,137.89,113.07,103.04,201.93,287.97,291.52,261.22,297.91
1928,237.98,221.51,204.16,194.95,190.89,95.18,167.47,201.67,171.04,368.38,314.03,272.24
1929,193.67,225.10,217.88,195.87,199.24,168.73,38.23,189.14,304.50,274.19,336.30,215.10
1930,303.82,134.04,264.77,213.06,164.36,171.16,106.22,188.75,157.70,408.84,212.23,298.20
1931,443.86,155.92,212.41,257.34,209.86,222.30,181.66,162.78,351.59,293.71,264.01,345.38
1932,228.74,190.29,299.16,244.35,198.19,217.51,108.15,279.56,195.52,347.77,342.68,341.21
1933,357.98,173.65,179.90,257.57,219.69,139.84,181.16,234.13,243.94,245.46,285.25,277.76
1934,390.00,125.80,267.41,289.18,153.68,227.31,179.87,222.93,215.76,306.47,304.53,190.78
1935,239.94,201.84,188.46,245.56,244.26,240.49,97.89,268.67,178.68,376.70,271.03,335.58
1936,351.65,169.81,201.85,222.04,271.37,147.94,127.57,168.96,226.46,303.28,324.96,277.59
1937,255.85,184.01,208.21,344.75,249.47,102.24,106.22,155.71,258.08,340.26,279.45,285.75
1938,218.90,139.08,293.08,222.51,198.25,105.45,122.13,191.74,270.70,222.14,198.61,230.26
1939,291.65,128.91,180.77,229.94,222.00,239.80,81.35,174.02,261.69,279.81,230.34,356.46
1940,172.24,189.24,160.51,235.93,219.16,178.82,120.98,218.08,294.62,343.88,301.76,366.47
1941,279.03,192.32,219.04,222.16,240.21,111.67,137.53,245.24,351.58,360.93,300.75,385.30
1942,242.34,205.34,210.60,268.06,204.40,132.00,132.48,193.14,216.64,257.27,278.36,347.11
1943,178.17,169.95,316.47,217.11,167.60,116.34,127.34,154.09,227.69,258.90,283.00,296.28
1944,312.49,227.96,177.32,223.04,245.50,230.14,126.50,166.82,281.21,255.97,270.91,241.64
