,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1902,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1903,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1904,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1905,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1906,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1907,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1908,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1909,21.45,21.51,21.58,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.26,21.39
1910,21.45,21.52,21.58,21.48,21.20,20.55,20.19,20.38,20.73,21.06,21.20,21.33
1911,21.44,21.50,21.53,21.48,21.21,20.62,20.25,20.44,20.77,21.12,21.26,21.41
1912,21.51,21.58,21.65,21.59,21.23,20.57,20.22,20.40,20.80,21.14,21.22,21.39
1913,21.49,21.51,21.60,21.53,21.24,20.60,20.26,20.47,20.82,21.20,21.31,21.41
1914,21.51,21.55,21.59,21.53,21.22,20.58,20.24,20.45,20.80,21.14,21.25,21.42
1915,21.51,21.61,21.61,21.57,21.26,20.61,20.27,20.46,20.78,21.10,21.21,21.40
1916,21.46,21.55,21.60,21.58,21.25,20.54,20.17,20.38,20.80,21.08,21.18,21.41
1917,21.49,21.58,21.63,21.59,21.30,20.67,20.24,20.42,20.78,21.09,21.26,21.35
1918,21.46,21.50,21.58,21.53,21.12,20.74,20.34,20.56,20.82,21.11,21.22,21.38
1919,21.49,21.56,21.58,21.56,21.30,20.57,20.20,20.42,20.79,21.10,21.23,21.36
1920,21.45,21.51,21.58,21.51,21.20,20.55,20.16,20.40,20.77,21.12,21.22,21.32
1921,21.40,21.48,21.55,21.48,21.24,20.49,20.11,20.38,20.72,21.06,21.22,21.35
1922,21.45,21.51,21.57,21.53,21.26,20.63,20.26,20.45,20.82,21.14,21.25,21.39
1923,21.23,21.48,21.54,21.38,21.00,20.70,19.85,20.39,20.89,20.99,21.30,21.21
1924,21.84,21.48,21.77,21.65,21.37,20.48,20.15,20.43,20.48,20.92,21.03,21.28
1925,21.12,21.06,21.16,21.38,21.26,20.45,20.19,20.31,20.85,21.25,21.15,21.39
1926,21.61,21.67,21.84,21.88,21.46,20.87,20.30,20.45,20.79,21.14,21.33,21.21
1927,21.27,21.36,21.54,21.50,21.23,20.60,20.00,20.53,20.85,20.99,21.41,21.58
1928,21.45,21.63,21.43,21.60,21.23,20.60,20.19,20.43,20.82,21.11,21.26,21.24
1929,21.61,21.59,21.43,21.60,21.19,20.52,19.96,20.49,20.89,21.14,21.33,21.54
1930,21.39,21.48,21.77,21.60,21.15,20.57,20.23,20.34,20.82,21.07,21.49,21.58
1931,21.69,21.74,21.88,21.87,21.41,20.74,20.15,20.45,20.82,21.25,21.28,21.38
1932,21.47,21.54,21.46,21.89,21.11,20.56,20.12,20.45,20.75,20.97,21.30,21.35
1933,21.59,21.47,21.50,21.46,21.28,20.51,20.40,20.32,20.93,20.92,21.00,21.05
1934,21.19,21.19,21.20,21.49,21.01,20.63,20.00,20.52,20.99,20.91,21.11,21.41
1935,21.39,21.18,21.64,21.46,21.10,20.65,20.26,20.45,20.66,21.10,21.21,21.49
1936,21.47,21.77,21.82,21.77,21.41,20.60,20.12,20.34,20.96,21.10,21.52,21.42
1937,21.44,21.50,21.58,21.52,21.26,20.63,20.26,20.45,20.82,21.15,21.27,21.40
1938,21.45,21.51,21.56,21.51,21.25,20.62,20.24,20.44,20.82,21.13,21.24,21.38
1939,21.43,21.50,21.55,21.53,21.26,20.63,20.25,20.44,20.80,21.14,21.25,21.39
1940,21.39,21.48,21.53,21.52,21.26,20.63,20.26,20.44,20.81,21.14,21.25,21.33
1941,21.77,21.87,22.05,21.81,21.76,20.84,20.37,20.76,21.18,21.52,21.68,21.79
1942,21.60,21.70,21.63,21.61,21.19,20.53,20.11,20.42,20.96,21.02,21.23,21.30
1943,22.84,21.25,23.11,22.51,21.12,20.44,20.03,22.18,22.48,22.01,21.34,22.36
1944,22.30,22.38,21.99,22.20,21.88,21.11,21.95,21.53,22.10,21.89,21.79,22.10
1945,22.32,22.40,22.25,21.37,20.89,20.86,20.44,21.20,22.03,22.03,22.20,21.81
1946,21.42,22.00,22.17,22.14,21.57,20.97,20.35,20.77,21.29,21.69,21.87,21.53
1947,21.59,21.63,21.82,21.65,21.25,20.65,20.13,20.45,20.87,21.07,21.33,21.61
1948,21.75,21.72,21.77,21.42,22.05,20.91,20.21,20.66,21.39,21.25,21.61,21.49
1949,21.92,21.88,22.28,21.30,20.88,19.93,19.54,19.82,20.11,20.46,21.07,20.81
1950,20.87,20.62,20.57,20.54,20.39,19.45,19.16,19.82,20.73,20.67,21.00,20.93
1951,20.77,20.56,20.96,20.91,21.56,21.25,20.94,21.12,21.21,21.51,21.38,21.27
1952,21.42,21.41,21.54,21.10,21.08,19.87,19.61,20.02,20.53,21.01,20.88,21.22
1953,21.20,21.35,21.44,22.04,21.80,20.90,20.11,20.97,21.39,20.96,21.37,20.95
1954,21.17,21.25,21.09,21.07,20.20,19.45,19.09,19.56,20.24,20.17,20.66,20.73
1955,21.05,21.27,21.06,20.58,20.80,20.35,19.74,19.85,20.16,20.55,20.77,20.69
1956,20.31,20.88,21.08,20.92,20.83,20.04,19.73,19.98,20.25,20.49,20.64,20.69
1957,21.02,21.36,21.71,21.76,22.33,21.70,21.23,21.26,21.63,21.59,21.35,21.89
1958,21.88,22.00,21.89,21.70,21.38,20.68,20.38,20.10,20.82,21.11,20.84,21.30
1959,21.53,21.54,21.98,21.84,21.30,20.44,20.36,20.62,20.70,21.09,21.26,21.16
1960,21.54,21.45,21.51,21.24,20.87,20.41,20.17,20.50,20.67,20.89,21.00,21.65
1961,21.44,21.39,21.29,21.29,21.50,20.22,19.92,20.44,20.68,21.10,20.77,21.44
1962,21.45,21.50,21.03,21.24,20.88,19.81,20.04,20.49,21.10,20.99,21.47,21.80
