,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1902,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1903,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1904,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1905,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1906,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1907,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1908,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1909,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1910,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1911,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1912,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1913,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1914,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1915,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1916,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1917,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1918,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1919,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1920,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1921,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1922,27.50,27.71,28.31,28.10,28.61,28.11,28.11,27.70,27.90,28.20,28.60,28.00
1923,28.30,29.02,28.91,28.80,28.71,28.41,27.90,28.50,27.20,27.30,27.50,29.40
1924,28.50,28.21,28.41,28.50,27.71,28.51,28.41,28.00,28.10,27.30,27.50,27.60
1925,29.10,28.01,28.51,28.30,28.51,28.51,27.90,27.30,27.20,27.30,27.50,28.90
1926,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1927,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1928,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1929,27.50,27.51,28.01,28.20,28.21,27.91,27.60,28.10,28.20,27.30,28.60,29.10
1930,29.00,28.51,28.91,27.80,28.61,27.51,28.41,28.10,28.10,27.30,27.50,28.70
1931,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1932,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1933,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1934,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1935,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
1936,27.50,27.51,27.71,27.80,27.71,27.51,27.30,27.30,27.20,27.30,27.50,27.60
