country,year,month,mean_temp
brazil,1901,01_Jan,25.35
brazil,1901,02_Feb,25.52
brazil,1901,03_Mar,25.36
brazil,1901,04_Apr,24.73
brazil,1901,05_May,24.3
brazil,1901,06_Jun,23.44
brazil,1901,07_Jul,23.73
brazil,1901,08_Aug,24.46
brazil,1901,09_Sep,25.37
brazil,1901,10_Oct,25.94
brazil,1901,11_Nov,25.47
brazil,1901,12_Dec,25.34
brazil,1902,01_Jan,25.35
brazil,1902,02_Feb,25.7
brazil,1902,03_Mar,25.37
brazil,1902,04_Apr,25.16
brazil,1902,05_May,24.63
brazil,1902,06_Jun,24.1
brazil,1902,07_Jul,23.85
brazil,1902,08_Aug,23.72
brazil,1902,09_Sep,25.35
brazil,1902,10_Oct,25.58
brazil,1902,11_Nov,25.94
brazil,1902,12_Dec,25.82
brazil,1903,01_Jan,25.32
brazil,1903,02_Feb,25.62
brazil,1903,03_Mar,25.56
brazil,1903,04_Apr,24.98
brazil,1903,05_May,24.05
brazil,1903,06_Jun,23.82
brazil,1903,07_Jul,23.54
brazil,1903,08_Aug,24.04
brazil,1903,09_Sep,25.12
brazil,1903,10_Oct,25.38
brazil,1903,11_Nov,25.35
brazil,1903,12_Dec,25.67
brazil,1904,01_Jan,25.14
brazil,1904,02_Feb,25.27
brazil,1904,03_Mar,25.25
brazil,1904,04_Apr,24.94
brazil,1904,05_May,23.7
brazil,1904,06_Jun,23.08
brazil,1904,07_Jul,23.45
brazil,1904,08_Aug,23.94
brazil,1904,09_Sep,25.08
brazil,1904,10_Oct,25.31
brazil,1904,11_Nov,25.49
brazil,1904,12_Dec,25.31
brazil,1905,01_Jan,25.14
brazil,1905,02_Feb,25.34
brazil,1905,03_Mar,24.99
brazil,1905,04_Apr,24.73
brazil,1905,05_May,24.47
brazil,1905,06_Jun,23.71
brazil,1905,07_Jul,23.28
brazil,1905,08_Aug,24.11
brazil,1905,09_Sep,25.07
brazil,1905,10_Oct,26.12
brazil,1905,11_Nov,25.55
brazil,1905,12_Dec,25.63
