province_name,year,month,mean_temp,max_temp,min_temp,precipitation
Aceh,1901,01_Jan,24.75,30.68,18.85,79.32
Aceh,1901,02_Feb,25.0,30.96,19.07,139.04
Aceh,1901,03_Mar,24.8,30.89,18.78,86.29
Aceh,1901,04_Apr,25.35,31.34,19.39,161.2
Aceh,1901,05_May,25.5,31.63,19.43,265.28
Aceh,1901,06_Jun,25.06,31.12,19.05,165.82
Aceh,1901,07_Jul,24.86,31.19,18.59,228.46
Aceh,1901,08_Aug,24.93,31.35,18.57,94.84
Aceh,1901,09_Sep,24.88,31.21,18.61,230.59
Aceh,1901,10_Oct,25.4,31.7,19.17,440.52
Aceh,1901,11_Nov,25.42,31.36,19.53,220.07
Aceh,1901,12_Dec,25.13,31.0,19.32,238.72
Aceh,1902,01_Jan,24.54,30.48,18.64,224.23
Aceh,1902,02_Feb,24.7,30.66,18.77,111.39
Aceh,1902,03_Mar,25.18,31.28,19.16,105.66
Aceh,1902,04_Apr,25.74,31.74,19.79,216.4
Aceh,1902,05_May,25.49,31.61,19.41,148.03
Aceh,1902,06_Jun,24.98,31.04,18.97,108.28
Aceh,1902,07_Jul,24.92,31.26,18.66,251.27
Aceh,1902,08_Aug,24.86,31.28,18.5,286.65
Aceh,1902,09_Sep,25.08,31.41,18.8,143.31
Aceh,1902,10_Oct,25.62,31.91,19.38,294.24
Aceh,1902,11_Nov,25.42,31.36,19.53,235.64
Aceh,1902,12_Dec,25.21,31.08,19.39,153.08
Aceh,1903,01_Jan,24.56,30.49,18.66,201.57
Aceh,1903,02_Feb,24.86,30.82,18.93,64.87
Aceh,1903,03_Mar,25.09,31.18,19.07,58.54
Aceh,1903,04_Apr,25.78,31.77,19.83,111.24
Aceh,1903,05_May,25.66,31.78,19.59,144.96
Aceh,1903,06_Jun,24.9,30.96,18.9,175.83
Aceh,1903,07_Jul,24.78,31.11,18.51,148.49
Aceh,1903,08_Aug,24.88,31.29,18.52,203.79
Aceh,1903,09_Sep,25.11,31.43,18.83,173.43
Aceh,1903,10_Oct,25.42,31.72,19.19,305.89
Aceh,1903,11_Nov,25.26,31.2,19.37,309.7
Aceh,1903,12_Dec,24.97,30.84,19.15,413.36
Aceh,1904,01_Jan,24.43,30.37,18.53,293.99
Aceh,1904,02_Feb,24.64,30.59,18.71,133.42
Aceh,1904,03_Mar,25.04,31.14,19.02,91.61
Aceh,1904,04_Apr,25.34,31.33,19.39,157.54
Aceh,1904,05_May,25.37,31.49,19.29,231.85
Aceh,1904,06_Jun,24.86,30.91,18.85,163.44
Aceh,1904,07_Jul,24.7,31.03,18.43,147.59
Aceh,1904,08_Aug,24.94,31.35,18.57,193.07
Aceh,1904,09_Sep,25.04,31.37,18.76,300.9
Aceh,1904,10_Oct,25.48,31.78,19.25,233.9
Aceh,1904,11_Nov,25.26,31.2,19.36,261.44
Aceh,1904,12_Dec,25.07,30.93,19.25,216.04
Aceh,1905,01_Jan,24.37,30.31,18.47,308.85
Aceh,1905,02_Feb,24.74,30.7,18.81,138.79
Aceh,1905,03_Mar,25.18,31.27,19.16,154.02
Aceh,1905,04_Apr,25.66,31.65,19.71,142.8
Aceh,1905,05_May,25.22,31.34,19.14,294.31
Aceh,1905,06_Jun,24.87,30.93,18.86,174.1
Aceh,1905,07_Jul,24.91,31.24,18.65,157.37
Aceh,1905,08_Aug,24.93,31.35,18.57,178.2
Aceh,1905,09_Sep,25.23,31.56,18.96,207.89
Aceh,1905,10_Oct,25.47,31.77,19.24,200.38
Aceh,1905,11_Nov,25.53,31.46,19.63,163.55
Aceh,1905,12_Dec,25.22,31.09,19.4,152.39
Aceh,1906,01_Jan,24.6,30.54,18.7,360.54
Aceh,1906,02_Feb,24.74,30.7,18.81,150.93
Aceh,1906,03_Mar,24.82,30.92,18.81,111.62
