,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,79.32,139.04,86.29,161.20,265.28,165.82,228.46,94.84,230.59,440.52,220.07,238.72
1902,224.23,111.39,105.66,216.40,148.03,108.28,251.27,286.65,143.31,294.24,235.64,153.08
1903,201.57,64.87,58.54,111.24,144.96,175.83,148.49,203.79,173.43,305.89,309.70,413.36
1904,293.99,133.42,91.61,157.54,231.85,163.44,147.59,193.07,300.90,233.90,261.44,216.04
1905,308.85,138.79,154.02,142.80,294.31,174.10,157.37,178.20,207.89,200.38,163.55,152.39
1906,360.54,150.93,111.62,169.86,216.64,258.63,122.17,216.62,86.79,272.22,225.57,398.18
1907,270.74,123.75,259.35,59.58,151.53,239.06,147.62,191.72,246.92,251.37,292.41,497.89
1908,207.52,244.91,187.75,220.81,399.58,123.89,96.90,141.69,298.95,216.95,171.80,316.64
1909,161.91,140.82,187.90,97.37,199.05,219.89,153.52,222.57,264.73,323.64,258.69,210.83
1910,184.33,271.52,202.95,156.88,166.12,258.31,119.46,228.34,146.41,216.92,294.79,323.03
1911,189.03,73.94,161.18,191.94,106.79,127.08,133.63,136.80,243.43,260.62,318.23,314.29
1912,157.61,243.60,52.82,84.42,317.57,175.17,86.99,175.76,182.34,425.27,315.54,283.42
1913,283.89,162.59,88.02,242.59,205.15,162.36,136.59,206.29,217.50,216.46,323.22,315.31
1914,254.31,109.39,122.64,177.70,110.80,124.64,106.09,210.12,255.69,261.19,219.65,251.25
1915,194.46,132.96,212.82,250.63,202.26,193.50,169.33,240.74,195.85,240.84,426.23,331.44
1916,225.92,123.73,188.90,131.45,330.55,116.21,357.69,206.60,159.86,324.81,248.73,296.84
1917,411.63,171.97,347.15,123.13,141.80,97.32,222.73,202.39,131.15,176.51,241.81,273.35
1918,377.20,63.09,117.40,186.47,138.34,234.02,83.31,208.18,156.63,401.30,249.73,195.63
1919,220.23,96.35,128.03,186.74,212.95,58.49,145.81,148.32,242.39,260.27,226.63,258.18
1920,222.42,183.89,146.18,251.64,161.00,124.35,103.38,271.13,272.65,235.75,294.78,213.70
1921,295.41,206.57,265.67,109.08,226.01,130.77,95.92,164.31,300.70,246.16,316.95,202.98
1922,309.40,81.43,272.39,328.51,253.32,90.77,169.06,237.71,199.66,270.50,289.57,236.39
1923,175.83,147.71,181.51,173.73,181.46,100.64,80.35,143.96,273.53,351.23,261.82,235.33
1924,172.27,205.72,316.72,207.53,227.30,198.61,140.20,101.98,319.74,218.75,263.28,239.34
1925,301.27,171.58,126.00,132.53,120.26,158.24,78.82,219.64,137.70,258.96,247.00,293.67
1926,157.45,125.97,100.60,83.80,182.26,156.83,155.01,155.39,186.29,268.46,225.09,401.49
1927,196.30,131.01,199.36,293.79,197.57,187.44,130.89,176.14,160.10,257.30,234.35,263.10
1928,153.66,164.91,219.35,180.14,151.22,59.33,160.37,151.40,197.26,366.30,225.02,334.30
1929,86.63,225.77,165.44,128.21,196.00,143.81,48.36,171.86,267.35,258.12,246.57,125.34
1930,184.52,110.74,389.54,119.23,154.55,171.06,127.08,178.69,135.91,303.21,278.15,201.18
1931,271.07,164.01,194.89,255.08,164.36,184.34,143.78,290.92,336.78,318.07,235.94,271.17
1932,226.47,232.88,227.68,225.54,200.70,213.74,140.01,253.58,177.76,317.48,301.65,187.05
1933,257.42,120.23,140.11,288.63,141.98,214.08,197.23,154.10,157.71,236.26,295.12,198.19
1934,324.34,112.20,181.58,259.04,168.87,149.60,257.80,231.34,285.83,333.49,236.30,173.53
1935,276.53,120.97,163.38,232.67,231.92,145.71,100.08,227.49,96.29,456.08,201.00,313.33
1936,372.20,267.83,131.34,155.96,206.03,164.15,136.76,218.60,154.48,278.53,318.25,214.11
1937,147.66,153.05,193.56,291.06,242.55,85.29,119.40,169.65,193.54,240.51,227.91,227.16
1938,192.35,134.57,287.98,174.98,184.16,84.69,115.01,288.40,241.94,188.00,187.07,133.56
1939,196.12,109.86,136.74,192.37,207.46,169.92,79.16,254.00,292.96,252.10,196.18,343.92
1940,237.97,123.96,95.99,150.38,160.24,154.50,81.77,191.06,280.46,291.18,222.04,366.13
1941,205.07,146.81,208.44,187.12,282.93,116.40,89.56,165.48,264.11,296.02,326.76,294.60
1942,201.75,146.98,186.64,212.02,205.02,135.66,142.42,170.04,219.72,276.44,269.29,293.65
