,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,255.95,112.89,189.92,370.92,171.82,247.76,178.65,102.30,85.89,198.85,328.51,302.90
1902,158.49,284.41,179.10,247.12,166.50,73.83,67.34,33.59,137.72,90.43,97.03,217.98
1903,334.19,302.65,339.90,326.74,159.98,167.06,224.61,144.69,121.16,165.44,287.06,273.02
1904,350.96,131.92,183.57,262.55,168.33,136.19,199.06,112.52,197.33,350.55,320.88,513.46
1905,262.67,203.16,263.83,324.20,302.27,171.34,78.96,49.00,100.88,181.05,326.38,234.33
1906,331.71,182.83,225.49,294.31,195.83,195.88,187.20,151.02,103.60,231.87,367.47,468.35
1907,136.47,192.65,213.49,250.54,200.49,181.06,193.63,75.44,147.90,185.68,354.23,347.13
1908,372.52,228.89,184.36,305.49,206.90,161.91,219.92,143.11,276.55,202.07,376.10,491.81
1909,278.73,274.11,325.28,273.90,253.75,186.39,87.08,103.18,141.63,271.37,229.33,401.10
1910,318.75,238.79,202.52,321.84,148.35,205.72,167.51,192.84,211.51,177.77,326.85,395.40
1911,416.67,123.38,95.91,242.24,191.88,151.37,133.75,33.57,58.66,195.34,286.33,392.93
1912,239.86,346.78,154.20,306.40,197.55,154.12,183.54,87.72,265.99,116.80,343.53,333.99
1913,391.83,178.38,329.57,287.80,203.85,194.82,105.80,38.23,101.58,102.18,186.87,188.44
1914,244.23,106.87,143.78,230.90,133.14,86.18,15.39,25.61,16.71,83.79,198.91,342.31
1915,338.91,141.89,156.96,315.86,202.65,160.91,170.51,44.61,199.11,197.87,269.87,470.35
1916,247.81,138.95,299.89,256.02,153.88,150.63,222.02,174.05,198.16,207.84,331.34,329.61
1917,364.71,194.02,161.78,207.90,193.95,143.75,139.24,228.89,196.04,274.58,243.01,375.80
1918,392.07,42.05,114.53,255.81,200.64,123.16,31.56,74.53,71.37,85.41,238.02,394.44
1919,390.13,222.80,184.78,252.07,181.19,75.02,117.32,66.14,102.63,119.31,215.43,253.16
1920,344.93,140.66,188.91,285.73,196.14,95.92,78.55,111.03,93.44,219.88,159.48,225.95
1921,366.86,224.65,252.64,259.11,165.03,120.74,132.26,46.28,122.00,285.31,389.66,399.75
1922,280.21,78.50,237.35,257.34,212.15,180.53,98.35,112.21,113.82,145.55,270.58,372.28
1923,317.02,232.47,215.54,139.76,127.15,156.63,215.04,32.88,29.89,156.54,250.38,260.60
1924,366.54,207.19,304.08,266.63,283.56,142.24,62.24,66.21,119.80,183.46,259.37,314.44
1925,197.51,271.08,241.28,241.66,189.39,132.64,65.49,75.14,187.27,126.63,193.47,484.12
1926,230.67,196.19,239.12,218.94,216.98,135.09,124.78,112.15,133.18,240.54,245.40,294.23
1927,255.26,187.60,216.74,318.71,194.64,99.35,69.46,63.96,110.02,162.23,463.83,434.69
1928,341.20,305.08,269.17,264.50,280.24,138.07,189.23,107.22,85.68,234.62,247.89,466.76
