,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,328.61,593.07,489.49,221.66,187.01,275.79,202.35,55.60,37.89,185.67,358.32,396.14
1902,340.40,497.92,419.41,201.71,197.54,58.02,20.53,10.92,3.95,61.51,151.78,273.68
1903,316.07,633.56,409.17,355.68,376.83,87.69,220.48,10.72,192.84,309.25,272.36,246.44
1904,387.41,413.22,381.46,307.05,299.52,306.71,294.75,185.76,356.84,363.19,334.14,284.56
1905,354.03,316.85,311.98,343.08,179.96,72.78,198.31,34.30,108.79,73.95,293.44,223.89
1906,408.02,241.22,296.80,188.60,140.18,63.45,196.54,195.25,654.08,411.10,328.27,414.05
1907,316.69,410.53,383.23,365.07,240.61,124.93,184.66,207.83,190.02,207.83,304.85,366.53
1908,287.78,328.38,234.31,258.80,342.64,176.63,246.48,279.43,225.87,339.97,352.73,314.03
1909,397.38,408.19,404.70,369.64,384.21,345.47,252.87,290.73,285.44,494.32,395.22,255.14
1910,328.21,417.92,223.14,378.25,275.96,178.73,145.94,320.39,348.17,443.33,324.54,163.95
1911,312.82,224.21,225.22,270.33,259.24,180.62,215.42,27.65,137.68,296.34,260.04,306.37
1912,371.16,466.54,364.08,133.40,89.73,151.40,210.18,102.94,207.40,248.88,301.04,362.71
1913,377.70,299.40,255.30,362.98,193.46,58.02,18.44,71.89,90.51,275.43,193.34,393.94
1914,396.13,339.08,315.44,263.59,338.84,93.03,16.73,19.74,5.63,47.08,210.14,356.86
1915,417.83,458.24,241.58,219.35,400.80,201.74,96.73,39.99,250.59,253.59,412.73,297.13
1916,627.26,452.95,404.67,274.41,183.98,136.95,124.53,245.98,312.98,554.29,302.10,291.31
1917,391.44,430.60,280.23,381.29,215.60,125.70,204.54,173.05,311.32,455.89,252.41,469.92
1918,336.83,502.09,205.92,256.46,209.76,31.96,56.98,87.70,28.73,62.15,726.86,286.59
1919,398.36,444.15,246.00,397.99,368.58,186.49,48.42,137.09,67.37,103.90,341.93,284.42
1920,356.77,336.42,391.43,352.99,122.95,103.25,28.55,494.91,388.38,473.70,185.69,294.62
1921,374.97,354.58,371.42,296.35,113.25,150.02,208.19,190.00,138.41,236.40,177.96,361.58
1922,421.00,378.62,300.32,438.40,319.22,116.14,157.50,62.81,143.93,353.66,285.29,232.78
1923,340.26,391.83,239.40,239.74,276.08,246.11,339.43,1.25,21.47,110.05,211.30,417.79
1924,339.05,320.58,357.15,341.42,264.42,109.59,39.00,41.55,179.88,441.91,337.10,333.26
1925,448.55,383.09,326.78,247.56,135.03,8.98,42.44,13.93,30.22,92.57,143.16,389.69
1926,403.83,440.79,413.93,277.90,258.79,53.43,39.06,37.04,113.52,229.40,198.06,396.41
1927,408.33,234.58,354.35,264.55,285.28,119.79,103.36,149.01,144.93,228.66,311.66,488.60
1928,259.94,438.11,399.11,341.51,174.09,208.25,74.86,330.29,96.21,297.51,301.30,375.21
1929,509.67,278.15,354.94,340.60,223.39,154.86,45.78,42.20,91.85,173.90,286.74,302.11
1930,227.09,389.64,329.15,388.61,358.31,104.11,158.01,74.64,98.16,372.40,284.57,294.12
1931,378.70,372.34,492.07,240.48,303.19,206.91,140.05,221.76,170.01,345.35,221.50,496.62
1932,288.71,432.75,455.69,308.13,312.93,204.58,76.20,51.30,203.03,217.36,253.65,319.72
1933,343.61,409.67,425.42,249.56,266.52,216.85,147.67,200.61,341.19,351.49,237.65,410.18
1934,428.88,228.43,377.50,302.91,127.70,147.99,181.13,32.80,136.04,224.28,367.58,395.34
1935,377.58,349.51,289.85,375.01,208.71,158.68,8.87,12.88,30.60,236.95,350.08,432.79
1936,349.64,324.74,366.29,444.26,183.29,143.05,189.21,101.94,160.26,322.47,384.54,305.13
1937,546.49,319.77,341.22,360.91,342.75,252.99,74.29,47.18,237.55,293.11,367.04,483.45
1938,383.44,335.06,372.06,260.52,297.54,286.98,302.89,211.80,137.09,228.03,374.99,360.40
1939,392.50,357.64,230.54,333.72,207.17,253.88,307.23,176.97,170.73,218.13,214.64,420.65
1940,453.56,278.72,392.66,328.36,329.63,196.26,113.65,86.91,52.37,105.47,225.09,424.01
1941,336.44,259.93,395.33,308.79,371.49,189.79,112.62,66.71,121.91,230.05,257.82,395.77
1942,408.02,344.49,274.29,331.81,252.42,148.79,181.52,188.06,160.59,465.11,242.27,353.30
1943,589.65,479.59,426.14,202.01,240.62,136.43,203.21,184.64,186.87,416.80,333.94,199.43
1944,373.67,345.41,383.77,239.16,160.91,20.79,37.19,24.19,193.63,198.07,512.95,232.95
1945,312.92,418.01,412.66,299.03,184.87,15.48,40.06,84.21,323.43,242.66,212.74,263.18
1946,407.19,383.92,378.67,170.15,101.70,24.75,36.79,22.81,36.90,98.70,263.97,387.96
1947,384.70,311.40,354.88,269.33,103.85,23.16,56.70,275.69,542.58,277.51,256.26,513.09
1948,269.94,222.00,363.30,204.52,115.02,87.25,121.88,19.47,56.13,72.03,333.48,269.66
1949,618.15,294.96,271.11,296.13,314.21,229.16,57.86,33.14,112.17,127.93,351.85,196.25
1950,244.66,292.00,205.43,213.99,361.49,212.72,151.17,151.92,299.19,354.32,309.85,273.25
1951,402.38,395.00,243.58,222.10,203.23,213.05,190.85,200.64,160.95,185.28,155.51,303.96
1952,398.49,243.65,429.10,236.18,215.22,171.54,126.17,250.75,276.98,389.90,258.76,336.97
1953,250.36,271.98,374.76,246.33,246.71,87.23,36.91,44.01,42.07,68.48,269.96,201.33
1954,428.41,291.19,187.43,296.02,246.57,157.67,162.03,190.68,201.45,371.86,330.49,329.06
1955,293.17,330.17,289.18,333.99,253.45,214.08,400.88,299.72,297.71,333.55,383.96,322.67
