,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,321.21,320.59,384.80,142.39,97.68,237.29,133.51,23.73,14.75,48.05,220.34,243.56
1902,340.48,432.19,339.75,63.04,108.82,66.84,6.89,12.67,0.53,5.19,78.52,263.58
1903,195.55,446.04,357.96,306.50,154.51,56.29,53.63,5.60,23.80,105.71,240.62,365.61
1904,249.35,343.24,425.83,218.17,279.88,127.94,58.43,41.62,116.68,189.98,195.93,366.50
1905,365.27,337.96,239.43,325.53,132.29,11.26,94.48,48.77,14.99,28.97,216.32,156.28
1906,497.28,258.61,308.26,252.53,102.68,24.06,53.43,116.80,207.70,186.76,345.36,481.61
1907,237.25,362.02,328.00,180.26,145.34,47.27,54.92,45.88,49.99,166.11,263.98,320.23
1908,280.83,382.08,304.03,197.12,239.29,80.08,111.41,81.79,62.54,92.02,348.84,360.41
1909,323.02,306.02,335.46,228.34,313.48,223.41,136.90,86.72,152.21,312.11,198.65,215.29
1910,296.34,395.14,286.13,200.38,135.44,120.12,92.27,56.95,144.55,256.09,241.83,348.57
1911,306.96,297.58,176.28,175.35,134.49,185.01,83.49,1.41,19.38,116.60,184.17,278.13
1912,402.20,329.02,410.39,86.47,45.81,20.58,36.04,5.28,31.90,112.06,286.40,238.96
1913,383.54,341.51,412.67,128.43,69.23,13.34,9.58,11.57,31.58,141.29,129.03,282.05
1914,322.20,359.00,308.55,230.79,154.37,60.01,0.30,3.24,3.27,1.75,106.10,250.33
1915,496.83,425.39,247.60,118.95,326.26,81.77,24.65,39.42,40.33,124.01,260.87,200.12
1916,397.32,306.17,389.54,43.45,63.52,101.27,169.05,53.53,112.64,332.79,264.81,328.47
1917,383.40,369.00,358.43,341.35,127.35,78.98,12.77,60.77,146.56,269.52,269.09,376.49
1918,386.32,320.38,166.32,102.86,123.55,9.18,23.64,21.03,1.84,22.57,185.11,311.91
1919,329.68,402.79,312.02,247.58,227.96,42.21,6.01,18.81,8.12,13.75,238.35,371.69
1920,433.87,300.30,370.59,337.77,117.13,67.02,59.15,117.89,145.25,325.24,284.75,188.70
1921,275.72,385.51,411.99,124.67,29.06,83.88,33.26,42.27,54.06,246.45,174.37,315.04
1922,316.54,337.47,305.94,213.86,292.67,147.06,29.69,4.62,30.43,169.98,170.98,353.64
1923,327.16,319.38,230.29,179.74,226.69,136.37,220.45,2.49,1.38,30.81,138.25,256.14
1924,287.74,340.13,346.73,277.37,178.34,62.30,38.28,4.44,25.27,293.08,416.87,133.15
1925,378.82,309.83,405.36,173.35,34.72,24.37,39.33,5.28,17.35,11.44,60.64,291.80
1926,344.46,331.34,394.88,206.99,205.75,4.68,6.00,13.40,25.77,48.36,198.95,486.17
1927,407.12,233.66,383.18,267.95,181.33,148.22,55.70,5.53,27.65,90.35,246.56,322.90
1928,344.09,406.29,364.59,297.50,64.13,127.88,27.11,59.40,24.26,87.88,260.85,430.88
1929,287.04,214.58,378.38,109.82,4.45,56.80,3.80,6.66,18.35,59.11,69.05,360.40
1930,225.20,316.13,359.19,231.00,238.97,11.45,44.34,17.65,6.78,163.55,183.36,268.47
1931,320.22,363.61,359.57,298.21,181.47,83.31,7.44,15.22,31.46,124.74,189.16,241.92
1932,385.92,321.41,404.69,275.90,154.28,140.64,14.92,9.93,19.48,123.11,201.19,337.11
1933,327.48,285.38,410.50,227.73,167.71,195.67,15.45,63.79,99.70,188.12,282.52,314.80
1934,380.90,355.13,332.23,332.13,101.57,34.68,83.35,19.06,13.94,163.43,385.45,236.22
1935,396.89,281.87,311.09,308.54,93.77,61.40,7.54,7.25,7.09,176.52,167.91,260.83
1936,429.49,311.81,329.12,353.57,159.05,97.82,28.97,14.05,20.01,115.83,304.43,333.99
1937,372.32,259.25,295.34,329.85,194.21,168.86,32.16,2.93,47.94,55.72,138.84,447.93
1938,416.99,335.11,250.57,138.78,274.91,189.63,170.58,45.08,16.85,83.66,363.33,282.98
1939,384.17,305.84,358.46,283.90,128.45,199.86,203.14,92.05,37.62,79.44,195.90,211.16
1940,398.21,231.96,260.01,268.50,99.37,60.41,6.09,2.87,3.50,14.37,118.85,292.93
1941,347.45,294.08,369.66,246.70,222.48,157.57,54.49,1.55,10.38,101.56,215.17,336.04
1942,354.39,342.00,272.60,178.36,181.44,82.54,62.46,17.90,45.54,205.10,412.08,259.61
1943,340.18,380.74,393.08,201.95,114.75,84.77,124.71,78.97,18.72,252.06,369.96,189.29
1944,266.19,345.53,293.15,157.90,48.47,14.95,8.27,5.67,13.65,29.24,165.62,267.58
1945,334.71,396.84,404.23,129.33,75.14,6.85,45.53,14.97,95.30,283.52,183.16,263.96
1946,380.92,316.96,385.79,74.79,76.19,49.65,23.66,8.73,4.12,24.38,189.63,274.27
1947,309.95,311.89,331.36,174.16,16.96,20.16,10.25,12.73,108.06,254.46,367.85,211.84
1948,173.92,282.77,292.03,248.89,149.77,40.00,61.67,10.24,28.64,23.81,151.34,285.13
1949,417.21,336.16,280.16,240.31,192.94,145.73,17.32,7.83,19.45,25.40,256.67,176.93
1950,319.38,354.28,254.69,184.25,88.38,165.13,67.95,18.48,59.68,266.58,330.80,285.62
1951,340.76,349.38,230.31,84.87,43.92,176.58,65.58,62.71,42.78,33.09,63.19,345.49
1952,357.57,352.37,357.59,98.86,117.31,22.84,5.10,37.61,49.50,211.89,384.67,307.67
1953,255.71,247.79,301.80,274.34,222.20,27.09,58.21,14.99,6.08,14.97,191.27,307.44
1954,375.14,324.27,248.41,267.90,234.03,97.57,67.48,103.20,70.28,181.79,347.67,330.53
1955,344.84,282.39,317.33,222.32,203.29,156.44,230.70,72.09,95.85,185.62,326.01,294.97
1956,297.70,259.30,171.39,104.57,165.66,149.36,137.69,131.50,58.22,165.74,195.91,342.19
1957,290.72,296.48,383.85,148.70,79.13,28.67,177.52,58.21,13.38,25.31,129.23,338.49
1958,231.45,345.35,341.13,254.89,146.39,94.61,137.33,80.98,30.67,179.91,198.21,396.12
1959,354.27,323.47,358.53,161.43,242.29,86.89,68.02,7.03,45.01,37.44,174.71,416.08
1960,322.05,357.00,304.67,204.88,208.53,40.73,65.74,14.20,27.28,61.16,259.32,229.57
1961,315.31,245.05,252.41,188.23,152.16,18.13,10.96,0.81,2.58,21.10,117.76,255.97
1962,441.90,306.38,283.40,304.26,68.86,82.98,58.24,31.29,6.27,124.28,149.56,354.14
1963,407.84,326.91,402.42,152.70,34.29,14.60,0.69,0.39,3.65,29.73,62.89,295.86
1964,194.88,264.35,375.25,174.30,189.41,71.27,21.83,31.18,89.89,460.15,272.43,175.96
1965,309.81,229.25,293.31,112.31,51.45,12.62,19.64,1.71,3.36,16.19,133.85,250.68
1966,316.85,377.74,402.16,175.05,122.71,55.33,3.80,11.60,10.85,151.78,187.67,346.56
1967,397.78,278.13,236.38,196.68,34.04,4.41,7.14,3.26,9.11,24.00,134.32,325.77
1968,297.72,279.07,360.86,234.60,332.24,204.52,246.71,94.13,51.33,141.84,236.46,343.95
1969,287.73,300.56,338.68,187.13,54.86,28.07,28.95,7.22,17.00,60.05,105.48,253.41
1970,277.09,283.40,305.36,239.23,210.25,73.84,35.43,2.89,81.86,103.95,244.49,292.52
1971,397.08,335.45,358.83,121.68,231.78,123.40,32.53,5.25,50.02,283.14,305.28,308.65
1972,312.95,202.83,338.79,109.37,143.80,9.40,1.08,1.75,2.11,7.20,115.46,275.84
1973,347.22,273.76,382.41,272.80,294.94,110.07,98.09,32.21,205.51,137.40,264.82,284.44
1974,232.31,361.48,272.70,169.36,129.35,38.30,41.98,76.74,168.10,296.32,284.34,283.99
1975,319.80,291.12,389.10,283.11,226.32,21.93,22.48,24.15,217.58,354.94,314.85,301.65
1976,294.10,198.22,315.03,86.84,39.38,14.93,8.29,20.20,2.83,151.73,176.26,191.77
1977,319.16,260.81,343.97,149.87,71.66,94.59,4.35,3.30,14.17,12.42,92.61,290.76
1978,449.97,253.47,319.27,165.68,257.23,207.37,160.12,89.31,118.44,142.59,194.48,373.32
1979,327.50,290.62,272.16,253.98,273.02,92.04,29.72,25.90,43.67,96.72,168.26,252.49
1980,342.62,259.69,203.97,228.12,50.70,14.34,56.52,37.25,17.29,97.29,300.09,322.93
1981,358.91,304.67,265.65,174.08,170.99,124.16,166.03,52.96,154.65,105.45,326.84,348.08
1982,368.94,342.27,253.33,230.47,14.01,7.52,4.30,5.28,4.04,6.13,38.56,316.10
1983,348.99,315.73,275.80,232.90,341.08,19.91,13.72,1.48,3.84,238.22,314.93,284.58
1984,354.17,351.46,300.43,289.13,116.01,53.28,49.88,36.34,239.24,174.34,172.58,356.05
1985,279.41,297.67,367.74,189.73,106.77,128.02,66.16,34.95,36.93,133.24,234.60,297.84
1986,332.41,328.63,345.01,260.61,39.48,167.95,58.29,40.71,96.70,154.21,283.83,203.11
1987,305.19,316.46,240.90,92.85,97.02,61.10,46.37,15.79,9.13,14.33,164.37,370.17
1988,307.71,317.88,315.84,184.03,126.13,135.43,36.71,105.24,45.92,215.21,286.79,304.48
1989,314.52,372.36,223.95,166.22,148.31,217.03,138.58,91.34,32.39,104.00,189.53,219.74
1990,322.34,305.27,305.78,126.21,166.70,65.85,52.24,30.69,40.12,31.80,82.64,434.93
1991,396.40,325.89,178.75,295.12,62.35,7.47,24.17,2.24,4.08,32.38,259.70,305.82
1992,383.65,319.98,348.45,282.47,110.83,47.30,49.18,64.04,139.78,283.77,263.60,347.60
1993,361.73,236.55,201.52,230.08,56.08,107.46,13.77,26.84,16.77,58.58,194.15,295.97
1994,390.28,286.47,487.21,187.69,38.61,3.03,4.65,0.90,1.57,18.08,132.41,193.19
1995,389.34,359.53,310.69,227.38,84.97,121.65,44.02,10.02,8.95,120.83,353.90,368.73
1996,300.68,390.12,191.64,146.65,62.91,32.87,15.18,49.35,17.18,224.67,286.32,310.56
1997,295.17,259.19,123.46,203.40,109.14,24.73,16.16,1.34,0.51,42.89,124.09,247.58
1998,249.47,310.72,336.27,271.86,139.46,195.15,246.27,33.23,122.06,253.99,262.84,382.90
1999,339.71,352.26,279.95,295.34,58.63,141.47,28.89,11.12,13.78,236.77,274.07,422.16
2000,337.03,293.17,354.78,235.10,230.93,119.89,15.34,23.26,37.05,395.10,427.17,278.93
2001,414.42,249.85,218.13,235.69,80.67,160.44,25.75,6.74,56.48,149.39,156.61,319.22
2002,312.79,340.91,232.11,141.67,80.78,23.07,21.87,8.99,17.91,57.17,194.69,292.09
2003,452.32,290.14,280.49,265.56,130.50,22.65,13.67,11.49,65.81,89.52,265.76,376.98
2004,250.99,287.60,276.71,188.36,220.80,50.67,25.45,8.68,41.30,24.70,316.26,346.16
2005,357.02,220.49,315.80,189.92,78.53,78.94,33.96,56.19,70.57,244.23,195.76,363.67
2006,361.44,341.53,353.56,222.69,122.99,38.10,22.43,15.66,13.03,72.50,130.42,240.27
2007,221.15,314.51,353.27,290.75,147.11,121.61,16.03,35.97,7.35,80.57,180.12,356.13
2008,299.04,379.58,271.75,143.44,50.12,40.68,4.61,24.44,44.97,182.67,237.58,355.96
2009,401.42,302.47,143.11,269.96,151.31,48.18,55.78,6.73,28.25,40.95,165.19,268.80
2010,359.94,282.94,295.09,396.84,272.24,218.97,137.81,102.78,265.26,387.01,181.66,365.22
