,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,326.15,307.01,288.85,367.68,232.65,174.47,158.14,144.38,154.69,334.87,249.64,329.03
1902,321.81,339.90,271.02,273.68,216.74,170.08,142.77,231.16,180.79,202.50,358.09,447.17
1903,363.82,314.41,247.20,225.25,240.80,224.11,179.16,296.91,219.15,253.36,261.15,336.27
1904,318.65,219.93,170.60,255.82,228.49,156.19,179.85,205.27,161.11,332.49,310.74,452.69
1905,315.14,317.39,344.64,327.87,288.25,182.86,98.24,185.50,240.47,335.66,283.58,306.04
1906,387.39,199.59,377.54,270.67,246.23,287.76,165.50,427.16,167.98,367.86,210.70,304.17
1907,208.95,264.21,247.41,335.39,330.68,276.91,217.30,113.96,178.00,328.00,388.85,415.96
1908,235.95,273.85,190.95,224.69,226.79,182.05,167.39,216.13,341.66,306.15,381.83,246.58
1909,310.65,477.45,171.33,289.64,217.58,330.30,95.15,371.98,177.36,324.80,341.67,404.25
1910,284.17,293.78,208.58,337.79,357.23,301.23,238.43,323.81,251.45,261.08,290.62,410.65
1911,368.54,183.83,140.17,274.36,291.09,95.70,89.58,157.23,186.63,276.97,354.79,450.08
1912,286.92,374.16,202.15,416.09,386.54,317.01,190.26,168.85,171.95,285.48,442.54,412.19
1913,369.39,246.38,304.06,311.52,321.96,272.82,120.72,142.84,220.97,290.57,311.45,460.56
1914,392.80,218.77,332.06,330.68,220.36,121.24,63.72,130.96,93.88,238.30,361.29,382.31
1915,402.95,233.06,355.20,341.50,223.48,191.16,169.63,237.49,229.88,275.42,364.40,420.34
1916,159.20,165.36,311.48,323.40,226.85,196.24,369.40,392.82,265.17,366.64,278.53,324.76
1917,419.34,509.55,303.73,274.95,288.47,201.02,188.34,454.08,308.56,361.82,299.38,312.37
1918,554.70,147.30,225.68,249.32,322.85,187.62,63.25,164.62,174.45,279.85,367.46,331.64
1919,320.80,341.46,205.90,190.87,283.13,91.94,207.75,70.34,284.23,201.22,356.92,384.85
1920,422.18,171.24,329.06,374.13,154.75,216.60,51.61,216.11,268.94,388.60,413.11,294.44
1921,369.95,468.43,341.39,279.85,361.78,199.09,206.72,157.12,298.35,367.75,343.75,297.66
1922,374.51,177.61,300.03,304.89,266.62,190.86,114.24,217.92,200.00,391.11,266.63,360.38
1923,328.56,347.88,222.14,341.19,252.08,155.16,231.66,102.41,141.12,422.14,356.92,376.03
1924,328.16,323.16,332.37,302.94,421.91,205.76,203.95,209.17,330.65,311.19,402.23,320.96
1925,287.42,334.80,200.36,298.14,178.54,169.48,137.44,193.82,227.25,286.14,398.81,528.66
1926,387.05,286.36,236.90,353.91,371.78,261.39,199.38,161.06,269.58,263.60,299.06,348.81
1927,366.82,378.14,291.29,345.17,274.12,185.61,158.04,174.03,375.01,299.82,288.47,406.57
1928,394.75,357.79,267.55,231.30,222.95,131.60,187.36,127.99,113.22,307.73,436.48,361.24
1929,281.32,384.80,335.46,233.29,188.28,244.39,53.11,155.07,321.80,258.66,318.00,310.71
1930,310.08,194.08,342.64,323.40,248.68,297.71,59.98,108.84,171.21,441.79,314.94,399.75
1931,432.95,229.59,279.08,313.18,293.27,272.44,254.36,89.26,368.33,307.24,312.63,405.50
1932,300.16,208.28,407.14,312.10,292.39,214.17,227.74,301.18,188.91,434.22,257.87,413.60
1933,375.12,260.86,325.81,290.13,300.44,126.72,199.66,344.26,318.09,385.34,346.24,345.21
1934,395.22,289.75,253.42,269.06,149.30,284.61,183.41,205.94,177.46,303.80,456.08,300.23
1935,218.23,347.38,325.59,280.71,251.41,232.52,99.32,263.11,161.03,455.66,327.82,333.62
1936,396.01,299.17,326.42,266.45,327.67,239.95,138.34,101.89,220.66,450.32,330.66,254.33
1937,204.65,301.07,184.03,364.07,290.99,245.88,217.85,136.40,223.06,334.27,327.84,353.76
1938,307.15,197.02,360.16,292.03,285.33,124.22,147.45,293.25,220.94,320.36,411.95,344.14
1939,324.65,239.07,131.65,286.25,312.35,192.86,84.25,172.17,201.35,301.53,296.46,295.25
1940,282.53,237.82,213.49,215.98,344.81,162.75,64.54,175.65,159.42,188.89,270.16,307.52
1941,288.27,326.69,220.26,262.46,271.31,97.17,106.47,134.13,167.19,192.17,397.51,338.58
1942,266.25,153.67,267.43,321.35,187.69,193.56,162.86,234.18,252.27,356.84,333.78,307.71
1943,335.88,277.46,281.30,303.67,260.73,193.33,173.59,200.46,236.84,294.51,338.01,364.61
1944,205.57,329.09,265.58,269.03,289.47,183.23,113.74,148.62,163.67,262.20,272.43,313.19
1945,335.97,277.60,281.09,303.59,260.87,193.38,173.61,200.47,236.94,294.61,338.07,364.58
1946,335.92,277.40,236.99,345.97,200.40,183.61,173.58,200.34,236.88,285.40,261.57,261.12
1947,290.82,306.58,289.09,308.91,233.12,179.81,241.10,368.82,250.71,315.64,294.67,413.54
1948,448.58,295.97,367.42,203.34,253.14,239.74,208.65,128.65,176.32,243.83,356.23,316.74
1949,223.83,232.97,218.75,325.51,304.40,177.37,204.85,229.20,257.36,317.28,356.07,366.28
1950,279.63,257.00,208.11,349.15,257.81,189.26,137.23,382.84,219.26,367.52,360.45,383.84
1951,348.79,335.77,213.26,274.14,269.14,197.51,157.11,169.84,223.79,297.73,286.57,369.06
1952,358.86,341.91,272.15,299.48,271.00,149.72,187.88,170.32,296.71,357.73,322.54,364.49
1953,316.70,275.91,331.63,302.46,310.70,210.64,286.40,167.37,267.21,315.30,289.84,348.04
1954,336.03,259.44,320.42,359.51,281.95,286.52,272.93,263.93,280.14,462.44,348.86,314.06
1955,269.48,283.01,227.95,289.15,200.17,241.83,209.25,388.15,325.82,345.14,368.07,350.36
