,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,287.33,261.10,303.92,296.47,254.72,173.12,144.66,153.78,162.28,207.42,267.56,310.46
1902,274.39,270.67,291.19,276.78,240.62,153.82,123.87,143.15,164.38,194.22,272.08,325.74
1903,279.31,278.71,295.76,287.38,264.58,178.86,139.74,149.78,167.12,200.85,271.56,327.21
1904,280.44,257.16,287.28,279.87,263.60,168.11,141.29,131.16,161.20,240.92,279.61,373.15
1905,265.43,289.64,356.53,298.43,268.78,158.72,122.47,136.56,184.67,229.49,257.39,323.10
1906,312.84,245.97,334.58,313.70,282.23,196.52,140.80,240.28,159.26,258.24,275.36,280.60
1907,256.33,260.59,289.20,292.07,290.82,214.50,137.03,118.11,153.17,219.08,309.56,356.63
1908,258.69,286.06,260.80,267.28,238.05,147.04,131.19,178.97,214.31,221.91,301.44,304.17
1909,292.91,354.00,250.20,271.53,258.03,258.18,107.13,229.95,185.84,246.35,294.13,324.53
1910,273.18,259.26,294.77,329.37,334.97,250.96,170.65,206.68,180.24,195.88,272.99,341.18
1911,295.79,226.89,232.86,276.47,307.96,127.91,100.34,117.21,177.52,198.82,282.17,350.54
1912,279.69,313.05,302.50,299.35,296.00,252.24,137.18,123.17,155.59,208.52,331.35,337.59
1913,290.71,268.23,300.49,292.39,262.20,192.91,102.41,117.68,162.85,192.60,281.65,339.23
1914,303.77,286.51,336.99,313.45,223.30,118.69,61.11,145.90,133.47,181.79,294.84,350.62
1915,309.73,265.97,362.55,313.68,226.11,156.56,105.02,160.15,189.19,189.24,305.26,330.69
1916,240.07,239.77,326.85,298.53,225.04,192.07,214.82,251.06,200.29,314.31,278.94,302.08
1917,286.12,318.11,256.93,278.29,277.36,217.01,122.26,263.63,220.44,341.43,277.12,313.80
1918,315.94,207.73,269.27,299.67,289.39,155.09,78.15,120.50,138.39,182.27,283.13,326.83
1919,299.44,284.21,274.70,273.12,276.13,103.94,135.34,113.07,189.74,128.92,301.68,323.80
1920,307.81,239.98,315.34,322.45,197.99,166.72,93.51,151.13,197.75,342.76,308.57,308.25
1921,308.16,327.40,325.21,304.66,313.04,183.32,162.31,135.65,186.32,302.53,284.40,310.84
1922,307.73,240.28,321.45,331.56,263.85,202.10,93.87,164.69,163.34,280.26,251.09,316.74
1923,294.01,327.57,275.56,321.32,259.80,150.90,170.49,110.17,137.03,259.09,285.07,328.03
1924,286.46,274.59,383.91,319.06,319.72,155.60,151.85,132.84,206.05,283.39,333.25,307.92
1925,263.44,269.63,221.54,274.92,181.81,120.73,107.75,137.84,155.32,161.40,302.36,345.88
1926,274.06,269.47,293.02,296.31,353.59,203.83,121.41,139.31,188.07,189.19,273.69,333.86
1927,292.75,277.76,304.40,292.85,300.85,182.52,111.64,129.69,200.59,203.84,271.07,339.53
1928,298.79,309.68,303.94,251.89,222.35,131.76,141.17,117.51,135.77,204.26,325.29,333.19
1929,281.09,301.77,294.41,311.04,169.64,169.21,73.97,117.76,185.83,226.48,263.98,336.40
1930,267.62,249.88,324.28,390.97,300.02,223.57,73.49,112.64,151.71,257.43,269.88,341.37
1931,318.93,267.47,309.14,297.92,320.61,207.98,180.52,119.06,230.58,238.95,260.59,329.88
1932,271.16,258.18,436.85,338.26,287.66,182.27,173.92,175.06,159.77,343.45,264.73,354.02
1933,300.33,266.45,322.35,261.27,253.72,134.74,125.60,215.65,194.30,316.59,300.31,329.19
1934,298.39,250.35,239.06,271.04,164.33,231.20,147.52,161.86,150.18,259.94,324.43,298.44
1935,259.20,294.80,318.03,301.99,237.45,137.57,82.40,151.70,150.13,342.79,265.28,309.43
1936,312.77,299.84,303.48,322.02,283.96,224.61,125.06,129.87,162.34,262.77,293.21,302.61
1937,254.26,277.14,212.01,348.69,230.79,201.68,168.59,115.27,162.20,236.50,287.18,339.19
1938,276.04,240.55,379.64,210.25,256.72,143.90,126.49,212.71,175.08,251.38,322.94,328.33
1939,282.85,265.74,198.44,338.89,310.81,169.28,91.70,143.06,175.98,217.46,272.39,318.11
1940,257.41,229.32,303.77,222.03,344.62,167.08,82.87,129.45,143.81,125.19,243.36,310.65
1941,272.61,307.32,262.29,345.33,263.51,102.16,104.40,112.33,160.23,163.57,307.48,323.01
1942,280.15,258.49,298.83,293.17,253.67,165.56,134.75,148.58,177.12,213.13,284.17,317.56
1943,282.30,263.93,299.59,292.66,256.62,165.53,135.38,148.09,176.39,210.86,283.93,320.16
1944,277.37,265.98,298.64,290.94,257.63,164.66,132.32,145.27,173.61,208.75,280.33,317.79
1945,282.39,263.52,299.94,292.07,256.54,165.02,135.01,147.20,176.62,210.83,282.84,320.10
1946,282.68,263.66,225.47,354.33,163.62,151.85,134.90,147.29,176.40,199.53,277.63,313.96
1947,280.45,268.96,301.00,297.91,198.26,129.89,144.11,214.68,198.39,199.96,263.25,335.92
1948,316.43,312.55,407.30,238.46,281.44,187.40,140.95,176.36,210.70,134.87,308.19,306.20
1949,280.98,237.52,269.91,244.37,250.03,197.91,171.44,137.54,215.96,222.33,256.89,348.69
1950,288.80,242.87,235.38,344.37,256.99,163.00,116.32,247.96,210.52,240.30,288.94,326.57
1951,304.93,320.19,216.45,270.20,281.67,181.11,123.72,107.18,144.10,249.44,252.39,303.12
1952,250.46,334.15,346.39,273.72,291.01,124.64,144.36,125.72,170.87,323.74,266.06,330.60
1953,248.66,210.39,338.37,339.68,350.24,160.43,169.52,135.11,147.53,180.76,312.33,305.85
1954,260.47,310.85,347.69,328.86,287.39,236.51,209.10,184.64,217.68,339.17,327.63,374.19
1955,250.32,268.86,275.14,352.07,274.92,242.33,200.39,306.10,284.46,293.32,345.30,300.23
1956,297.11,238.74,310.15,248.61,225.64,276.34,141.03,194.13,181.45,378.45,275.26,291.52
1957,246.25,232.45,322.80,235.98,274.79,143.77,199.85,147.49,126.62,132.38,215.38,437.15
1958,320.99,258.64,297.62,404.85,300.64,215.89,58.75,275.70,152.37,322.07,266.91,330.41
1959,269.68,257.40,368.12,340.19,361.79,201.37,138.34,109.66,157.87,174.49,235.13,322.67
1960,268.91,318.59,268.61,281.85,219.80,178.94,201.00,139.05,193.63,137.41,256.23,297.44
1961,328.34,274.93,296.56,296.53,195.21,147.94,68.71,82.43,131.59,116.88,232.52,268.26
1962,346.90,311.59,349.75,307.18,278.54,179.43,128.40,163.61,136.15,246.33,301.45,329.63
1963,388.35,333.98,296.58,176.03,246.80,70.49,105.16,113.63,106.08,101.93,239.30,257.90
1964,298.97,314.07,330.05,318.47,224.60,191.49,218.25,113.94,298.97,277.67,350.71,255.68
1965,281.45,248.45,265.23,221.63,291.06,159.73,58.44,86.21,76.87,192.45,198.60,319.17
1966,322.10,306.33,357.85,318.57,195.76,172.37,96.42,189.20,119.62,206.93,279.45,368.66
1967,327.64,280.68,211.93,257.68,216.07,164.28,93.61,83.82,136.99,123.21,294.36,344.24
1968,322.11,219.28,388.32,284.69,244.13,187.61,198.19,161.48,189.66,226.72,271.00,369.72
1969,204.92,213.95,337.79,324.74,274.31,126.62,100.24,148.25,153.10,212.43,249.39,329.62
1970,321.45,316.60,322.16,320.28,270.66,209.75,165.32,149.38,221.33,211.44,234.13,397.84
1971,282.82,210.35,168.06,221.34,190.08,151.02,131.02,331.33,327.38,282.35,332.07,298.86
1972,259.99,225.68,279.98,332.61,218.79,126.64,73.29,91.94,95.01,131.52,211.96,313.04
1973,278.30,223.54,362.55,352.37,315.90,220.83,141.41,180.74,316.66,252.96,259.66,377.18
1974,160.72,316.86,244.99,263.50,203.45,166.14,172.40,113.38,277.15,246.23,296.30,260.71
1975,248.36,251.55,315.43,295.72,235.39,189.13,166.75,194.27,272.51,346.99,356.80,359.61
1976,293.65,262.10,257.24,242.79,201.25,190.57,115.03,148.59,126.09,244.02,377.36,322.98
1977,264.56,351.96,248.07,379.53,227.58,181.63,85.41,256.03,105.68,176.28,280.53,354.40
1978,236.34,222.70,338.09,256.24,269.82,191.43,208.45,145.35,246.17,233.91,242.10,397.35
1979,270.72,283.05,226.63,266.35,268.05,244.38,101.39,152.97,164.57,165.77,277.45,330.17
1980,258.91,275.76,222.40,343.88,307.48,192.53,126.55,132.25,111.39,194.30,268.05,300.47
1981,226.14,228.38,335.31,313.69,307.42,167.01,166.93,70.74,207.91,192.66,321.66,318.89
1982,298.56,263.70,328.35,290.54,266.30,114.50,74.60,71.08,101.37,125.60,210.63,273.04
1983,282.42,242.74,294.89,248.35,341.84,160.85,146.08,126.45,122.06,282.40,377.16,301.03
1984,280.92,271.81,377.80,405.74,343.66,158.23,292.70,122.61,232.98,200.59,295.96,346.46
1985,294.05,246.48,294.87,296.89,257.28,125.03,125.93,167.54,189.20,223.11,339.42,312.16
1986,265.40,207.27,392.65,365.08,193.89,139.96,105.23,94.88,198.85,286.20,301.98,217.32
1987,255.40,219.34,263.10,280.13,260.58,151.08,101.96,197.65,134.77,152.55,268.81,347.67
1988,316.54,270.79,397.30,255.01,338.81,151.30,124.82,279.18,168.96,234.94,317.48,312.38
1989,243.73,265.46,263.49,234.86,353.03,225.39,221.41,127.96,168.89,212.34,266.09,287.63
1990,375.15,245.31,214.97,292.23,224.75,128.85,117.89,98.18,127.08,185.79,206.05,344.35
1991,255.90,222.84,383.50,311.08,254.32,116.51,57.29,70.34,84.77,105.51,256.17,341.48
1992,235.91,247.78,297.81,399.47,237.17,165.92,106.17,201.51,261.58,291.85,287.76,411.18
1993,282.34,219.24,342.83,372.40,352.02,147.05,102.59,82.46,135.41,217.91,262.73,275.51
1994,333.65,284.97,344.95,306.45,283.37,205.68,95.78,152.11,66.72,127.75,219.97,340.43
1995,328.75,263.36,307.89,364.79,264.53,142.74,129.69,132.89,223.85,191.89,347.99,353.23
1996,263.57,272.31,273.50,276.12,195.17,186.03,114.17,293.76,140.80,304.66,304.15,359.13
1997,240.67,273.03,216.23,305.29,174.41,76.92,103.12,107.23,102.14,169.78,234.16,335.63
1998,235.43,228.95,227.57,278.01,235.58,193.65,199.69,225.93,259.29,221.07,341.11,329.05
1999,350.56,283.77,235.72,244.97,254.91,177.93,146.27,140.43,184.93,295.77,283.01,291.54
2000,291.56,282.20,331.30,249.37,208.74,202.34,133.30,144.72,183.72,239.36,450.12,341.26
2001,305.63,244.11,335.72,357.81,164.26,133.10,95.19,88.55,198.43,331.80,290.62,320.34
2002,263.11,309.08,360.15,327.17,165.85,183.42,92.96,124.33,171.68,191.69,313.96,423.78
2003,280.54,320.42,310.25,390.37,216.42,155.52,106.91,131.98,191.14,269.48,293.53,409.22
2004,359.61,292.76,301.12,260.60,247.70,120.42,118.51,73.26,138.13,147.40,316.54,368.19
2005,238.20,247.41,310.85,292.52,234.49,95.04,93.14,115.73,118.95,266.88,276.07,297.13
2006,320.49,314.42,279.44,271.79,210.67,234.15,74.25,111.95,153.02,69.95,214.08,350.76
2007,282.42,277.01,288.46,382.33,271.40,231.51,161.91,127.15,148.75,211.20,281.98,330.90
2008,218.14,264.06,312.34,303.04,175.83,240.49,196.45,189.15,210.27,304.49,388.26,426.14
2009,272.53,202.46,299.21,333.38,183.60,101.58,106.04,104.47,97.96,235.61,336.91,337.35
2010,268.19,229.61,381.32,327.87,321.32,263.10,170.03,263.94,335.02,305.04,308.68,285.27
2011,261.63,261.31,283.29,293.93,244.64,185.09,110.28,126.94,203.15,217.41,301.63,447.61
2012,233.88,281.76,258.60,363.91,252.77,144.89,131.04,126.68,123.67,219.25,328.43,365.58
2013,249.11,355.02,242.98,288.51,266.41,156.62,128.08,151.17,171.76,183.58,362.00,326.41
