,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,245.22,215.10,251.14,256.63,245.70,190.36,160.18,167.07,169.73,205.21,252.63,270.37
1902,255.29,216.60,244.01,288.56,272.83,181.13,156.38,166.30,169.45,211.54,262.79,268.75
1903,227.70,200.14,234.83,237.78,230.97,177.30,176.92,189.83,172.10,212.74,242.98,267.63
1904,255.80,231.27,252.51,266.95,236.27,178.03,152.34,157.22,159.72,219.48,244.23,272.91
1905,228.82,201.30,232.55,239.17,262.38,177.18,165.73,152.24,157.65,204.43,263.26,257.40
1906,230.27,206.95,240.52,244.04,253.85,184.84,156.43,163.59,166.08,198.99,237.12,282.76
1907,243.29,215.02,251.14,243.98,255.48,178.83,154.22,165.90,177.18,203.70,250.56,269.33
1908,216.67,221.48,246.04,211.03,217.48,167.91,153.37,162.10,162.11,178.99,312.06,286.42
1909,229.49,212.04,221.14,210.64,257.74,185.35,171.24,152.96,154.34,247.18,261.17,288.46
1910,280.56,284.03,323.75,236.68,290.61,213.04,141.25,165.81,181.58,198.46,338.78,293.83
1911,222.60,266.90,272.51,242.00,214.47,176.55,171.17,160.24,170.16,167.31,256.63,314.78
1912,170.89,158.19,245.41,213.76,243.17,166.93,130.84,123.21,154.21,154.91,166.85,189.52
1913,211.65,215.97,262.18,299.28,290.62,179.64,185.66,177.51,132.88,185.58,245.38,263.59
1914,208.74,157.34,204.24,182.78,247.96,180.01,114.77,158.33,122.52,158.90,233.69,215.85
1915,199.06,129.75,226.82,213.64,283.84,198.05,151.38,168.85,175.00,273.12,326.80,268.58
1916,205.36,272.95,345.29,297.94,277.19,202.65,207.09,203.24,163.55,221.26,309.66,310.88
1917,286.31,314.49,291.09,228.95,230.62,258.77,127.90,191.73,209.41,191.49,254.44,233.23
1918,318.45,326.04,267.56,303.14,271.43,204.34,147.17,171.47,179.56,188.65,266.73,250.89
1919,210.78,194.84,277.87,230.61,247.66,204.19,160.49,133.05,164.80,178.51,266.37,304.96
1920,291.41,219.29,224.89,319.67,263.04,255.82,142.35,188.05,170.60,177.05,252.73,263.60
1921,244.27,325.41,360.40,277.58,247.74,186.95,152.13,166.49,210.92,203.90,334.43,278.53
1922,235.59,233.87,309.78,284.11,257.18,168.77,192.31,249.04,162.66,246.12,279.18,235.13
1923,314.70,214.38,241.01,291.90,299.64,256.48,140.12,171.07,178.76,181.74,303.15,295.91
1924,223.69,265.68,343.97,280.39,360.48,264.22,149.03,190.96,170.65,200.80,316.14,336.86
1925,281.73,309.95,302.90,310.95,214.62,213.94,144.46,154.82,189.06,225.66,264.25,269.60
1926,236.22,180.79,182.04,266.37,302.53,183.02,185.83,171.93,176.29,232.61,265.91,272.99
1927,232.18,212.34,329.21,300.60,258.99,241.15,147.48,169.12,195.82,211.61,260.19,254.95
1928,281.44,266.70,288.82,346.76,239.62,187.24,140.00,177.44,191.80,253.81,232.53,240.30
1929,211.95,204.19,285.02,286.90,355.20,213.89,145.49,155.93,207.50,235.45,300.14,218.17
1930,202.32,161.01,255.90,262.50,330.14,194.86,138.29,143.17,166.34,213.01,256.93,280.88
1931,237.72,218.53,256.24,228.41,282.48,192.79,168.70,192.40,200.97,257.71,309.34,239.27
1932,233.56,219.42,314.88,299.56,351.30,223.75,200.33,176.15,166.64,230.69,327.94,318.11
1933,275.79,194.42,276.32,270.78,263.73,196.88,157.75,148.18,231.61,235.09,326.35,265.48
1934,340.96,273.47,313.25,311.92,247.89,215.07,159.30,219.80,167.33,194.27,236.14,283.79
1935,185.82,199.09,300.82,297.84,313.52,181.17,195.74,156.40,175.54,242.08,310.29,242.78
1936,284.41,162.73,271.09,384.85,286.83,180.74,185.69,186.33,160.39,229.04,268.76,264.56
1937,264.26,220.39,275.94,376.82,258.17,221.99,168.84,144.21,163.59,245.92,226.46,288.27
1938,213.21,186.18,393.47,304.75,304.37,183.33,152.04,154.91,154.04,199.92,289.95,319.05
1939,268.58,195.63,195.78,316.82,286.08,194.46,183.22,164.83,181.46,191.26,263.35,285.98
1940,281.85,271.70,217.44,233.54,259.36,200.04,158.71,221.96,164.34,151.58,227.00,207.73
1941,198.96,189.63,289.20,248.70,243.39,206.94,186.36,141.93,196.35,207.93,261.74,265.59
1942,247.45,189.92,253.33,282.69,226.09,246.22,154.14,167.28,155.16,199.49,266.06,269.03
1943,237.37,243.35,313.56,256.88,208.44,163.19,138.69,186.61,150.59,221.31,236.12,282.22
1944,251.83,216.15,251.05,257.16,273.75,197.07,145.10,152.63,166.58,201.90,242.94,255.45
1945,257.35,278.40,258.45,236.78,218.34,184.94,150.28,194.65,176.99,248.71,255.56,275.43
1946,246.71,230.14,234.58,239.18,233.93,185.78,136.75,152.11,162.85,213.00,243.40,279.50
1947,204.99,224.10,277.82,295.74,233.51,214.14,151.13,195.31,180.22,212.55,222.01,289.23
1948,235.89,313.26,276.67,243.48,249.49,181.26,162.16,251.02,241.25,179.56,333.21,269.83
1949,234.87,193.83,231.01,371.45,240.90,308.52,225.59,182.02,257.54,309.33,215.96,275.87
1950,227.70,208.58,238.96,307.16,257.32,196.67,138.72,264.35,210.41,169.25,239.20,236.89
1951,281.49,355.37,164.70,285.91,296.03,229.56,190.99,120.45,158.08,194.43,151.14,215.48
1952,161.96,282.88,380.20,248.98,244.37,196.54,150.89,164.17,227.59,263.98,309.98,364.04
1953,257.38,205.00,232.13,226.96,295.15,209.39,224.69,125.23,164.56,209.12,296.30,235.79
1954,214.91,240.60,308.86,326.09,220.59,271.67,202.34,230.46,233.07,199.71,269.48,291.94
1955,264.03,264.98,198.12,302.24,339.09,252.36,186.60,211.65,231.69,222.81,325.62,318.47
1956,273.85,225.58,279.16,328.23,276.22,192.72,158.09,155.29,171.26,202.11,313.11,315.47
1957,228.19,195.05,241.72,208.00,212.97,242.46,194.65,143.18,200.76,159.92,205.45,277.80
1958,209.06,141.51,251.45,206.43,234.13,197.49,95.61,286.90,135.69,247.09,269.68,190.73
1959,174.00,156.09,337.10,258.83,294.59,203.99,138.09,139.81,186.45,189.57,240.58,267.23
1960,216.36,220.76,177.96,245.44,301.94,190.64,190.82,149.04,188.47,153.22,267.17,260.24
